,https://roic.ai/company/CDXS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-18671000,-38977000,-45127000,-20289000,-8541000,-16550000,-30857000,-41303000,-19071000,-7581000,-8558000,-22996000,-10878000,-11935000,-24010000,-21279000
24,Net Income ratio,-1.5396,-1.5386,-0.8940,-0.2447,-0.0797,-0.1336,-0.3495,-1.2939,-0.5401,-0.1813,-0.1752,-0.4597,-0.1795,-0.1743,-0.3477,-0.2031
25,EPS,-6.88,-14.36,-16.63,-0.73,-0.35,-0.46,-0.84,-1.08,-0.50,-0.19,-0.21,-0.50,-0.21,-0.21,-0.40,-0.33
26,EPS Diluted,-6.88,-14.36,-16.63,-0.73,-0.35,-0.46,-0.84,-1.08,-0.50,-0.19,-0.21,-0.50,-0.21,-0.21,-0.40,-0.31
27,Weighted Average Shares Outstanding,2714000,2714000,2714000,26857000,24594000,35674000,36768000,38231000,38209000,39438000,40629000,46228000,52205000,56525000,59360000,64628000
28,Weighted Average Shares Outstanding Diluted,2714000,2714000,2714000,26857000,24594000,35674000,36768000,38231000,38209000,39438000,40629000,46228000,52205000,56525000,59360000,67741000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1200375/000119312511030827/0001193125-11-030827-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000119312512096779/0001193125-12-096779-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000144530513000770/0001445305-13-000770-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037514000011/0001200375-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037515000008/0001200375-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037516000052/0001200375-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037517000007/0001200375-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037518000009/0001200375-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037519000005/0001200375-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037520000008/0001200375-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037521000021/0001200375-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037522000010/0001200375-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,32246000,55075000,21903000,31785000,72396000,25762000,32003000,22130000,26487000,23273000,19240000,31219000,53039000,90498000,149117000,116797000
32,Short-Term Investments,- -,28995000,15227000,23778000,- -,27720000,13524000,3005000,- -,- -,- -,- -,- -,- -,1000000,- -
33,Cash and Short-Term Investments,32246000,84070000,37130000,55563000,72396000,53482000,45527000,25135000,26487000,23273000,19240000,31219000,53039000,90498000,150117000,116797000
34,Net Receivables,2754000,6432000,6193000,7246000,15333000,18917000,7545000,5413000,3870000,7329000,5924000,11800000,13502000,20155000,29288000,37652000
35,Inventory,970000,1635000,2976000,2915000,2817000,4488000,1302000,1487000,1395000,992000,825000,1036000,589000,371000,964000,1160000
36,Other Current Assets,674000,1209000,2035000,1658000,1646000,2345000,5395000,3746000,1255000,1245000,1238000,984000,1068000,3181000,4054000,6279000
37,Total Current Assets,36644000,93346000,48334000,67382000,92192000,79232000,59769000,35781000,33007000,32839000,27227000,45039000,68198000,114205000,184423000,161888000
38,PP&E,4501000,11099000,16006000,21581000,21452000,24176000,16650000,8446000,3995000,3109000,2155000,2815000,4759000,30387000,31176000,65457000
39,Goodwill,1926000,3099000,3137000,3241000,3241000,3241000,3241000,3241000,3241000,3241000,3241000,3241000,3241000,3241000,3241000,3241000
40,Intangible Assets,2324000,2783000,1793000,928000,20158000,16442000,12934000,9560000,6186000,2812000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,4250000,5882000,4930000,4169000,23399000,19683000,16175000,12801000,9427000,6053000,3241000,3241000,3241000,3241000,3241000,3241000
42,Investments,- -,- -,- -,- -,2000000,10348000,3623000,795000,688000,1549000,1142000,671000,588000,- -,1450000,14002000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1264000,3214000,1612000,5904000,2257000,2483000,3748000,1017000,1005000,1097000,1883000,1859000,2497000,1240000,1356000,1795000
45,Total Non-Current Assets,10015000,20195000,22548000,31654000,49108000,56690000,40196000,23059000,15115000,11808000,8421000,8586000,11085000,34868000,37223000,84495000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46659000,113541000,70882000,99036000,141300000,135922000,99965000,58840000,48122000,44647000,35648000,53625000,79283000,149073000,221646000,246383000
48,Accounts Payable,2491000,4225000,9166000,9999000,9208000,10364000,3654000,3961000,4673000,3399000,4232000,3545000,3050000,2621000,2970000,2995000
49,Short-Term Debt,1560000,4507000,5194000,5368000,- -,- -,- -,- -,- -,425000,425000,425000,425000,1167000,2627000,4093000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,4327000,5510000,10583000,15401000,4539000,3789000,2186000,2001000,3497000,6098000,1710000,12292000,4936000,57000,1824000,2586000
52,Other Current Liabilities,5294000,19935000,17458000,18208000,13737000,14139000,10443000,5237000,5565000,4919000,6000000,8690000,9702000,11543000,17560000,23697000
53,Total Current Liabilities,13672000,34177000,42401000,48976000,27484000,28292000,16283000,11199000,13735000,14841000,12367000,24952000,18113000,15388000,24981000,33371000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1627000,43561000
55,Deferred Revenue,3145000,18865000,13632000,9343000,5074000,1485000,1299000,1114000,3813000,3120000,1066000,1501000,3352000,1987000,2967000,3749000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,82608000,147967000,143973000,3881000,1381000,3455000,3943000,5044000,4263000,3807000,3116000,2625000,1512000,26181000,25222000,1311000
58,Total Non-Current Liabilities,85753000,166832000,157605000,13224000,6455000,4940000,5242000,6158000,8076000,6927000,4182000,4126000,4864000,28168000,26562000,48621000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,4073000,17407000,13348000,7942000,- -,- -,- -,- -,- -,425000,425000,727000,486000,26118000,24951000,47654000
61,Total Liabilities,99425000,201009000,200006000,62200000,33939000,33232000,21525000,17357000,21811000,21768000,16549000,29078000,22977000,43556000,51543000,81992000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3000,4000,4000,4000,4000,4000,4000,4000,5000,5000,6000,6000,6000
64,Retained Earnings,-55215000,-94192000,-139319000,-159608000,-168149000,-184699000,-215556000,-256859000,-275930000,-283511000,-292069000,-315065000,-330474000,-342409000,-366419000,-387698000
65,Other Comprehensive Income/Loss,-52000,537000,139000,-252000,-34000,-407000,-136000,-32000,-142000,405000,- -,-472000,- -,-33251000,- -,- -
66,Other Total Stockholders Equity,10097000,15831000,22901000,196693000,275540000,287792000,294128000,298370000,302379000,305981000,311164000,340079000,386775000,481171000,536516000,- -
67,Total Stockholders Equity,-52766000,-87468000,-129124000,36836000,107361000,102690000,78440000,41483000,26311000,22879000,19099000,24547000,56306000,105517000,170103000,164391000
68,Total Liabilities And Stockholders Equity,46659000,113541000,70882000,99036000,141300000,135922000,99965000,58840000,48122000,44647000,35648000,53625000,79283000,149073000,221646000,246383000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46659000,113541000,70882000,99036000,141300000,135922000,99965000,58840000,48122000,44647000,35648000,53625000,79283000,149073000,221646000,246383000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1200375/000119312511030827/0001193125-11-030827-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000119312512096779/0001193125-12-096779-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000144530513000770/0001445305-13-000770-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037514000011/0001200375-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037515000008/0001200375-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037516000052/0001200375-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037517000007/0001200375-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037518000009/0001200375-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037519000005/0001200375-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037520000008/0001200375-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037521000021/0001200375-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037522000010/0001200375-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-18671000,-38977000,-45127000,-20289000,-8541000,-16550000,-30857000,-41303000,-19071000,-7581000,-8558000,-22996000,-10878000,-11935000,-24010000,-21279000
74,Depreciation and Amortization,2387000,2884000,4563000,6129000,8309000,11471000,12417000,10318000,6685000,5409000,4546000,1042000,1147000,4557000,4554000,5947000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-314000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,64000,1256000,3460000,4822000,8737000,9431000,5076000,4389000,4620000,5126000,5673000,7091000,7889000,6943000,7728000,11593000
77,Change in Working Capital,2699000,36197000,-53236000,12473000,46302000,-13768000,-7454000,-18904000,-5310000,-1274000,-3138000,5227000,29998000,48732000,60625000,-30925000
78,Accounts Receivable,369000,-3146000,226000,-1054000,-8087000,-3583000,11372000,1629000,1587000,-3459000,1405000,-5651000,960000,2522000,- -,- -
79,Inventory,-354000,-283000,-1382000,58000,98000,-1671000,3186000,-185000,92000,403000,167000,-210000,447000,217000,-593000,-196000
80,Accounts Payable,1409000,1169000,4941000,189000,-791000,1156000,-6710000,308000,713000,-1274000,942000,-801000,-524000,-428000,101000,268000
81,Other Working Capital,22972000,59169000,5933000,18406000,64708000,50940000,43486000,24582000,19272000,17998000,14860000,20087000,50085000,98817000,159442000,128517000
82,Other Non-Cash Items,234000,-7830000,54024000,-11821000,-71190000,8926000,8926000,22502000,13397000,-1799000,-1224000,873000,-42250000,-60857000,-65361000,20397000
83,Cash Provided by Operating Activities,-13287000,-6470000,-36316000,-8686000,-16383000,-490000,-11892000,-22998000,321000,-433000,-2701000,-8763000,-14094000,-12560000,-16464000,-14267000
84,CAPEX,-1102000,-8245000,-8537000,-10797000,-27695000,-10736000,-2933000,-1175000,-302000,-1199000,-888000,-985000,-2768000,-3730000,-3748000,2533000
85,Acquisitions Net,- -,-1168000,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-42267000,-47821000,-38434000,-49051000,-52564000,-20638000,- -,- -,- -,- -,- -,- -,- -,-2000000,- -
87,Sales/Maturities of Investments,1500000,13772000,62143000,27980000,72300000,14537000,40282000,13409000,3000000,- -,- -,- -,- -,62000,- -,- -
88,Other Investing Activites,-193000,-1301000,1271000,193000,-21425000,-45000,- -,1038000,449000,-58000,46000,77000,2000,3000,- -,-7594000
89,Cash Used for Investing Activites,205000,-39209000,7056000,-21058000,-5166000,-48808000,16711000,13272000,4647000,-1257000,-842000,-908000,-2766000,-3665000,-5748000,-21422000
90,Debt Repayment,-1090000,-1485000,-4264000,-6087000,-8026000,- -,- -,- -,- -,- -,- -,-175000,-238000,-242000,-60000,-1206000
91,Common Stock Issued,- -,- -,- -,- -,72541000,- -,- -,- -,9000,- -,- -,23782000,37497000,50000000,86250000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40804000,69861000,378000,46084000,-2276000,2579000,1257000,-147000,-620000,-1524000,-490000,-1957000,1310000,4203000,-5382000,4973000
95,Cash Used/Provided by Financing Activities,39714000,68376000,-3886000,39997000,62239000,2579000,1257000,-147000,-611000,-1524000,-490000,21650000,38569000,53961000,80808000,3767000
96,Effect of Forex Changes on Cash,109000,132000,-26000,-371000,-79000,85000,165000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,26741000,22829000,-33172000,9882000,40611000,-46634000,6241000,-9873000,4357000,-3214000,-4033000,11979000,21709000,37736000,58596000,-31922000
98,Cash at the End of Period,32246000,55075000,21903000,31785000,72396000,25762000,32003000,22130000,26487000,23273000,19240000,31219000,54485000,92221000,150817000,118895000
99,Cash at the Beginning of Period,5505000,32246000,55075000,21903000,31785000,72396000,25762000,32003000,22130000,26487000,23273000,19240000,32776000,54485000,92221000,150817000
100,Free Cash Flow,-14389000,-14715000,-44853000,-19483000,-44078000,-11226000,-14825000,-24173000,19000,-1632000,-3589000,-9748000,-16862000,-16290000,-20212000,-11734000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1200375/000119312511030827/0001193125-11-030827-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000119312512096779/0001193125-12-096779-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000144530513000770/0001445305-13-000770-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037514000011/0001200375-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037515000008/0001200375-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037516000052/0001200375-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037517000007/0001200375-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037518000009/0001200375-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037519000005/0001200375-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037520000008/0001200375-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037521000021/0001200375-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1200375/000120037522000010/0001200375-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,
