,https://roic.ai/company/SRC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.2244,-0.2587,-0.1804,-0.2468,-0.0764,-0.0833,0.0385,0.0671,0.0186,0.3354,0.3617,0.0558,0.2832
22,Income Tax expense (Gain),- -,- -,- -,- -,3346000,239000,-60000,504000,1113000,673000,601000,965000,394000,792000,11501000,273000,-607000
23,Net Income,27819000,52360000,- -,- -,-122683000,-86537000,-63863000,-76233000,1677000,-33799000,114730000,97446000,77148000,132052000,175266000,26708000,171702000
24,Net Income ratio,0.3292,0.2777,- -,- -,-0.4373,-0.2933,-0.2318,-0.2697,0.0040,-0.0561,0.1719,0.1421,0.1153,0.2967,0.3394,0.0552,0.2822
25,EPS,1.08,1.55,- -,- -,-12.44,-2.10,-6.48,-4.86,0.03,-0.45,1.30,1.05,0.80,1.41,1.81,0.15,1.43
26,EPS Diluted,1.08,1.52,- -,- -,-12.44,-2.10,-6.48,-4.86,0.03,-0.45,1.30,1.05,0.80,1.39,1.81,0.15,1.43
27,Weighted Average Shares Outstanding,25615883,34033691,- -,- -,9853140,80062339,9853140,15725020,51004113,77361949,86444590,93843555,93586989,86321268,90621808,104357660,119775871
28,Weighted Average Shares Outstanding Diluted,25700609,34147058,- -,- -,9853140,80062757,9853140,15725020,51004113,77361949,86509125,93849253,93588557,86476449,90869312,104535384,120302158
29,SEC Link,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308606/000130860618000012/0001308606-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000130860619000035/0001308606-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000119312520047353/0001193125-20-047353-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000119312521048278/0001193125-21-048278-index.htm,https://www.sec.gov/Archives/edgar/data/1308606/000156459022004951/0001564590-22-004951-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30536000,52317000,- -,- -,- -,88341000,49536000,73568000,66588000,176181000,21790000,10059000,8798000,14493000,14492000,70303000,17799000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6445527000
33,Cash and Short-Term Investments,30536000,52317000,- -,- -,- -,88341000,49536000,73568000,66588000,176181000,21790000,10059000,8798000,14493000,14492000,70303000,6463326000
34,Net Receivables,59008000,75173000,- -,- -,- -,73626000,65477000,51862000,117721000,109425000,104003000,66578000,79967000,47044000,34465000,- -,10450000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,27576000,34916000,5898000,19611000,119912000,85145000,160570000,48929000,18203000,1144000,25821000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,189543000,149929000,131328000,203920000,405518000,210938000,237207000,137694000,79740000,50101000,96124000,6473776000
38,PP&E,1382853000,2667127000,- -,- -,- -,2982303000,2867302000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,291421000,291421000,291421000,254340000,254340000,225600000,225600000,225600000,225600000
40,Intangible Assets,- -,- -,- -,- -,- -,224996000,204696000,187362000,618121000,590073000,526718000,470276000,409903000,294463000,385079000,367989000,426972000
41,Intangible Assets,21395000,24313000,- -,- -,- -,224996000,204696000,187362000,909542000,881494000,818139000,724616000,664243000,520063000,610679000,593589000,652572000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2392880000,183535000,- -,- -,453128000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,9634000,2928987000,6117583000,6729989000,6889919000,6716148000,4068694000,4312978000,5171881000,5707073000,-453128000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,3207299000,3081632000,3116349000,7027125000,7611483000,7708058000,7440764000,7125817000,5016576000,5782560000,6300662000,652572000
46,Other Assets,1513425000,2856590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1513425000,2856590000,- -,- -,- -,3396842000,3231561000,3247677000,7231045000,8017001000,7918996000,7677971000,7263511000,5096316000,5832661000,6396786000,6445527000
48,Accounts Payable,11639000,15885000,- -,- -,- -,- -,- -,53753000,114679000,123298000,142475000,148915000,148919000,119768000,- -,167423000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000000,- -,116500000,212582000,3140669000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,2007741000,1933245000,- -,35120000,15181000,- -,86000000,-112000000,- -,22560000,-212582000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,2007741000,1933245000,53753000,149799000,138479000,142475000,234915000,148919000,119768000,139060000,167423000,3140669000
54,Long-Term Debt,894784000,1799374000,- -,- -,- -,799000000,725735000,1894878000,3743098000,4354453000,4092787000,3578628000,3639680000,2054637000,2153017000,2506341000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,46221000,45603000,220114000,205968000,193903000,182320000,155303000,120162000,127335000,121902000,190402000
58,Total Non-Current Liabilities,894784000,1799374000,- -,- -,- -,799000000,771956000,1940481000,3963212000,4560421000,4286690000,3760948000,3794983000,2174799000,2280352000,2628243000,190402000
59,Other Liabilities,1815416000,3661939000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,45603000,220114000,205968000,193903000,182320000,155303000,120162000,127335000,- -,- -
61,Total Liabilities,920632000,1862565000,- -,- -,- -,2806741000,2705201000,1994234000,4113011000,4698900000,4429165000,3995863000,3943902000,2294567000,2419412000,2795666000,3331071000
62,Preferred Stock,- -,- -,- -,- -,- -,84000,84000,- -,- -,- -,- -,- -,166193000,166177000,166177000,166177000,- -
63,Common Stock,677000,1075000,- -,- -,- -,- -,259000,849000,3706000,4118000,4418000,4836000,4489000,4289000,5124000,5741000,6679825000
64,Retained Earnings,-33607000,-63787000,- -,- -,- -,-402854000,-470496000,-575034000,-742915000,-1041392000,-1234882000,-1499814000,-2044704000,-2357255000,-2432838000,-2688647000,-2840356000
65,Other Comprehensive Income/Loss,-22729000,-63871000,- -,- -,- -,-319946000,-405426000,- -,- -,- -,- -,- -,- -,-7000000,-11000000,-9000000,-5847000
66,Other Total Stockholders Equity,648452000,1120608000,- -,- -,- -,1312901000,1401939000,1827628000,3857243000,4355375000,4720295000,5177086000,5193631000,4995538000,5685786000,6126849000,166177000
67,Total Stockholders Equity,592793000,994025000,- -,- -,- -,590101000,526360000,1253443000,3118034000,3318101000,3489831000,3682108000,3319609000,2801749000,3413249000,3601120000,3999799000
68,Total Liabilities And Stockholders Equity,1513425000,2856590000,- -,- -,- -,3396842000,3231561000,3247677000,7231045000,8017001000,7918996000,7677971000,7263511000,5096316000,5832661000,6396786000,7330870000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-885343000
70,Total Liabilities & Equity,1513425000,2856590000,- -,- -,- -,3396842000,3231561000,3247677000,7231045000,8017001000,7918996000,7677971000,7263511000,5096316000,5832661000,6396786000,6445527000
71,SEC Link,- -,- -,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308606/000130860618000012/0001308606-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000130860619000035/0001308606-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000119312520047353/0001193125-20-047353-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000119312521048278/0001193125-21-048278-index.htm,https://www.sec.gov/Archives/edgar/data/1308606/000156459022004951/0001564590-22-004951-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,27819000,52360000,- -,- -,-122683000,-86537000,-63863000,-76233000,1677000,-33799000,114730000,97446000,77148000,132052000,175266000,26708000,171702000
74,Depreciation and Amortization,20477000,44073000,- -,- -,118745000,113648000,111870000,112100000,167599000,247966000,260633000,262276000,256019000,197913000,175465000,212620000,244624000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5931000,8769000,11346000,13321000,9570000,16560000,15114000,14277000,12640000,14003000
77,Change in Working Capital,- -,- -,- -,- -,- -,-1818198000,34882000,1860891000,-23454000,212918000,-198576000,-66171000,-13517000,-28803000,-48931000,17660000,3404406000
78,Accounts Receivable,- -,- -,- -,- -,-2939000,-2214000,-42000,418000,- -,- -,- -,- -,- -,- -,- -,31771000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-2163000,-2206000,2178000,13382000,6308000,1578000,9797000,- -,19440000,5430000
81,Other Working Capital,- -,- -,- -,- -,- -,-1818198000,-1783316000,77575000,54121000,267039000,68463000,2292000,-11225000,-40028000,-88959000,-71299000,3333107000
82,Other Non-Cash Items,5996000,2585000,- -,- -,50791000,1880954000,11538000,-1790916000,-16487000,-219860000,181878000,58288000,50183000,20089000,22976000,44684000,-3423602000
83,Cash Provided by Operating Activities,54292000,99018000,- -,- -,46853000,89867000,94427000,111773000,138104000,218571000,371986000,361409000,386393000,336365000,339053000,314312000,411133000
84,CAPEX,-802580000,-1374771000,- -,- -,-366000,- -,-36643000,- -,- -,- -,-10269000,-27078000,192562000,-163049000,-1041919000,-12659000,-21957000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-21782000,- -,- -,-4384000,-3682000,- -,-3743000,- -,- -,-4020000,-5073000,-4995000,-35450000,- -,- -,- -
87,Sales/Maturities of Investments,57365000,- -,- -,- -,11818000,- -,- -,- -,- -,- -,- -,- -,- -,- -,33535000,- -,- -
88,Other Investing Activites,-18216000,81993000,- -,- -,176849000,72517000,12959000,-105571000,-159593000,-878030000,-381676000,-112178000,87937000,-185012000,-928534000,-747750000,-1169827000
89,Cash Used for Investing Activites,-763431000,-1314560000,- -,- -,183917000,68835000,-23684000,-109314000,-159593000,-878030000,-385696000,-117251000,82942000,-220462000,-894999000,-747750000,-1169827000
90,Debt Repayment,-494673000,-461116000,- -,- -,-232773000,-135883000,-108565000,-445912000,-803268000,-1506634000,-1325667000,-2558836000,-1555510000,-962219000,-2961549000,-1652175000,- -
91,Common Stock Issued,40117000,427747000,- -,- -,- -,- -,- -,457115000,- -,434984000,347211000,446613000,- -,2972000,677428000,428272000,533868000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-139000,-1942000,-2920000,-4272000,-753000,-286631000,-170568000,-2541000,-4381000,-4395000
93,Dividends Paid,-45677000,-73096000,- -,- -,-4400000,-16000,-3885000,-8000,-136091000,-255771000,-292262000,-323640000,-341704000,-300575000,-236872000,-270838000,-298097000
94,Other Financing Activites,1126683000,1343788000,- -,- -,-5159000,466000,2902000,10517000,955810000,2099393000,1134309000,2180727000,1713249000,1277201000,3028082000,1989835000,461819000
95,Cash Used/Provided by Financing Activities,626450000,1237323000,- -,- -,-242332000,-135433000,-109548000,21573000,14509000,769052000,-140681000,-255889000,-470596000,-153189000,504548000,490713000,693195000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-82689000,21781000,- -,- -,-11562000,23269000,-38805000,24032000,-6980000,109593000,-154391000,-11731000,-1261000,-37286000,-51398000,57275000,-65499000
98,Cash at the End of Period,30536000,52317000,- -,- -,65072000,88341000,49536000,73568000,66588000,176181000,21790000,10059000,8798000,77421000,26023000,83298000,17799000
99,Cash at the Beginning of Period,113225000,30536000,- -,- -,76634000,65072000,88341000,49536000,73568000,66588000,176181000,21790000,10059000,114707000,77421000,26023000,83298000
100,Free Cash Flow,-748288000,-1275753000,- -,- -,46487000,89867000,57784000,111773000,138104000,218571000,361717000,334331000,340293000,283975000,291401000,301653000,389176000
101,SEC Link,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308606/000130860618000012/0001308606-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000130860619000035/0001308606-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000119312520047353/0001193125-20-047353-index.html,https://www.sec.gov/Archives/edgar/data/1308606/000119312521048278/0001193125-21-048278-index.htm,https://www.sec.gov/Archives/edgar/data/1308606/000156459022004951/0001564590-22-004951-index.htm
102,false,,,,,,,,,,,,,,,,,
