,https://roic.ai/company/FDP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,78100000,107300000,116800000,93800000,183900000,275500000,305300000,197900000,187300000,-61800000,262100000,261500000,- -,151000000,178500000,228400000,55600000,233200000,- -,319500000,232000000,118300000,211200000,- -,198500000
16,EBITDA ratio,0.0646,0.0671,0.0670,0.0504,0.0954,0.1318,0.1228,0.0681,0.0575,-0.0192,0.0779,0.0741,- -,0.0425,0.0497,0.0668,0.0151,0.0594,- -,0.0796,0.0568,0.0263,0.0470,- -,0.0467
17,Operating Income,94800000,134700000,84500000,82600000,164900000,214400000,220400000,128300000,117500000,-120400000,175600000,163100000,- -,77500000,115900000,161400000,-28100000,173500000,- -,244200000,152700000,38600000,114100000,- -,111000000
18,Operating Income ratio,0.0785,0.0842,0.0485,0.0444,0.0855,0.1026,0.0886,0.0442,0.0360,-0.0375,0.0522,0.0462,- -,0.0218,0.0323,0.0472,-0.0076,0.0442,- -,0.0609,0.0374,0.0086,0.0254,- -,0.0261
19,Total Other Income Expenses (Gains),-26900000,-45100000,-12900000,-46600000,-42200000,5500000,21900000,-1300000,-19200000,-25200000,5600000,-600000,- -,-17400000,-15400000,-4200000,11400000,-14600000,- -,-6800000,-8600000,-38400000,-23400000,- -,-29100000
20,Income Before Tax,67900000,89600000,71600000,36000000,122700000,219900000,242300000,127000000,98300000,-145600000,181200000,162500000,- -,60100000,100500000,157200000,-16700000,158900000,- -,237400000,144100000,200000,90700000,- -,81900000
21,Income Before Tax Ratio,0.0562,0.0560,0.0411,0.0194,0.0636,0.1052,0.0974,0.0437,0.0302,-0.0453,0.0538,0.0460,- -,0.0169,0.0280,0.0459,-0.0045,0.0405,- -,0.0592,0.0353,0.0000,0.0202,- -,0.0193
22,Income Tax expense (Gain),13700000,12200000,14700000,2900000,26500000,18600000,15900000,-12200000,-8300000,-500000,1400000,4000000,- -,-700000,5700000,12200000,17200000,14300000,- -,11800000,24900000,16100000,21400000,- -,2000000
23,Net Income,43800000,59300000,56900000,33100000,96200000,195200000,226400000,139200000,106600000,-145100000,179800000,157700000,- -,62200000,92500000,143200000,-34400000,142400000,- -,225100000,120800000,-21900000,66500000,- -,80000000
24,Net Income ratio,0.0362,0.0371,0.0326,0.0178,0.0499,0.0934,0.0910,0.0479,0.0327,-0.0451,0.0534,0.0447,- -,0.0175,0.0258,0.0419,-0.0093,0.0363,- -,0.0561,0.0296,-0.0049,0.0148,- -,0.0188
25,EPS,0.56,1.10,1.06,0.62,1.79,3.52,4.00,2.42,1.84,-2.51,3.07,2.49,- -,1.03,1.57,2.47,-0.66,2.54,- -,4.37,2.40,-0.45,1.38,- -,1.68
26,EPS Diluted,0.56,1.10,1.06,0.62,1.77,3.45,3.95,2.41,1.84,-2.51,3.06,2.48,- -,1.02,1.56,2.46,-0.66,2.53,- -,4.33,2.39,-0.45,1.37,- -,1.68
27,Weighted Average Shares Outstanding,12766000,53909091,53763600,53763600,53856392,55445106,56539691,57487131,57926466,57819416,58490281,63344941,- -,60535978,58893832,57937245,56426294,55966531,- -,51507755,50247881,48625175,48291345,- -,47508208
28,Weighted Average Shares Outstanding Diluted,12766000,53909091,53805237,53764383,54414868,56538659,57346377,57803158,58077282,57819416,58772718,63607786,- -,60710939,59163282,58121501,56426294,56347092,- -,51962195,50588708,48625175,48394113,- -,47701397
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047340/000119312509036277/0001193125-09-036277-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000115752311001275/a6627262.htm,https://www.sec.gov/Archives/edgar/data/1047340/000144530512000501/0001445305-12-000501-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000144530513000252/0001445305-13-000252-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734014000013/fdp-122713x10k.htm,https://www.sec.gov/Archives/edgar/data/1047340/000104734015000048/fdp-122614x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000104734017000020/0001047340-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734018000030/0001047340-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734019000023/0001047340-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734020000020/0001047340-20-000020-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000104734022000022/0001047340-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,79400000,32800000,31200000,10600000,13000000,9500000,51000000,42100000,24500000,39800000,30200000,27600000,- -,49100000,46900000,39900000,42500000,34100000,- -,20100000,25100000,21300000,33300000,- -,16100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,79400000,32800000,31200000,10600000,13000000,9500000,51000000,42100000,24500000,39800000,30200000,27600000,- -,49100000,46900000,39900000,42500000,34100000,- -,20100000,25100000,21300000,33300000,- -,16100000
34,Net Receivables,101300000,112700000,136400000,142700000,180900000,197100000,236300000,330700000,348000000,326100000,413900000,410000000,- -,377200000,354600000,354500000,398100000,413600000,- -,412200000,432400000,473500000,439000000,- -,437300000
35,Inventory,117400000,159800000,198900000,188800000,178500000,188400000,215100000,347300000,388700000,405300000,406900000,459800000,- -,410400000,428900000,482800000,533100000,516100000,- -,493200000,541800000,565300000,551800000,- -,602800000
36,Other Current Assets,8300000,90600000,65700000,62800000,9500000,14200000,10600000,22200000,62600000,58200000,36900000,77200000,- -,44600000,61600000,48800000,41900000,77100000,- -,35600000,20500000,78700000,27400000,- -,40200000
37,Total Current Assets,306400000,395900000,432200000,404900000,381900000,409200000,513000000,742300000,823800000,829400000,887900000,974600000,- -,881300000,892000000,926000000,1015600000,1040900000,- -,961100000,1019800000,1138800000,1051500000,- -,1096400000
38,PP&E,313100000,503500000,590600000,635600000,658100000,703900000,741000000,914700000,893000000,840500000,851800000,1085200000,- -,1033100000,1022900000,1024600000,1101200000,1170200000,- -,1272000000,1328300000,1392200000,1565300000,- -,1614800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,251900000,253200000,401100000,- -,406400000,402300000,405600000,331400000,330500000,- -,260900000,261900000,423400000,423700000,- -,423700000
40,Intangible Assets,66300000,49100000,79400000,81500000,77000000,81900000,168500000,248700000,249300000,- -,79900000,85800000,- -,- -,74600000,- -,- -,- -,- -,- -,- -,166900000,158200000,- -,142800000
41,Intangible Assets,66300000,49100000,79400000,81500000,77000000,81900000,168500000,248700000,249300000,251900000,333100000,486900000,- -,406400000,476900000,405600000,331400000,330500000,- -,260900000,261900000,590300000,581900000,- -,566500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -,4000000,2300000,2000000,2100000,2000000,- -,2000000,2000000,6100000,1900000,- -,8700000
43,Tax Assets,- -,- -,- -,- -,- -,22500000,27500000,33400000,38000000,47100000,63800000,92400000,- -,57200000,79600000,77700000,79200000,74000000,- -,91700000,86300000,93000000,129500000,- -,53800000
44,Other Non-Current Assets,55300000,85500000,114000000,99600000,79900000,45300000,41200000,118900000,120700000,113300000,49100000,3900000,- -,135700000,30300000,97500000,59700000,57700000,- -,65600000,68600000,34800000,19800000,- -,57900000
45,Total Non-Current Assets,434700000,638100000,784000000,816700000,815000000,853600000,978200000,1315700000,1301000000,1252800000,1297800000,1676400000,- -,1636400000,1612000000,1607400000,1573600000,1634400000,- -,1692200000,1747100000,2116400000,2298400000,- -,2301700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,741100000,1034000000,1216200000,1221600000,1196900000,1262800000,1491200000,2058000000,2124800000,2082200000,2185700000,2651000000,- -,2517700000,2504000000,2533400000,2589200000,2675300000,- -,2653300000,2766900000,3255200000,3349900000,- -,3398100000
48,Accounts Payable,132900000,194800000,195200000,187100000,186200000,231000000,325800000,398300000,371100000,146700000,151100000,172500000,- -,331900000,175200000,144300000,156300000,167100000,- -,162500000,182900000,330800000,284900000,- -,320000000
49,Short-Term Debt,- -,- -,- -,- -,- -,40000000,14000000,15800000,11700000,7800000,6900000,358000000,- -,5300000,2200000,2700000,2800000,2200000,- -,600000,600000,500000,32800000,- -,38300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800000,- -,2800000,8700000,10400000,8100000,6800000,- -,8000000,10800000,8900000,7900000,- -,10800000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,- -,- -,12000000,11000000,10000000,12000000,- -,66000000,59000000,68000000,100000000,- -,- -
52,Other Current Liabilities,9200000,23900000,33300000,60900000,63800000,34800000,30100000,28300000,24800000,249700000,238700000,224900000,- -,30300000,180400000,204500000,213500000,228100000,- -,140000000,151300000,186700000,145200000,- -,270900000
53,Total Current Liabilities,142100000,218700000,228500000,248000000,250000000,305800000,369900000,442400000,407600000,404200000,396700000,774400000,- -,367500000,369800000,362500000,382600000,409400000,- -,369100000,393800000,586000000,562900000,- -,629200000
54,Long-Term Debt,221600000,337000000,476000000,434000000,267400000,31100000,14500000,347700000,349100000,462100000,231700000,154800000,- -,290300000,213300000,123500000,248600000,264700000,- -,231700000,357000000,661900000,586800000,- -,663700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,14100000,5300000,11300000,8500000,7700000,26000000,31400000,53000000,65900000,68100000,85600000,- -,- -,82300000,79600000,77700000,79200000,74000000,- -,91700000,86300000,93000000,129500000,- -,69600000
57,Other Non-Current Liabilities,95200000,78900000,62600000,62800000,109000000,132100000,129500000,137700000,139100000,123900000,92100000,224900000,- -,146100000,151900000,174000000,165700000,179300000,- -,169000000,162400000,222300000,351500000,- -,211600000
58,Total Non-Current Liabilities,330900000,421200000,549900000,505300000,384100000,189200000,175400000,538400000,554100000,654100000,409400000,379700000,- -,518700000,444800000,375200000,493500000,518000000,- -,492400000,605700000,977200000,1067800000,- -,944900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,16200000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,600000,700000,1000000,- -,1800000,1400000,1100000,135200000,- -,173000000
61,Total Liabilities,473000000,639900000,778400000,753300000,634100000,495000000,545300000,980800000,961700000,1058300000,806100000,1154100000,- -,886200000,814600000,737700000,876100000,927400000,- -,861500000,999500000,1563200000,1630700000,- -,1574100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,500000,500000,500000,500000,500000,600000,600000,600000,600000,600000,600000,600000,- -,600000,600000,600000,600000,500000,- -,500000,500000,500000,500000,- -,500000
64,Retained Earnings,20600000,57800000,107100000,140200000,236400000,420500000,621400000,714600000,774900000,612500000,806900000,964600000,- -,1167800000,1206800000,1316300000,1185800000,1198400000,- -,1285800000,1275000000,1206000000,1252700000,- -,1327700000
65,Other Comprehensive Income/Loss,-14600000,-96100000,-132500000,-170500000,-210000000,-16900000,-47100000,-22900000,-3100000,17000000,39300000,-18100000,- -,-24100000,-1600000,-24900000,-3400000,2600000,- -,-44200000,-30600000,-41600000,-65400000,- -,-66900000
66,Other Total Stockholders Equity,261600000,431900000,462700000,498100000,535900000,355300000,367300000,376900000,380500000,381600000,518000000,549800000,- -,462900000,483600000,503700000,530100000,546400000,- -,549700000,522500000,527100000,531400000,- -,541000000
67,Total Stockholders Equity,268100000,394100000,437800000,468300000,562800000,759500000,942200000,1069200000,1152900000,1011700000,1364800000,1496900000,- -,1607200000,1689400000,1795700000,1713100000,1747900000,- -,1791800000,1767400000,1692000000,1719200000,- -,1802300000
68,Total Liabilities And Stockholders Equity,741100000,1034000000,1216200000,1221600000,1196900000,1254500000,1487500000,2050000000,2114600000,2070000000,2170900000,2651000000,- -,2493400000,2504000000,2533400000,2589200000,2675300000,- -,2653300000,2766900000,3255200000,3349900000,- -,3376400000
69,Minority Interest,- -,- -,- -,- -,- -,8300000,3700000,8000000,10200000,12200000,14800000,- -,- -,24300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21700000
70,Total Liabilities & Equity,741100000,1034000000,1216200000,1221600000,1196900000,1262800000,1491200000,2058000000,2124800000,2082200000,2185700000,2651000000,- -,2517700000,2504000000,2533400000,2589200000,2675300000,- -,2653300000,2766900000,3255200000,3349900000,- -,3398100000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047340/000119312509036277/0001193125-09-036277-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000115752311001275/a6627262.htm,https://www.sec.gov/Archives/edgar/data/1047340/000144530512000501/0001445305-12-000501-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000144530513000252/0001445305-13-000252-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734014000013/fdp-122713x10k.htm,https://www.sec.gov/Archives/edgar/data/1047340/000104734015000048/fdp-122614x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000104734017000020/0001047340-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734018000030/0001047340-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734019000023/0001047340-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734020000020/0001047340-20-000020-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000104734022000022/0001047340-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,43800000,59300000,56900000,33100000,96200000,195200000,226400000,139200000,106600000,-145100000,179800000,157700000,- -,62200000,92500000,143200000,-34400000,142400000,- -,225100000,120800000,-21900000,66500000,- -,80000000
74,Depreciation and Amortization,20600000,35800000,45200000,57800000,61200000,61700000,63000000,70900000,89000000,83800000,80900000,85300000,- -,78700000,73500000,70000000,69900000,73300000,- -,78500000,79900000,100500000,97900000,- -,96800000
75,Deferred Income Tax,- -,- -,6400000,-2800000,-800000,-400000,-1100000,7800000,-3700000,-6100000,4900000,-800000,- -,-3300000,-11200000,-6500000,7800000,4900000,- -,-8600000,2300000,3600000,4400000,- -,-12700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,- -,7500000,9200000,10300000,9900000,12400000,- -,24900000,12100000,11500000,8400000,- -,7600000
77,Change in Working Capital,14700000,12900000,26500000,-46800000,-25000000,-28500000,39700000,156800000,116300000,9000000,66000000,-291000000,- -,-29300000,8400000,41300000,69500000,-1500000,- -,-12000000,34000000,-73200000,-64200000,- -,-31800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-4100000,-22800000,-40300000,7400000,10500000,-11500000,-23200000,-14100000,-45100000,-19500000,-1900000,-38800000,- -,31100000,-21500000,-50600000,-50600000,8200000,- -,-11800000,-49400000,-2800000,8100000,- -,-105100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,164300000,177200000,203700000,156900000,131900000,103400000,143100000,299900000,416200000,425200000,491200000,200200000,- -,513800000,522200000,563500000,633000000,631500000,- -,592000000,626000000,552800000,488600000,- -,1700000
82,Other Non-Cash Items,3800000,-44000000,-96100000,57200000,98600000,83400000,-64000000,-217700000,-198200000,83700000,-179100000,254700000,- -,81600000,23300000,-85700000,-14000000,-800000,- -,23800000,-54900000,226100000,56100000,- -,-11400000
83,Cash Provided by Operating Activities,82900000,64000000,38900000,98500000,230200000,311400000,264000000,157000000,110000000,25300000,152500000,215600000,- -,197400000,195700000,172600000,108700000,230700000,- -,331700000,194200000,246600000,169100000,- -,128500000
84,CAPEX,-23200000,-65200000,-171300000,-78600000,-69700000,-63400000,-58100000,-94000000,-81100000,-102100000,-81400000,-101500000,- -,-70800000,-79400000,-79700000,-159500000,-149100000,- -,-146700000,-138500000,-150500000,-122300000,- -,-98500000
85,Acquisitions Net,- -,- -,- -,-9900000,- -,-41900000,-115800000,-320100000,-2000000,- -,- -,-414500000,- -,- -,- -,- -,-20600000,-12700000,- -,-9000000,- -,-361700000,- -,- -,-7000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,-11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,- -,8500000,7800000,- -,- -,- -,- -,- -,700000,- -,4600000
88,Other Investing Activites,-8300000,-3900000,-1000000,7300000,3100000,37000000,14500000,2100000,5000000,17800000,32600000,-85000000,- -,-54800000,-74700000,-69900000,-149100000,-147500000,- -,-134300000,-133800000,-133100000,-52900000,- -,-80100000
89,Cash Used for Investing Activites,-31500000,-69100000,-172300000,-81200000,-66600000,-68300000,-159400000,-412000000,-78100000,-84300000,-50800000,-499500000,- -,-50600000,-74700000,-72400000,-161900000,-160200000,- -,-143300000,-133800000,-494800000,-52200000,- -,-82500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-713800000,- -,-612800000,-663500000,-593400000,-567200000,-612500000,- -,-648400000,-673300000,-798600000,-814100000,- -,-726000000
91,Common Stock Issued,175300000,2600000,- -,- -,- -,24800000,12000000,4400000,3600000,300000,130800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-68500000,- -,- -,- -,- -,- -,- -,- -,- -,-5800000,- -,- -,- -,-108100000,-50000000,-12900000,-95500000,-131100000,- -,-108400000,-142000000,-29400000,-17900000,- -,- -
93,Dividends Paid,- -,-25000000,- -,- -,- -,-11100000,-25500000,-46000000,-46300000,-28900000,- -,- -,- -,-2900000,-17700000,-23200000,-28200000,-27900000,- -,-28200000,-30100000,-29000000,-6700000,- -,-23700000
94,Other Financing Activites,-105700000,-25800000,144500000,-37700000,-161600000,-262000000,-52700000,282300000,-8300000,108300000,-242300000,1007700000,- -,587100000,605500000,526000000,742100000,682800000,- -,592500000,791600000,1099000000,729800000,- -,696500000
95,Cash Used/Provided by Financing Activities,1100000,-48200000,144500000,-37700000,-161600000,-248300000,-66200000,240700000,-51000000,73900000,-111500000,293900000,- -,-136700000,-125700000,-103500000,51200000,-88700000,- -,-192500000,-53800000,242000000,-108900000,- -,-53200000
96,Effect of Forex Changes on Cash,1100000,400000,-12700000,-200000,400000,1700000,3100000,5400000,1500000,400000,200000,-12600000,- -,4500000,2500000,-3700000,4600000,9800000,- -,-700000,-1600000,2400000,4000000,- -,6800000
97,Net Change In Cash,53600000,-52900000,-1600000,-20600000,2400000,-3500000,41500000,-8900000,-17600000,15300000,-9600000,-2600000,- -,14600000,-2200000,-7000000,2600000,-8400000,- -,-4800000,5000000,-3800000,12000000,- -,-400000
98,Cash at the End of Period,79400000,32800000,31200000,10600000,13000000,9500000,51000000,42100000,24500000,39800000,30200000,27600000,- -,49100000,46900000,39900000,42500000,34100000,- -,20100000,25100000,21300000,33300000,- -,16100000
99,Cash at the Beginning of Period,25800000,85700000,32800000,31200000,10600000,13000000,9500000,51000000,42100000,24500000,39800000,30200000,- -,34500000,49100000,46900000,39900000,42500000,- -,24900000,20100000,25100000,21300000,- -,16500000
100,Free Cash Flow,59700000,-1200000,-132400000,19900000,160500000,248000000,205900000,63000000,28900000,-76800000,71100000,114100000,- -,126600000,116300000,92900000,-50800000,81600000,- -,185000000,55700000,96100000,46800000,- -,30000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047340/000119312509036277/0001193125-09-036277-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000115752311001275/a6627262.htm,https://www.sec.gov/Archives/edgar/data/1047340/000144530512000501/0001445305-12-000501-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000144530513000252/0001445305-13-000252-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734014000013/fdp-122713x10k.htm,https://www.sec.gov/Archives/edgar/data/1047340/000104734015000048/fdp-122614x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000104734017000020/0001047340-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734018000030/0001047340-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734019000023/0001047340-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1047340/000104734020000020/0001047340-20-000020-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1047340/000104734022000022/0001047340-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
