,https://roic.ai/company/CRWD,2017,2018,2019,2020,2021,2022
82,Other Non-Cash Items,5247000,96905000,18959000,-490303000,-490804000,706955000
83,Cash Provided by Operating Activities,-51998000,-58766000,-22968000,99943000,356566000,574784000
84,CAPEX,-12647000,-29755000,-42645000,-87487000,-63843000,-133009000
85,Acquisitions Net,- -,-6471000,- -,- -,-85517000,-414518000
86,Purchases of Investments,-12072000,-9559000,-199335000,-780701000,-86404000,-16309000
87,Sales/Maturities of Investments,12865000,17455000,99950000,238557000,731191000,- -
88,Other Investing Activites,-6056000,-6849000,-6794000,-7289000,-11044000,-21546000
89,Cash Used for Investing Activites,-11854000,-28330000,-142030000,-629631000,495427000,-564516000
90,Debt Repayment,-2400000,-19324000,-26158000,- -,- -,-219000
91,Common Stock Issued,- -,- -,- -,665092000,- -,15899000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19860000,146155000,216547000,41052000,800135000,56851000
95,Cash Used/Provided by Financing Activities,17460000,126831000,190389000,706144000,800135000,72531000
96,Effect of Forex Changes on Cash,- -,618000,-162000,-66000,1682000,-4774000
97,Net Change In Cash,-46392000,40353000,25229000,176390000,1653810000,78025000
98,Cash at the End of Period,22826000,63179000,88408000,264798000,1918608000,1996633000
99,Cash at the Beginning of Period,69218000,22826000,63179000,88408000,264798000,1918608000
100,Free Cash Flow,-64645000,-88521000,-65613000,12456000,292723000,441775000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000006/0001535527-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000007/0001535527-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000006/0001535527-22-000006-index.htm
102,false,,,,,,
