,https://roic.ai/company/HBB,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,26000000,20000000,35000000,35000000,98360000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,29615000,28879000,23088000,12501000,13633000,116049000
58,Total Non-Current Liabilities,- -,55615000,48879000,58088000,47501000,111993000,116049000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,245565000,279825000,264989000,248181000,311063000,280225000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,136000,137000,139000,141000,143000
64,Retained Earnings,- -,6738000,12603000,30897000,22524000,44915000,60753000
65,Other Comprehensive Income/Loss,- -,-62927000,-14000000,-17310000,-16000000,-17476000,-14243000
66,Other Total Stockholders Equity,- -,121457000,47669000,51714000,48396000,52525000,55626000
67,Total Stockholders Equity,- -,65268000,46408000,65438000,55059000,80105000,102279000
68,Total Liabilities And Stockholders Equity,- -,310833000,326233000,330427000,303240000,391168000,382504000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,310833000,326233000,330427000,303240000,391168000,382504000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1709164/000170916418000011/0001709164-18-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1709164/000170916420000007/0001709164-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1709164/000170916421000015/0001709164-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1709164/000170916422000009/0001709164-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,19711000,26179000,17905000,21784000,-3522000,46258000,21306000
74,Depreciation and Amortization,6308000,6226000,5611000,5309000,4002000,3907000,- -
75,Deferred Income Tax,-1679000,1787000,3942000,4947000,3248000,-1431000,- -
76,Stock Based Compensation,- -,- -,- -,3618000,2632000,3978000,50000
77,Change in Working Capital,2059000,58835000,-24826000,33609000,-17899000,83873000,16962000
78,Accounts Receivable,7842000,-1747000,-10026000,11761000,-25586000,-41314000,- -
79,Inventory,14423000,-1806000,-6329000,-11051000,13756000,-65808000,- -
80,Accounts Payable,-23861000,26890000,21759000,-10004000,-7257000,40215000,- -
81,Other Working Capital,3630000,62465000,37639000,71248000,53349000,137222000,154184000
82,Other Non-Cash Items,89000,-30464000,30808000,-57443000,11741000,-170712000,-38318000
83,Cash Provided by Operating Activities,26488000,62563000,33440000,11824000,202000,-34127000,- -
84,CAPEX,-6171000,-6002000,-7374000,-8076000,-4122000,-3312000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-372000,77000,21000,12000,- -,-494000,- -
89,Cash Used for Investing Activites,-6543000,-5925000,-7353000,-8064000,-4122000,-3806000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5960000,- -,- -
93,Dividends Paid,-15000000,-42000000,-39162000,-4658000,-4851000,-5053000,- -
94,Other Financing Activites,4912000,-19837000,12560000,-4597000,11873000,39233000,- -
95,Cash Used/Provided by Financing Activities,-10088000,-61837000,-26602000,-9255000,1062000,34180000,- -
96,Effect of Forex Changes on Cash,-46000,-259000,81000,941000,-765000,25000,- -
97,Net Change In Cash,9811000,-5458000,-434000,-4554000,812000,-3728000,- -
98,Cash at the End of Period,16798000,11340000,10906000,6352000,7164000,3436000,- -
99,Cash at the Beginning of Period,6987000,16798000,11340000,10906000,6352000,7164000,3436000
100,Free Cash Flow,20317000,56561000,26066000,3748000,-3920000,-37439000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1709164/000170916418000011/0001709164-18-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1709164/000170916420000007/0001709164-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1709164/000170916421000015/0001709164-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1709164/000170916422000009/0001709164-22-000009-index.htm
102,false,,,,,,,
