,https://roic.ai/company/BAP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,18589000000,18664964500,21162438240,21808883885,21955249715,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,18589000000,21471000000,22787000000,23139000000,22397000000,439387868,334064335,767052804,3031084918,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,636000000,1317398550,1178982990,981593752,924430203,2349848330,2057476399,2030810750,2934568860,2698657030,9071806814,2467184808,3734924974,8595932546,10430115964,19332137569,21592296325,24129132000,23856617000,23244383000,24046123000,23310261000,24455087000,22909018000,24291775000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207789225,- -,- -,- -,439062899,361034495,265289000,138886000,172641000,150280000,108603000,134204000,105529000,- -
57,Other Non-Current Liabilities,- -,-75398550,17010,-1593752,-1430203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,636000000,1242000000,1179000000,980000000,923000000,2349848330,2057476399,2030810750,2934568860,2698657030,9071806814,2674974032,3734924974,8595932546,10430115964,19771200468,21953330820,24394421000,23995503000,23417024000,24196403000,23418864000,24589291000,23014547000,24291775000
59,Other Liabilities,- -,3520963400,- -,- -,- -,29084466304,27081732722,27287081132,33432207659,37372875542,56711741658,62451220671,60395568736,81571141494,82156072385,114702598202,125812276627,144602768000,162748150000,159735735000,172414983000,176415989000,185719672000,234975063000,242076320000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847504000,750578000,- -
61,Total Liabilities,19225000000,23749963400,23634103215,23813899921,22962484096,27174005842,25358320658,26023323186,33528723717,34674218512,47639934844,59776246638,56660643762,72975208948,71725956421,94931397734,103858945807,120208347000,138752647000,136318711000,148218580000,152997125000,161130381000,211960516000,217784545000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1168000000,1578269550,1655231340,1665183964,1623943574,1659336974,1636873963,1547253155,1624882679,1441974307,1414787457,1482742785,1369483905,1351409675,1241222942,1229675256,1346317745,1318994000,1318993000,1318993000,1318993000,1318993000,1318993000,1318993000,1318993000
64,Retained Earnings,621000000,436791700,469920820,490025879,538004090,634536968,353686205,839908575,1954492372,702827723,1108485817,1192950763,1427938689,1694926473,1931813515,2125095284,1737327660,2412771000,3089457000,3516766000,4271260000,4175041000,4374935000,347152000,3556281000
65,Other Comprehensive Income/Loss,-495000000,- -,- -,- -,- -,366050485,934881352,883695480,286824613,1916811492,2298762796,-1431286415,687849984,978935244,894709874,1660545740,988104768,1023386000,762695000,1209731000,1455594000,708453000,1088189000,1865898000,235902000
66,Other Total Stockholders Equity,730000000,832111600,861221028,943615538,966199489,236721133,233516558,221593542,232711439,206515782,202622152,4062954399,3238220365,4204254881,4863884199,5845285582,8004857964,9224304000,10956871000,13610645000,14710720000,17636756000,19455843000,21413827000,21385591000
67,Total Stockholders Equity,2024000000,2847172850,2986373188,3098825381,3128147154,2896645560,3158958078,3492450752,4098911104,4268129303,5024658222,5307361532,6723492943,8229526274,8931630530,10860601862,12076608137,13979455000,16128016000,19656135000,21756567000,23839243000,26237960000,24945870000,26496767000
68,Total Liabilities And Stockholders Equity,21249000000,26597136250,26620476403,26912725302,26090631249,30070651402,28517278736,29515773938,37627634821,38942347815,52664593066,65083608171,63384136706,81204735222,80657586950,105791999596,115935553944,134187802000,154880663000,155974846000,169975147000,176836368000,187368341000,236906386000,244281312000
69,Minority Interest,- -,- -,- -,- -,0,227645820,252656293,279518159,349535433,418452198,417512079,335982417,541209527,161804212,175805198,514282507,522191963,646570000,599554000,460376000,497136000,426833000,508350000,499777000,540672000
70,Total Liabilities & Equity,21249000000,26597136250,26620476403,26912725302,26090631249,30298297223,28769935028,29795292096,37977170254,39360800012,53082105145,65419590587,63925346233,81366539434,80833392149,106306282103,116457745907,134834372000,155480217000,156435222000,170472283000,177263201000,187876691000,237406163000,244821984000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,293000000,140803450,152583265,62441929,187590136,149027105,279593440,428678881,626264613,702827723,1051500023,1124065774,1463868228,1636031824,1903712458,2055342498,1617816826,2387852000,3092303000,3514582000,4091753000,3983865000,4265304000,346894000,3584582000
74,Depreciation and Amortization,86800000,129097700,141061128,167678597,160814158,156017310,166086974,152770561,133347862,153748625,152936464,180252824,206328587,235650186,246928436,282747762,345326428,433787000,400905000,407061000,426415000,436527000,639066000,676933000,690184000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,15296526,-20737714,-39603571,-14624102,-44733009,-13805904,-24817818,-46772649,-23821721,-42494245,-30520324,-252710000,-117195000,28228000,-3556000,91101000,-52540000,-1147311000,547392000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18448223,69466156,64700919,62628000,-73150000,94871000,62043000,65547000,120062000,103632000,73997000
77,Change in Working Capital,107800000,-25083750,241189730,-263740931,-52905009,-150813334,-789380519,1615151546,4654311423,966287666,483084117,-516970467,-3159437141,7195278857,-7134806770,5989770705,-466146743,-4974795000,-6172043000,-6637245000,4023206000,-6018779000,827097000,7125442000,-2172139000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18509250640,3539735675,9514322000,3174192000,-3113923000,7382015000,5276547000,8022539000,7754945000,10739081000
82,Other Non-Cash Items,20100000,508029550,451744955,685629737,339680852,1077957918,2084607788,130872190,-1043393309,-3544496,2375985023,647325348,95823710,229948580,503643847,987126090,638008292,517965000,1506686000,1134973000,701454000,1319777000,1134722000,5581233000,1248978000
83,Cash Provided by Operating Activities,507700000,752846950,986579078,652009332,635180137,1232188998,1756204209,2306735464,4330927019,1804695416,4018772617,1420867576,-1418234435,9250136799,-4485895527,9341958967,2169185398,-1825273000,-1362494000,-1457530000,9301315000,-121962000,6933711000,12686823000,3972994000
84,CAPEX,-128800000,-184950850,-117031245,-81697444,-106154138,-80394397,-103777043,-134711536,-100957774,-111306341,-158743571,-287030212,-130737551,-229622119,-265174134,-588496303,-879343661,-548616000,-491225000,-385757000,-415573000,-601248000,-506733000,-633361000,-640034000
85,Acquisitions Net,- -,- -,- -,- -,- -,-175810000,- -,- -,61898227,-428043726,- -,- -,-267937835,- -,-217401811,-502775604,-58769740,731813000,- -,- -,- -,- -,-375952000,- -,- -
86,Purchases of Investments,- -,-6700371300,-503943570,-731176777,-2034963944,-1134523027,-6056872789,- -,-2183609121,-1325219831,-4621764342,- -,- -,- -,- -,-4546451647,-1262853302,- -,-1135744000,-1550332000,- -,- -,-1688443000,-2837015000,-3677671000
87,Sales/Maturities of Investments,- -,7385324900,146445140,306338069,1277838002,1195859620,2676361354,- -,- -,- -,- -,394055818,825241798,3990108143,- -,- -,- -,- -,- -,- -,670620000,295990000,3256332000,1600519000,590605000
88,Other Investing Activites,-1997100000,-1889976950,665642828,459842320,845021072,-74909125,-20700605,-1455712130,-100957774,-111306341,-158743571,5577032,7965963,-528940725,-6497117410,-106905285,-288850419,1869499000,-232040000,-228562000,-121097000,-348617000,-330954000,-538740000,-532855000
89,Cash Used for Investing Activites,-2125900000,-1205023350,308144398,35003613,87895130,-189382532,-3401212039,-1455712130,-2222668668,-1864569898,-4780507912,112602638,434532375,3231545299,-6979693355,-5578826238,-2175992417,2299578000,-1582445000,-1889045000,405672000,-234086000,726207000,-1873356000,-3727711000
90,Debt Repayment,- -,146489100,-1567536825,-498243965,-465150445,- -,-235191892,- -,- -,-280886030,-227031787,-660100679,-333412533,-2459594704,-1047887461,-1442000559,-1369038240,-1199524000,- -,- -,- -,- -,-1124850000,-163392000,-155141000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3752000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33335159,-42961077,- -,-48393618,-68432512,-45622000,-14948000,-66528000,-71008000,-95413000,-103225000,-151899000,-58907000
93,Dividends Paid,-81500000,-110702950,-56779410,-28581579,-27577777,-56213489,-82975849,-104590211,-219709954,-268092233,-310861583,-375932820,-346216113,-388302046,-409088157,-478023774,-591634402,-429413000,-551158000,-653326000,-2232244000,-1130427000,-2233321000,-2392844000,-398808000
94,Other Financing Activites,2594000000,-152843650,254476140,409863371,268196804,15306019,- -,15668860,1019707605,787913960,2265898830,1751687703,1637215698,4150411782,4797074489,4023424310,2609661746,671416000,666805000,-891123000,-40049000,-174472000,-90409000,619675000,143808000
95,Cash Used/Provided by Financing Activities,2512500000,-117057500,-1369840095,-116962173,-224531418,-40907471,-318167741,-88921351,799997651,238935698,1728005460,715654204,924251893,1259553955,3340098871,2055006359,580556591,-1003143000,100699000,-1610977000,-2343301000,-1400312000,-3551805000,-2088460000,-465296000
96,Effect of Forex Changes on Cash,18900000,-85284750,- -,- -,- -,- -,-12747105,-6688528,-100837262,43126738,54050762,-73905889,264002736,-149599166,125597310,295536685,-752700577,455375000,3199642000,-454120000,-784685000,704966000,-294874000,2034718000,2779791000
97,Net Change In Cash,913200000,-654853100,-75116620,570050772,498543850,1001898996,-1975922676,755413455,2807418739,222187954,1020320927,2175218529,204552569,13591636887,-7999892701,6113675772,-178951005,-73463000,355402000,-5411672000,6579001000,-1051394000,3813239000,10759725000,2559778000
98,Cash at the End of Period,913200000,5392671800,5580520188,6184125676,6529511822,7673719718,5593915278,6050694526,9161691600,8352574268,9215416531,11833271620,11133943149,24578636035,14473627632,20452648372,22213760649,21689466000,22044868000,16633196000,23212197000,22160803000,25974042000,36733767000,39293545000
99,Cash at the Beginning of Period,- -,6047524900,5655636808,5614074905,6030967972,6671820722,7569837954,5295281071,6354272861,8130386314,8195095605,9658053091,10929390580,10986999148,22473520333,14338972599,22392711655,21762929000,21689466000,22044868000,16633196000,23212197000,22160803000,25974042000,36733767000
100,Free Cash Flow,378900000,567896100,869547833,570311887,529026000,1151794602,1652427166,2172023928,4229969245,1693389075,3860029047,1133837363,-1548971986,9020514680,-4751069661,8753462663,1289841736,-2373889000,-1853719000,-1843287000,8885742000,-723210000,6426978000,12053462000,3332960000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3191,0.3461,0.3562,0.3708,0.3914,0.3575,0.3333,0.2922,0.2979,0.3088,0.2968,0.3017,0.2762,0.2501
