,https://roic.ai/company/MGNI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,341000,1046000,3151000,1427000,1726000,2921000,5493000,1240000,2103000,4440000,6862000
45,Total Non-Current Assets,11714000,16647000,21068000,58504000,171029000,128198000,78979000,59471000,82070000,331889000,1534496000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,71142000,108014000,149887000,296481000,536736000,519775000,383635000,360012000,395120000,938960000,2712612000
48,Accounts Payable,42863000,75073000,111078000,143716000,235812000,205191000,207458000,233545000,252713000,496873000,983124000
49,Short-Term Debt,1199000,1038000,288000,105000,- -,- -,- -,- -,- -,9813000,22742000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6101000,8275000,12021000,10581000,14351000,13246000,9786000,7437000,14786000,15512000,23529000
53,Total Current Liabilities,50163000,84386000,123387000,154402000,250163000,218437000,217244000,240982000,267499000,522198000,1029395000
54,Long-Term Debt,4305000,4177000,3893000,- -,- -,- -,- -,- -,15231000,32278000,786510000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,6225000,42000,- -,- -,- -,199000,13303000
57,Other Non-Current Liabilities,873000,1442000,996000,13327000,2247000,1783000,1780000,1017000,454000,2672000,2647000
58,Total Non-Current Liabilities,5178000,5619000,4889000,13327000,8472000,1825000,1780000,1017000,15685000,35149000,802460000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,105000,- -,- -,- -,- -,22513000,42091000,85629000
61,Total Liabilities,55341000,90005000,128276000,167729000,258635000,220262000,219024000,241999000,283184000,557347000,1831855000
62,Preferred Stock,52571000,52571000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,- -,- -,- -,- -,1000,1000,2000,2000
64,Retained Earnings,-50428000,-52790000,-62039000,-80712000,-80290000,-99001000,-253784000,-315606000,-341084000,-394516000,-394451000
65,Other Comprehensive Income/Loss,-4631000,-8028000,-10888000,-15613000,-22264000,-33194000,-50777000,-71195000,-86563000,-957000,-1376000
66,Other Total Stockholders Equity,70860000,78827000,94537000,225077000,380655000,431708000,469172000,504813000,539582000,777084000,1276582000
67,Total Stockholders Equity,15801000,18009000,21611000,128752000,278101000,299513000,164611000,118013000,111936000,381613000,880757000
68,Total Liabilities And Stockholders Equity,71142000,108014000,149887000,296481000,536736000,519775000,383635000,360012000,395120000,938960000,2712612000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,71142000,108014000,149887000,296481000,536736000,519775000,383635000,360012000,395120000,938960000,2712612000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595974/000162828015001546/0001628280-15-001546-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000162828016012273/0001628280-16-012273-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000162828017002588/0001628280-17-002588-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597418000036/0001595974-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597419000043/0001595974-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597420000026/0001595974-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597421000016/0001595974-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597422000010/0001595974-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-15409000,-2362000,-9249000,-18673000,422000,-18053000,-154783000,-61822000,-25478000,-53432000,65000
74,Depreciation and Amortization,5538000,6857000,8438000,12517000,31010000,42763000,36225000,35338000,32126000,49248000,146886000
75,Deferred Income Tax,-26000,-20000,- -,-145000,-5286000,-6635000,-1564000,-42000,-595000,789000,-98770000
76,Stock Based Compensation,2268000,3044000,6352000,23846000,30584000,28694000,20504000,16282000,18825000,28491000,40735000
77,Change in Working Capital,9756000,-2284000,-1549000,78143000,31969000,57596000,-85728000,-27853000,-14008000,39322000,31886000
78,Accounts Receivable,-8022000,-26339000,-27102000,-38023000,-71796000,25842000,26051000,-40688000,-10705000,-103836000,-254368000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,9265000,6981000,5432000,83575000,115544000,173140000,87412000,59559000,45551000,84873000,- -
82,Other Non-Cash Items,2000,10363000,17100000,-89043000,-11843000,-44245000,206881000,15411000,21113000,-76483000,5787000
83,Cash Provided by Operating Activities,2129000,15598000,21092000,6645000,76856000,60120000,21535000,-22686000,31983000,-12065000,126589000
84,CAPEX,-6851000,-6739000,-10711000,-19485000,-28437000,-33401000,-40426000,-19940000,-19888000,-21959000,-29128000
85,Acquisitions Net,-1000000,-2000000,- -,-4000000,-9000000,- -,-39000000,- -,-11000000,54595000,-661869000
86,Purchases of Investments,- -,- -,- -,- -,-48801000,-41096000,-95224000,-23991000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,12001000,37360000,81050000,71878000,7500000,- -,- -
88,Other Investing Activites,-3463000,-3990000,-5077000,-8417000,-6957000,-9901000,-7598000,-8507000,-8463000,-7667000,-11431000
89,Cash Used for Investing Activites,-8140000,-9030000,-11862000,-23123000,-72861000,-37116000,-93210000,27947000,-23388000,32636000,-690997000
90,Debt Repayment,-878000,-1524000,-1034000,-4076000,-105000,- -,- -,- -,- -,- -,-2445000
91,Common Stock Issued,- -,- -,- -,89733000,2040000,- -,629000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6007000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2205000,125000,238000,-1863000,13533000,10077000,-2009000,-1279000,-205000,7354000,686505000
95,Cash Used/Provided by Financing Activities,1327000,-1399000,-796000,83794000,15468000,10077000,-1380000,-1279000,-205000,7354000,678053000
96,Effect of Forex Changes on Cash,63000,195000,-94000,-76000,-160000,-157000,199000,-172000,46000,918000,-683000
97,Net Change In Cash,-4621000,5364000,8340000,67240000,19303000,32924000,-72856000,3810000,8436000,28843000,112962000
98,Cash at the End of Period,16252000,21616000,29956000,97196000,116499000,149423000,76642000,80452000,88888000,117731000,230693000
99,Cash at the Beginning of Period,20873000,16252000,21616000,29956000,97196000,116499000,149498000,76642000,80452000,88888000,117731000
100,Free Cash Flow,-4722000,8859000,10381000,-12840000,48419000,26719000,-18891000,-42626000,12095000,-34024000,97461000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595974/000162828015001546/0001628280-15-001546-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000162828016012273/0001628280-16-012273-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000162828017002588/0001628280-17-002588-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597418000036/0001595974-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597419000043/0001595974-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597420000026/0001595974-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597421000016/0001595974-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1595974/000159597422000010/0001595974-22-000010-index.htm
102,false,,,,,,,,,,,
