,https://roic.ai/company/EXDW,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,656828,3918144,2563940,1928391,3840954
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,792054,29239878,25957985,23976452,28455517
48,Accounts Payable,- -,5382,6243562,1226111,823448,1925654
49,Short-Term Debt,- -,9244,9327,28683,393914,468838
50,Tax Payable,- -,- -,- -,287301,1328,813628
51,Deferred Revenue,- -,1845457,4561309,3267399,3571723,1515284
52,Other Current Liabilities,- -,-1690946,2239308,3553447,3175277,5009629
53,Total Current Liabilities,- -,169137,13053506,8075640,7964362,8919405
54,Long-Term Debt,- -,711300,483814,- -,97472,469724
55,Deferred Revenue,- -,- -,2183,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,82636
57,Other Non-Current Liabilities,- -,- -,41786,98964,445443,- -
58,Total Non-Current Liabilities,- -,711300,527783,98964,542915,552360
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,60908,51113,127647,936829,938562
61,Total Liabilities,- -,880437,13581289,8174604,8507277,9471765
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,3270,3270,- -,3270
64,Retained Earnings,- -,-102543,15679291,16764282,- -,18876548
65,Other Comprehensive Income/Loss,- -,1643,-123412,754313,1214025,94
66,Other Total Stockholders Equity,- -,10517,99440,261516,15909114,103840
67,Total Stockholders Equity,- -,-88383,15658589,17783381,17123139,18983752
68,Total Liabilities And Stockholders Equity,- -,792054,29239878,25957985,25630416,28455517
69,Minority Interest,- -,- -,- -,- -,-1653964,- -
70,Total Liabilities & Equity,- -,792054,29239878,25957985,23976452,28455517
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1634293/000159991619000106/0001599916-19-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991620000045/0001599916-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991621000002/0001599916-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991622000018/0001599916-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-61443,1158624,-132017,-962278,3074544
74,Depreciation and Amortization,- -,10656,1120652,1482474,786519,547925
75,Deferred Income Tax,- -,- -,- -,- -,5928,45124
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-29215,12302139,3050177,-1234706,1206062
78,Accounts Receivable,- -,-1021,-32,-2018,-64234,-3042
79,Inventory,- -,19723,888033,-299412,-588193,269883
80,Accounts Payable,- -,5436,5160578,-3513357,-423681,1196639
81,Other Working Capital,- -,-33911,12268228,15318405,14083699,-1925308
82,Other Non-Cash Items,- -,47447,-3968691,-9354523,783489,384162
83,Cash Provided by Operating Activities,- -,-32555,10612724,-4953889,-621048,5257817
84,CAPEX,- -,-674333,-593662,-249854,-29656,-11376
85,Acquisitions Net,- -,38263,26000,-79876,- -,- -
86,Purchases of Investments,- -,- -,- -,-442744,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,87333,- -,- -
88,Other Investing Activites,- -,117890,-593662,1852267,-474911,-232900
89,Cash Used for Investing Activites,- -,-674333,-567662,1192115,-504567,-244276
90,Debt Repayment,- -,-5992,-404994,-12113,-70590,-65414
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,721872,-6082,126802,-106068,51281
95,Cash Used/Provided by Financing Activities,- -,715880,-411076,114689,-176658,-14133
96,Effect of Forex Changes on Cash,- -,-1107,-122929,1107692,473997,-1313252
97,Net Change In Cash,- -,7885,9511057,-2539393,-828276,3686156
98,Cash at the End of Period,- -,46295,22737755,20198362,19370086,23056242
99,Cash at the Beginning of Period,- -,38410,13226698,22737755,- -,19370086
100,Free Cash Flow,- -,-706888,10019062,-5203743,-650704,5246441
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1634293/000159991619000106/0001599916-19-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991620000045/0001599916-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991621000002/0001599916-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1634293/000159991622000018/0001599916-22-000018-index.htm
102,false,,,,,,
