,https://roic.ai/company/SMLP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,8296000,38646000,42408000,44365000,-20533000,-187485000,-7768000,88614000,53272000,-30808000,177661000,-28156000
21,Income Before Tax Ratio,0.2619,0.3732,0.2562,0.1827,-0.0621,-0.5049,-0.0193,0.1813,0.1051,-0.0695,0.4633,-0.0703
22,Income Tax expense (Gain),124000,695000,682000,729000,631000,-676000,75000,341000,33000,1174000,-146000,-327000
23,Net Income,8094000,37951000,17614000,43584000,-23992000,-192212000,-40918000,85687000,42183000,-369833000,192352000,-19949000
24,Net Income ratio,0.2555,0.3665,0.1064,0.1795,-0.0726,-0.5176,-0.1017,0.1753,0.0833,-0.8338,0.5016,-0.0498
25,EPS,0.31,1.46,0.66,12.90,-7.35,-48.00,-10.65,14.85,0.90,-72.60,73.22,-2.85
26,EPS Diluted,0.31,1.46,0.66,12.90,-7.35,-48.00,-10.65,14.70,0.90,-72.60,55.84,-2.85
27,Weighted Average Shares Outstanding,26037181,26037181,26037353,3424096,3848085,4241821,4550956,4847024,4886957,5491027,3592000,6999000
28,Weighted Average Shares Outstanding Diluted,26037181,26037181,26037353,3434105,3848085,4241821,4550956,4869824,4907691,5491027,4710000,6999000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1549922/000144530513000667/0001445305-13-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992214000024/0001549922-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992215000018/0001549922-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992216000114/0001549922-16-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992217000030/0001549922-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459018003135/0001564590-18-003135-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459019004493/0001564590-19-004493-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459020009360/0001564590-20-009360-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459021011012/0001564590-21-011012-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992222000008/0001549922-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15462000,7895000,18764000,26428000,19411000,7428000,1430000,4345000,4948000,15544000,7349000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392740000,- -
33,Cash and Short-Term Investments,- -,15462000,7895000,18764000,26428000,19411000,7428000,1430000,4345000,4948000,408284000,7349000
34,Net Receivables,- -,27476000,34278000,54256000,83612000,84022000,97364000,72301000,97936000,102118000,61932000,62121000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1966000,2190000,3089000,3289000,3210000,4309000,4327000,3971000,32410000,-388117000,17899000
37,Total Current Assets,- -,44904000,44363000,76109000,113329000,106643000,109101000,78058000,106252000,139476000,82099000,87369000
38,PP&E,- -,638190000,681993000,980341000,1235652000,1463802000,1853671000,1795129000,1963713000,1882251000,1817546000,1726082000
39,Goodwill,- -,45478000,45478000,115888000,61689000,16211000,16211000,16211000,16211000,- -,- -,- -
40,Intangible Assets,- -,296713000,285540000,452994000,466866000,438093000,421452000,301345000,273416000,232278000,199566000,172927000
41,Intangible Assets,- -,342191000,331018000,568882000,528555000,454304000,437663000,317556000,289627000,232278000,199566000,172927000
42,Investments,- -,- -,- -,- -,- -,- -,707415000,690485000,649250000,309728000,392740000,523196000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,4979000,6137000,14583000,17338000,15782000,7329000,13565000,11720000,9718000,7866000,12888000
45,Total Non-Current Assets,- -,985360000,1019148000,1563806000,1781545000,1933888000,3006078000,2816735000,2914310000,2433975000,2417718000,2435093000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1030264000,1063511000,1639915000,1894874000,2040531000,3115179000,2894793000,3020562000,2573451000,2499817000,2522462000
48,Accounts Payable,- -,23868000,15817000,18132000,12852000,18971000,16251000,16375000,38414000,24415000,11878000,10498000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9086000,8570000
51,Deferred Revenue,- -,- -,865000,1555000,2377000,677000,- -,4000000,11467000,13493000,9988000,10374000
52,Other Current Liabilities,- -,4971000,9779000,28656000,42225000,39986000,55490000,48614000,60171000,46239000,46542000,58365000
53,Total Current Liabilities,- -,28839000,26461000,48343000,57454000,59634000,71741000,68989000,110052000,84147000,68408000,79237000
54,Long-Term Debt,- -,202893000,199230000,586000000,808000000,944000000,1240301000,1051192000,1257731000,1470299000,1347326000,1355072000
55,Deferred Revenue,- -,1770000,10899000,29683000,55239000,45486000,57465000,12707000,39504000,38709000,48250000,42570000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,155944000,7674000,6746000,7292000,7169000,575999000,372236000,392051000,216780000,112942000,141220000
58,Total Non-Current Liabilities,- -,360607000,217803000,622429000,870531000,996655000,1873765000,1436135000,1689286000,1725788000,1508518000,1538862000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,147000000,199230000,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,389446000,244264000,670772000,927985000,1056289000,1945506000,1505124000,1799338000,1809935000,1576926000,1618099000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-12180000,-33517000,-63870000,-117011000,-176872000,-259315000,-309440000,-387133000,-442681000,- -,- -
66,Other Total Stockholders Equity,- -,652998000,- -,- -,- -,- -,- -,- -,- -,- -,1012549000,- -
67,Total Stockholders Equity,- -,640818000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,1030264000,244264000,670772000,927985000,1056289000,1945506000,1505124000,1799338000,1809935000,2589475000,1618099000
69,Minority Interest,- -,- -,819247000,969143000,966889000,984242000,1169673000,1389669000,1221224000,763516000,-89658000,904363000
70,Total Liabilities & Equity,- -,1030264000,1063511000,1639915000,1894874000,2040531000,3115179000,2894793000,3020562000,2573451000,2499817000,2522462000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1549922/000144530513000667/0001445305-13-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992214000024/0001549922-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992215000018/0001549922-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992216000114/0001549922-16-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992217000030/0001549922-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459018003135/0001564590-18-003135-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459019004493/0001564590-19-004493-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459020009360/0001564590-20-009360-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459021011012/0001564590-21-011012-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992222000008/0001549922-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,8094000,37951000,17614000,43584000,-23992000,-192212000,-40918000,85687000,42183000,-369833000,192352000,-19949000
74,Depreciation and Amortization,4089000,11367000,35491000,61856000,83934000,96975000,112661000,114872000,106767000,111426000,119070000,119995000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,3440000,1876000,3016000,4696000,6259000,7985000,7951000,8328000,8171000,8111000,4744000
77,Change in Working Capital,-2708000,15940000,1837000,9864000,28109000,-8866000,-9649000,-28291000,-12869000,59129000,-41638000,5867000
78,Accounts Receivable,-8865000,-17238000,-6028000,-15147000,-15579000,5180000,-7783000,25063000,-21535000,-4334000,35352000,-178000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4210000,2468000,-2164000,-1992000,-970000,-2770000,2001000,-3246000,81000,-95000,-4063000,-89000
81,Other Working Capital,125000,16065000,17902000,27766000,55875000,47009000,37360000,9069000,-3800000,55329000,13691000,498000
82,Other Non-Cash Items,78000,-28756000,32670000,7637000,55188000,263794000,160416000,57613000,83520000,373444000,-79306000,54442000
83,Cash Provided by Operating Activities,9553000,39942000,89488000,125957000,147935000,165950000,230495000,237832000,227929000,182337000,198589000,165099000
84,CAPEX,-153719000,-78248000,-76698000,-491911000,-444197000,-406725000,-502150000,-124215000,-200586000,-182291000,-43128000,-25030000
85,Acquisitions Net,- -,- -,- -,-410000000,-316000000,-289000000,-359000000,- -,- -,- -,- -,-148699000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-31582000,-25513000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-153719000,-667710000,-76698000,328674000,188000000,171216000,215887000,-123170000,-216279000,-90870000,-140569000,-17030000
89,Cash Used for Investing Activites,-153719000,-667710000,-76698000,-491326000,-443872000,-406402000,-534126000,-148683000,-216279000,-90870000,-140569000,-165729000
90,Debt Repayment,- -,- -,-160770000,-294180000,-315295000,-51000000,-204300000,-934500000,-84000000,-158000000,-303697000,-1124047000
91,Common Stock Issued,- -,- -,263125000,100000000,197806000,221977000,125233000,310316000,- -,27392000,48710000,- -
92,Common Stock Repurchased,- -,- -,- -,-11957000,- -,- -,- -,- -,- -,- -,-66778000,- -
93,Dividends Paid,- -,- -,-123138000,-90196000,-122224000,-152074000,-167504000,-181478000,-209205000,-145124000,- -,- -
94,Other Financing Activites,114132000,633809000,426000,672571000,541721000,214456000,535837000,710515000,284470000,212260000,242367000,1128705000
95,Cash Used/Provided by Financing Activities,114132000,633809000,-20357000,376238000,302008000,233359000,289266000,-95147000,-8735000,-63472000,-79398000,4658000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-30034000,6041000,-7567000,10869000,6071000,-7093000,-14365000,-5998000,2915000,27995000,-21378000,4028000
98,Cash at the End of Period,9421000,15462000,7895000,18764000,26428000,19411000,7428000,1430000,4345000,32340000,15544000,19572000
99,Cash at the Beginning of Period,39455000,9421000,15462000,7895000,20357000,26504000,21793000,7428000,1430000,4345000,36922000,15544000
100,Free Cash Flow,-144166000,-38306000,12790000,-365954000,-296262000,-240775000,-271655000,113617000,27343000,46000,155461000,140069000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1549922/000144530513000667/0001445305-13-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992214000024/0001549922-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992215000018/0001549922-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992216000114/0001549922-16-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992217000030/0001549922-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459018003135/0001564590-18-003135-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459019004493/0001564590-19-004493-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459020009360/0001564590-20-009360-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000156459021011012/0001564590-21-011012-index.htm,https://www.sec.gov/Archives/edgar/data/1549922/000154992222000008/0001549922-22-000008-index.htm
102,false,,,,,,,,,,,,
