,https://roic.ai/company/GIC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,212800000,294000000,313300000,359900000,426800000,389036000,301281000,350366000,362023000,399908000,431132000,519361000,605589000,612183000,692586000,765237000,766216000,852400000,856400000,828000000,640300000,511200000,494100000,497400000,304300000,263800000,301400000
38,PP&E,17300000,21900000,29400000,34000000,46800000,74749000,82623000,71133000,68647000,65563000,57259000,48586000,48480000,48465000,65598000,73765000,70699000,63000000,59400000,41200000,38300000,29500000,15100000,14900000,77100000,93900000,85300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30326000,- -,- -,- -,2400000,2400000,3900000,9200000,8800000,7600000,5500000,5500000,5500000,- -
40,Intangible Assets,16100000,13500000,53300000,56600000,73700000,70672000,67967000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,3700000,3500000,9600000,8500000,6900000,2200000,1700000,1500000,- -
41,Intangible Assets,16100000,13500000,53300000,56600000,73700000,70672000,67967000,- -,- -,- -,- -,- -,- -,30326000,48127000,49473000,47838000,11100000,6100000,7400000,18800000,17300000,14500000,7700000,7200000,7000000,18300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,15100000,14606000,18268000,14100000,14041000,18652000,11452000,8564000,2313000,- -,30200000,15300000,13500000,8600000,4500000,26200000,8900000,7300000,7600000,10000000
44,Other Non-Current Assets,1300000,2100000,3700000,3900000,2700000,3561000,2576000,1305000,376000,561000,2053000,2173000,1150000,837000,2026000,3312000,4909000,5600000,5200000,4800000,4100000,3600000,1500000,1100000,1000000,2600000,-10000000
45,Total Non-Current Assets,34700000,37500000,86400000,94500000,123200000,148982000,153166000,87538000,83629000,84392000,73412000,64800000,68282000,91080000,124315000,128863000,123446000,109900000,86000000,66900000,69800000,54900000,57300000,32600000,92600000,111100000,103600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,247500000,331500000,399700000,454400000,550000000,538018000,454447000,437904000,445652000,484300000,504544000,584161000,673871000,703263000,816901000,894100000,889662000,962300000,942400000,894900000,710100000,566100000,551400000,530000000,396900000,374900000,405000000
48,Accounts Payable,85200000,99100000,125600000,114800000,124400000,170548000,139472000,131510000,141106000,161864000,171667000,201486000,245264000,284378000,346362000,377030000,336550000,405300000,418900000,420200000,346500000,260400000,196100000,101100000,115900000,125400000,114000000
49,Short-Term Debt,- -,500000,- -,2700000,9600000,48559000,2829000,21211000,20814000,16560000,26773000,12788000,4302000,773000,15197000,2655000,2552000,2800000,2500000,2700000,600000,100000,- -,- -,9900000,10300000,15000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14800000,10200000,9300000,5100000,6200000,12300000,2800000,2600000,4700000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5704000,- -,- -,- -,- -,- -,- -,- -,5400000,4200000,- -,- -,- -,- -,- -
52,Other Current Liabilities,5400000,-100000,- -,47800000,105900000,63240000,55641000,64349000,51037000,60756000,62888000,75688000,76866000,76468000,80945000,84680000,72410000,83500000,89200000,93000000,73600000,60300000,119700000,278500000,34000000,50700000,50900000
53,Total Current Liabilities,90600000,99500000,125600000,165300000,239900000,282347000,197942000,217070000,212957000,239180000,261328000,289962000,332136000,361619000,442504000,464365000,411512000,491600000,510600000,515900000,426100000,325000000,315800000,379600000,159800000,186400000,179900000
54,Long-Term Debt,2900000,2000000,2000000,2500000,1700000,- -,- -,17519000,18353000,17099000,8028000,483000,254000,1411000,1194000,7386000,7133000,5300000,2900000,900000,400000,100000,- -,- -,58700000,77200000,68500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1200000,- -,- -,- -,- -,1557000,- -,- -,- -,- -,- -,- -,254000,- -,- -,2285000,- -,- -,- -,400000,500000,100000,100000,100000,100000,- -
57,Other Non-Current Liabilities,- -,200000,-100000,- -,100000,- -,- -,1398000,1768000,1505000,2346000,4226000,5646000,6024000,8518000,13081000,14440000,19100000,22700000,18500000,29300000,26100000,23700000,12600000,2800000,4400000,3000000
58,Total Non-Current Liabilities,2900000,3400000,1900000,2500000,1800000,- -,1557000,18917000,20121000,18604000,10374000,4709000,5900000,7689000,9712000,20467000,23858000,24400000,25600000,19400000,30100000,26700000,23800000,12700000,61600000,81700000,71500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1411000,2223000,- -,- -,8100000,5400000,3600000,1000000,- -,- -,- -,68600000,87500000,79000000
61,Total Liabilities,93500000,102900000,127500000,167800000,241700000,282347000,199499000,235987000,233078000,257784000,271702000,294671000,338036000,369308000,452216000,484832000,435370000,516000000,536200000,535300000,456200000,351700000,339600000,392300000,221400000,268100000,251400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,400000,382000,382000,382000,382000,382000,382000,383000,383000,389000,389000,389000,389000,400000,400000,400000,400000,400000,400000,400000,400000,400000,- -
64,Retained Earnings,14700000,58400000,97200000,138500000,174500000,133697000,134350000,75411000,81022000,91307000,98927000,144074000,176684000,192401000,210975000,253526000,307934000,290500000,246700000,209200000,109400000,73100000,44800000,-27600000,2800000,-66500000,- -
65,Other Comprehensive Income/Loss,-12400000,-16200000,-19500000,-26800000,-33600000,-40479000,-52783000,-2130000,2157000,-1073000,-3269000,7181000,11711000,-6918000,1358000,-1219000,-4049000,1000000,2200000,-8900000,-15800000,-20700000,1900000,3000000,3000000,3400000,3000000
66,Other Total Stockholders Equity,151700000,186400000,194500000,174900000,167000000,162071000,172999000,128254000,129013000,135900000,136802000,137852000,147057000,148083000,151963000,156572000,150018000,154400000,156900000,158900000,159900000,161600000,164700000,161900000,169300000,169500000,150000000
67,Total Stockholders Equity,154000000,228600000,272200000,286600000,308300000,255671000,254948000,201917000,212574000,226516000,232842000,289490000,335835000,333955000,364685000,409268000,454292000,446300000,406200000,359600000,253900000,214400000,211800000,137700000,175500000,106800000,153600000
68,Total Liabilities And Stockholders Equity,247500000,331500000,399700000,454400000,550000000,538018000,454447000,437904000,445652000,484300000,504544000,584161000,673871000,703263000,816901000,894100000,889662000,962300000,942400000,894900000,710100000,566100000,551400000,530000000,396900000,374900000,405000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,247500000,331500000,399700000,454400000,550000000,538018000,454447000,437904000,445652000,484300000,504544000,584161000,673871000,703263000,816901000,894100000,889662000,962300000,942400000,894900000,710100000,566100000,551400000,530000000,396900000,374900000,405000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945114/000094511421000010/0000945114-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/945114/000094511422000009/0000945114-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,35700000,43700000,38800000,41300000,36000000,-40771000,653000,-58939000,5611000,12550000,11441000,45147000,69481000,52843000,46185000,42551000,54408000,-8300000,-43800000,-37500000,-99800000,-32600000,40400000,224700000,48500000,65400000,103300000
74,Depreciation and Amortization,2100000,3800000,5700000,7500000,11200000,13608000,15143000,13652000,13938000,11314000,9994000,8185000,8780000,10387000,12353000,14480000,17457000,18000000,19300000,16300000,9300000,7900000,5100000,4500000,4100000,4100000,3700000
75,Deferred Income Tax,-2000000,-300000,-5300000,-2700000,1200000,230000,7940000,-3475000,-1847000,-3585000,6228000,2254000,-6106000,6197000,5704000,- -,- -,-36600000,26400000,500000,5500000,4400000,-17800000,8400000,1400000,-500000,-3200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2867000,2496000,1915000,4100000,2900000,1500000,1200000,1700000,1600000,900000,5400000,4700000,2900000
77,Change in Working Capital,-29100000,72300000,-6800000,6900000,-7700000,-80211000,-3350000,29957000,15770000,11662000,9076000,59595000,44054000,-22889000,-482000,50790000,53832000,6096000,-15000000,-33700000,-97900000,-28000000,-7900000,-60500000,26700000,-67100000,44100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20907000,-45121000,-348000,-25400000,-23400000,-55000000,70700000,35600000,-13700000,-11900000,-5600000,-15000000,- -
79,Inventory,-12200000,-20700000,3100000,-23900000,-39500000,43124000,33946000,-2644000,-30089000,-39936000,-857000,-36216000,-13229000,-40547000,-69618000,-5913000,-4136000,5000000,46100000,26800000,153500000,500000,-9600000,-19400000,-5000000,-19700000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79400000,21300000,10800000,-62700000,-70400000,2900000,-6600000,14600000,10100000,- -
81,Other Working Capital,122200000,194500000,187700000,194600000,186900000,106689000,103339000,133296000,149066000,160728000,169804000,229399000,273453000,250564000,250082000,300872000,354704000,360800000,345800000,312100000,214200000,186200000,178300000,117800000,144500000,77400000,121500000
82,Other Non-Cash Items,4300000,-99900000,700000,-15200000,-20200000,115616000,75220000,23673000,-40420000,-19317000,-1760000,-80855000,-23126000,35881000,-61860000,-45434000,-109404000,91704000,57000000,52800000,268200000,-10800000,24200000,-200300000,-17700000,61600000,-101000000
83,Cash Provided by Operating Activities,11000000,19600000,33100000,37800000,20500000,8472000,95606000,4868000,-6948000,12624000,34979000,34326000,93083000,82419000,4767000,64883000,18208000,75000000,46800000,-100000,86500000,-57400000,45600000,-22300000,68400000,68200000,49800000
84,CAPEX,-4900000,-8800000,-47200000,-17000000,-41200000,-40738000,-24682000,-15367000,-8699000,-8583000,-5896000,-6701000,-7950000,-17094000,-18855000,-24747000,-12285000,-12100000,-13700000,-7100000,-11300000,-3300000,-2800000,-4500000,-6900000,-2700000,-3400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30649000,-13525000,- -,- -,- -,- -,-6400000,-24800000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4000000,5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6800000,- -,22000000,- -,- -,-249000,856000,635000,-2549000,247000,103000,18938000,28000,72000,84000,23000,24000,100000,300000,1000000,1400000,600000,- -,249600000,- -,- -,- -
89,Cash Used for Investing Activites,-11700000,-39800000,-25200000,-13000000,-36100000,-40987000,-23826000,-14732000,-11248000,-8336000,-5793000,12237000,-7922000,-47671000,-32296000,-24724000,-12261000,-12000000,-13400000,-12500000,-34700000,-2700000,-2800000,245100000,-6900000,-2700000,-3400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4340000,-276411000,-13570000,-2800000,-2800000,-2600000,-2800000,-400000,-100000,-100000,- -,- -,- -
91,Common Stock Issued,134400000,29900000,- -,- -,- -,- -,- -,- -,759000,331000,780000,1602000,972000,1133000,1082000,1017000,283000,300000,100000,300000,- -,- -,2400000,5400000,2100000,3300000,- -
92,Common Stock Repurchased,- -,- -,- -,-28600000,-10100000,-9830000,- -,- -,- -,- -,- -,- -,- -,-5824000,-1174000,- -,- -,- -,- -,- -,-200000,- -,- -,-9100000,- -,-7200000,- -
93,Dividends Paid,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36588000,-37126000,-27611000,- -,- -,-9100000,- -,- -,- -,-3700000,-13000000,-109300000,-261600000,-134300000,-62500000
94,Other Financing Activites,-112200000,-2900000,-500000,3200000,6300000,37314000,-45762000,33784000,-2674000,-7022000,3911000,-23748000,-6876000,-1021000,576000,270729000,12614000,500000,100000,- -,- -,- -,-800000,-1900000,-100000,-600000,7500000
95,Cash Used/Provided by Financing Activities,20200000,27000000,-500000,-25400000,-3800000,27484000,-45762000,33784000,-1915000,-6691000,4691000,-22146000,-42492000,-42838000,-31467000,-4665000,-673000,-11100000,-2600000,-2300000,-3000000,-4100000,-11500000,-115000000,-259600000,-138800000,-55000000
96,Effect of Forex Changes on Cash,100000,-100000,800000,-700000,-5200000,2057000,-4050000,2611000,-4182000,-42000,791000,-744000,-1612000,-3964000,1338000,-1726000,-97000,1500000,-100000,-1500000,1300000,-1200000,3500000,3100000,-100000,100000,- -
97,Net Change In Cash,20200000,27000000,-500000,-25400000,-24500000,-2974000,21968000,26531000,-24293000,-2445000,34668000,23673000,41057000,-12054000,-57658000,33768000,5177000,53400000,30700000,-16400000,50100000,-65400000,34800000,110900000,-198200000,-73200000,-8600000
98,Cash at the End of Period,- -,- -,- -,- -,17500000,14496000,36464000,62995000,38702000,36257000,70925000,86964000,128021000,115967000,58309000,92077000,97254000,150700000,181400000,165000000,215100000,149700000,184500000,295400000,97200000,24000000,15400000
99,Cash at the Beginning of Period,8800000,28500000,35200000,43400000,42000000,17470000,14496000,36464000,62995000,38702000,36257000,63291000,86964000,128021000,115967000,58309000,92077000,97300000,150700000,181400000,165000000,215100000,149700000,184500000,295400000,97200000,24000000
100,Free Cash Flow,6100000,10800000,-14100000,20800000,-20700000,-32266000,70924000,-10499000,-15647000,4041000,29083000,27625000,85133000,65325000,-14088000,40136000,5923000,62900000,33100000,-7200000,75200000,-60700000,42800000,-26800000,61500000,65500000,46400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945114/000094511421000010/0000945114-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/945114/000094511422000009/0000945114-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
