,https://roic.ai/company/BPMP,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,-15000000,- -,-468000000,- -
91,Common Stock Issued,- -,- -,814658000,- -,- -,- -,- -
92,Common Stock Repurchased,-47474000,- -,-37830000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-823852000,-106161000,-134737000,-150400000,- -
94,Other Financing Activites,- -,-46415000,5487000,40818000,-23191000,443700000,- -
95,Cash Used/Provided by Financing Activities,-47474000,-46415000,-41537000,-80343000,-157928000,-174700000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,24276000,41861000,28100000,- -
98,Cash at the End of Period,- -,- -,32694000,56970000,98831000,126900000,- -
99,Cash at the Beginning of Period,- -,- -,- -,32694000,56970000,98800000,126900000
100,Free Cash Flow,47474000,46415000,66984000,172179000,188251000,186900000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708301/000170830118000014/0001708301-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830119000007/0001708301-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830120000011/0001708301-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830121000008/0001708301-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1708301/000170830122000006/0001708301-22-000006-index.htm
102,false,,,,,,,
