,https://roic.ai/company/TSQ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,10507000,7737000,15889000,-13806000,699000,-15028000,-24206000,9755000
76,Stock Based Compensation,- -,- -,37739000,4278000,4253000,748000,1502000,2592000,2084000,3718000
77,Change in Working Capital,-6678000,27046000,-18243000,880000,16353000,7623000,2369000,22338000,-1271000,7462000
78,Accounts Receivable,-7514000,-4202000,-6757000,-2015000,-5806000,-864000,-1234000,-6419000,171000,-3070000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-106000,385000,-2086000,33000,-2463000,669000,-3311000,2387000,-5141000,- -
81,Other Working Capital,31440000,58486000,40243000,41123000,57476000,65099000,67468000,89806000,88535000,-3876000
82,Other Non-Cash Items,5301000,-22417000,15753000,-14359000,-23728000,41621000,46033000,72015000,117244000,4374000
83,Cash Provided by Operating Activities,19847000,26204000,45262000,25943000,59802000,50684000,36634000,39990000,31488000,61143000
84,CAPEX,-10150000,-9526000,-14041000,-15101000,-20937000,-22974000,-18121000,-19676000,-15189000,-12423000
85,Acquisitions Net,-133776000,-276799000,-26076000,-76213000,-2160000,-5511000,-24785000,-787000,- -,- -
86,Purchases of Investments,-234000,- -,- -,- -,- -,-857000,- -,- -,-400000,-278000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,573000,- -,716000
88,Other Investing Activites,1704000,155000,-102000,19160000,2118000,942000,850000,2925000,1312000,1347000
89,Cash Used for Investing Activites,-142200000,-286170000,-39709000,-71777000,-20968000,-28250000,-42056000,-16965000,-14036000,-10638000
90,Debt Repayment,-252411000,-1164000,-123897000,-553711000,-19546000,-7278000,-11337000,-9000,-63573000,-550240000
91,Common Stock Issued,- -,- -,98157000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-159000,- -,- -,- -,- -,- -,-400000,- -,-1400000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-6179000,-8278000,-4201000,-60000
94,Other Financing Activites,372077000,284631000,-998000,608142000,-169000,-676000,-545000,-1657000,48884000,468471000
95,Cash Used/Provided by Financing Activities,119666000,283308000,-26738000,54431000,-19715000,-7954000,-18061000,-10344000,-18890000,-83229000
96,Effect of Forex Changes on Cash,- -,- -,- -,239000,-877000,-45000,-124000,- -,- -,- -
97,Net Change In Cash,-2687000,23342000,-21185000,8836000,18242000,13755000,185000,23765000,-1438000,-32724000
98,Cash at the End of Period,22305000,45647000,24462000,33298000,51540000,65295000,61390000,85161000,83723000,50999000
99,Cash at the Beginning of Period,24992000,22305000,45647000,24462000,33298000,51540000,61205000,61396000,85161000,83723000
100,Free Cash Flow,9697000,16678000,31221000,10842000,38865000,27710000,18513000,20314000,16299000,48720000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1499832/000149983215000019/0001499832-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983216000089/0001499832-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983217000011/0001499832-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000162828018003129/0001628280-18-003129-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983219000018/0001499832-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983220000033/0001499832-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983221000046/0001499832-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1499832/000149983222000027/0001499832-22-000027-index.htm
102,false,,,,,,,,,,
