,https://roic.ai/company/VPG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,1647000,4847000,2842000,3473000,2489000,4076000,1995000,2151000,4195000,6172000,1428000,2816000,5199000
51,Deferred Revenue,- -,- -,- -,- -,6099000,5167000,3004000,2468000,3229000,5328000,4561000,2873000,4765000
52,Other Current Liabilities,31343000,26166000,25121000,22755000,25346000,27872000,28015000,23567000,31130000,33339000,28138000,30158000,40377000
53,Total Current Liabilities,37332000,37703000,36764000,32112000,45840000,48530000,41143000,36922000,51915000,54782000,88911000,47547000,64628000
54,Long-Term Debt,1551000,11692000,11463000,11154000,22936000,17713000,31591000,33529000,28477000,22421000,17000,60130000,85854000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5993000,4212000,2873000,1831000,1259000,1756000,334000,735000,2300000,2200000,3478000,3403000,5848000
57,Other Non-Current Liabilities,16690000,18176000,20567000,21268000,18518000,20730000,18792000,27767000,30555000,28527000,36255000,32950000,28517000
58,Total Non-Current Liabilities,24234000,34080000,34903000,34253000,42713000,40199000,50717000,62031000,61332000,53148000,39750000,96483000,120219000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2827000,23515000,29750000
61,Total Liabilities,61566000,71783000,71667000,66365000,88553000,88729000,91860000,98953000,113247000,107930000,128661000,144030000,184847000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1334000,1335000,1338000,1374000,1376000,1379000,1381000,1391000,1410000,1415000,1420000,1425000
64,Retained Earnings,- -,5894000,16665000,28356000,32647000,36500000,22327000,28731000,43076000,66569000,89288000,100075000,120296000
65,Other Comprehensive Income/Loss,-9168000,-10585000,-13973000,-14983000,-19027000,-26452000,-33121000,-40337000,-35450000,-37465000,-37703000,-32671000,-35008000
66,Other Total Stockholders Equity,- -,180142000,180758000,181938000,188424000,189500000,181671000,181608000,184139000,187901000,188360000,188999000,190386000
67,Total Stockholders Equity,148090000,176785000,184785000,196649000,203418000,200924000,172256000,171383000,193156000,218415000,241360000,257823000,277099000
68,Total Liabilities And Stockholders Equity,209656000,248568000,256452000,263014000,291971000,289653000,264116000,270336000,306403000,326345000,370021000,401853000,461946000
69,Minority Interest,123000,145000,153000,159000,133000,234000,185000,174000,148000,38000,392000,34000,-57000
70,Total Liabilities & Equity,209779000,248713000,256605000,263173000,292104000,289887000,264301000,270510000,306551000,326383000,370413000,401887000,461889000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1487952/000120677411000602/0001206774-11-000602-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000120677412001017/0001206774-12-001017-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000120677413001032/0001206774-13-001032-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795214000005/0001487952-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795215000011/vpg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795216000067/0001487952-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795217000008/0001487952-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795218000006/0001487952-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795219000008/0001487952-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795220000007/0001487952-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795221000006/0001487952-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795222000006/0001487952-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,1704000,11706000,10771000,11691000,4291000,3853000,-13008000,6404000,14345000,23646000,22188000,10787000,20221000
74,Depreciation and Amortization,11465000,10578000,11321000,11661000,11990000,11677000,11097000,11149000,10626000,10631000,11795000,12507000,14996000
75,Deferred Income Tax,139000,-1971000,-1961000,-4871000,-2324000,-3392000,10013000,301000,1890000,1011000,-2556000,1153000,-3256000
76,Stock Based Compensation,- -,- -,961000,1170000,743000,1008000,1083000,37000,1499000,1799000,1336000,1387000,2244000
77,Change in Working Capital,14940000,-2104000,-5168000,-187000,-1263000,661000,-3764000,-5278000,-8443000,-7102000,-4091000,2866000,-1791000
78,Accounts Receivable,9407000,-10829000,41000,5313000,-6773000,513000,982000,1322000,-10537000,-7757000,11369000,-753000,-8038000
79,Inventory,11694000,-5719000,-3070000,-1643000,4738000,-1229000,-3961000,-1968000,-4307000,-5095000,-619000,2986000,-8626000
80,Accounts Payable,-2821000,5750000,-33000,-2235000,252000,526000,-2550000,237000,2009000,-819000,-2273000,59000,3292000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,988000,3486000,-332000,1630000,1160000,10187000,8507000,-1193000,2812000,5394000,2260000,6613000,1123000
83,Cash Provided by Operating Activities,29236000,21695000,15592000,21094000,14597000,23994000,13928000,11420000,22729000,35379000,30932000,35313000,33537000
84,CAPEX,-2181000,-8398000,-16291000,-8322000,-6748000,-9759000,-9978000,-10425000,-6960000,-14521000,-11196000,-22949000,-17061000
85,Acquisitions Net,- -,- -,- -,- -,-48919000,- -,-20022000,-10626000,- -,- -,-40481000,156000,-47216000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,69000,-8342000,-16144000,360000,-6667000,-9676000,-9861000,-6222000,-6419000,-14389000,-10581000,-21966000,-16830000
89,Cash Used for Investing Activites,69000,-8342000,-16144000,-7962000,-55586000,-9676000,-29883000,-16848000,-6419000,-14389000,-51062000,-21810000,-64046000
90,Debt Repayment,-569000,-193000,-136000,-181000,-3148000,-4137000,-18119000,-22133000,-43628000,-24603000,-4618000,-3493000,-18000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-32000,-8733000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-37433000,7311000,-98000,-67000,24534000,-72000,28484000,24985000,40622000,21090000,21094000,-1538000,18834000
95,Cash Used/Provided by Financing Activities,-38002000,7118000,-234000,-248000,21386000,-4241000,1632000,2852000,-3006000,-3513000,16476000,-5031000,18816000
96,Effect of Forex Changes on Cash,1508000,-1418000,-631000,169000,-1493000,-3220000,-2678000,-1613000,2536000,-1610000,405000,3056000,-2410000
97,Net Change In Cash,-7189000,19053000,-1417000,13053000,-21096000,6857000,-17001000,-4189000,15840000,15867000,-3249000,11528000,-14103000
98,Cash at the End of Period,63192000,82245000,80828000,93881000,72785000,79642000,62641000,58452000,74292000,90159000,86910000,98438000,84335000
99,Cash at the Beginning of Period,70381000,63192000,82245000,80828000,93881000,72785000,79642000,62641000,58452000,74292000,90159000,86910000,98438000
100,Free Cash Flow,27055000,13297000,-699000,12772000,7849000,14235000,3950000,995000,15769000,20858000,19736000,12364000,16476000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1487952/000120677411000602/0001206774-11-000602-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000120677412001017/0001206774-12-001017-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000120677413001032/0001206774-13-001032-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795214000005/0001487952-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795215000011/vpg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795216000067/0001487952-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795217000008/0001487952-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795218000006/0001487952-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795219000008/0001487952-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795220000007/0001487952-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1487952/000148795221000006/0001487952-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1487952/000148795222000006/0001487952-22-000006-index.htm
102,false,,,,,,,,,,,,,
