,https://roic.ai/company/PTMN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,4670540,26141985,-9567327,34403270,-14288677,7649544,26125779,17222972,15033594,-18634558,-1039731,3388082,-9571546,-12499961,31572678,26026000
24,Net Income ratio,4.0546,0.6794,-0.1944,1.0149,-0.4868,0.2731,0.7766,0.6520,0.6116,2.0663,-0.1375,0.2612,-89.1753,26.6502,0.8393,0.6976
25,EPS,2.60,14.50,-4.70,15.60,-6.30,3.30,10.00,5.30,4.40,-5.00,-0.30,0.90,-2.60,-3.30,6.30,3.05
26,EPS Diluted,2.60,14.50,-4.70,15.60,-6.30,3.30,9.50,5.30,4.30,-5.00,-0.30,0.90,-2.60,-3.30,6.30,3.05
27,Weighted Average Shares Outstanding,1794633,1797734,2027643,2210580,2228308,2286864,2601151,3228016,3424834,3696444,3714966,3723513,3735624,3764165,4998758,8536079
28,Weighted Average Shares Outstanding Diluted,1794633,1797734,2045532,2210580,2228308,2288067,3337959,3229500,3425997,3696444,3714966,3723513,3735624,3764165,4998758,8536079
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1372807/000114420409014223/0001144204-09-014223-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1372807/000114420412015339/0001144204-12-015339-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420413015677/0001144204-13-015677-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420414015252/0001144204-14-015252-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000114420415019659/0001144204-15-019659-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000114420416086925/0001144204-16-086925-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420417013562/0001144204-17-013562-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420418013345/0001144204-18-013345-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420419010226/0001144204-19-010226-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000156459020009063/0001564590-20-009063-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000156459021012529/0001564590-21-012529-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000095017022003385/0000950170-22-003385-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,32404493,12088529,251412,4140408,10175488,2555259,738756,3433675,1220798,- -,1307257,2034095,5417125,136864,6990008,28919000
32,Short-Term Investments,249212379,505311692,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,452482000
33,Cash and Short-Term Investments,281616872,517400221,251412,4140408,10175488,2555259,738756,3433675,1220798,- -,1307257,2034095,5417125,136864,6990008,481401000
34,Net Receivables,602085,6133410,4559189,6833805,11106671,3411568,2908218,5157818,4776230,3929719,4597429,5288514,2350601,26260592,28437312,5514000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2119991,19336223,67354231,2375147,- -,4078939,- -,- -,- -,- -,- -,-26260592,-35420330,- -
37,Total Current Assets,- -,- -,6930592,30310436,88636390,8341974,- -,12670432,- -,- -,- -,- -,- -,136864,6990,486915000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,249212379,505311692,514225273,409105621,191186296,239791687,312044763,440549994,479706494,409570495,366471304,311956156,273308349,277897166,487737449,97503000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1716446,- -,- -,- -,- -,5951962,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,515941719,409105621,191186296,239791687,- -,446501956,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,282375847,533141959,- -,- -,- -,- -,319260473,- -,510446797,425242341,381371983,319808974,285464681,310237399,600171431,161386000
47,Total Assets,282375847,533141959,522872311,439416057,279822686,248133661,319260473,459172388,510446797,425242341,381371983,319808974,285464681,310374263,600178421,648301000
48,Accounts Payable,- -,12046892,5019403,3057742,2337767,3527682,9984814,16210322,31214503,3446133,10862434,36565998,26927656,1523467,2878439,- -
49,Short-Term Debt,- -,255000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,-247946892,5879660,4412228,3812670,4080037,15186,- -,31007,554337,56,25082,115824,2788433,-2066928,- -
53,Total Current Liabilities,- -,19100000,10899063,7469970,6150437,7607719,10000000,16210322,31245510,4000470,10862490,36591080,27043480,4311900,811511,- -
54,Long-Term Debt,- -,255000000,261691148,218050363,86746582,60000000,- -,192592373,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,101400000,- -,223884590,201103760,175584570,101413320,100400190,153863790,- -,- -
58,Total Non-Current Liabilities,- -,255000000,261691148,218050363,86746582,60000000,101400000,192592373,223884590,201103760,175584570,101413320,100400190,153863790,- -,- -
59,Other Liabilities,25975424,- -,- -,- -,- -,- -,- -,- -,- -,406245161,- -,- -,- -,307727583,383103047,368179000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,25975424,274073795,272590211,225520333,92897019,67607719,111384814,208802695,255130096,209141871,186447058,138004398,127443670,158175693,383914558,368179000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,179463,180177,214369,220611,224274,226648,264382,333472,367751,371000,371783,373392,373268,448297,751642,97000
64,Retained Earnings,416753,-1661884,977904,1326380,818664,1008783,103484,-6102017,-25579865,-21638184,-14630319,-9987928,-149136644,-299603106,-422947327,- -
65,Other Comprehensive Income/Loss,- -,6000000,-84000000,-69000000,-96000000,-104000000,-103000000,-96000000,-107000000,-146000000,-159000000,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,255804207,254549871,333089827,281348733,281882729,283290511,310507793,352138238,387528815,383367654,368183461,191419112,306784387,451353379,638459548,- -
67,Total Stockholders Equity,256400423,259068164,250282100,213895724,186925667,180525942,207875659,250369693,255316701,216100470,194924925,181804576,158021011,152198570,216263863,280122000
68,Total Liabilities And Stockholders Equity,282375847,533141959,522872311,439416057,279822686,248133661,319260473,459172388,510446797,425242341,381371983,319808974,285464681,310374263,600178421,648301000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,282375847,533141959,522872311,439416057,279822686,248133661,319260473,459172388,510446797,425242341,381371983,319808974,285464681,310374263,600178421,648301000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1372807/000114420409014223/0001144204-09-014223-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1372807/000114420412015339/0001144204-12-015339-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420413015677/0001144204-13-015677-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420414015252/0001144204-14-015252-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000114420415019659/0001144204-15-019659-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000114420416086925/0001144204-16-086925-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420417013562/0001144204-17-013562-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420418013345/0001144204-18-013345-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420419010226/0001144204-19-010226-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000156459020009063/0001564590-20-009063-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000156459021012529/0001564590-21-012529-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000095017022003385/0000950170-22-003385-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,4670540,26141985,-9567327,34403270,-14288677,7649544,26125779,17222972,15033594,-18634558,-1039731,3388082,-9571546,-12499961,31572678,26026000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165039,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,888368,909121,919112,772650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1033405,15131529,26808937,59645487,-81751698,-10734255,6460110,-27705620,27245040,-6862020,-25728590,9547600,22868444,3370515,487719521,9257000
78,Accounts Receivable,-758975,-7868399,- -,- -,- -,-8135,- -,-914434,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1792380,4349512,- -,- -,- -,- -,- -,5295858,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-19100000,-3968471,22840466,82485953,734255,-10000000,-3539890,-31245510,-4000470,-10862490,-36591080,-27043480,-4175036,-804521,486915000,- -
82,Other Non-Cash Items,-172750840,-292427573,-24703013,-11401948,294987326,-28659748,-53388271,-95502011,-48946834,62690500,78305420,76170643,10857505,-6769562,-397615491,25866000
83,Cash Provided by Operating Activities,-167046895,-251154059,-6573035,83555930,199866063,-30971809,-20802382,-105984659,-6668200,37193922,51537099,89106325,24154403,-16064047,121676708,61149000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,-43308852,-43640786,-131303781,-86746582,-30000000,-2206000,-11288413,-19348000,-27160364,-153880925,-50425506,-171500168,-79340827,-193476000
91,Common Stock Issued,199451388,- -,26925244,1223,647,- -,- -,50404236,23772408,1812,60,1396,60,- -,571843,4020000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-345,-93,-564,- -,-862871,-1827000
93,Dividends Paid,- -,-17047541,-28179592,-19451339,-14200702,-14554554,-20927645,-33515661,-33307511,-31016373,-21431241,-17411479,-14672972,-11744348,-10548724,-19647000
94,Other Financing Activites,- -,247885636,49298877,-16576032,-48327147,124652716,69913524,93997003,25278839,11947841,-1637952,74383316,48234950,195088452,46302936,135218000
95,Cash Used/Provided by Financing Activities,199451388,230838095,4735677,-79666934,-193830983,23351580,18985879,108679578,4455323,-38414720,-50229842,-96907785,-16864032,11843936,-43877643,-75712000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-20315964,-1837358,3888996,6035080,-7620229,-1816503,2694919,-2212877,- -,- -,-7801460,7290371,-4220111,77799064,-14563000
98,Cash at the End of Period,32404493,12088529,251412,4140408,10175488,2555259,738756,3433675,1220798,- -,1307257,2034095,9324466,5104355,82903419,68340000
99,Cash at the Beginning of Period,- -,32404493,2088770,251412,4140408,10175488,2555259,738756,3433675,1220798,- -,9835555,2034095,9324466,5104355,82903000
100,Free Cash Flow,-167046895,-251154059,-6573035,83555930,199866063,-30971809,-20802382,-105984659,-6668200,37193922,51537099,89106325,24154403,-16064047,121676708,61149000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1372807/000114420409014223/0001144204-09-014223-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1372807/000114420412015339/0001144204-12-015339-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420413015677/0001144204-13-015677-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420414015252/0001144204-14-015252-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000114420415019659/0001144204-15-019659-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000114420416086925/0001144204-16-086925-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420417013562/0001144204-17-013562-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420418013345/0001144204-18-013345-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000114420419010226/0001144204-19-010226-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000156459020009063/0001564590-20-009063-index.html,https://www.sec.gov/Archives/edgar/data/1372807/000156459021012529/0001564590-21-012529-index.htm,https://www.sec.gov/Archives/edgar/data/1372807/000095017022003385/0000950170-22-003385-index.htm
102,false,,,,,,,,,,,,,,,,
