,https://roic.ai/company/PRMW,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,18400000,26600000,21700000,13400000,27400000,14700000,30900000,48200000,100900000,179400000,47200000,86200000,77100000,118100000,91900000,170800000,205500000,115100000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,18400000,26600000,21700000,13400000,27400000,14700000,30900000,48200000,100900000,179400000,47200000,86200000,77100000,118100000,91900000,170800000,205500000,115100000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136200000,148800000,184300000,191100000,203600000,232700000,172100000,173100000,213900000,220700000,200600000,205500000,307300000,294900000,403900000,285000000,308300000,279300000,222300000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,94400000,122800000,144200000,131200000,130100000,111100000,99700000,215500000,210000000,224800000,233100000,271300000,249400000,301400000,127600000,129600000,122500000,83800000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,5500000,9700000,9500000,22000000,12700000,12300000,16800000,32700000,19300000,20300000,19300000,59300000,17200000,29800000,429400000,27200000,35000000,21300000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224700000,267100000,343400000,366500000,370200000,402900000,310200000,320500000,510300000,550900000,625100000,505100000,724100000,638600000,853200000,933900000,635900000,642300000,442500000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000000,314300000,313700000,394200000,360200000,388400000,346800000,343000000,503800000,482200000,490900000,483700000,855600000,769800000,929900000,584200000,624700000,850900000,866200000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158400000,108300000,27000000,30600000,130200000,129600000,130300000,137300000,743600000,759600000,1175400000,1104700000,1143900000,1175700000,1284300000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287700000,327400000,364900000,410700000,240800000,225600000,169600000,155500000,371100000,341100000,293900000,284500000,737900000,684100000,939700000,751100000,739200000,701400000,987600000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287700000,327400000,364900000,410700000,399200000,333900000,196600000,186100000,501300000,470700000,424200000,421800000,1481500000,1443700000,2115100000,1855800000,1883100000,1877100000,2271900000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,10300000,5400000,2500000,4100000,3300000,3600000,2500000,7600000,200000,2300000,100000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,10400000,9200000,18800000,11300000,1000000,22400000,11900000,44000000,27600000,41300000,716900000,31700000,20600000,24100000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,560700000,641700000,678600000,804900000,769300000,746000000,562900000,553300000,1018900000,958000000,940800000,921000000,2383600000,2248700000,3086500000,3159200000,2539600000,2748600000,3162200000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,785400000,908800000,1022000000,1171400000,1139500000,1148900000,873100000,873800000,1529200000,1508900000,1565900000,1426100000,3107700000,2887300000,3939700000,4093100000,3175500000,3390900000,3604700000,- -
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127300000,140500000,79100000,182500000,89800000,189000000,98900000,84500000,146100000,165800000,166900000,197300000,231700000,227200000,339900000,197200000,206100000,200400000,135200000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37800000,81400000,72200000,158700000,109700000,139400000,115100000,37800000,13900000,3400000,1900000,54700000,233000000,125400000,212700000,225400000,92000000,141500000,161100000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66100000,- -,96700000,10900000,67900000,84800000,162700000,115300000,120800000,100900000,188600000,210400000,257500000,510800000,262900000,265700000,252500000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165100000,221900000,217400000,341200000,296200000,339300000,281900000,207100000,322700000,284500000,289600000,352900000,653300000,563000000,810100000,933400000,561000000,607600000,548800000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339300000,275700000,272500000,272300000,275200000,269000000,294400000,233200000,605500000,602100000,601800000,403500000,1565000000,1525400000,1988000000,2061600000,1250200000,1428000000,1493100000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53500000,58500000,34100000,16000000,17500000,43600000,34100000,39100000,41500000,119900000,76500000,157800000,98400000,124300000,127400000,148100000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36200000,40500000,51000000,- -,- -,54700000,34300000,14700000,22200000,20000000,12500000,22300000,71800000,76500000,110000000,114000000,69600000,61700000,67800000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375500000,316200000,323500000,325800000,333700000,357800000,344700000,265400000,671300000,656200000,653400000,467300000,1756700000,1678400000,2255800000,2274000000,1444100000,1617100000,1709000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,7200000,5200000,2900000,7500000,6400000,5000000,240400000,255000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540600000,538100000,540900000,667000000,629900000,697100000,626600000,472500000,994000000,940700000,943000000,820200000,2410000000,2241400000,3065900000,3207400000,2005100000,2224700000,2257800000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248100000,267900000,287000000,291400000,273400000,275000000,- -,- -,- -,- -,397800000,392800000,388300000,534700000,909300000,917100000,899400000,892300000,1268000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,83300000,161600000,186200000,168700000,93100000,-29700000,51800000,106500000,144100000,186000000,176300000,158100000,129600000,22900000,-12200000,298800000,265000000,81100000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35800000,-6100000,8700000,4300000,16800000,31900000,-47800000,-21300000,-17500000,-24700000,-12400000,-16800000,-51000000,-76200000,-117900000,-94400000,-101700000,-68500000,-86700000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162700000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218200000,345100000,457300000,481900000,488700000,432200000,229200000,386000000,522200000,555800000,611800000,596400000,690800000,639300000,868500000,879600000,1170400000,1166200000,1346900000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758800000,883200000,998200000,1148900000,1118600000,1129300000,855800000,858500000,1516200000,1496500000,1554800000,1416600000,3100800000,2880700000,3934400000,4087000000,3175500000,3390900000,3604700000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26600000,25600000,23800000,22500000,20900000,19600000,17300000,15300000,13000000,12400000,11100000,9500000,6900000,6600000,5300000,6100000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,785400000,908800000,1022000000,1171400000,1139500000,1148900000,873100000,873800000,1529200000,1508900000,1565900000,1426100000,3107700000,2887300000,3939700000,4093100000,3175500000,3390900000,3604700000,- -
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884713/000088471321000004/0000884713-21-000004-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,6900000,10100000,26600000,24700000,-21400000,25300000,-109500000,18500000,25400000,39900000,3900000,77400000,78300000,24600000,-17500000,-71400000,-122800000,81500000,54700000,37600000,47800000,17000000,10800000,14500000,-77800000,-1400000,382900000,2900000,-131700000,- -
74,Depreciation and Amortization,- -,1400000,3400000,8100000,13300000,27800000,35100000,43700000,39100000,39000000,42100000,45800000,52700000,60700000,71000000,87900000,73500000,80700000,66200000,74000000,95300000,97700000,100800000,110700000,223800000,238700000,188600000,194600000,192800000,202100000,- -
75,Deferred Income Tax,- -,1400000,1800000,6300000,100000,-5500000,4700000,-6900000,-6100000,20100000,9300000,9800000,9600000,9100000,-6500000,-6600000,100000,-13400000,6200000,17000000,- -,3800000,900000,-65800000,-30400000,21200000,-33900000,-6700000,-2100000,200000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,4700000,2900000,4900000,4000000,5800000,10300000,9400000,17500000,17300000,12400000,22100000,- -
77,Change in Working Capital,- -,-6500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,59600000,-14400000,80800000,-100700000,48700000,-10400000,-35300000,85100000,74200000,78800000,69100000,-183300000,-81400000,4800000,-32500000,-42600000,74400000,-40200000,-141000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20800000,-3900000,-5000000,15000000,13900000,1500000,4500000,18500000,-8000000,-10800000,15100000,14200000,- -
79,Inventory,- -,-12900000,-14900000,-28700000,-37200000,-5900000,400000,14800000,8300000,2100000,1700000,-3500000,-11000000,-22800000,-15400000,15200000,7000000,6400000,16000000,-28400000,6500000,-12100000,-1000000,12900000,6500000,22600000,-2000000,-500000,-7500000,1000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-600000,-6800000,-3300000,12800000,7300000,29200000,20300000,-35200000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59600000,45200000,126000000,25300000,74000000,63600000,28300000,113400000,187600000,266400000,335500000,152200000,70800000,75600000,43100000,500000,74900000,34700000,-106300000,- -
82,Other Non-Cash Items,- -,100000,1400000,-47000000,-25000000,-19500000,-10300000,61500000,4400000,7000000,2100000,-28500000,17400000,-126200000,140700000,-3100000,87700000,157700000,-85200000,-46200000,-51100000,-50300000,215800000,76600000,31600000,110800000,150500000,-515800000,81000000,224500000,- -
83,Cash Provided by Operating Activities,- -,3300000,16700000,-6000000,13100000,-18600000,54800000,-11200000,55900000,91500000,93400000,90600000,142700000,102700000,129100000,109400000,79500000,66900000,155100000,178400000,163500000,173000000,155200000,56700000,254600000,269800000,278700000,146700000,246800000,176200000,- -
84,CAPEX,- -,-9000000,-14100000,-25800000,-52000000,-25200000,-51700000,-39600000,-43500000,-23900000,-35800000,-41200000,-49100000,-50300000,-75800000,-48100000,-77200000,-59300000,-33900000,-48200000,-54500000,-74900000,-61500000,-53600000,-115400000,-147900000,-126900000,-144000000,-125500000,-123300000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55500000,-127600000,-30600000,- -,-38400000,-135100000,- -,-2200000,- -,- -,-507700000,-34300000,-9700000,-11200000,-798500000,-24000000,-959400000,-35500000,-151200000,-25800000,-446100000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,- -,- -,- -
88,Other Investing Activites,- -,-400000,-28900000,-31200000,-45600000,-25800000,-23000000,-2500000,37900000,17000000,4800000,-500000,-52700000,-4700000,-6800000,1600000,1300000,4500000,100000,-3000000,-7100000,-1000000,-5100000,-5100000,35100000,2600000,-41500000,1216900000,-7400000,382100000,- -
89,Cash Used for Investing Activites,- -,-9400000,-43000000,-57000000,-97600000,-51000000,-74700000,-42100000,-5600000,-62400000,-158600000,-72300000,-101800000,-93400000,-217700000,-46500000,-78100000,-54800000,-32200000,-554700000,-90200000,-80400000,-71900000,-850300000,-99700000,-1096600000,-198300000,942800000,-147800000,-178000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1122100000,-397700000,-238700000,-27800000,-302900000,-1173200000,-1105500000,-2323900000,-101500000,-281900000,-69800000,-880300000,- -
91,Common Stock Issued,- -,9200000,27700000,126900000,100000,4000000,7600000,40700000,- -,100000,8000000,5800000,12300000,14300000,3600000,400000,500000,- -,47500000,71100000,300000,- -,- -,- -,143100000,366800000,3500000,6400000,1200000,3400000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,- -,- -,- -,-300000,-13000000,-12100000,-149600000,-5700000,-3800000,-74900000,-31800000,-33200000,- -
93,Dividends Paid,- -,-600000,-1700000,-2700000,-3800000,-5000000,-1100000,-2200000,- -,- -,-700000,-3900000,-4100000,-5900000,-5800000,- -,- -,- -,- -,- -,- -,-5800000,-21900000,-22800000,-31000000,-31400000,-33400000,-33400000,-32500000,-39600000,- -
94,Other Financing Activites,- -,2900000,5000000,-5700000,47000000,108800000,15600000,-27800000,-76400000,-23300000,55400000,-21500000,-34800000,-10900000,86700000,-71700000,11900000,-12900000,967100000,719900000,218100000,17700000,124500000,2043800000,982900000,2869900000,88300000,-682500000,66900000,858600000,- -
95,Cash Used/Provided by Financing Activities,- -,11500000,31000000,118500000,43300000,107800000,22100000,-19300000,-76400000,-23200000,62700000,-19600000,-26600000,-2500000,84500000,-71300000,12400000,-19300000,-107500000,393300000,-20300000,-16200000,-213300000,835700000,-160100000,875700000,-46900000,-1066300000,-66000000,-91100000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-2900000,600000,-900000,-200000,700000,800000,1400000,-800000,100000,200000,-5500000,800000,300000,-300000,2100000,-2200000,-3100000,-3900000,-7900000,6300000,-10300000,1700000,2500000,- -
97,Net Change In Cash,- -,11500000,31000000,118500000,43300000,107800000,22100000,-19300000,-25500000,5000000,-2700000,-600000,15100000,8200000,-4900000,-8300000,14000000,-12700000,16200000,17300000,52700000,78500000,-132200000,39000000,-9100000,41000000,39800000,12900000,34700000,-90400000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,2600000,7200000,3900000,3300000,18400000,26600000,21700000,13400000,27400000,14700000,30900000,48200000,100900000,179400000,47200000,86200000,77100000,118100000,157900000,170800000,205500000,115100000,- -
99,Cash at the Beginning of Period,- -,-6600000,-1200000,3400000,55100000,14300000,53600000,103600000,28100000,2200000,6600000,3900000,3300000,18400000,26600000,21700000,13400000,27400000,14700000,30900000,48200000,100900000,179400000,47200000,86200000,77100000,118100000,157900000,170800000,205500000,- -
100,Free Cash Flow,- -,-5700000,2600000,-31800000,-38900000,-43800000,3100000,-50800000,12400000,67600000,57600000,49400000,93600000,52400000,53300000,61300000,2300000,7600000,121200000,130200000,109000000,98100000,93700000,3100000,139200000,121900000,151800000,2700000,121300000,52900000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884713/000088471321000004/0000884713-21-000004-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
