,https://roic.ai/company/ITRM,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-11298000,-30604000,-75890000,-78885000,-54528000,-15842000
84,CAPEX,- -,-812000,-90000,-24000,-11000,-61000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-53275000,-96493000,- -,- -,-67034000
87,Sales/Maturities of Investments,- -,22500000,87925000,40125000,- -,12500000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-31587000,-8658000,40101000,-11000,-54595000
90,Debt Repayment,- -,- -,- -,-1034000,-6233000,-6516000
91,Common Stock Issued,- -,- -,74153000,- -,69964000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20851000,45867000,46689000,60000,744000,89643000
95,Cash Used/Provided by Financing Activities,20851000,45867000,120842000,-974000,64475000,83127000
96,Effect of Forex Changes on Cash,- -,- -,-108000,-22000,-11000,4000
97,Net Change In Cash,9553000,-16324000,36186000,-39780000,9925000,12694000
98,Cash at the End of Period,24809000,8485000,44671000,4891000,14816000,27510000
99,Cash at the Beginning of Period,15256000,24809000,8485000,44671000,4891000,14816000
100,Free Cash Flow,-11298000,-31416000,-75980000,-78909000,-54539000,-15903000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1659323/000156459019009089/0001564590-19-009089-index.html,https://www.sec.gov/Archives/edgar/data/1659323/000156459020010242/0001564590-20-010242-index.html,https://www.sec.gov/Archives/edgar/data/1659323/000156459021012694/0001564590-21-012694-index.htm,https://www.sec.gov/Archives/edgar/data/1659323/000156459022011897/0001564590-22-011897-index.htm
102,false,,,,,,
