,https://roic.ai/company/TCCO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/96699/000100468395000003/0001004683-95-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000092701600004507/0000927016-00-004507-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000119312503099066/0001193125-03-099066-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312504219229/0001193125-04-219229-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312505247778/0001193125-05-247778-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312506260948/0001193125-06-260948-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000136231007003381/0001362310-07-003381-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000136231008008462/0001362310-08-008462-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012309071975/0000950123-09-071975-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012310115828/0000950123-10-115828-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012311103881/0000950123-11-103881-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312512513200/0001193125-12-513200-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312513479174/0001193125-13-479174-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312514450648/0001193125-14-450648-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312515407793/0001193125-15-407793-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000114420416141277/0001144204-16-141277-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000114420417065891/0001144204-17-065891-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184319004124/0001171843-19-004124-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184319008104/0001171843-19-008104-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184320008787/0001171843-20-008787-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184321008672/0001171843-21-008672-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2000000,1500000,1600000,1300000,100000,100000,100000,530000,-1240000,480000,-1220000,-1740314,-4660000,-960000,460000,1130000,-30000,-94174,850000,1060000,940000,7870000,2270000,-840000,-710000,-2560000,-1821900,-2472290,-1429006,-1479600,631430,-910650,-1088386
74,Depreciation and Amortization,- -,- -,- -,- -,100000,100000,100000,200000,200000,300000,500000,900000,900000,900000,900000,733980,425277,184803,106979,56534,45533,30031,34381,61144,119530,171349,214694,216538,199114,201831,199251,158838,98750,48213,27942,22148,14328
75,Deferred Income Tax,- -,- -,- -,- -,-900000,600000,-300000,200000,100000,- -,- -,- -,- -,- -,-200000,292478,157500,- -,- -,- -,- -,- -,- -,-75000,-491294,97793,-30270,-119307,-276381,894459,- -,- -,- -,-33870,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116363,133585,305072,238860,205028,213243,124918,13910,14996,30292,55068,55526,52404
77,Change in Working Capital,- -,- -,- -,- -,3800000,- -,- -,- -,- -,- -,8700000,-560000,-990000,660000,-20000,-1547011,-3922989,-770000,530000,1160000,-30000,-63519,933519,1330000,960000,4790000,1800000,-1280000,-2190000,-1960000,-1450940,-1687290,-945170,-1962750,698220,-838622,-735775
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111672,171798,-736674,-512755,4708,972625,-1362717,1679007,-618328,170684,433570,-8489,-146395
79,Inventory,- -,- -,- -,- -,900000,-200000,-500000,- -,- -,100000,100000,-200000,-800000,300000,100000,-416466,247208,-109757,182081,-57008,-201810,-56511,-403544,-12567,-494330,-198232,-665628,645506,14804,-102709,182585,-25711,-175425,-194416,326484,140161,-255331
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,8140000,7150000,7810000,7790000,6242989,2320000,1550000,2080000,3240000,3210000,3146481,4080000,5410000,6370000,11160000,12960000,11680000,9490000,7530000,6079060,4391770,3446600,1483850,2182070,1343448,-116829
82,Other Non-Cash Items,- -,- -,- -,- -,-100000,-4900000,400000,-900000,400000,700000,-9700000,2930000,-370000,-5040000,3140000,3272428,6518802,371006,-405877,-1188759,-977801,805406,-1020029,-1437135,340171,-4092482,-5369728,183924,2573315,3444572,960851,3033125,518163,3777208,-1785479,971051,-948805
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4900000,-2700000,1800000,800000,800000,1100000,-400000,3800000,-1700000,-3000000,2600000,1011561,-1481410,-1174191,691102,1157775,-992268,677744,797871,939009,1984770,8970245,-810232,-1599985,-198924,234105,-1987820,-953707,-1742267,379493,-372819,-700547,-2706234
84,CAPEX,- -,- -,- -,- -,-100000,-200000,-200000,-300000,-500000,-200000,-400000,-600000,-500000,-500000,-200000,-259393,-46268,-18264,-31633,-24223,-67567,-14547,-58350,-221254,-191565,-257279,-265678,-192715,-215418,-164792,-25957,-31000,-3575,-43662,-16220,-3396,- -
