,https://roic.ai/company/ONTX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),1279000,-7633000,101000,-32000,-35000,4050000,1658000,2748000,206000,-160000,333000
20,Income Before Tax,-26294000,-29912000,-62121000,-63776000,-24007000,-19653000,-24079000,-20534000,-21493000,-25153000,-16163000
21,Income Before Tax Ratio,-17.6826,-0.6476,-13.0699,-79.7200,-2.0956,-3.5436,-30.5959,-16.7215,-9.8456,-108.8874,-71.5177
22,Income Tax expense (Gain),- -,- -,435000,19000,16000,14000,13000,-124000,10000,4000,- -
23,Net Income,-26294000,-29912000,-62543000,-63682000,-23979000,-19667000,-24092000,-20573000,-21503000,-25157000,-16163000
24,Net Income ratio,-17.6826,-0.6476,-13.1586,-79.6025,-2.0931,-3.5462,-30.6125,-16.7533,-9.8502,-108.9048,-71.5177
25,EPS,-4416.38,-5309.95,-13769.86,-6614.93,-2362.48,-998.99,-602.99,-74.85,-22.35,-2.10,-0.96
26,EPS Diluted,-4416.38,-5309.95,-13769.86,-6614.93,-2362.48,-998.99,-602.99,-74.85,-22.35,-2.10,-0.96
27,Weighted Average Shares Outstanding,6864,5630,4708,9623,10106,19674,40001,274939,958969,11602449,16832198
28,Weighted Average Shares Outstanding Diluted,6864,5630,4708,9623,10106,19674,40001,274939,958969,11602449,16832198
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1130598/000104746914002718/0001047469-14-002718-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746915002952/0001047469-15-002952-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746916011628/0001047469-16-011628-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746917002146/0001047469-17-002146-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746918001777/0001047469-18-001777-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746919001839/0001047469-19-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746920001878/0001047469-20-001878-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000110465921038452/0001104659-21-038452-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000155837022004015/0001558370-22-004015-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,2713000,81527000,60009000,43582000,19799000,21400000,4024000,16970000,22726000,19025000,55070000
32,Short-Term Investments,- -,- -,39994000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2713000,81527000,100003000,43582000,19799000,21400000,4024000,16970000,22726000,19025000,55070000
34,Net Receivables,478000,- -,- -,- -,1504000,31000,59000,35000,98000,- -,28000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,627000,1725000,4387000,3323000,1882000,1638000,820000,760000,650000,759000,332000
37,Total Current Assets,3818000,83252000,104390000,46905000,23185000,23069000,4903000,17765000,23474000,19784000,55430000
38,PP&E,507000,463000,626000,420000,248000,152000,64000,9000,50000,- -,38000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,137000,137000,137000,12000,12000,12000,12000,149000,150000,- -,10000
45,Total Non-Current Assets,644000,600000,763000,432000,260000,164000,76000,158000,200000,- -,48000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4462000,83852000,105153000,47337000,23445000,23233000,4979000,17923000,23674000,19784000,55478000
48,Accounts Payable,5614000,5517000,3710000,4027000,3421000,5323000,6186000,4039000,4271000,4833000,2757000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,455000,3907000,788000,455000,455000,455000,455000,226000,226000,226000,226000
52,Other Current Liabilities,6012000,15954000,5840000,5777000,3729000,4382000,3335000,4173000,3795000,4962000,3132000
53,Total Current Liabilities,12081000,25378000,10338000,10259000,7605000,10160000,9976000,8438000,8292000,10021000,6115000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,10718000,15421000,13909000,13455000,5000000,4545000,4091000,3922000,3695000,3469000,3243000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,120082000,44000,6000,1000,- -,3401000,1773000,176000,113000,- -,- -
58,Total Non-Current Liabilities,130800000,15465000,13915000,13456000,5000000,7946000,5864000,4098000,3808000,3469000,3243000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7259000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,142881000,40843000,24253000,23715000,12605000,18106000,15840000,12536000,12100000,13811000,9358000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,22000,154000,215000,217000,255000,68000,108000,57000,1112000,1859000,209000
64,Retained Earnings,-138441000,-168353000,-230896000,-294578000,-318557000,-338224000,-362316000,-381896000,-403399000,- -,-444719000
65,Other Comprehensive Income/Loss,-1131000,-1348000,-1776000,-2205000,-1980000,-2076000,-2164000,-2219000,-2233000,14000,-14000
66,Other Total Stockholders Equity,1131000,212556000,312870000,319314000,330292000,344529000,352681000,389445000,416094000,4302000,444524000
67,Total Stockholders Equity,-138419000,43009000,80413000,22748000,10010000,4297000,-11691000,5387000,11574000,6175000,46120000
68,Total Liabilities And Stockholders Equity,4462000,83852000,104666000,46463000,22615000,22403000,4149000,17923000,23674000,19986000,55478000
69,Minority Interest,- -,- -,487000,874000,830000,830000,830000,- -,- -,-202000,- -
70,Total Liabilities & Equity,4462000,83852000,105153000,47337000,23445000,23233000,4979000,17923000,23674000,19784000,55478000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1130598/000104746914002718/0001047469-14-002718-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746915002952/0001047469-15-002952-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746916011628/0001047469-16-011628-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746917002146/0001047469-17-002146-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746918001777/0001047469-18-001777-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746919001839/0001047469-19-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746920001878/0001047469-20-001878-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000110465921038452/0001104659-21-038452-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000155837022004015/0001558370-22-004015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-26294000,-29912000,-62543000,-63682000,-23979000,-19667000,-24092000,-20573000,-21503000,-25157000,-16163000
74,Depreciation and Amortization,316000,319000,446000,434000,150000,96000,88000,55000,14000,13000,14000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,6000,13844000,8015000,5068000,3786000,3929000,1710000,1147000,1048000,369000,576000
77,Change in Working Capital,13067000,66137000,36178000,-57406000,-21066000,-2671000,-17982000,14400000,5855000,-5419000,39552000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2230000,-97000,-1807000,317000,-606000,1902000,863000,-1454000,232000,- -,-2076000
81,Other Working Capital,-8263000,57874000,94052000,36646000,15580000,12909000,-5073000,9327000,15182000,9763000,49315000
82,Other Non-Cash Items,-1266000,-48755000,-43480000,57938000,9871000,2500000,16456000,-17725000,-6245000,7119000,-43466000
83,Cash Provided by Operating Activities,-14171000,1633000,-61384000,-57648000,-31238000,-15813000,-23820000,-22696000,-20831000,-23075000,-19487000
84,CAPEX,-256000,-279000,-609000,-228000,- -,- -,- -,- -,-55000,-15000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-39990000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,40000000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-241000,-279000,-40599000,39772000,- -,- -,- -,- -,-55000,-15000,- -
90,Debt Repayment,-917000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,79811000,- -,7464000,17420000,6360000,35068000,21759000,10294000,55041000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10702000,77460000,653000,1463000,- -,3000,- -,589000,4889000,9063000,519000
95,Cash Used/Provided by Financing Activities,9785000,77460000,80464000,1463000,7464000,17423000,6360000,35657000,26648000,19357000,55560000
96,Effect of Forex Changes on Cash,- -,- -,1000,-14000,-9000,-9000,34000,-15000,-6000,32000,- -
97,Net Change In Cash,-4627000,78814000,-21518000,-16427000,-23783000,1601000,-17426000,12946000,5756000,-3701000,36045000
98,Cash at the End of Period,2713000,81527000,60009000,43582000,19799000,21400000,4024000,16970000,22726000,19025000,55070000
99,Cash at the Beginning of Period,7340000,2713000,81527000,60009000,43582000,19799000,21450000,4024000,16970000,22726000,19025000
100,Free Cash Flow,-14427000,1354000,-61993000,-57876000,-31238000,-15813000,-23820000,-22696000,-20886000,-23090000,-19487000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1130598/000104746914002718/0001047469-14-002718-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746915002952/0001047469-15-002952-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746916011628/0001047469-16-011628-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746917002146/0001047469-17-002146-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746918001777/0001047469-18-001777-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746919001839/0001047469-19-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000104746920001878/0001047469-20-001878-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000110465921038452/0001104659-21-038452-index.htm,https://www.sec.gov/Archives/edgar/data/1130598/000155837022004015/0001558370-22-004015-index.htm
102,false,,,,,,,,,,,
