,https://roic.ai/company/RNG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1384905/000156459014000347/0001564590-14-000347-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459015001097/0001564590-15-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459016013637/0001564590-16-013637-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459017002718/0001564590-17-002718-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459018003245/0001564590-18-003245-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459019004630/0001564590-19-004630-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490520000008/0001384905-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490521000007/0001384905-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490522000011/0001384905-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13577000,37864000,116378000,113182000,137588000,160355000,181192000,566329000,343606000,639853000,267162000
32,Short-Term Investments,- -,- -,- -,- -,28479000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13577000,37864000,116378000,141661000,137588000,160355000,181192000,566329000,343606000,639853000,267162000
34,Net Receivables,- -,434000,2690000,3045000,7651000,19163000,30243000,45339000,94375000,129990000,176034000,232842000
35,Inventory,- -,1602000,833000,2111000,1710000,2317000,63000,198000,199000,401000,551000,- -
36,Other Current Assets,- -,1228000,3408000,5214000,8767000,11978000,15250000,21314000,46611000,61542000,109691000,150737000
37,Total Current Assets,- -,16841000,44795000,126748000,159789000,171046000,205911000,248043000,707514000,535539000,926129000,650741000
38,PP&E,- -,9293000,17008000,16660000,25527000,28160000,31994000,43298000,70205000,128499000,193323000,214204000
39,Goodwill,- -,- -,- -,- -,- -,9393000,9393000,9393000,31238000,55278000,57313000,55490000
40,Intangible Assets,- -,- -,- -,- -,- -,3266000,2244000,1462000,19480000,127338000,118313000,716606000
41,Intangible Assets,- -,- -,- -,- -,- -,12659000,11637000,10855000,50718000,182616000,175626000,772096000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,132188000,213176000,210445000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1228000,1551000,1777000,3021000,2948000,3087000,2972000,65889000,471905000,676343000,731553000
45,Total Non-Current Assets,- -,10521000,18559000,18437000,28548000,43767000,46718000,57125000,186812000,915208000,1258468000,1928298000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27362000,63354000,145185000,188337000,214813000,252629000,305168000,894326000,1450747000,2184597000,2579039000
48,Accounts Payable,- -,5962000,4553000,4414000,4181000,5196000,7810000,7322000,10145000,34612000,54043000,70022000
49,Short-Term Debt,- -,- -,- -,9871000,16764000,3750000,14528000,- -,- -,- -,31148000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,9042000,11291000,16552000,25586000,36657000,45159000,64415000,88527000,107372000,142223000,176450000
52,Other Current Liabilities,- -,6984000,29435000,20906000,29745000,34971000,48503000,54977000,100687000,138729000,210654000,279798000
53,Total Current Liabilities,- -,21988000,45279000,51743000,76276000,80574000,116000000,126714000,199359000,280713000,438068000,526270000
54,Long-Term Debt,- -,- -,12428000,24356000,7813000,14840000,312000,- -,366552000,386889000,1375320000,1430301000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,3922000,5576000,5571000,7743000,9267000,6276000,6252000,10806000,37445000,62750000,283501000
58,Total Non-Current Liabilities,- -,3922000,18004000,29927000,15556000,24107000,6588000,6252000,377358000,424334000,1438070000,1713802000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,362000,1015000,594000,1044000,450000,181000,- -,- -,42765000,54989000,31812000
61,Total Liabilities,- -,25910000,63283000,81670000,91832000,104681000,122588000,132966000,576717000,705047000,1876138000,2240072000
62,Preferred Stock,- -,44109000,74020000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6000,7000,7000,7000,8000,8000,9000,9000,9000
64,Retained Earnings,- -,-48267000,-83657000,-129755000,-178095000,-210194000,-239503000,-265644000,-235703000,-289310000,-372306000,-748556000
65,Other Comprehensive Income/Loss,- -,-6138000,-11425000,-20411000,-28503000,1000000,3000000,3000000,2000000,2000000,6806000,644000
66,Other Total Stockholders Equity,- -,55857000,95153000,213675000,303096000,319319000,366537000,434838000,551304000,1033001000,673950000,- -
67,Total Stockholders Equity,- -,1452000,71000,63515000,96505000,110132000,130041000,172202000,317609000,745700000,308459000,338967000
68,Total Liabilities And Stockholders Equity,- -,27362000,63354000,145185000,188337000,214813000,252629000,305168000,894326000,1450747000,2184597000,2579039000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,27362000,63354000,145185000,188337000,214813000,252629000,305168000,894326000,1450747000,2184597000,2579039000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1384905/000156459014000347/0001564590-14-000347-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459015001097/0001564590-15-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459016013637/0001564590-16-013637-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459017002718/0001564590-17-002718-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459018003245/0001564590-18-003245-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459019004630/0001564590-19-004630-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490520000008/0001384905-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490521000007/0001384905-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490522000011/0001384905-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-7307000,-13903000,-35390000,-46098000,-48340000,-32099000,-29309000,-26141000,-26203000,-53607000,-82996000,-376250000
74,Depreciation and Amortization,1270000,3546000,6191000,8980000,10378000,13467000,14663000,16214000,23273000,37870000,75612000,125292000
75,Deferred Income Tax,- -,- -,-56000,-16000,-35000,-1419000,-36000,-47000,-303000,-3947000,-499000,- -
76,Stock Based Compensation,820000,1188000,3102000,7540000,15516000,22088000,30840000,42060000,68088000,101354000,189600000,357965000
77,Change in Working Capital,4515000,-7252000,4663000,75489000,8508000,6959000,-561000,31418000,386826000,-253329000,233235000,-126266000
78,Accounts Receivable,-195000,-239000,-2256000,-355000,-4606000,-11923000,-11728000,-16770000,-47877000,-37163000,-51980000,-64940000
79,Inventory,-161000,-1442000,769000,-1279000,401000,-606000,2254000,- -,- -,- -,- -,- -
80,Accounts Payable,1406000,2193000,-1392000,-453000,-510000,1591000,1516000,176000,2783000,21753000,21916000,17852000
81,Other Working Capital,2105000,-5147000,-484000,75005000,83513000,90472000,89911000,121329000,508155000,254826000,488061000,-144131000
82,Other Non-Cash Items,88000,15642000,6475000,-69666000,2543000,-3910000,14111000,-22339000,-379551000,236505000,-450143000,171410000
83,Cash Provided by Operating Activities,-614000,-779000,-15015000,-23771000,-11430000,5086000,29708000,41165000,72130000,64846000,-35191000,152151000
84,CAPEX,-4424000,-6664000,-10172000,-10789000,-17965000,-17144000,-16398000,-26917000,-57014000,-133353000,-107686000,-384949000
85,Acquisitions Net,- -,- -,- -,- -,- -,-5000000,- -,- -,-26000000,-28000000,- -,- -
86,Purchases of Investments,-340000,- -,- -,-130000,-28696000,- -,- -,- -,- -,-135557000,- -,-11880000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,28180000,- -,530000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-2183000,-2162000,-7420000,-30325000,-105456000,-64068000,-355990000
89,Cash Used for Investing Activites,-4764000,-6664000,-10172000,-10919000,-46661000,6366000,-16398000,-26387000,-83448000,-296780000,-107686000,-396829000
90,Debt Repayment,-1017000,-1315000,-6031000,-26731000,-10607000,-6736000,-4019000,-15021000,-741000,-943000,-1087757000,-337792000
91,Common Stock Issued,- -,- -,- -,99589000,57167000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12730000,11202000,55506000,40375000,8227000,19373000,13349000,21804000,412996000,9985000,1525347000,210741000
95,Cash Used/Provided by Financing Activities,11713000,9887000,49475000,113233000,54787000,12637000,9330000,6783000,397255000,9042000,437590000,-127051000
96,Effect of Forex Changes on Cash,- -,-4000,-1000,-29000,108000,317000,127000,-724000,-800000,169000,1534000,-962000
97,Net Change In Cash,6335000,2440000,24287000,78514000,-3196000,24406000,22767000,20837000,385137000,-222723000,296247000,-372691000
98,Cash at the End of Period,11137000,13577000,37864000,116378000,113182000,137588000,160355000,181192000,566329000,343606000,639853000,267162000
99,Cash at the Beginning of Period,4802000,11137000,13577000,37864000,116378000,113182000,137588000,160355000,181192000,566329000,343606000,639853000
100,Free Cash Flow,-5038000,-7443000,-25187000,-34560000,-29395000,-12058000,13310000,14248000,15116000,-68507000,-142877000,-232798000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1384905/000156459014000347/0001564590-14-000347-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459015001097/0001564590-15-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459016013637/0001564590-16-013637-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459017002718/0001564590-17-002718-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459018003245/0001564590-18-003245-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000156459019004630/0001564590-19-004630-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490520000008/0001384905-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490521000007/0001384905-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1384905/000138490522000011/0001384905-22-000011-index.htm
102,false,,,,,,,,,,,,
