,https://roic.ai/company/SITE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-7500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-18800000,-31000000,- -,52700000,- -,1033600000,846600000,269300000,- -,278900000
95,Cash Used/Provided by Financing Activities,-30700000,-33100000,-34200000,49700000,- -,82500000,86800000,-37300000,- -,-9100000
96,Effect of Forex Changes on Cash,100000,-200000,-300000,-200000,- -,200000,-200000,100000,- -,100000
97,Net Change In Cash,-500000,5500000,-8700000,9500000,- -,400000,600000,1700000,- -,36200000
98,Cash at the End of Period,4900000,10400000,10600000,20100000,- -,16700000,17300000,19000000,- -,55200000
99,Cash at the Beginning of Period,5400000,4900000,19300000,10600000,- -,16300000,16700000,17300000,- -,19000000
100,Free Cash Flow,38100000,38600000,48400000,60500000,- -,300000,58200000,109400000,- -,203600000
101,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1650729/000165072918000005/0001650729-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1650729/000165072919000004/0001650729-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1650729/000165072920000004/0001650729-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1650729/000165072921000006/0001650729-21-000006-index.htm
102,false,,,,,,,,,,
