,https://roic.ai/company/CELH,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-2.1549,-1.8997,-1.2703,-2.2612,- -,-0.3335,-0.1340,-0.1047,-0.1061,-0.1250,-0.2234,-0.2023,-0.0193,0.0605,-0.0130
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-699869,- -,-252115,-357110,-497203,-322344,-222655,-160616,-565904,11419703,729026,31069
20,Income Before Tax,- -,- -,- -,- -,-19497402,- -,-2814902,-1779369,-2027136,-2149804,-3067615,-8240583,-11206648,9971260,8640026,-4058447
21,Income Before Tax Ratio,- -,- -,- -,- -,-2.3454,- -,-0.3663,-0.1677,-0.1387,-0.1249,-0.1348,-0.2279,-0.2130,0.1327,0.0661,-0.0129
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116177,-7995720
23,Net Income,-12960,-3725841,-5261600,-7759029,-19497402,- -,-2814902,-1779369,-2027136,-2149804,-3067615,-8240583,-11206648,9971260,8523849,3937273
24,Net Income ratio,-Infinity,-2.2653,-2.0316,-1.3223,-2.3454,- -,-0.3663,-0.1677,-0.1387,-0.1249,-0.1348,-0.2279,-0.2130,0.1327,0.0652,0.0125
25,EPS,-0.09,-0.80,-0.80,-1.02,-1.11,- -,-0.14,-0.09,-0.10,-0.07,-0.09,-0.19,-0.23,0.16,0.12,0.05
26,EPS Diluted,-0.09,-0.80,-0.80,-1.02,-1.11,- -,-0.14,-0.09,-0.10,-0.07,-0.09,-0.19,-0.23,0.16,0.11,0.05
27,Weighted Average Shares Outstanding,140684,5034431,6435182,7627383,17525352,- -,20182207,20179032,20392594,33175826,38568088,44419162,50050696,60761995,70195085,74609195
28,Weighted Average Shares Outstanding Diluted,140684,5034431,6435182,7627383,17525352,- -,20182207,20179032,20392594,33175826,38568088,44419162,50050696,64183399,74443601,78473866
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1341766/000121390009000466/0001213900-09-000466-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000121390010000848/0001213900-10-000848-index.html,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341766/000161577417001341/0001615774-17-001341-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000161577418001689/0001615774-18-001689-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000161577419004030/0001615774-19-004030-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000121390020006069/0001213900-20-006069-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000182912621001412/0001829126-21-001412-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000095017022003965/0000950170-22-003965-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,95422,257482,1040633,606737,1320665,- -,108981,221906,349072,10128320,11747138,14186624,7743181,23090682,43248021,16254708
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,95422,257482,1040633,606737,1320665,- -,108981,221906,349072,10128320,11747138,14186624,7743181,23090682,43248021,16254708
34,Net Receivables,- -,276877,192779,2124788,1192139,- -,620325,1491550,2612191,2127060,2787732,6375658,12980396,8955734,16872100,38741049
35,Inventory,- -,578774,505009,1650337,1563753,- -,921709,821271,1686935,2322904,2211370,5305505,11482701,15292349,18403622,191221851
36,Other Current Assets,3000,44960,12155,893202,138310,- -,295314,426270,259056,666267,937349,1180444,2299375,4170136,14626922,16142942
37,Total Current Assets,98422,1158093,1750576,5275064,4214867,- -,1946329,2960997,4907254,15244551,17683589,27048231,34505653,51508901,93150665,262360550
38,PP&E,- -,64697,183353,179832,101895,- -,104690,68713,43950,21319,33533,62642,121854,942355,1577534,4308209
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10023806,10419321,14526583
40,Intangible Assets,- -,41500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17173000,16590083,16301326
41,Intangible Assets,- -,41500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27196806,27009404,30827909
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9019241
44,Other Non-Current Assets,- -,1268840,268840,18840,- -,- -,- -,- -,- -,- -,- -,- -,- -,10734174,9552170,7502519
45,Total Non-Current Assets,- -,1375037,452193,198672,101895,- -,104690,68713,43950,21319,33533,62642,121854,38873335,38139108,51657878
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,98422,2533130,2202769,5473736,4316762,- -,2051019,3029710,4951204,15265870,17717122,27110873,34627507,90382236,131289773,314018428
48,Accounts Payable,1400,466047,411185,1112424,1932194,- -,515575,840057,360062,1207353,858131,3003086,5825446,10159900,11854421,- -
49,Short-Term Debt,- -,749999,95000,1133074,- -,- -,- -,- -,- -,- -,- -,- -,- -,9283353,527107,668810
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,66883,383560,351716,13063,201652,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1592686,347352,609607,902854,- -,452739,111998,653276,801419,1262702,3460542,9039698,7240146,13983564,92454684
53,Total Current Liabilities,1400,2808732,853537,2855105,2835048,- -,1035197,1335615,1365054,2021835,2322485,6463628,14865144,26683399,26365092,93123494
54,Long-Term Debt,- -,1314914,562570,5654571,2000000,- -,7450000,7600000,10750000,4500000,4500000,3500000,7959381,- -,- -,657935
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3146394
57,Other Non-Current Liabilities,- -,14236,775435,116217,2000000,- -,- -,- -,- -,- -,- -,- -,- -,239848,597238,45408
58,Total Non-Current Liabilities,- -,1329150,1338005,5770788,4000000,- -,7450000,7600000,10750000,4500000,4500000,3500000,7959381,239848,597238,3849737
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1194108,- -,- -,- -,- -,- -,- -,- -,- -,- -,888922,1124345,- -
61,Total Liabilities,1400,4137882,2191542,8625893,6835048,- -,8485197,8935615,12115054,6521835,6822485,9963628,22824525,26923247,26962330,96973231
62,Preferred Stock,- -,- -,4000000,- -,- -,- -,- -,2,2,6,6,7,- -,- -,- -,- -
63,Common Stock,3800,105611,148789,12030,18515,- -,20179,20179,20459,38380,40000,45702,57003,68942,72263,74909
64,Retained Earnings,-20978,-6120768,-11382368,-19141397,-38638799,- -,-43363358,-45189294,-47350266,-49920563,-53354332,-61960910,-73380691,-63409431,-55426832,-51489559
65,Other Comprehensive Income/Loss,- -,- -,-44979,-97750,-54334,- -,-131365,-172877,-210133,-243176,-258093,-39378,-26997,-753520,-202142,613651
66,Other Total Stockholders Equity,- -,- -,7289785,16074960,36156332,- -,37040366,39436085,40376088,58869388,64467056,79101824,85153667,127552998,159884154,267846196
67,Total Stockholders Equity,97022,-1604752,11227,-3152157,-2518286,- -,-6434178,-5905905,-7163850,8744035,10894637,17147245,11802982,63458989,104327443,217045197
68,Total Liabilities And Stockholders Equity,98422,2533130,2202769,5473736,4316762,- -,2051019,3029710,4951204,15265870,17717122,27110873,34627507,90382236,131289773,314018428
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,98422,2533130,2202769,5473736,4316762,- -,2051019,3029710,4951204,15265870,17717122,27110873,34627507,90382236,131289773,314018428
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1341766/000121390009000466/0001213900-09-000466-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000121390010000848/0001213900-10-000848-index.html,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341766/000161577417001341/0001615774-17-001341-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000161577418001689/0001615774-18-001689-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000161577419004030/0001615774-19-004030-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000121390020006069/0001213900-20-006069-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000182912621001412/0001829126-21-001412-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000095017022003965/0000950170-22-003965-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-12960,-3725841,-5261600,-7759029,-19497402,- -,-2814902,-1779369,-2027136,-2149804,-3067615,-8240583,-11206648,9971260,8523849,3937273
74,Depreciation and Amortization,- -,19390,31605,55103,50229,- -,41500,41513,37256,33043,16951,20425,72162,893413,1738829,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,131450,36125,- -,- -,327243,154209,903027,1270488,1579045,2241045,4293797,4831750,6340000,- -
77,Change in Working Capital,87040,-1747661,2547678,1522920,-1040140,- -,-468687,714250,1916818,9680516,2138388,5223499,-944094,5184993,41960071,102451483
78,Accounts Receivable,- -,- -,30997,-1953204,975163,- -,-82458,-871225,-1120641,485131,-660673,-3587926,-6604738,-1432980,-7468772,- -
79,Inventory,- -,-13675,-116836,-981831,-611565,- -,-49930,100438,-865664,-635969,111534,-3094135,-6177196,-2239254,-3858780,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51697,4557616,8533388,2624892,- -,- -
81,Other Working Capital,97022,-1650639,897039,2419959,1379819,- -,911132,1625382,3542200,13222716,15361104,20584603,19640509,24825502,66785573,169237056
82,Other Non-Cash Items,-89140,2903426,-2289285,-3494053,6264527,- -,106273,-1281608,-3749182,-9589398,-3030181,-7662511,-3861637,-19847428,-55167665,-106866731
83,Cash Provided by Operating Activities,-15060,-2550686,-4840152,-9638934,-14222786,- -,-2808573,-2151005,-2919217,-755155,-2363412,-8418125,-11646420,1033988,3395084,-477975
84,CAPEX,- -,-87664,-151065,-57245,-69520,- -,-79190,-5536,-12493,-10412,-30830,-49534,-110417,-77974,-573751,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14188056,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,6835,46298,- -,- -,- -,- -,- -,7760,- -,- -,- -,1331011,- -
89,Cash Used for Investing Activites,- -,-87664,-151065,-50410,-23222,- -,-79190,-5536,-12493,-10412,-23070,-49534,-110417,-14266030,757260,- -
90,Debt Repayment,- -,- -,-1259396,-273277,-1185409,- -,-83054,-80534,-91124,-1293269,- -,- -,- -,-26486,-9881739,-470544
91,Common Stock Issued,100000,2282734,799312,78725,13144830,- -,- -,- -,- -,11388084,4000000,9999948,- -,26955437,21892316,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-738,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,584519,6234452,9450000,3000515,- -,2950000,2350000,3150000,450000,5300,946575,5301013,1724083,3560911,376442
95,Cash Used/Provided by Financing Activities,100000,2867253,5774368,9255448,14959936,- -,2866208,2269466,3058876,10544815,4005300,10946523,5301013,28653034,15571488,-94102
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39378,12381,-73491,433507,- -
97,Net Change In Cash,84940,228903,783151,-433896,713928,- -,-21555,112925,127166,9779248,1618818,2439486,-6443443,15347501,20157339,- -
98,Cash at the End of Period,95422,257482,1040633,606737,1320665,- -,108981,221906,349072,10128320,11747138,14186624,7743181,23090682,43248021,- -
99,Cash at the Beginning of Period,10482,28579,257482,1040633,606737,- -,130536,108981,221906,349072,10128320,11747138,14186624,7743181,23090682,43248021
100,Free Cash Flow,-15060,-2638350,-4991217,-9696179,-14292306,- -,-2887763,-2156541,-2931710,-765567,-2394242,-8467659,-11756837,956014,2821333,-477975
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1341766/000121390009000466/0001213900-09-000466-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000121390010000848/0001213900-10-000848-index.html,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341766/000161577417001341/0001615774-17-001341-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000161577418001689/0001615774-18-001689-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000161577419004030/0001615774-19-004030-index.html,https://www.sec.gov/Archives/edgar/data/1341766/000121390020006069/0001213900-20-006069-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000182912621001412/0001829126-21-001412-index.htm,https://www.sec.gov/Archives/edgar/data/1341766/000095017022003965/0000950170-22-003965-index.htm
102,false,,,,,,,,,,,,,,,,
