,https://roic.ai/company/LBTI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,1293660,2858186,4533112,186373,493624,-50657,48717,-22043,-13150,- -,84123,127155,94306,182690
23,Net Income,- -,-30456,6335340,15442529,22698443,-23960186,-29217082,-40522748,-9567988,-43132702,-8383546,-2909425,476695,7107760,-229898,-4346473
24,Net Income ratio,- -,-Infinity,0.1939,0.1870,0.1810,-0.3674,-0.6106,-0.9064,-0.2808,-16.4034,-88.8671,-3.7679,0.0791,1.0542,-0.0304,-0.7049
25,EPS,-0.01,-0.05,2.90,5.80,6.80,-6.20,-7.08,-6.90,-1.46,-6.34,-1.01,-0.34,0.00,0.04,-0.00,-0.02
26,EPS Diluted,-0.01,-0.05,2.90,5.80,6.80,-6.20,-7.08,-6.90,-1.46,-6.34,-1.01,-0.34,0.00,0.04,-0.00,-0.02
27,Weighted Average Shares Outstanding,600000,654990,2217632,2653550,3341941,3867578,4129400,5870111,6564084,6799837,8283399,8504769,106221057,185968370,185968370,185968370
28,Weighted Average Shares Outstanding Diluted,600000,654990,2217643,2659206,3345368,3867578,4129400,5870111,6564084,6799837,8283399,8504769,106221057,185968370,185968370,185968370
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518512000674/0001185185-12-000674-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518515000248/0001185185-15-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518515001125/0001185185-15-001125-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518517001880/0001185185-17-001880-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518518002110/0001185185-18-002110-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518519000967/0001185185-19-000967-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518520000456/0001185185-20-000456-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518521000535/0001185185-21-000535-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518522000365/0001185185-22-000365-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9185,1435212,48967992,56806471,12419922,18336163,14414727,13911044,1736971,1046884,374827,163145,160024,972066,1253661
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,9185,1435212,48967992,56806471,12419922,18336163,14414727,13911044,1736971,1046884,374827,163145,160024,972066,1253661
34,Net Receivables,- -,- -,12394486,36743275,57532106,59219065,45328024,10210379,8962592,2215449,1417870,156496,778572,657219,2149533,214704
35,Inventory,- -,- -,6107583,11259273,26585362,53648549,58297562,56324363,49349195,3053189,262778,301187,1735374,1802647,1179387,4732
36,Other Current Assets,- -,- -,874572,8959364,10681553,20292675,4273462,20783965,28166076,6070,- -,30920,113705,7490,244354,106683
37,Total Current Assets,- -,9185,20811853,105929904,151605492,145580211,126235211,101733434,100388907,7011679,2727532,863430,2790796,2627380,4545340,1579780
38,PP&E,- -,- -,2436553,7739609,8462223,11871477,12246321,11526065,2080053,916245,19966,15639,3411907,3039593,1630629,1389294
39,Goodwill,- -,- -,- -,- -,- -,2098332,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1155131,4071021,14243734,15419805,14920603,14885623,576999,423505,- -,- -,- -,- -,- -,50640
41,Intangible Assets,- -,- -,1155131,4071021,14243734,17518137,14920603,14885623,576999,423505,- -,- -,- -,- -,- -,50640
42,Investments,- -,- -,- -,- -,- -,- -,865773,934805,29540,- -,367529,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,22266,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,697194,635676,1564839,2008240,2202379,373808,123002,- -,- -,- -,- -,- -,1411891,1623309
45,Total Non-Current Assets,- -,- -,4288878,12446306,24293062,31397854,30235076,27720301,2809594,1339750,387495,15639,3411907,3039593,3042520,3063243
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9185,25100731,118376210,175898554,176978065,156470287,129453735,103198501,8351429,3115027,879069,6202703,5666973,7587860,4643023
48,Accounts Payable,- -,250,1210906,3493196,4490333,12660100,8574981,6683860,7384756,224389,657354,705302,1172001,332706,525775,312532
49,Short-Term Debt,- -,- -,- -,6200108,11267029,13911634,26892135,27052324,26513232,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,1327775,2140627,2000456,1178712,769167,197078,196246,32507,15844,8645,228547,295255,106651,203443
51,Deferred Revenue,- -,- -,850408,2130637,1131193,4585218,5481960,5618301,5692050,1156178,1155748,1253171,1151253,117188,64190,69557
52,Other Current Liabilities,- -,- -,5107340,5825899,5040157,5315010,5858831,14423844,16538260,3610398,9086633,8486384,7237360,1514959,2743660,4549562
53,Total Current Liabilities,- -,250,7168654,17649840,21928712,36471962,46807907,53778329,56128298,4990965,10899735,10444857,9560614,1964853,3333625,4931651
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,3528609,2749335,2455335,2875335,2875335,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1504400,1360626,1253046,1075960
56,Deferred Tax Liabilities,- -,- -,38854,8526,- -,189516,93054,17177,66024,15238,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,2281023,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,38854,8526,- -,2470539,93054,3545786,2815359,2470573,2875335,2875335,1504400,1360626,1253046,1075960
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,250,7207508,17658366,21928712,38942501,46900961,57324115,58943657,7461538,13775070,13320192,11065014,3325479,4586671,6007611
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6549,24180,32795,38552,3956,5733,6133,6783,8283,8283,8683,185968,185968,185968,185968
64,Retained Earnings,- -,-36040,7510419,24103490,41500015,22841747,-6375335,-51991839,-70809703,-118011345,-116769554,-119678979,1828717,8765225,8328736,3966532
65,Other Comprehensive Income/Loss,- -,- -,984629,969988,4252261,11119887,11273497,14380326,8549568,13276052,14553077,15798318,768731,56652,401765,288865
66,Other Total Stockholders Equity,- -,38426,- -,74917370,107552945,102985737,103607559,81901266,87500456,98435254,85904857,85804457,-7645727,-6666351,-6666351,- -
67,Total Stockholders Equity,- -,8935,17893223,100023643,153343773,136951327,108511454,44295886,25247104,-6291756,-16303337,-18067521,-4862311,2341494,2250118,-1978141
68,Total Liabilities And Stockholders Equity,- -,9185,25100731,117682009,175272485,175893828,155412415,101620001,84190761,1169782,-2528267,-4747329,6202703,5666973,6836789,4029470
69,Minority Interest,- -,- -,- -,694201,626069,1084237,1057872,27833734,19007740,7181647,5643294,5626398,- -,- -,751071,613553
70,Total Liabilities & Equity,- -,9185,25100731,118376210,175898554,176978065,156470287,129453735,103198501,8351429,3115027,879069,6202703,5666973,7587860,4643023
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518512000674/0001185185-12-000674-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518515000248/0001185185-15-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518515001125/0001185185-15-001125-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518517001880/0001185185-17-001880-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518518002110/0001185185-18-002110-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518519000967/0001185185-19-000967-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518520000456/0001185185-20-000456-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518521000535/0001185185-21-000535-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518522000365/0001185185-22-000365-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-30456,6335340,15442529,22698443,-23960186,-29217082,-40522748,-9567988,-43132702,-8383546,-2909425,476695,7107760,-229898,- -
74,Depreciation and Amortization,- -,- -,252598,635368,1011815,1678653,1892084,2151325,816240,441431,304807,16756,322486,311057,324338,361899
75,Deferred Income Tax,- -,- -,-163,- -,-410616,-82676,-96512,-77269,48717,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,5613,3292,195083,- -,75000,- -,37500,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,8935,13634264,74636865,41396716,-20568531,-29680945,-31472199,-3694496,-42239895,-10192917,-1409224,2811609,7432345,549188,-4563586
78,Accounts Receivable,- -,- -,-4943868,-20724401,-14716105,-4052545,-2607336,1134956,4846488,724771,413479,126091,-67984,48408,286716,225733
79,Inventory,- -,- -,2405678,-5143857,-14651940,-26969530,-6070050,-2746109,-498765,473025,52171,-34350,-1621680,-139944,707524,1188128
80,Accounts Payable,- -,- -,-2389649,4051684,3634538,6759686,-4099812,3967,-439247,-261194,-67152,7187,-1111467,112809,160865,-202934
81,Other Working Capital,- -,8935,13643199,88280064,129676780,109108249,79427304,47955105,44260609,2020714,-8172203,-9581427,-6769818,662527,1211715,-3351871
82,Other Non-Cash Items,-10000,-8810,-20988685,-110302403,-74525275,10668420,52868504,65375623,8555760,81569620,17218679,3597803,-5985412,-14506992,203086,5759748
83,Cash Provided by Operating Activities,-10000,-30331,-761033,-19584349,-9633834,-32264320,-4158951,-4545268,-3804267,-3361546,-1052977,-704090,-2374622,344170,846714,1558061
84,CAPEX,- -,- -,-439861,- -,-11312340,-3190642,-2296596,-646315,-924871,-18467,-347,- -,-2901,- -,-447180,-228279
85,Acquisitions Net,- -,- -,55426,- -,- -,-13087014,-722750,804609,1383666,-9490641,-132631,- -,163145,-149928,- -,- -
86,Purchases of Investments,- -,- -,-14635,-667502,- -,- -,- -,-399241,- -,-9490641,-132631,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9490641,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-108040,-942442,-11653732,-1365503,907085,-1459515,3507092,18876809,291324,-8887,- -,- -,- -,-1480691
89,Cash Used for Investing Activites,- -,- -,-507110,-1609944,-12845805,-17491608,-2030407,-1621293,3965887,-9613581,25715,-8887,160244,-149928,-447180,-1708970
90,Debt Repayment,- -,- -,-2447804,- -,-2117001,-8518232,-11568364,-24846320,-30255598,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,27040742,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4755424,68775920,4517142,12531574,23701300,25796152,30324261,1206000,420000,- -,2377523,-190985,358158,406715
95,Cash Used/Provided by Financing Activities,50000,- -,2307620,68775920,29440883,4013342,12152936,949832,68663,1206000,420000,- -,2377523,-190985,358158,406715
96,Effect of Forex Changes on Cash,- -,- -,2588,-48847,877235,1356037,-47337,482965,-150058,-176526,-82825,40920,- -,-6378,54350,25789
97,Net Change In Cash,40000,-30331,1042065,47532780,7838479,-44386549,5916241,-4733764,80225,-11945653,-690087,-672057,- -,-3121,812042,281595
98,Cash at the End of Period,40000,9185,1435212,48967992,56806471,12419922,18336163,13602399,13682624,1736971,1046884,374827,163145,160024,972066,1253661
99,Cash at the Beginning of Period,- -,39516,393147,1435212,48967992,56806471,12419922,18336163,13602399,13682624,1736971,1046884,- -,163145,160024,972066
100,Free Cash Flow,-10000,-30331,-1200894,-19584349,-20946174,-35454962,-6455547,-5191583,-4729138,-3380013,-1053324,-704090,-2377523,344170,399534,1329782
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518512000674/0001185185-12-000674-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518515000248/0001185185-15-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518515001125/0001185185-15-001125-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1384135/000118518517001880/0001185185-17-001880-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518518002110/0001185185-18-002110-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518519000967/0001185185-19-000967-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518520000456/0001185185-20-000456-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518521000535/0001185185-21-000535-index.htm,https://www.sec.gov/Archives/edgar/data/1384135/000118518522000365/0001185185-22-000365-index.htm
102,false,,,,,,,,,,,,,,,,
