,https://roic.ai/company/MODD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-213,- -,- -,- -
89,Cash Used for Investing Activites,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15332,-77124,-260789,-109669
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4731872,4142666,923994,1785882
92,Common Stock Repurchased,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14098,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1481308,-20740,-516,- -,2578780
95,Cash Used/Provided by Financing Activities,40000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1467210,4711132,4142150,923994,4364662
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10000,- -,- -,-84,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1467210,3904669,2257092,-3431634,-1653669
98,Cash at the End of Period,6543770,- -,- -,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1372400,4296676,6553768,3122134,1468465
99,Cash at the Beginning of Period,6553770,- -,- -,160,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392007,4296676,6553768,3122134
100,Free Cash Flow,-50000,-10000,- -,-84,-76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94810,-806463,-1885058,-4355628,-6018331
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1074871/000101905621000387/0001019056-21-000387-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
