,https://roic.ai/company/AMMJ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945617/000108638008000045/0001086380-08-000045-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945617/000072174814000366/0000721748-14-000366-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000072174815000244/0000721748-15-000244-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000072174816001171/0000721748-16-001171-index.htm,- -,https://www.sec.gov/Archives/edgar/data/945617/000172186818000770/0001721868-18-000770-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186819000182/0001721868-19-000182-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186820000167/0001721868-20-000167-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186821000125/0001721868-21-000125-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10000,- -,210000,30000,160000,40000,- -,- -,60000,150000,20000,10000,- -,- -,- -,146331,270000,165210,555780,751040,1648090,1086570,945180,1723132
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181940,9350,- -,4500,4500,4500,- -
33,Cash and Short-Term Investments,- -,10000,- -,210000,30000,160000,40000,- -,- -,60000,150000,20000,10000,- -,- -,- -,146331,270000,347150,565130,751040,1652590,1091070,949680,1723132
34,Net Receivables,- -,20000,10000,10000,40000,50000,20000,10000,- -,- -,- -,10000,- -,80000,- -,- -,484982,60000,57640,48290,164450,146800,58880,95660,24955
35,Inventory,- -,2480000,20000,790000,800000,30000,710000,560000,30000,20000,10000,70000,- -,- -,- -,- -,- -,- -,44610,67440,42500,35760,61010,53310,62402
36,Other Current Assets,- -,30000,20000,20000,- -,180000,120000,10000,- -,- -,20000,30000,- -,- -,- -,- -,68910,40000,12330,32100,9820,11320,56370,65260,53197
37,Total Current Assets,- -,2540000,50000,1030000,870000,420000,890000,580000,30000,80000,180000,130000,10000,80000,- -,- -,700223,370000,461730,712960,967810,1846470,1267330,1163910,1863686
38,PP&E,- -,50000,30000,90000,20000,10000,40000,30000,20000,20000,10000,40000,- -,- -,- -,- -,447619,360000,8370,13450,11640,11780,8040,40040,24654
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,510000,480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,510000,480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,540000,2960000,1240000,- -,10000,600000,50000,330000,330000,330000,280000,- -,- -,- -,- -,- -,- -,-10,4500,4500,10,- -,- -,- -
45,Total Non-Current Assets,- -,590000,2990000,1840000,500000,20000,640000,80000,350000,350000,340000,320000,- -,- -,- -,- -,447619,360000,8360,17950,16140,11790,8040,40040,24654
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3130000,3040000,2870000,1370000,440000,1530000,660000,380000,430000,520000,450000,10000,80000,- -,- -,- -,730000,470090,730910,983950,1858260,1275370,1203950,1888340
48,Accounts Payable,- -,280000,340000,240000,200000,350000,630000,740000,230000,270000,220000,190000,50000,60000,70000,70000,171497,- -,62140,218330,70110,28000,32930,9750,13154
49,Short-Term Debt,- -,- -,- -,- -,116750,299911,145000,192441,1080806,487111,2474536,- -,3367008,328026,2309137,2723780,412621,194403,- -,60252,- -,- -,- -,34943,109914
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194883,305587,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173528,- -,- -,- -,- -,- -,88843
52,Other Current Liabilities,- -,370000,140000,120000,93250,780089,1635000,2267559,239194,462889,615464,4480000,122992,121974,120863,126220,194883,1325597,150062,314438,258910,1048800,237120,279667,49244
53,Total Current Liabilities,- -,650000,480000,360000,410000,1430000,2410000,3200000,1550000,1220000,3310000,4670000,3540000,510000,2500000,2920000,779001,1520000,385730,593020,329020,1076800,270050,324360,261155
54,Long-Term Debt,- -,10000,- -,- -,570000,570000,280000,1700000,2940000,2870000,1430000,1480000,1960000,2480000,310000,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319284,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,360000,560000,1230000,320000,-150000,340000,- -,100000,- -,- -,- -,- -,- -,- -,- -,436355,716,- -,- -,- -,- -,- -,- -,-1
58,Total Non-Current Liabilities,- -,370000,560000,1230000,890000,420000,620000,1700000,3040000,2870000,1430000,1480000,1960000,2480000,310000,100000,436355,420000,- -,- -,- -,- -,- -,- -,-1
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34943,- -
61,Total Liabilities,- -,1020000,1040000,1590000,1300000,1850000,3030000,4900000,4590000,4090000,4740000,6150000,5500000,2990000,2810000,3020000,1215356,1940000,385730,593020,329020,1076800,270050,324360,261154
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,1,1,1,1,1,1,32,- -,32,37400,25,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,11820000,12400000,13300000,14230000,15990000,800000,1130000,1180000,1180000,- -,10000,20000,20000,20000,20000,- -,- -,450,450,500,510,520,530,707
64,Retained Earnings,- -,-10530000,-11230000,-12850000,-14940000,-17900000,-21120000,-23570000,-23880000,-23500000,-24280000,-26580000,-26630000,-27160000,-27050000,-27270000,-273380,-4770000,-3615610,-4131270,-4734950,-6223420,-7174110,-7475860,-8008268
65,Other Comprehensive Income/Loss,- -,-20000,-30000,-60000,-60000,-10000,- -,-652061,-208734,-120965,-125905,-10000,-10000,- -,- -,- -,-14015,96376,- -,-5140,- -,- -,- -,-21550,- -
66,Other Total Stockholders Equity,- -,850000,870000,900000,1161699,364747,19160719,18851526,18693598,18776997,20073240,20875609,21129191,24227087,24219836,24225216,- -,3654372,3699519,4273850,5389384,7004365,8178911,8376474,9634748
67,Total Stockholders Equity,- -,2120000,2010000,1290000,391699,-1555253,-1159281,-4240534,-4215135,-3663967,-4216760,-5704390,-5490808,-2912881,-2810164,-3024752,-67514,-1205628,84359,137890,654934,781455,1005321,879594,1627187
68,Total Liabilities And Stockholders Equity,- -,3140000,3050000,2880000,1691699,294747,1870719,659466,374865,426033,523240,445610,9192,77119,-164,-4752,1147842,734372,470089,730910,983954,1858255,1275371,1203954,1888341
69,Minority Interest,- -,-10000,-10000,-10000,-321699,145253,-340719,534,5135,3967,-3240,4390,808,2881,164,4752,-1147842,-4372,1,- -,-4,5,-1,-4,-1
70,Total Liabilities & Equity,- -,3130000,3040000,2870000,1370000,440000,1530000,660000,380000,430000,520000,450000,10000,80000,- -,- -,- -,730000,470090,730910,983950,1858260,1275370,1203950,1888340
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945617/000108638008000045/0001086380-08-000045-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945617/000072174814000366/0000721748-14-000366-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000072174815000244/0000721748-15-000244-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000072174816001171/0000721748-16-001171-index.htm,- -,https://www.sec.gov/Archives/edgar/data/945617/000172186818000770/0001721868-18-000770-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186819000182/0001721868-19-000182-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186820000167/0001721868-20-000167-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186821000125/0001721868-21-000125-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2520000,-700000,-1620000,-2090000,-2970000,-2050000,-2050000,-320000,-360000,-790000,-2300000,-50000,-530000,100000,-210000,-329260,-4500000,-3619190,-515650,-603680,-1488470,-950690,-301740,-532413
74,Depreciation and Amortization,- -,10000,10000,60000,67687,48670,9303,7962,6894,6465,7032,8011,333902,- -,- -,- -,- -,90097,1077,3575,5173,4487,3745,6533,13937
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3370128,319187,30208,893857,73742,73514,29970
77,Change in Working Capital,- -,100000,-2320000,1100000,-210000,-1470000,-510000,-1100000,1100000,380000,-1990000,-1410000,1010000,3100000,-2070000,-420000,-254868,2100000,1226000,43940,518850,130880,227610,-157730,762981
78,Accounts Receivable,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-354904,118711,-56392,-21396,-234807,107362,85104,-125520,67395
79,Inventory,- -,- -,2460000,-770000,-3259,-362,-798539,146147,207381,6989,4746,3065,342173,- -,- -,- -,- -,- -,-4555,-22829,24935,6743,-25248,7695,-9092
80,Accounts Payable,- -,- -,-60000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6109,15264,3176,- -,- -,61780,156196,-162556,-42105,4929,-23183,3405
81,Other Working Capital,- -,1890000,-430000,670000,460000,-1010000,-1520000,-2620000,-1520000,-1140000,-3130000,-4540000,-3530000,-430000,-2500000,-2920000,- -,-1150000,76000,119940,638790,769670,997280,839550,1602531
82,Other Non-Cash Items,- -,2000000,2590000,-90000,1174012,3661201,47993,2549222,-1964142,-366016,2412512,2212066,-2151263,-2648455,1969559,630000,390001,2365120,-903902,298173,-735430,639787,84071,276575,-800269
83,Cash Provided by Operating Activities,- -,-410000,-420000,-550000,-1058301,-730129,-2502704,-592816,-1177248,-339551,-360456,-1489923,-857361,-78455,-441,- -,-194127,55217,74113,149225,-784879,180541,-561522,-102848,-525794
84,CAPEX,- -,-20000,- -,-20000,-4567,-11486,-23547,- -,-1607,-6028,- -,-40142,- -,- -,- -,- -,-8450,-47806,-47728,-8658,-3360,-4629,- -,-38536,-2233
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90181,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-50000,- -,-30000,- -,- -,- -,- -,- -,- -,- -,-4606,200,-75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500
89,Cash Used for Investing Activites,- -,-70000,- -,-50000,-4567,-11486,-23547,- -,-1607,-6028,- -,-44748,200,-75000,- -,- -,-8450,-47806,42453,-8658,-3360,-4629,- -,-38536,267
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64244,-205685,- -,- -,-180000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,380882,613550,1896529,74665,- -,- -,- -,577924,101567,- -,- -,- -,100,- -,- -,250000,858247,721138,- -,- -,1193564
92,Common Stock Repurchased,- -,280000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,190000,330000,800000,502196,262220,540055,475552,1179887,403574,452498,823559,748454,142500,- -,- -,237478,242660,35050,- -,305250,- -,- -,- -,109914
95,Cash Used/Provided by Financing Activities,- -,470000,410000,800000,883078,875770,2436584,550217,1179887,403574,452498,1401483,850021,142500,- -,- -,173334,36975,31050,250000,983497,721138,- -,- -,1303478
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17650,79732,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-20000,-10000,210000,-179790,134156,-89667,-42599,1032,57995,92042,-133188,-7140,-10955,- -,- -,-46893,124118,147616,390567,195258,897049,-561522,-141384,777951
98,Cash at the End of Period,- -,-20000,- -,210000,28765,162921,43254,655,1687,59682,151724,18536,11396,441,- -,- -,146332,270449,165213,555780,751038,1648087,1086565,945181,1723132
99,Cash at the Beginning of Period,- -,- -,10000,- -,208555,28765,132921,43254,655,1687,59682,151724,18536,11396,441,- -,193225,146331,17597,165213,555780,751038,1648087,1086565,945181
100,Free Cash Flow,- -,-430000,-420000,-570000,-1062868,-741615,-2526251,-592816,-1178855,-345579,-360456,-1530065,-857361,-78455,-441,- -,-202577,7411,26385,140567,-788239,175912,-561522,-141384,-528027
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945617/000108638008000045/0001086380-08-000045-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945617/000072174814000366/0000721748-14-000366-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000072174815000244/0000721748-15-000244-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000072174816001171/0000721748-16-001171-index.htm,- -,https://www.sec.gov/Archives/edgar/data/945617/000172186818000770/0001721868-18-000770-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186819000182/0001721868-19-000182-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186820000167/0001721868-20-000167-index.htm,https://www.sec.gov/Archives/edgar/data/945617/000172186821000125/0001721868-21-000125-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
