,https://roic.ai/company/LYFT,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4299347000,30458000,385934000,284094000,50905000
58,Total Non-Current Liabilities,- -,4299347000,30458000,385934000,928330000,916310000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,476276000,342482000,263997000
61,Total Liabilities,- -,4996165000,1927680000,2837299000,3002801000,3379886000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,3000,3000
64,Retained Earnings,- -,-2033995000,-3630177000,-5547571000,-7300428000,-8309787000
65,Other Comprehensive Income/Loss,- -,-1011000,133000,2725000,-473000,-2511000
66,Other Total Stockholders Equity,- -,57698000,5462404000,8398927000,8977061000,9706293000
67,Total Stockholders Equity,- -,-1979438000,1832363000,2854084000,1676163000,1393998000
68,Total Liabilities And Stockholders Equity,- -,3016727000,3760043000,5691383000,4678964000,4773884000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3016727000,3760043000,5691383000,4678964000,4773884000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1759509/000175950920000009/0001759509-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1759509/000175950921000011/0001759509-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1759509/000175950922000016/0001759509-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-682794000,-688301000,-911335000,-2602241000,-1752857000,-1009359000
74,Depreciation and Amortization,527000,2611000,18752000,108429000,157353000,139347000
75,Deferred Income Tax,- -,- -,- -,- -,-46324000,- -
76,Stock Based Compensation,9394000,9546000,8577000,1599311000,565807000,724560000
77,Change in Working Capital,188304000,1755533000,-1443657000,372778000,-276331000,115994000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,24890000,21384000,-40811000,5067000,44489000,47080000
81,Other Working Capital,111344000,1866877000,423220000,795998000,519667000,81564000
82,Other Non-Cash Items,-2594000,-1472915000,2046990000,416021000,-26547000,-72263000
83,Cash Provided by Operating Activities,-487163000,-393526000,-280673000,-105702000,-1378899000,-101721000
84,CAPEX,-8819000,-12023000,-70868000,-178088000,-93639000,-79176000
85,Acquisitions Net,- -,- -,-257591000,-12323000,-12342000,122691000
86,Purchases of Investments,-893147000,-2559423000,-5454118000,-6591706000,-5232994000,-4264757000
87,Sales/Maturities of Investments,494113000,1580020000,4738825000,5164143000,6048508000,4447711000
88,Other Investing Activites,- -,-4486000,-2200000,7131000,30894000,40543000
89,Cash Used for Investing Activites,-407853000,-991426000,-1043752000,-1610843000,740427000,267012000
90,Debt Repayment,- -,- -,- -,- -,-92321000,-79993000
91,Common Stock Issued,- -,- -,- -,2484029000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,775378000,2048951000,852238000,-909833000,604887000,7523000
95,Cash Used/Provided by Financing Activities,775378000,2048951000,852238000,1574196000,512566000,-72470000
96,Effect of Forex Changes on Cash,- -,- -,-246000,328000,-74000,-113000
97,Net Change In Cash,-119638000,663999000,-472433000,-142021000,-125980000,92708000
98,Cash at the End of Period,514920000,1178919000,706486000,564465000,438485000,531193000
99,Cash at the Beginning of Period,634558000,514920000,1178919000,706486000,564465000,438485000
100,Free Cash Flow,-495982000,-405549000,-351541000,-283790000,-1472538000,-180897000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1759509/000175950920000009/0001759509-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1759509/000175950921000011/0001759509-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1759509/000175950922000016/0001759509-22-000016-index.htm
102,false,,,,,,
