,https://roic.ai/company/GBCS,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727346/000101103408000121/0001011034-08-000121-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000101103409000129/0001011034-09-000129-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/727346/000101103412000198/0001011034-12-000198-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/727346/000137647416000655/0001376474-16-000655-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315217004488/0001493152-17-004488-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315218005664/0001493152-18-005664-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315219005435/0001493152-19-005435-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315220013085/0001493152-20-013085-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315221007498/0001493152-21-007498-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,620000,750000,510000,20000,370000,500000,620000,570000,887374,1048371,863343,505000,174000,234000,231000,516529,689461,917208,1181908,1563968,1163416,1378074,811286,531208,492199,1180192,533597,71055,578242,154566,1100218,641215,3567437
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12980,851000,800000,299000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,620000,750000,510000,20000,370000,500000,620000,570000,887374,1048371,876323,1356000,974000,533000,231000,516529,689461,917208,1181908,1563968,1163416,1378074,811286,531208,492199,1180192,533597,71055,578242,154566,1100218,641215,3567437
34,Net Receivables,- -,390000,400000,260000,140000,210000,190000,210000,300000,151129,131554,448507,564000,334000,233000,176000,17228,- -,- -,- -,- -,- -,- -,294061,275425,234883,485300,353211,- -,- -,88476,166696,1188100,1931569
35,Inventory,- -,460000,500000,590000,450000,460000,400000,30000,30000,- -,- -,284978,260000,285000,334000,18000,16147,9436,6115,7580,7410,16469,19309,22636,23101,24481,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,310000,- -,- -,- -,- -,- -,1820000,1700000,29459,138792,288670,383000,107000,192000,3000,7439,63362,77763,124629,52879,312793,291307,90027,31165,51835,307638,904157,541835,580747,817582,981722,1235137,- -
37,Total Current Assets,- -,1780000,1650000,1360000,610000,1040000,1090000,2680000,2600000,1067962,1318717,1898478,2563000,1700000,1292000,428000,557343,762259,1001086,1314117,1624257,1492678,1688690,1218010,860899,803398,1973130,1790965,612890,1158989,1060624,2248636,3064452,5499006
38,PP&E,- -,1150000,1180000,1140000,1080000,1030000,1000000,8510000,8250000,5323286,5369311,5151268,4745000,4351000,4013000,3790000,3778414,3778987,4056398,3899489,3592107,3796295,3438447,3045802,2680329,2543053,8088600,40259357,39741706,36162881,36380232,- -,- -,38238367
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2054275,1888000,1744000,1507000,- -,- -,- -,- -,- -,- -,1898496,1898496,1008496,- -,- -,1750454,1750454,- -,- -,- -,- -,379479,1076908
40,Intangible Assets,- -,20000,- -,- -,- -,- -,- -,2810000,2470000,2414276,2050976,2643348,1441000,1168000,544000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15258,- -
41,Intangible Assets,- -,20000,- -,- -,- -,- -,- -,2810000,2470000,2414276,2050976,4697623,3329000,2912000,2051000,- -,- -,- -,- -,- -,- -,1898496,1898496,1008496,- -,- -,1750454,1750454,- -,- -,- -,- -,394737,1076908
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243469,162106,24387,24387
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,20000,20000,1782088,429545,314537,855000,323000,58000,- -,- -,- -,- -,100000,169535,60847,- -,- -,- -,500000,739821,2677456,1422147,221962,546098,35885144,36394587,-24387
45,Total Non-Current Assets,- -,1170000,- -,- -,- -,- -,- -,11340000,10740000,9519650,7849832,10163428,8929000,7586000,6122000,3790000,3778414,3778987,4056398,3999489,3761642,5755638,5336943,4054298,2680329,3043053,10578875,44687267,41163853,36384843,37169799,36047250,36813711,39315275
46,Other Assets,- -,- -,1550000,1380000,1250000,1170000,1030000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2950000,3200000,2740000,1860000,2210000,2120000,14020000,13340000,10587612,9168549,12061906,11492000,9286000,7414000,4218000,4335757,4541246,5057484,5313606,5385899,7248316,7025633,5272308,3541228,3846451,12552005,46478232,41776743,37543832,38230423,38295886,39878163,44814281
48,Accounts Payable,- -,170000,180000,300000,100000,100000,40000,660000,820000,735437,318199,673381,506000,721000,726000,236000,259253,300466,224381,28375,72076,143528,159048,101155,122790,106643,295432,268942,396862,688135,350189,306437,1241573,3196178
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050179,557450,2165950,2013000,192000,2209000,1191000,675213,624973,329986,177172,52664,589581,2038068,966564,828159,1056484,- -,- -,- -,- -,- -,8115183,8255582,1121766
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1740000,1520000,820000,250000,200000,230000,3440000,9350000,1105092,1167375,1712097,2352000,3232000,1184000,886000,1143356,1200866,355897,414025,406952,649956,645922,677980,382007,492920,7345,- -,7562,253951,100614,-749270,-985344,38153987
53,Total Current Liabilities,- -,1910000,1700000,1120000,350000,300000,270000,4100000,10170000,2890708,2043024,4551428,4871000,4145000,4119000,2313000,2077822,2126305,910264,619572,531692,1383065,2843038,1745699,1332956,1656047,302777,268942,404424,942086,450803,7672350,8511811,42471931
54,Long-Term Debt,- -,20000,520000,880000,830000,760000,650000,5580000,70000,52266,4052900,3224528,2580000,2713000,4399000,2336000,2602866,2510981,2231041,1935682,1899647,1659411,- -,390289,469391,443367,7332756,37610874,30742460,32037431,34282407,29356158,30748602,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5085705,- -,- -,- -,585000,584000,47000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,176667,6034536,30000,1215055,282785,251100,- -
58,Total Non-Current Liabilities,- -,20000,520000,880000,830000,760000,650000,5580000,70000,5137971,4052900,3224528,2580000,3298000,4983000,2383000,2602866,2510981,2231041,1935682,1899647,1659411,- -,390289,469391,443367,7357756,37787541,36776996,32067431,35497462,29638943,30999702,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244613
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280000,280000,251100,251600
61,Total Liabilities,- -,1930000,2220000,2000000,1180000,1060000,920000,9680000,10240000,8028679,6095924,7775956,7451000,7443000,9102000,4696000,4680688,4637286,3141305,2555254,2431339,3042476,2843038,2135988,1802347,2099414,7660533,38056483,37181420,33009517,35948265,37311293,39511513,42716544
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46921,46921,401000,401000,401000,1101000,1101000,1101000,1101000,1101000,1101000,776000,776000,776000,776000,776000,776000,776000
63,Common Stock,- -,110000,10000,10000,10000,10000,10000,40000,50000,64494,7004,12180,77000,77000,107000,122000,121568,121568,166068,257646,260146,293261,297761,321025,339925,342575,727807,1082003,1112323,1251363,1315016,1340234,1372052,1343319
64,Retained Earnings,- -,410000,330000,190000,140000,180000,230000,-2550000,-4580000,-6594345,-6208329,-8562017,-9152000,-10247000,-11424000,-13227000,-12763525,-12514634,-11575494,-11458227,-11339150,-11215514,-11226981,-12469060,-13905269,-14770873,-687057,212573,-4840289,-6021903,-9048443,-11070606,-11962220,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1120353,-1615751,-1460096,-1872000,-1965000,-1928000,-1951000,-2153784,-2380896,-2693976,-2979554,-3383760,-3900633,-4393514,-4795894,-5132526,-5379369,- -,- -,-2031511,-3316941,-6116805,- -,- -,- -
66,Other Total Stockholders Equity,- -,500000,640000,540000,540000,970000,960000,6850000,7630000,10209137,10889701,14295883,14988000,13978000,11557000,14578000,14403889,14631001,15618581,16537487,17016324,17927726,18404329,18979249,19335751,20453704,3875264,8540520,11010425,12024057,15539729,10137148,10385417,1294665
67,Total Stockholders Equity,- -,1020000,980000,740000,690000,1160000,1200000,4340000,3100000,2558933,3072625,4285950,4041000,1843000,-1688000,-478000,-344931,-96040,1916179,2758352,2954560,4205840,4182595,3136320,1738881,1747037,5017014,10611096,6026948,4712576,2465497,1182776,571249,3413984
68,Total Liabilities And Stockholders Equity,- -,2950000,3200000,2740000,1870000,2220000,2120000,14020000,13340000,10587612,9168549,12061906,11492000,9286000,7414000,4218000,4335757,4541246,5057484,5313606,5385899,7248316,7025633,5272308,3541228,3846451,12677547,48667579,43208368,37722093,38413762,38494069,40082762,46130528
69,Minority Interest,- -,- -,- -,- -,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125542,-2189347,-1431625,-178261,-183339,-198183,-204599,-1316247
70,Total Liabilities & Equity,- -,2950000,3200000,2740000,1860000,2210000,2120000,14020000,13340000,10587612,9168549,12061906,11492000,9286000,7414000,4218000,4335757,4541246,5057484,5313606,5385899,7248316,7025633,5272308,3541228,3846451,12552005,46478232,41776743,37543832,38230423,38295886,39878163,44814281
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727346/000101103408000121/0001011034-08-000121-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000101103409000129/0001011034-09-000129-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/727346/000101103412000198/0001011034-12-000198-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/727346/000137647416000655/0001376474-16-000655-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315217004488/0001493152-17-004488-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315218005664/0001493152-18-005664-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315219005435/0001493152-19-005435-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315220013085/0001493152-20-013085-index.htm,https://www.sec.gov/Archives/edgar/data/727346/000149315221007498/0001493152-21-007498-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,30000,-80000,-140000,-50000,50000,40000,-2770000,-2040000,-2011078,386016,-2288699,-323000,-835000,-985000,-1791000,490383,252175,941603,117267,119077,123636,-11467,-1110667,-1379431,-808671,-1806956,1357147,-3334640,-1151614,-2996540,-1992163,-861614,2962
74,Depreciation and Amortization,- -,50000,50000,70000,50000,50000,- -,370000,620000,826115,869696,1053533,852000,864000,718000,258000,276507,317587,629184,698024,480390,531600,612709,558950,432541,591567,718133,652956,1352979,1599377,1239865,1413356,1488162,1580300
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,97500,32500,- -,83300,47348,194666,536886,488320,402392,280087,-8750
77,Change in Working Capital,- -,10000,-1570000,580000,770000,50000,30000,-1150000,-6150000,5747254,1098439,-1928643,344950,-137000,-382000,942000,364521,156433,1454868,603723,398020,-982952,-1263961,626659,55632,-380592,181178,-517043,-1313557,8437,392918,-6033535,-23645,-31525566
78,Accounts Receivable,- -,- -,-10000,140000,120000,-70000,20000,120000,-130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-436495,- -
79,Inventory,- -,- -,-40000,-90000,140000,-10000,60000,370000,- -,- -,- -,1697,25000,-27000,-49000,5000,1504,6711,3321,-1465,170,879,-2840,-3327,-465,-1380,15985,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-10000,-120000,200000,- -,60000,-620000,-160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86389,- -,- -,- -
81,Other Working Capital,- -,-130000,-1700000,-1120000,-350000,-300000,-270000,-1420000,-7570000,-1822746,-724307,-2652950,-2308000,-2445000,-2827000,-1885000,-1520479,-1364046,90822,694545,1092565,109613,-1154348,-527689,-472057,-852649,- -,-15471,208466,216903,609821,-5423714,-5447359,-36972925
82,Other Non-Cash Items,- -,20000,1540000,-330000,-620000,-60000,110000,1870000,7280000,-3839888,-2075432,3715206,-231950,46000,1387000,503000,-594599,-61382,-2263850,-774266,-136253,912182,1385361,195835,1159628,575412,864088,-2167191,3069697,-1500039,1093689,6318138,-14069,32685261
83,Cash Provided by Operating Activities,- -,110000,-60000,180000,150000,90000,180000,-1680000,-290000,722403,278719,551397,642000,-62000,738000,-88000,536812,664813,761805,644748,861234,584466,767642,368277,300870,-22284,39743,-626783,-30855,-506953,218252,108188,868921,2734207
84,CAPEX,- -,-40000,-90000,-30000,-10000,- -,-20000,-810000,-550000,-165709,-543422,-573269,-460000,-102000,-58000,-21000,-143954,-73117,-282263,-23525,-81934,-47350,-206935,-140559,-41068,-82228,-19291,-8426063,-598049,-313660,-860368,-763258,-1668867,-985681
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407493,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1672376,- -,-100,- -,- -,- -,- -,- -,- -,- -,- -,-734169,-587137
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307000,-2733000,-1001000,-500000,- -,- -,- -,-10000,-50000,-10000,-4150,- -,-120000,- -,- -,- -,- -,- -,-298736,- -,-12353,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,70361,53735,48243,61000,2462000,1681000,930000,39612,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274416,151141,- -
88,Other Investing Activites,- -,-10000,- -,140000,- -,- -,50000,-1210000,10000,-169573,-545483,-27594,400000,340000,-302000,-22000,- -,- -,- -,6300,-93425,100000,400,- -,- -,-500000,1200,-1438347,352373,2222738,-944368,-869592,-1812533,-985681
89,Cash Used for Investing Activites,- -,-50000,-90000,110000,-10000,- -,30000,-2020000,-540000,-264921,-1035170,-960113,-306000,-33000,320000,387000,-104342,-73117,-282263,-27225,-225359,-1629726,-210685,-140659,-161068,-582228,-18091,-7148123,352373,2222738,-1243104,-595176,-2407914,-1572818
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-267743,-662729,-697172,-431000,-787000,-343000,-421000,-146900,- -,- -,- -,- -,- -,-285521,-281607,-207720,-227564,-273507,-5764703,-2937880,-1701416,-720044,-1024862,-538534,-1352300
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,140639,- -,187500,- -,- -,- -,- -,- -,- -,54500,115000,6500,800000,- -,- -,- -,- -,- -,3190717,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-140000,- -,400000,- -,3450000,970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46921,- -,- -,- -,-56778,-56778,-56778,-56933,- -,- -,- -,- -,- -,-132795,- -,-101563
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260000,-150000,- -,- -,- -,- -,- -,- -,-3700,- -,- -,- -,- -,-56778,-457517,-463217,-30000,-30000,-30000,-30000,-30000
94,Other Financing Activites,- -,-40000,270000,-380000,-630000,-140000,-80000,380000,-190000,-8000,1580177,733360,-123000,811000,-385000,- -,- -,-418764,-259374,-467823,-260315,-408874,- -,-456021,120000,850000,55000,10159814,2617037,522818,1351220,2009704,1792833,3308264
95,Cash Used/Provided by Financing Activities,- -,-40000,270000,-520000,-630000,260000,-80000,3830000,780000,-135104,917448,223688,-554000,-236000,-878000,-421000,-146900,-418764,-251795,-352823,-253815,387426,-342299,-794406,-144498,565503,-275285,7128311,-784060,-1208598,601176,822047,1224299,1824401
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,10000,120000,-230000,-500000,350000,130000,120000,-50000,322378,160997,-185028,-218000,-331000,180000,-122000,285570,172932,227747,264700,382060,-657834,214658,-566788,-4696,-39009,-253633,-646595,-462542,507187,-423676,335059,-314694,2985790
98,Cash at the End of Period,- -,10000,740000,520000,10000,370000,500000,620000,570000,887374,1048371,863343,505000,174000,354000,231000,516529,689461,917208,1181908,1563968,1163416,1378074,811286,531208,492199,238566,533597,71055,578242,154566,1307207,992513,3978303
99,Cash at the Beginning of Period,- -,- -,620000,750000,510000,20000,370000,500000,620000,564996,887374,1048371,723000,505000,174000,353000,230959,516529,689461,917208,1181908,1821250,1163416,1378074,535904,531208,492199,1180192,533597,71055,578242,972148,1307207,992513
