,https://roic.ai/company/PRGO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,77300000,107200000,123000000,145000000,162300000,185400000,323000000,188800000,146161000,107008000,117768000,144733000,165068000,197680000,277563000,293943000,348383000,333764000,381598000,411320000,517617000,589000000,1046500000,975300000,1389500000,1272800000,1349600000,1357700000,1349500000,1005000000
11,COGS and Expenses,355900000,497300000,579100000,641600000,709900000,772500000,964400000,859600000,707230000,676002000,732187000,740809000,795308000,961389000,1246643000,1339746000,1619553000,1744629000,1904452000,2221479000,2595268000,2848800000,3659600000,3866700000,4618300000,4239500000,4249800000,4421800000,4597600000,3727000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,- -,16020000,- -,27154000,28778000,42312000,60736000,- -,- -,- -,- -,- -,- -,- -,125000000,125000000
14,Depreciation and Amortization,12000000,15400000,18900000,23700000,27200000,28600000,29400000,21100000,22245000,23022000,25613000,26126000,28452000,34813000,56604000,58032000,69231000,70142000,76133000,102941000,135323000,160200000,358900000,548800000,457000000,444800000,423600000,396500000,384800000,312000000
15,EBITDA,57100000,85500000,105800000,93800000,89700000,99500000,-36600000,25100000,52730000,66881000,113967000,112384000,134435000,-295660000,162539000,163106000,249675000,304027000,411546000,594446000,716687000,767900000,631500000,796800000,-4391300000,724900000,714200000,567500000,360400000,758000000
16,EBITDA ratio,0.1393,0.1498,0.1581,0.1308,0.1153,0.1178,-0.0405,0.0286,0.0714,0.0888,0.1379,0.1361,0.1497,-0.2887,0.1189,0.1127,0.1370,0.1515,0.1814,0.2158,0.2259,0.2169,0.1555,0.1731,-0.8316,0.1466,0.1509,0.1173,0.0712,0.1832
17,Operating Income,53900000,73500000,90200000,75500000,68200000,72100000,-61800000,18000000,31325000,40111000,86999000,85178000,102896000,-330473000,111332000,98551000,197480000,247307000,335895000,490205000,569226000,679100000,567000000,747700000,-1999700000,598200000,236500000,204800000,115400000,410400000
18,Operating Income ratio,0.1315,0.1288,0.1348,0.1053,0.0876,0.0854,-0.0685,0.0205,0.0424,0.0532,0.1053,0.1031,0.1146,-0.3227,0.0815,0.0681,0.1084,0.1232,0.1480,0.1779,0.1794,0.1918,0.1396,0.1624,-0.3787,0.1209,0.0500,0.0423,0.0228,0.0992
19,Total Other Income Expenses (Gains),-8800000,-3400000,-3300000,-5400000,-5700000,-1200000,-4200000,-14000000,-840000,3748000,1355000,1080000,3087000,-220000,-5397000,-9497000,-17036000,-43527000,-27709000,-39651000,-57237000,-71400000,-294400000,-499700000,-2848600000,-318100000,54100000,-33800000,-264800000,-152400000
20,Income Before Tax,45100000,70100000,86900000,70100000,62500000,70900000,-66000000,4000000,30485000,43859000,88354000,86258000,105983000,-330693000,105935000,89054000,180444000,203780000,308186000,450554000,511989000,607700000,272600000,248000000,-4848300000,280100000,290600000,171000000,-149400000,258000000
21,Income Before Tax Ratio,0.1101,0.1228,0.1298,0.0978,0.0803,0.0839,-0.0731,0.0046,0.0413,0.0582,0.1069,0.1044,0.1180,-0.3229,0.0775,0.0615,0.0990,0.1015,0.1358,0.1635,0.1613,0.1717,0.0671,0.0539,-0.9181,0.0566,0.0614,0.0353,-0.0295,0.0623
22,Income Tax expense (Gain),16500000,25500000,32100000,25700000,22700000,25900000,-14400000,2500000,11187000,16203000,38157000,32210000,25416000,22290000,34535000,15257000,44671000,62682000,84089000,109996000,119015000,165800000,67300000,120000000,-835500000,160500000,159600000,24900000,13200000,389000000
23,Net Income,28600000,44600000,54800000,44400000,39800000,45000000,-51600000,1500000,19298000,27656000,50197000,54048000,80567000,-352983000,71400000,73797000,135773000,144049000,222546000,339197000,401613000,441900000,205300000,128000000,-4012800000,119600000,131000000,146100000,-162600000,-68000000
24,Net Income ratio,0.0698,0.0781,0.0819,0.0619,0.0512,0.0533,-0.0572,0.0017,0.0261,0.0367,0.0607,0.0654,0.0897,-0.3447,0.0522,0.0510,0.0745,0.0718,0.0981,0.1231,0.1266,0.1248,0.0506,0.0278,-0.7599,0.0242,0.0277,0.0302,-0.0321,-0.0164
25,EPS,0.41,0.58,0.71,0.58,0.52,0.58,-0.69,0.02,0.26,0.38,0.69,0.77,1.15,-4.57,0.77,0.80,1.46,1.56,2.43,3.67,4.31,4.71,1.78,0.92,-28.01,0.84,0.95,1.07,-1.19,-0.51
26,EPS Diluted,0.41,0.58,0.71,0.58,0.52,0.58,-0.69,0.02,0.26,0.37,0.67,0.76,1.11,-4.57,0.76,0.79,1.43,1.54,2.40,3.63,4.27,4.68,1.77,0.92,-28.01,0.84,0.95,1.07,-1.19,-0.51
27,Weighted Average Shares Outstanding,69756098,76896552,77183099,76551724,77200000,77432000,74782609,75000000,74223077,72778947,72749275,69746000,70206000,77313000,92875000,92230000,93124000,92183000,91399000,92313000,93219000,93900000,115100000,139800000,143300000,142300000,137800000,136000000,136100000,133600000
28,Weighted Average Shares Outstanding Diluted,69756098,76896552,77183099,76551724,77777778,77432000,74782609,75000000,74223077,74745946,74920896,71158000,72289000,77313000,94105000,93807000,95210000,93629000,92845000,93529000,94052000,94500000,115600000,139800000,143300000,142600000,138300000,136500000,136100000,133600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1585364/000158536414000019/0001585364-14-000019-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536415000100/0001585364-15-000100-index.html,- -,https://www.sec.gov/Archives/edgar/data/1585364/000158536418000015/0001585364-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536419000016/0001585364-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536420000013/0001585364-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536421000012/0001585364-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1585364/000158536422000011/0001585364-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93827000,161252000,16707000,19018000,30305000,318604000,316133000,97568000,310104000,602489000,779900000,800000000,785600000,622300000,678700000,551100000,354300000,641500000,1864000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10448000,17761000,26733000,49110000,560000,3000,557000,- -,- -,- -,6000000,21800000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93827000,171700000,34468000,45751000,79415000,319164000,316136000,98125000,310104000,602489000,779900000,806000000,807400000,622300000,678700000,551100000,354300000,641500000,1864000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87018000,86040000,210308000,240130000,282045000,350272000,334736000,372364000,478221000,573629000,658000000,935000000,1282100000,1176000000,1130800000,1073100000,1243200000,1054200000,652000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160326000,174253000,272980000,302941000,295114000,399972000,384794000,448871000,505576000,547455000,703900000,632000000,838900000,795000000,806900000,878000000,967300000,1200200000,1020000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38026000,41236000,91051000,68356000,62486000,87451000,117298000,461933000,83392000,72348000,95100000,178000000,254500000,212000000,203200000,400000000,192100000,237600000,323000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379197000,473229000,608807000,657178000,719060000,1156859000,1152964000,1381293000,1377293000,1795921000,2236900000,2551000000,3182900000,2805300000,2819600000,2902200000,2756900000,3133500000,3859000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218778000,227641000,323801000,319358000,331072000,356895000,354317000,448916000,507308000,578350000,681500000,780000000,932400000,870100000,- -,- -,- -,1182000000,1030000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152183000,196218000,282417000,268819000,622745000,- -,820122000,1089300000,3544000000,7235000000,4049400000,4175400000,3979800000,4116700000,3768800000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35919000,35919000,298260000,132426000,156587000,229327000,214207000,587094000,1212475000,729253000,1242400000,6787000000,8105600000,3511300000,3380800000,2908200000,2990000000,2989400000,2146000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35919000,35919000,298260000,284609000,352805000,511744000,483026000,1209839000,1212475000,1549375000,2331700000,10331000000,15340600000,7560700000,7556200000,6888000000,7106700000,6758200000,3004000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2350000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3968000,8137000,26964000,43143000,54908000,74737000,74438000,- -,10531000,13444000,20300000,728000000,1745100000,72100000,10400000,1200000,5400000,44200000,6000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6108000,14168000,447144000,446336000,467309000,474842000,471610000,52688000,81614000,86957000,80600000,-537000000,-1480400000,211900000,1242600000,1192000000,1432400000,370500000,2526000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264773000,285865000,1096169000,1093446000,1206094000,1418218000,1383391000,1711443000,1811928000,2228126000,3114100000,11302000000,16537700000,11064800000,8809200000,8081200000,8544500000,8354900000,6566000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643970000,759094000,1704976000,1750624000,1925154000,2575077000,2536355000,3092736000,3189221000,4024047000,5351000000,13853000000,19720600000,13870100000,11628800000,10983400000,11301400000,11488400000,10425000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72186000,88858000,142789000,179740000,164318000,253307000,271537000,258493000,343278000,317341000,382000000,364000000,747500000,471700000,450200000,474900000,520200000,543800000,411000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,572800000,70400000,190200000,3400000,37800000,-2313000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,52600000,32400000,- -,- -,- -,- -,16000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,122000000,- -,- -,- -,- -,44000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94356000,98628000,197753000,191691000,215519000,232354000,229024000,648212000,262757000,335390000,367400000,649000000,824200000,791800000,915400000,872300000,812200000,756400000,3489000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166542000,187486000,340542000,371431000,379837000,485661000,500561000,906705000,606035000,652731000,749400000,1075000000,1693700000,1836300000,1436000000,1537400000,1335800000,1382000000,1587000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656128000,621717000,650762000,895095000,875000000,935000000,875000000,1329235000,1927800000,3063000000,5246900000,5224500000,3270800000,3052200000,3365800000,3528300000,2916000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25484000,29606000,74379000,81923000,103775000,139212000,139916000,55333000,10601000,24126000,127800000,727900000,1745100000,389900000,321900000,282300000,280600000,279300000,239000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3520000,5770000,43090000,34809000,36311000,121394000,98957000,107043000,166598000,165310000,213200000,294100000,372300000,461800000,429500000,443400000,515100000,643700000,292000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29004000,35376000,773597000,738449000,790848000,1155701000,1113873000,1097376000,1052199000,1518671000,2268800000,4085000000,7364300000,6076200000,4022200000,3777900000,4161500000,4451300000,3686000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7373000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195546000,222862000,1114139000,1109880000,1170685000,1641362000,1614434000,2004081000,1658234000,2171402000,3018200000,5160000000,9058000000,7912500000,5458200000,5315300000,5497300000,5833300000,5274000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88990000,104160000,534518000,- -,- -,- -,- -,- -,- -,- -,538500000,6678000000,8621900000,8135000000,7892900000,7421700000,7359900000,7118200000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358263000,429694000,64776000,121053000,178374000,289994000,419086000,619303000,934333000,1306925000,1715900000,1875000000,1938300000,-2095100000,-1975500000,-1838300000,-1695500000,-1858100000,-1927000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210337000,-234544000,-262505000,-287549000,-333024000,-388945000,-409634000,-437037000,-498490000,-540487000,-608900000,140000000,104000000,-81800000,253000000,85000000,139000000,395000000,35000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211508000,236922000,254048000,807240000,909119000,1032666000,912469000,906389000,1095144000,1086207000,685900000,-100000,-1600000,- -,100000,-400000,400000,- -,7043000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,448424000,536232000,590837000,640744000,754469000,933715000,921921000,1086808000,1529044000,1851037000,2331400000,8692900000,10662600000,5958100000,6170500000,5668000000,5803800000,5655100000,5151000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643970000,759094000,1704976000,1750624000,1925154000,2575077000,2536355000,3090889000,3187278000,4022439000,5349600000,13852900000,19720600000,13870600000,11628700000,10983300000,11301100000,11488400000,10425000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1847000,1943000,1608000,1400000,100000,- -,-500000,100000,100000,300000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643970000,759094000,1704976000,1750624000,1925154000,2575077000,2536355000,3092736000,3189221000,4024047000,5351000000,13853000000,19720600000,13870100000,11628800000,10983400000,11301400000,11488400000,10425000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1585364/000158536414000019/0001585364-14-000019-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536415000100/0001585364-15-000100-index.html,- -,https://www.sec.gov/Archives/edgar/data/1585364/000158536418000015/0001585364-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536419000016/0001585364-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536420000013/0001585364-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1585364/000158536421000012/0001585364-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1585364/000158536422000011/0001585364-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,28600000,44600000,54800000,44400000,39800000,45000000,-51600000,1500000,19298000,27656000,50197000,54048000,80567000,-352983000,71400000,73797000,135773000,144049000,222546000,339197000,401613000,441900000,205300000,128000000,-4012800000,119600000,131000000,146100000,-162600000,-68000000
74,Depreciation and Amortization,12000000,15400000,18900000,23700000,27200000,28600000,29400000,21100000,22245000,23022000,25613000,26126000,28452000,34813000,56604000,58032000,69231000,70142000,76133000,102941000,135323000,160200000,358900000,548800000,457000000,444800000,423600000,396500000,384800000,312000000
75,Deferred Income Tax,- -,800000,3000000,2300000,3600000,-1100000,-34800000,-3400000,27141000,-10548000,2233000,-6847000,3366000,-9834000,-5804000,-1371000,6442000,-1422000,-10347000,-58527000,25680000,4300000,-56300000,-16400000,-990900000,-48900000,-17900000,-43900000,-54500000,9000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10353000,14696000,15355000,18973000,18400000,24600000,31600000,23000000,43800000,37700000,52200000,58500000,60000000
77,Change in Working Capital,-21500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212655000,73088000,-17478000,17482000,53476000,331975000,-18795000,-177815000,296670000,371932000,344310000,-11500000,13200000,-520200000,414600000,-18800000,56300000,330400000,520500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6446000,-6886000,-107235000,-49349000,-37000000,-226700000,-81700000,-600000,3200000,21000000,-140700000,168900000,-159000000
79,Inventory,-27800000,-21900000,-7400000,-24600000,6600000,-4500000,-63200000,-17400000,70502000,-29384000,5512000,-4656000,-6168000,40528000,-31681000,18786000,-72480000,341000,-30199000,-30416000,5353000,-94600000,83000000,10700000,100700000,-16000000,-98600000,-67000000,-170600000,-2000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24821000,-21166000,57804000,-23555000,6500000,-24900000,140600000,-75700000,-39600000,28800000,17000000,-2700000,-7000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212655000,285743000,268265000,285747000,339223000,671198000,652403000,474588000,771258000,1143190000,1487500000,1476000000,1489200000,969000000,1383600000,1364800000,1421100000,1751500000,2272000000
82,Other Non-Cash Items,100000,-28900000,-16000000,-28000000,2300000,14000000,79300000,-34600000,49129000,28089000,26149000,-205748000,-66946000,423126000,-13151000,-55011000,-295114000,54018000,188960000,-321675000,-440145000,-415310000,172500000,493100000,5698800000,-275000000,37400000,-219400000,79600000,-677500000
83,Cash Provided by Operating Activities,19200000,31900000,60700000,42400000,72900000,86500000,22300000,-15400000,117813000,68219000,104192000,80234000,118527000,77644000,126531000,128923000,248307000,258345000,314173000,373961000,513376000,553800000,693500000,1198300000,654900000,698900000,593000000,387800000,636200000,156000000
84,CAPEX,-59600000,-67500000,-62300000,-38600000,-17600000,-23000000,-85400000,-32300000,-14364000,-26804000,-27528000,-32296000,-28294000,-32386000,-36427000,-104552000,-57225000,-59238000,-55892000,-99443000,-120192000,-104100000,-171600000,-137000000,-106200000,-88600000,-102600000,-137700000,-170400000,-152000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000000,- -,- -,-12061000,-381570000,- -,- -,-83312000,-88248000,-832822000,-934000,-573690000,-852300000,-1605800000,-2181800000,-358300000,154200000,5200000,-565200000,4300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157353000,-60773000,-335016000,-176298000,- -,- -,- -,- -,- -,-15000000,-329900000,- -,- -,-7500000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,334465000,51492000,312521000,208097000,- -,- -,560000,- -,8600000,81400000,- -,4500000,2200000000,- -,- -,- -,- -
88,Other Investing Activites,-600000,-500000,500000,-32600000,-5800000,-1800000,-3100000,7600000,34890000,268000,13763000,-980000,-19099000,-412574000,-3000000,1613000,-12500000,1115000,-29262000,-10750000,9750000,- -,6200000,1800000,285000000,72500000,-21900000,106800000,-21700000,1427000000
89,Cash Used for Investing Activites,-60200000,-68000000,-61800000,-71200000,-23400000,-24800000,-88500000,-24700000,20526000,-72536000,-13765000,-33276000,-53154000,-649418000,-48708000,-125434000,-121238000,-146371000,-917976000,-110567000,-684132000,-947800000,-1704800000,-2646900000,-175000000,2338100000,-126800000,-596100000,-187800000,1275000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45116000,-173771000,-201230000,-612680000,-40000000,-2168500000,-1823500000,-1362300000,-2727100000,-486900000,-476000000,-593900000,-30000000
91,Common Stock Issued,122300000,6600000,1700000,100000,200000,200000,600000,100000,105000,7231000,11482000,7294000,12808000,7681000,8056000,15362000,32210000,10062000,21444000,14341000,11621000,10700000,9800000,1043400000,8300000,700000,1300000,900000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-900000,-30200000,-14800000,- -,-1089000,-31923000,-33682000,-2766000,-3021000,-28330000,-22464000,-78164000,-62489000,-71088000,-8308000,-8236000,-12400000,-7500000,- -,- -,-191500000,-400000000,- -,-164200000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3484000,-9136000,-11935000,-15613000,-16476000,-18219000,-19957000,-22329000,-25303000,-29021000,-33000000,-46100000,-64800000,-83200000,-91100000,-104900000,-112400000,-123900000,-129000000
94,Other Financing Activites,-80800000,29200000,1300000,26800000,-49800000,-46900000,82900000,55000000,-133084000,2136000,-4272000,44000,574000,590462000,-41148000,33175000,234026000,2290000,629047000,161710000,1097031000,651900000,3240300000,2368800000,1168500000,4300000,418600000,589300000,700900000,-19000000
95,Cash Used/Provided by Financing Activities,41500000,35800000,3000000,26900000,-49600000,-47600000,53300000,40300000,-132979000,8278000,-24713000,-29828000,1480000,583187000,-77035000,9597000,169853000,-115210000,383303000,-58790000,458715000,577200000,1028000000,1523900000,-268700000,-3004700000,-571900000,1800000,-181100000,-178000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,-127000,572000,-3098000,1523000,-1799000,-8623000,769000,1931000,-4265000,4426000,-5800000,2900000,-89200000,-6700000,24100000,-21900000,9700000,19900000,-15000000
97,Net Change In Cash,41500000,35800000,3000000,26900000,-49600000,-47600000,53300000,200000,5360000,3961000,65708000,17003000,67425000,8315000,2311000,11287000,288299000,-2466000,-218569000,200339000,292385000,177400000,19600000,-13900000,204500000,56400000,-127600000,-196800000,287200000,-645000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,1700000,7055000,11016000,76824000,93827000,161252000,16707000,19018000,30305000,318604000,316133000,97568000,310104000,602489000,779900000,799500000,785600000,622300000,678700000,551100000,354300000,641500000,-14000000
99,Cash at the Beginning of Period,- -,500000,200000,2200000,300000,200000,14400000,1500000,1695000,7055000,11116000,76824000,93827000,8392000,16707000,19018000,30305000,318599000,316137000,109765000,310104000,602500000,779900000,799500000,417800000,622300000,678700000,551100000,354300000,631000000
100,Free Cash Flow,-40400000,-35600000,-1600000,3800000,55300000,63500000,-63100000,-47700000,103449000,41415000,76664000,47938000,90233000,45258000,90104000,24371000,191082000,199107000,258281000,274518000,393184000,449700000,521900000,1061300000,548700000,610300000,490400000,250100000,465800000,4000000
