,https://roic.ai/company/ALTR,2015,2016,2017,2018,2019,2020,2021
35,Inventory,2075000,1227000,1980000,1964000,- -,- -,- -
36,Other Current Assets,7096000,7435000,10006000,15491000,17092000,21100000,27529000
37,Total Current Assets,95823000,105103000,143888000,154034000,352457000,386935000,588221000
38,PP&E,25379000,29708000,31446000,30153000,64431000,69858000,68972000
39,Goodwill,29240000,36625000,62706000,210532000,233683000,264481000,370178000
40,Intangible Assets,9390000,11168000,24461000,69836000,67075000,76114000,99057000
41,Intangible Assets,38630000,47793000,87167000,280368000,300758000,340595000,469235000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,57199000,62896000,8351000,1373000,5791000,7125000,8495000
44,Other Non-Current Assets,4819000,5276000,17019000,17288000,19708000,25389000,28352000
45,Total Non-Current Assets,126027000,145673000,143983000,329182000,390688000,442967000,575054000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,221850000,250776000,287871000,483216000,743145000,829902000,1163275000
48,Accounts Payable,6216000,5009000,4880000,8357000,8585000,8594000,6647000
49,Short-Term Debt,13817000,10435000,232000,331000,9571000,40715000,209638000
50,Tax Payable,6492000,6823000,8983000,9847000,12573000,15220000,13587000
51,Deferred Revenue,94823000,101682000,130954000,61269000,76310000,86799000,94619000
52,Other Current Liabilities,36064000,40879000,61397000,57801000,58400000,64646000,163074000
53,Total Current Liabilities,150920000,158005000,197463000,127758000,152866000,200754000,473978000
54,Long-Term Debt,69360000,74806000,178000,31417000,198412000,212976000,19550000
55,Deferred Revenue,13008000,13268000,9640000,6754000,8136000,9388000,12872000
56,Deferred Tax Liabilities,1100000,1379000,1620000,7736000,6275000,8028000,15389000
57,Other Non-Current Liabilities,29501000,37971000,16027000,20417000,20397000,19386000,27505000
58,Total Non-Current Liabilities,112969000,127424000,27465000,66324000,233220000,249778000,75316000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,29315000,34654000,29483000
61,Total Liabilities,263889000,285429000,224928000,194082000,386086000,450532000,549294000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5000,5000,2358000,2359000,2359000,791000,792000
64,Retained Earnings,-77255000,-67092000,-166499000,-82005000,-82405000,-93293000,-102087000
65,Other Comprehensive Income/Loss,-6708000,-7264000,-5072000,-11052000,-9528000,-2797000,-8950000
66,Other Total Stockholders Equity,41909000,39688000,232156000,379832000,446633000,474669000,724226000
67,Total Stockholders Equity,-42049000,-34663000,62943000,289134000,357059000,379370000,613981000
68,Total Liabilities And Stockholders Equity,221840000,250766000,287871000,483216000,743145000,829902000,1163275000
69,Minority Interest,10000,10000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,221850000,250776000,287871000,483216000,743145000,829902000,1163275000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701732/000119312518090811/0001193125-18-090811-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459019005799/0001564590-19-005799-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459020008059/0001564590-20-008059-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459021009427/0001564590-21-009427-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459022007651/0001564590-22-007651-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,10931000,10163000,-99407000,13715000,-7542000,-10500000,-8794000
74,Depreciation and Amortization,8378000,9980000,11747000,14734000,21522000,23806000,25644000
75,Deferred Income Tax,-9131000,-6076000,52571000,763000,-950000,-10350000,-1502000
76,Stock Based Compensation,597000,5132000,47281000,3339000,8528000,21355000,44549000
77,Change in Working Capital,-1209000,2195000,-673000,79851000,3495000,-3635000,-10973000
78,Accounts Receivable,-8120000,-4397000,-10397000,-1394000,-7901000,-11032000,-15645000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,558000,-1321000,-1087000,1647000,-426000,-1839000,-3857000
81,Other Working Capital,-55097000,-52902000,-53575000,26276000,16296000,10123000,17872000
82,Other Non-Cash Items,1272000,-9000,4572000,-76172000,6340000,12206000,12699000
83,Cash Provided by Operating Activities,10838000,21385000,16091000,36230000,31393000,32882000,61623000
84,CAPEX,-5233000,-9444000,-9642000,-9386000,-10133000,-8226000,-8193000
85,Acquisitions Net,-2757000,-6499000,-15582000,-203438000,-25720000,-41028000,-53983000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,6614000,- -,- -,- -
88,Other Investing Activites,-5273000,-9534000,-9269000,-9386000,-10119000,-8064000,-8499000
89,Cash Used for Investing Activites,-8030000,-16033000,-24851000,-206210000,-35839000,-49092000,-62482000
90,Debt Repayment,-107623000,-152504000,-214056000,-6217000,-127941000,- -,-30000000
91,Common Stock Issued,291000,456000,121060000,137649000,1510000,- -,200000000
92,Common Stock Repurchased,-1744000,-3049000,-1045000,-675000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,104379000,153233000,123599000,36773000,318347000,31250000,5947000
95,Cash Used/Provided by Financing Activities,-4697000,-1864000,29558000,167530000,191916000,31250000,175947000
96,Effect of Forex Changes on Cash,-1639000,-362000,1641000,-1443000,342000,3010000,-2623000
97,Net Change In Cash,-3528000,3126000,22439000,-3893000,187812000,18050000,172465000
98,Cash at the End of Period,14013000,17139000,39578000,35685000,223497000,241547000,414012000
99,Cash at the Beginning of Period,17541000,14013000,17139000,39578000,35685000,223497000,241547000
100,Free Cash Flow,5605000,11941000,6449000,26844000,21260000,24656000,53430000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701732/000119312518090811/0001193125-18-090811-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459019005799/0001564590-19-005799-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459020008059/0001564590-20-008059-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459021009427/0001564590-21-009427-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459022007651/0001564590-22-007651-index.htm
102,false,,,,,,,
