,https://roic.ai/company/MITK,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0667,0.0221,0.0260,0.0333,- -,-0.0687,-0.1078,-0.0152,0.1463,-0.5417,-0.2308,0.2062,-0.1534,-0.0368,0.0303,-0.2150,-0.7340,-0.1558,-0.1191,-0.0689,-0.1432,-0.3653,-0.1333,-0.0122,-0.8622,-0.4915,-0.2763,0.0996,0.0565,0.3105,-0.1858,-0.0086,0.0771,0.0666
25,EPS,-0.21,0.06,0.09,0.13,0.01,-0.13,-0.15,-0.01,0.15,-0.25,-0.13,0.20,-0.13,-0.03,0.04,-0.22,-0.34,-0.08,-0.05,-0.02,-0.04,-0.08,-0.04,-0.01,-0.31,-0.26,-0.17,0.08,0.06,0.43,-0.33,-0.02,0.19,0.19
26,EPS Diluted,-0.21,0.06,0.09,0.13,0.01,-0.13,-0.15,-0.01,0.15,-0.25,-0.13,0.19,-0.13,-0.03,0.04,-0.22,-0.34,-0.08,-0.05,-0.02,-0.04,-0.08,-0.04,-0.01,-0.31,-0.26,-0.17,0.08,0.06,0.40,-0.33,-0.02,0.18,0.19
27,Weighted Average Shares Outstanding,3333333,10000000,3468000,3595000,7500000,6923077,7333333,10000000,8000000,10400000,11564239,10359458,10856762,11120120,11132867,11154489,11353171,12569617,15905157,16750592,16751137,16751137,16946263,21506508,25124179,27492670,30466063,30790258,31586535,33082999,35811000,39341000,41410000,43509000
28,Weighted Average Shares Outstanding Diluted,3333333,10000000,3468000,3595000,7500000,6923077,7333333,10000000,8000000,10400000,11564239,10755277,10856762,11120120,11327163,11154489,11353171,12569617,15905157,16750592,16751137,16751137,16946263,21506508,25124179,27492670,30466063,31480241,33818501,35537218,35811000,39341000,42533000,45083000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807863/000089843095002752/0000898430-95-002752-index.html,https://www.sec.gov/Archives/edgar/data/807863/000088929796000009/0000889297-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/807863/000088929797000080/0000889297-97-000080-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807863/000104746902008364/a2097132z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/807863/000114420405001154/v011113_10k.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420405038176/v030586_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420406055064/v061491_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420407067021/v096760_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420409001643/v136816_10k.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420409066595/0001144204-09-066595-index.html,https://www.sec.gov/Archives/edgar/data/807863/000114420410061498/0001144204-10-061498-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312511342502/0001193125-11-342502-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312512495286/0001193125-12-495286-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312513471705/0001193125-13-471705-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312514434645/0001193125-14-434645-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459015011292/0001564590-15-011292-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459016030084/0001564590-16-030084-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786317000080/0000807863-17-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786318000115/0000807863-18-000115-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786319000080/0000807863-19-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786320000136/0000807863-20-000136-index.htm,https://www.sec.gov/Archives/edgar/data/807863/000080786321000098/0000807863-21-000098-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,100000,- -,100000,200000,100000,100000,200000,1300000,1700000,1400000,537113,865347,760416,1819102,2607173,2387204,2331011,2096282,1300281,674115,1305049,5655716,6702090,23294456,7766590,2752638,9010000,12289000,9028000,16748000,19986000,30312000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10187638,5819537,5730872,16269170,23921328,24863000,30279000,8448000,16502000,40035000,149057000
33,Cash and Short-Term Investments,- -,- -,100000,- -,100000,200000,100000,100000,200000,1300000,1700000,1400000,537113,865347,760416,1819102,2607173,2387204,2331011,2096282,1300281,674115,1305049,15843354,12521627,29025328,24035760,26673966,33873000,42568000,17476000,33250000,60021000,179369000
34,Net Receivables,3600000,4000000,6200000,5700000,2600000,1600000,1800000,1800000,2300000,2900000,2300000,5000000,6134218,4452512,6473214,3096316,703995,773210,1078576,542009,912831,360817,1221599,2956295,1097311,1494627,2955350,3936687,4949000,7099000,16821000,17288000,20799000,20682000
35,Inventory,2700000,3000000,5300000,5200000,2900000,1300000,100000,100000,300000,400000,100000,100000,125614,40731,18443,43182,11078,4822,6833,99476,100000,49910,87335,208408,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,- -,100000,100000,- -,200000,100000,100000,200000,100000,200000,- -,76020,96803,129097,84167,180876,157515,191787,- -,- -,60683,93337,108974,485165,661706,704409,798212,1485000,1209000,3331000,3592000,3306000,4005000
37,Total Current Assets,6400000,7000000,11700000,11000000,5600000,3300000,2100000,2100000,3000000,4700000,4300000,6500000,6872965,5455393,7381170,5042767,3503122,3322751,3608207,2737767,2313112,1145525,2707320,19117031,14104103,31181661,27695519,31408865,40307000,50876000,37628000,54130000,84126000,204056000
38,PP&E,800000,1100000,1800000,1100000,600000,500000,200000,100000,100000,200000,200000,300000,346087,294157,379533,321029,119111,82626,83530,77827,91066,60367,34293,196519,491079,1629664,1293270,975335,440000,613000,4665000,4231000,9017000,10727000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2872677,2863000,3014000,34407000,32636000,35669000,63096000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347738,365753,228596,- -,- -,- -,- -,3397571,2783000,2297000,32947000,24405000,19289000,28734000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347738,365753,228596,91438,- -,- -,- -,6270248,5646000,5311000,67354000,57041000,54958000,91830000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417230,2085690,- -,2072018,- -,1952000,3780000,- -,1552000,1963000,48051000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11065000,15356000,16596000,13484000,10511000
44,Other Non-Current Assets,- -,- -,100000,100000,100000,1300000,800000,700000,700000,2300000,1600000,600000,554906,865956,470496,279985,- -,148580,52022,29465,29465,29465,38247,29465,42049,42049,42049,92049,40000,74000,2147000,2347000,5606000,54518000
45,Total Non-Current Assets,800000,1100000,1900000,1200000,700000,1800000,1000000,800000,800000,2500000,1800000,900000,900993,1160113,850029,601014,119111,231206,135552,107292,468269,455585,301136,734652,2618818,1671713,3407337,7337632,8078000,20843000,89522000,81767000,85028000,215637000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7200000,8100000,13600000,12200000,6300000,5100000,3100000,2900000,3800000,7200000,6100000,7400000,7773958,6615506,8231199,5643781,3622233,3553957,3743759,2845059,2781381,1601110,3008456,19851683,16722921,32853374,31102856,38746497,48385000,71719000,127150000,135897000,169154000,419693000
48,Accounts Payable,- -,- -,2400000,2700000,800000,500000,600000,700000,500000,500000,700000,700000,1272449,1129574,1567121,881032,288909,206936,734707,120519,403925,356305,228514,358907,711950,1875909,1792267,1537545,1318000,1918000,3573000,3555000,3909000,2507000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,512882,- -,- -,- -,570827,714187,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1943000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479570,884917,397724,427507,657505,541010,676085,700714,831372,873230,1632085,2335532,2826670,3516487,3391000,3305000,4792000,5612000,7973000,10381000
52,Other Current Liabilities,5900000,3400000,6200000,4500000,1500000,2200000,1300000,500000,600000,900000,1100000,1000000,1057963,746665,691215,936206,1398963,651446,311327,280546,314012,368952,227594,541194,758621,1607023,1592562,2350141,3618000,4311000,12042000,10881000,12474000,24378000
53,Total Current Liabilities,5900000,3400000,8600000,7200000,2300000,2700000,1900000,1500000,1100000,1400000,1800000,1700000,2843294,1876239,2737906,2702155,2656423,2000076,1703539,942075,1394022,1425971,1287480,1773331,3102656,5818464,6211499,7404173,8327000,9534000,20407000,20048000,24356000,39209000
54,Long-Term Debt,600000,3600000,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68400,- -,1484149,- -,- -,- -,- -,- -,679801,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127506000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,511125,311225,221833,259000,85000,485000,736000,1597000,955000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8162000,5555000,4649000,4117000
57,Other Non-Current Liabilities,- -,- -,1200000,300000,1300000,600000,400000,100000,- -,- -,100000,100000,41103,175404,397342,369155,13215,507046,23890,44596,55745,49374,39716,23061,63586,795043,638099,687379,314000,692000,2702000,2225000,6309000,55076000
58,Total Non-Current Liabilities,600000,3600000,3200000,2300000,1300000,600000,400000,100000,- -,- -,100000,100000,41103,175404,465742,369155,1497364,507046,23890,44596,55745,49374,719517,23061,63586,1306168,949324,909212,573000,777000,11349000,8516000,12555000,187654000
59,Other Liabilities,500000,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7146000,8531000
61,Total Liabilities,6400000,6900000,11800000,9500000,3600000,3300000,2300000,1600000,1100000,1400000,1800000,1800000,2884397,2051643,3203648,3071310,4153787,2507122,1727429,986671,1449767,1475345,2006997,1796392,3166242,7124632,7160823,8313385,8900000,10311000,31756000,28564000,36911000,226863000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11120,11121,11139,11185,11389,14332,16746,16751,16751,16751,17816,24144,25995,30361,30521,31721,33000,34000,38000,40000,42000,44000
64,Retained Earnings,-2000000,-1600000,-1000000,-100000,-100000,-1000000,-2000000,-2100000,-900000,-3400000,-4900000,-2900000,-4329642,-4671066,-4274259,-6766450,-10612776,-11640132,-12357458,-12741257,-13490021,-14811985,-15494338,-15619395,-23459391,-30735097,-36026966,-33500827,-31542000,-17450000,-21002000,-20806000,-13994000,-6066000
65,Other Comprehensive Income/Loss,-400000,-700000,-1200000,-2000000,-2200000,-2200000,-2400000,-1000000,-900000,-900000,-900000,-1000000,-1077650,-1253814,-1332545,-1212802,-978396,-787111,-766810,-724837,-737323,-774792,-810233,-852365,-460223,-628231,-1092120,-1529600,-2303000,-2573000,-1000000,-4000000,-5555000,-943000
66,Other Total Stockholders Equity,3200000,3500000,4000000,4800000,5000000,5000000,5200000,4400000,4500000,10100000,10100000,9500000,10285733,10477622,10623216,10540538,11048229,13459746,15123852,15307731,15542207,15695791,17288214,34502907,37450298,57061709,61030598,65431818,73297000,81397000,117358000,132099000,151750000,199795000
67,Total Stockholders Equity,800000,1200000,1800000,2700000,2700000,1800000,800000,1300000,2700000,5800000,4300000,5600000,4889561,4563863,5027551,2572471,-531554,1046835,2016330,1858388,1331614,125765,1001459,18055291,13556679,25728742,23942033,30433112,39485000,61408000,95394000,107333000,132243000,192830000
68,Total Liabilities And Stockholders Equity,7200000,8100000,13600000,12200000,6300000,5100000,3100000,2900000,3800000,7200000,6100000,7400000,7773958,6615506,8231199,5643781,3622233,3553957,3743759,2845059,2781381,1601110,3008456,19851683,16722921,32853374,31102856,38746497,48385000,71719000,127150000,135897000,169154000,419693000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7200000,8100000,13600000,12200000,6300000,5100000,3100000,2900000,3800000,7200000,6100000,7400000,7773958,6615506,8231199,5643781,3622233,3553957,3743759,2845059,2781381,1601110,3008456,19851683,16722921,32853374,31102856,38746497,48385000,71719000,127150000,135897000,169154000,419693000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807863/000089843095002752/0000898430-95-002752-index.html,https://www.sec.gov/Archives/edgar/data/807863/000088929796000009/0000889297-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/807863/000088929797000080/0000889297-97-000080-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807863/000104746902008364/a2097132z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/807863/000114420405001154/v011113_10k.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420405038176/v030586_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420406055064/v061491_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420407067021/v096760_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420409001643/v136816_10k.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420409066595/0001144204-09-066595-index.html,https://www.sec.gov/Archives/edgar/data/807863/000114420410061498/0001144204-10-061498-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312511342502/0001193125-11-342502-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312512495286/0001193125-12-495286-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312513471705/0001193125-13-471705-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312514434645/0001193125-14-434645-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459015011292/0001564590-15-011292-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459016030084/0001564590-16-030084-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786317000080/0000807863-17-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786318000115/0000807863-18-000115-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786319000080/0000807863-19-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786320000136/0000807863-20-000136-index.htm,https://www.sec.gov/Archives/edgar/data/807863/000080786321000098/0000807863-21-000098-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,600000,900000,- -,-900000,-1100000,-100000,1200000,-2600000,-1500000,2000000,-1433615,-341424,396806,-2492190,-3846326,-1027356,-717326,-383798,-748764,-1321964,-682353,-125057,-7839996,-7275706,-5291869,2526139,1959000,14092000,-11807000,-724000,7814000,7978000
74,Depreciation and Amortization,- -,- -,600000,900000,600000,1100000,800000,400000,400000,700000,500000,300000,431192,570167,634352,441931,537418,619258,469900,39343,36084,83631,172598,179291,231981,323383,470697,605725,1388000,913000,4638000,8412000,7943000,8944000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-647392,-127000,-11065000,3636000,-3775000,1903000,105000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116115,406269,1271238,2599858,2791862,3444480,3367486,4079000,5478000,8950000,9637000,9551000,11532000
77,Change in Working Capital,- -,- -,- -,700000,-500000,-2700000,-400000,400000,1300000,1400000,-800000,2300000,-770329,-450517,1064110,-2302652,-1493913,475976,581993,-108976,-876602,-1199536,1700286,15923860,-6342253,14361750,-3879177,2520672,7975308,9362000,-24121000,16861000,25688000,2064000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575623,-842517,-1750036,1862555,-391543,-1454823,-566069,-1002000,-2101000,-5673000,1564000,-361000,-813000
79,Inventory,- -,- -,1400000,100000,2300000,1500000,1300000,-200000,-600000,-800000,-200000,200000,-418077,-635606,-209233,15702,-95685,-126434,60276,121701,-524,50090,7738,-166236,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47620,-127791,130393,353043,1163959,-83642,-448833,-222000,593000,309000,28000,277000,-1589000
81,Other Working Capital,- -,- -,3100000,3800000,3300000,600000,200000,600000,1900000,3300000,2500000,4800000,4029671,3579154,4643264,2340612,846699,1322675,1904668,1795692,919090,-280446,1419840,17343700,11001447,25363197,21484020,24004692,31980000,41342000,17221000,34082000,59770000,1790000
82,Other Non-Cash Items,- -,- -,100000,300000,3300000,4900000,1900000,-1000000,-2400000,-2200000,1600000,-4900000,-44936,1191074,-1720550,5575872,1421864,-2090052,-388094,247707,1190342,1768302,-2402864,-16933164,9571646,-10816350,2787198,-2267322,-7420308,-8335000,24330000,-16161000,-28777000,6718000
83,Cash Provided by Operating Activities,- -,- -,1300000,2800000,3400000,2400000,1200000,-300000,500000,-2700000,-200000,-300000,-1817688,969300,374718,1222961,-3380957,-2022174,-53527,-205724,-398940,-553452,-806064,316168,-1778764,-615061,-2468671,6105308,7854000,10445000,5626000,14250000,24122000,37341000
84,CAPEX,- -,- -,- -,-100000,- -,-200000,-100000,- -,-100000,-200000,-100000,-200000,-216763,-131710,-308659,-190616,-70803,-48932,-54319,-34685,-397061,-72784,-9367,-204358,-339715,-1497492,-135452,-73126,-250000,-488000,-4307000,-1063000,-803000,-1387000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,-12549000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10614723,-12187523,-4058975,-24642603,-27254351,-33658000,-39939000,-15391000,-24410000,-44725000,-246508000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14635005,6090734,11666624,21406088,30623000,32650000,41018000,14966000,20822000,89956000
88,Other Investing Activites,- -,- -,-1500000,- -,- -,-1800000,- -,200000,100000,-200000,800000,- -,- -,- -,-183259,4807,1186611,1150569,4150,1044,- -,-63664,- -,- -,- -,36621,800,-422953,- -,- -,-29744000,- -,- -,- -
