,https://roic.ai/company/BKE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2100000,2900000,4200000,5100000,5400000,5300000,5300000,7200000,9888000,11867000,12133000,12449000,14612000,19077000,18280000,22078000,24270000,21779000,25135000,29781000,32769000,33834000,32631000,31679000,32142000,32787000,30745000,26848000,23789000,20863000,18689000
15,EBITDA,10100000,15000000,15800000,17400000,21300000,26900000,42700000,61300000,69384000,66558000,64221000,62941000,67506000,86919000,100725000,110131000,143080000,186647000,229262000,244459000,273250000,295533000,293087000,291375000,266966000,189058000,170230000,153492000,161496000,191810000,356444000
16,EBITDA ratio,0.1165,0.1329,0.1219,0.1200,0.1236,0.1303,0.1594,0.1814,0.1848,0.1693,0.1657,0.1569,0.1597,0.1846,0.2010,0.2078,0.2308,0.2357,0.2552,0.2574,0.2571,0.2629,0.2598,0.2527,0.2384,0.1939,0.1864,0.1733,0.1794,0.2128,0.2753
17,Operating Income,7900000,11900000,11100000,11700000,14700000,20500000,35700000,51800000,57032000,51101000,47268000,45794000,48206000,63372000,76322000,79021000,109627000,162196000,199462000,210767000,236320000,258175000,256994000,256973000,229588000,152760000,134078000,120928000,131497000,168022000,335499000
18,Operating Income ratio,0.0911,0.1054,0.0856,0.0807,0.0853,0.0993,0.1333,0.1533,0.1519,0.1299,0.1219,0.1142,0.1140,0.1346,0.1523,0.1491,0.1768,0.2048,0.2220,0.2219,0.2223,0.2297,0.2278,0.2228,0.2051,0.1567,0.1468,0.1366,0.1461,0.1864,0.2592
19,Total Other Income Expenses (Gains),100000,200000,500000,600000,1200000,1100000,1700000,2300000,2464000,3860000,4820000,4698000,4688000,4470000,6123000,9032000,9183000,2672000,4665000,3911000,4161000,3524000,3462000,2723000,5236000,3511000,5407000,5716000,6210000,2925000,2256000
20,Income Before Tax,8000000,12100000,11600000,12300000,15900000,21600000,37400000,54100000,59496000,54961000,52088000,50492000,52894000,67842000,82445000,88053000,118810000,164868000,204127000,214678000,240481000,261699000,260456000,259696000,234824000,156271000,139485000,126644000,137707000,170947000,337755000
21,Income Before Tax Ratio,0.0923,0.1072,0.0895,0.0848,0.0923,0.1047,0.1396,0.1601,0.1584,0.1398,0.1344,0.1259,0.1251,0.1441,0.1645,0.1661,0.1917,0.2082,0.2272,0.2260,0.2262,0.2328,0.2309,0.2252,0.2097,0.1603,0.1527,0.1430,0.1530,0.1897,0.2609
22,Income Tax expense (Gain),3100000,4200000,4400000,4600000,6100000,8000000,14100000,20100000,22110000,20164000,19226000,18428000,19149000,24613000,30539000,32327000,43563000,60459000,76824000,79996000,89025000,97394000,97872000,97132000,87541000,58310000,49778000,31036000,33278000,40808000,82935000
23,Net Income,4900000,7900000,7200000,7700000,9800000,13600000,23300000,34000000,37386000,34527000,32862000,32064000,33745000,43229000,51906000,55726000,75247000,104409000,127303000,134682000,151456000,164305000,162584000,162564000,147283000,97961000,89707000,95608000,104429000,130139000,254820000
24,Net Income ratio,0.0565,0.0700,0.0556,0.0531,0.0569,0.0659,0.0870,0.1006,0.0996,0.0878,0.0848,0.0799,0.0798,0.0918,0.1036,0.1051,0.1214,0.1318,0.1417,0.1418,0.1425,0.1462,0.1441,0.1410,0.1315,0.1005,0.0982,0.1080,0.1160,0.1444,0.1968
25,EPS,0.12,0.17,0.16,0.16,0.21,0.29,0.49,0.69,0.77,0.75,0.71,0.68,0.71,0.90,1.17,1.29,1.69,2.30,2.79,2.92,3.23,3.47,3.41,3.39,3.06,2.04,1.86,1.97,2.15,2.67,5.23
26,EPS Diluted,0.12,0.17,0.15,0.16,0.21,0.28,0.47,0.65,0.73,0.72,0.68,0.65,0.69,0.86,1.13,1.24,1.63,2.24,2.73,2.86,3.20,3.44,3.39,3.38,3.06,2.03,1.85,1.97,2.14,2.66,5.20
27,Weighted Average Shares Outstanding,42382655,46752939,46262583,46800924,45914543,47029857,47659091,49305517,46586901,46212744,48368576,47470268,47453906,48182805,44181807,43331334,44529235,45367000,45699000,46183000,46859000,47383000,47744000,47927000,48079000,48125000,48250000,48413000,48587000,48755000,48755000
28,Weighted Average Shares Outstanding Diluted,42382655,46752939,47623247,46800924,46891448,48522906,50087580,51988801,46586901,46212744,48368576,49027960,48670673,50028210,45959778,44998501,46230885,46574000,46692000,47025000,47359000,47710000,47976000,48090000,48204000,48256000,48373000,48614000,48813000,49013000,49013000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885245/000115752312001574/0001157523-12-001574-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000115752313001668/0001157523-13-001668-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524514000011/0000885245-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524515000007/0000885245-15-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885245/000088524517000008/0000885245-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524518000009/0000885245-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524519000007/0000885245-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524520000011/0000885245-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524521000008/0000885245-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524522000009/0000885245-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8400000,16100000,12500000,19500000,22500000,35500000,53600000,61700000,37205000,69155000,101915000,92976000,119976000,173897000,36141000,35752000,64293000,162463000,135340000,116470000,166511000,117608000,164868000,133708000,161185000,196536000,165086000,168471000,220969000,318789000,253970000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,44359000,39245000,41319000,15450000,23346000,25523000,129453000,115721000,102910000,19150000,22687000,22892000,29998000,26414000,20197000,25857000,36465000,49994000,50833000,51546000,12532000,3359000,12926000
33,Cash and Short-Term Investments,8400000,16100000,12500000,19500000,22500000,35500000,53600000,61700000,81564000,108400000,143234000,108426000,143322000,199420000,165594000,151473000,167203000,181613000,158027000,139362000,196509000,144022000,185065000,159565000,197650000,246530000,215919000,220017000,233501000,322148000,266896000
34,Net Receivables,1100000,900000,1000000,1000000,1000000,1400000,2100000,4000000,3430000,2068000,2021000,1390000,3585000,1887000,4824000,4046000,2800000,3734000,6911000,14363000,4584000,3470000,4318000,8567000,9651000,8210000,8588000,7089000,3136000,2823000,12087000
35,Inventory,9600000,11000000,12900000,17000000,27100000,31100000,42300000,49400000,55045000,54392000,54297000,60041000,61156000,68330000,68731000,70306000,77639000,83963000,88187000,88593000,104209000,103853000,124141000,129921000,149566000,125694000,118007000,125190000,121258000,101063000,102095000
36,Other Current Assets,700000,7100000,6700000,4100000,6700000,10400000,16500000,28900000,2387000,6593000,7357000,8277000,9563000,5693000,6894000,12401000,13979000,17655000,11684000,14718000,14825000,25528000,28613000,26536000,6030000,6023000,18070000,18136000,20935000,11190000,10128000
37,Total Current Assets,19800000,35100000,33100000,41600000,57300000,78400000,114500000,144000000,142426000,171453000,206909000,178134000,217626000,275330000,246043000,238226000,261621000,286965000,264809000,257036000,320127000,276873000,342137000,324589000,362897000,386457000,360584000,370432000,378830000,437224000,391206000
38,PP&E,8300000,13700000,21100000,23100000,23900000,23000000,29400000,39200000,53567000,56081000,54292000,64606000,66300000,83542000,91396000,93819000,102334000,116694000,146582000,169234000,169034000,163103000,158569000,172663000,172781000,168995000,149546000,130682000,463936000,379773000,712142000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56213000,72770000,66162000,39985000,35735000,43436000,43698000,33826000,18092000,21453000,18745000,15863000,18320000,19352000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1400000,- -,200000,400000,500000,600000,900000,2900000,2553000,2999000,3456000,57060000,53954000,46671000,36827000,36153000,86702000,5468000,4742000,2412000,2393000,2263000,2151000,2043000,3269000,6303000,6533000,7443000,9261000,10497000,-341816000
45,Total Non-Current Assets,9700000,13700000,21300000,23500000,24400000,23600000,30300000,42100000,56120000,59080000,57748000,121666000,120254000,130213000,128223000,129972000,189036000,178375000,224094000,237808000,211412000,201101000,204156000,218404000,209876000,193390000,177532000,156870000,489060000,408590000,389678000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29500000,48800000,54400000,65100000,81700000,102000000,144800000,186100000,198546000,230533000,264657000,299800000,337880000,405543000,374266000,368198000,450657000,465340000,488903000,494844000,531539000,477974000,546293000,542993000,572773000,579847000,538116000,527302000,867890000,845814000,780884000
48,Accounts Payable,5300000,3800000,3100000,6000000,8700000,9400000,17200000,16800000,15773000,13703000,11133000,13318000,14207000,12665000,11119000,14670000,25155000,22472000,24364000,33489000,27416000,34124000,37147000,35714000,33862000,25079000,29387000,29008000,26491000,43399000,59950000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87314000,81762000,88273000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8649000,3830000,- -,8150000,20307000,16187000,15661000,11141000,10737000,12364000,5142000,2751000,10751000,1529000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22221000,23131000,23992000,22858000,21199000,18202000,16634000,15319000,- -,- -
52,Other Current Liabilities,4700000,6700000,6500000,6900000,10900000,14100000,19400000,23200000,19071000,21914000,18865000,20864000,23160000,33071000,34012000,34539000,52071000,66954000,67666000,62884000,82415000,72611000,63103000,62565000,50906000,52338000,50317000,44576000,43517000,81198000,100318000
53,Total Current Liabilities,10000000,10500000,9600000,12900000,19600000,23500000,36600000,40000000,34844000,35617000,29998000,34182000,37367000,45736000,45131000,49209000,77226000,89426000,92030000,96373000,109831000,128956000,123381000,122271000,107626000,98616000,97906000,90218000,172641000,206359000,248541000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224506000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38692000,42614000,45157000,45084000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,200000,400000,500000,500000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11822000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-100000,- -,- -,- -,- -,- -,-100000,- -,442000,850000,957000,946000,2957000,26879000,29342000,32402000,35111000,- -,- -,7649000,13477000,47547000,60982000,65444000,52504000,50692000,48962000,43207000,306101000,18320000,219419000
58,Total Non-Current Liabilities,-100000,- -,200000,400000,500000,500000,300000,- -,442000,850000,957000,946000,2957000,26879000,29342000,32402000,35111000,38692000,42614000,52806000,58561000,59369000,60982000,65444000,52504000,50692000,48962000,43207000,306101000,242826000,219419000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377552000,306268000,- -
61,Total Liabilities,9900000,10500000,9800000,13300000,20100000,24000000,36900000,40000000,35286000,36467000,30955000,35128000,40324000,72615000,74473000,81611000,112337000,128118000,134644000,149179000,168392000,188325000,184363000,187715000,160130000,149308000,146868000,133425000,478742000,449185000,467960000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,207000,204000,211000,210000,215000,217000,193000,294000,298000,459000,464000,471000,474000,481000,483000,484000,484000,486000,488000,490000,492000,494000,497000
64,Retained Earnings,19300000,13800000,21000000,28700000,38600000,52200000,75500000,109500000,146920000,181447000,214309000,246373000,275836000,305854000,261948000,242800000,291045000,268789000,275751000,256146000,263039000,172711000,238151000,224111000,277626000,290737000,246570000,244823000,236398000,238077000,145099000
65,Other Comprehensive Income/Loss,-6500000,-8300000,-11800000,-16400000,-21400000,-26300000,-29700000,-34800000,-38168000,-47605000,-57151000,-65407000,-2740000,-95514000,-1999000,-121811000,-137903000,-920000,-793000,-671000,-699000,-934000,-838000,-429000,-331000,-82000,-89000,- -,-338357000,-350942000,- -
66,Other Total Stockholders Equity,6800000,32800000,35400000,39500000,44400000,52100000,62100000,71400000,54301000,60020000,76333000,83496000,24245000,122371000,39651000,165304000,184880000,68894000,78837000,89719000,100333000,117391000,124134000,131112000,134864000,139398000,144279000,148564000,490615000,509000000,167328000
67,Total Stockholders Equity,19600000,38300000,44600000,51800000,61600000,78000000,107900000,146100000,163260000,194066000,233702000,264672000,297556000,332928000,299793000,286587000,338320000,337222000,354259000,345665000,363147000,289649000,361930000,355278000,412643000,430539000,391248000,393877000,389148000,396629000,312924000
68,Total Liabilities And Stockholders Equity,29500000,48800000,54400000,65100000,81700000,102000000,144800000,186100000,198546000,230533000,264657000,299800000,337880000,405543000,374266000,368198000,450657000,465340000,488903000,494844000,531539000,477974000,546293000,542993000,572773000,579847000,538116000,527302000,867890000,845814000,780884000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29500000,48800000,54400000,65100000,81700000,102000000,144800000,186100000,198546000,230533000,264657000,299800000,337880000,405543000,374266000,368198000,450657000,465340000,488903000,494844000,531539000,477974000,546293000,542993000,572773000,579847000,538116000,527302000,867890000,845814000,780884000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885245/000115752312001574/0001157523-12-001574-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000115752313001668/0001157523-13-001668-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524514000011/0000885245-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524515000007/0000885245-15-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885245/000088524517000008/0000885245-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524518000009/0000885245-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524519000007/0000885245-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524520000011/0000885245-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524521000008/0000885245-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885245/000088524522000009/0000885245-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4900000,7900000,7200000,7700000,9800000,13600000,23300000,34000000,37386000,34527000,32862000,32064000,33745000,43229000,51906000,55726000,75247000,104409000,127303000,134682000,151456000,164305000,162584000,162564000,147283000,97961000,89707000,95608000,104429000,130139000,254820000
74,Depreciation and Amortization,2100000,2900000,4200000,5100000,5400000,5300000,5300000,7200000,9888000,11867000,12133000,12449000,14612000,19077000,18280000,22078000,24270000,21779000,25135000,29781000,32769000,33834000,32631000,31679000,32142000,32787000,30745000,26848000,23789000,20863000,18689000
75,Deferred Income Tax,- -,- -,100000,100000,-400000,200000,-200000,-800000,-545000,-296000,-307000,-319000,1642000,-1184000,-973000,-2454000,-1509000,-595000,414000,10952000,5417000,-1939000,-2086000,-1675000,-1217000,-3260000,-340000,-1099000,-1986000,-1298000,-381000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289000,175000,64000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26190000
77,Change in Working Capital,1300000,-1100000,5200000,9000000,17200000,23000000,26100000,3582000,28254000,41075000,-32959000,36307000,49335000,-28682000,-11895000,-4622000,13144000,-24760000,-12116000,49633000,-62379000,70839000,-16438000,52953000,32570000,-25163000,17536000,-74025000,24676000,-88200000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-895000,-1967000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1100000,-1400000,-1900000,-4100000,-10100000,-4000000,-11200000,-7100000,-5634000,1693000,95000,-5744000,-1115000,-7174000,-401000,-1575000,-7333000,-6324000,-4224000,-406000,-15616000,356000,-20288000,-5780000,-19645000,23872000,7687000,-7487000,3932000,20195000,-1032000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-844000,-2916000,10722000,-2883000,6534000,2738000,-2915000,-182000,-8314000,4584000,276000,-2667000,16748000,15914000
81,Other Working Capital,24600000,23500000,28700000,37700000,54900000,77900000,104000000,107582000,135836000,176911000,143952000,180259000,229594000,200912000,189017000,184395000,197539000,172779000,160663000,210296000,147917000,218756000,202318000,255271000,287841000,262678000,280214000,206189000,230865000,142665000,142665000
82,Other Non-Cash Items,3200000,1200000,-8000000,-9700000,-20400000,-23600000,-22000000,-5482000,-34046000,-39972000,31703000,-37670000,-46347000,40140000,18815000,9663000,9928000,42607000,17048000,-45177000,82010000,-46098000,-2665000,-49753000,-51456000,46541000,-17927000,61395000,-20243000,165916000,12436000
83,Cash Provided by Operating Activities,11500000,10900000,8700000,12200000,11600000,18500000,32500000,38500000,40937000,47201000,43432000,42831000,52987000,72580000,76133000,80391000,121080000,143729000,157959000,179935000,209273000,220941000,174026000,195768000,159322000,148866000,119721000,108727000,130665000,227420000,311754000
84,CAPEX,-5300000,-8500000,-11900000,-7300000,-6200000,-4500000,-12100000,-17100000,-24963000,-14690000,-10734000,-25633000,-15356000,-16637000,-25625000,-21857000,-27484000,-47448000,-50561000,-54945000,-36627000,-30297000,-28811000,-45454000,-34578000,-31663000,-13462000,-10021000,-7322000,-7657000,-19100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-6600000,-25600000,-3900000,-5100000,-6800000,-11400000,-22900000,-33150000,-19551000,-21973000,-50157000,-39596000,-24807000,-106076000,-92685000,-153511000,-46687000,-52604000,-39698000,-14099000,-29933000,-32314000,-43404000,-29714000,-41621000,-56631000,-74215000,-25629000,-17629000,-18778000
87,Sales/Maturities of Investments,- -,- -,24200000,6600000,2800000,3800000,5900000,10200000,15150000,25044000,19834000,22425000,34122000,31245000,145699000,121332000,117079000,148818000,33703000,46294000,33125000,37294000,30981000,38131000,29135000,44221000,52441000,76330000,67525000,24345000,8179000
88,Other Investing Activites,-200000,1400000,1900000,-100000,-100000,-100000,-200000,-1100000,693000,-236000,-427000,3009000,-476000,183000,52000,-6000,188000,11790000,234000,-1307000,28000,1270000,123000,108000,299000,398000,355000,308000,181000,173000,924000
89,Cash Used for Investing Activites,-5500000,-13700000,-11400000,-4700000,-8600000,-7600000,-17800000,-30900000,-42270000,-9433000,-13300000,-50356000,-21306000,-10016000,14050000,6784000,-63728000,66473000,-69228000,-49656000,-17573000,-21666000,-30021000,-50619000,-34858000,-28665000,-17297000,-7598000,34755000,-768000,-28775000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,24200000,- -,- -,100000,2000000,3400000,2500000,1076000,1487000,3909000,574000,2509000,4300000,12495000,11268000,12024000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-900000,-500000,-100000,- -,- -,-1900000,-24243000,-7305000,-1281000,-1988000,-2908000,-3443000,-94935000,-16044000,-21577000,-9359000,- -,-5994000,-296000,- -,- -,- -,-3219000,- -,- -,- -,-68000,-372000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4282000,-9500000,-11808000,-74874000,-27002000,-126665000,-120341000,-154287000,-144563000,-254633000,-97144000,-176604000,-93768000,-84850000,-133874000,-97744000,-112854000,-128460000,-347798000
94,Other Financing Activites,-2500000,-13700000,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,4789000,7744000,23992000,4487000,11132000,3200000,6455000,399000,295000,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-2500000,10500000,-900000,-500000,- -,2000000,3400000,500000,-23167000,-5818000,2628000,-1414000,-4681000,-8643000,-94248000,-74861000,-28811000,-112032000,-115854000,-149149000,-141659000,-248178000,-96745000,-176309000,-96987000,-84850000,-133874000,-97744000,-112922000,-128832000,-347798000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2500000,10500000,-900000,-500000,- -,2000000,3400000,500000,-24500000,31950000,32760000,-8939000,27000000,53921000,-4065000,12314000,28541000,98170000,-27123000,-18870000,50041000,-48903000,47260000,-31160000,27477000,35351000,-31450000,3385000,52498000,97820000,-64819000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,37205000,69155000,101915000,92976000,119976000,173897000,36141000,35752000,64293000,162463000,135340000,116470000,166511000,117608000,164868000,133708000,161185000,196536000,165086000,168471000,220969000,318789000,253970000
99,Cash at the Beginning of Period,4900000,8400000,16100000,12500000,19500000,22500000,35500000,53600000,61705000,37205000,69155000,101915000,92976000,119976000,40206000,23438000,35752000,64293000,162463000,135340000,116470000,166511000,117608000,164868000,133708000,161185000,196536000,165086000,168471000,220969000,318789000
100,Free Cash Flow,6200000,2400000,-3200000,4900000,5400000,14000000,20400000,21400000,15974000,32511000,32698000,17198000,37631000,55943000,50508000,58534000,93596000,96281000,107398000,124990000,172646000,190644000,145215000,150314000,124744000,117203000,106259000,98706000,123343000,219763000,292654000
