,https://roic.ai/company/FOUR,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,4100000,4100000,2800000,300000
57,Other Non-Current Liabilities,46700000,47800000,1700000,2400000
58,Total Non-Current Liabilities,599500000,687000000,1009900000,1759100000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,22700000
61,Total Liabilities,697300000,816900000,1109300000,1942900000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,300000,300000,- -,- -
64,Retained Earnings,-113300000,-178400000,-278700000,-325300000
65,Other Comprehensive Income/Loss,-28100000,-19400000,- -,- -
66,Other Total Stockholders Equity,182500000,168600000,948700000,- -
67,Total Stockholders Equity,41400000,-28900000,459600000,272800000
68,Total Liabilities And Stockholders Equity,738700000,788000000,1568900000,2215700000
69,Minority Interest,- -,- -,210400000,126900000
70,Total Liabilities & Equity,738700000,788000000,1779300000,2342600000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794669/000156459021011368/0001564590-21-011368-index.htm,https://www.sec.gov/Archives/edgar/data/1794669/000179466922000012/0001794669-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-49900000,-58100000,-18400000,-48200000
74,Depreciation and Amortization,66200000,63200000,84200000,104400000
75,Deferred Income Tax,-3800000,- -,-1300000,-2500000
76,Stock Based Compensation,- -,- -,66200000,40800000
77,Change in Working Capital,8900000,4100000,957600000,-57800000
78,Accounts Receivable,-16600000,-18600000,-19300000,-120700000
79,Inventory,-1800000,-1700000,1200000,1800000
80,Accounts Payable,11100000,12300000,-2000000,56500000
81,Other Working Capital,-27600000,-23500000,934100000,200000
82,Other Non-Cash Items,4100000,17500000,-1064900000,-7500000
83,Cash Provided by Operating Activities,25500000,26700000,23400000,29200000
84,CAPEX,-5600000,-16600000,-29000000,-111700000
85,Acquisitions Net,-1500000,-60200000,-49800000,-54500000
86,Purchases of Investments,- -,- -,- -,-30500000
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-38300000,-30400000,-33000000,-57600000
89,Cash Used for Investing Activites,-41400000,-98800000,-102100000,-196700000
90,Debt Repayment,-5300000,-95200000,-733100000,-900000
91,Common Stock Issued,- -,- -,566300000,- -
92,Common Stock Repurchased,- -,-8500000,-900000,-19500000
93,Dividends Paid,-200000,-200000,-500000,- -
94,Other Financing Activites,16800000,174900000,1171000000,491600000
95,Cash Used/Provided by Financing Activities,11300000,71000000,1002800000,471200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-4600000,-1100000,924100000,303700000
98,Cash at the End of Period,4800000,3700000,927800000,1231500000
99,Cash at the Beginning of Period,9400000,4800000,3700000,927800000
100,Free Cash Flow,19900000,10100000,-5600000,-82500000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794669/000156459021011368/0001564590-21-011368-index.htm,https://www.sec.gov/Archives/edgar/data/1794669/000179466922000012/0001794669-22-000012-index.htm
102,false,,,,
