,https://roic.ai/company/RYAM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-130894000,-305252000,-250667000,-90461000,-77424000,-86560000,-277426000,-115966000,52502000,-77821000,86000000
90,Debt Repayment,- -,- -,- -,-79200000,-77100000,-71031000,-729958000,-45270000,-200331000,-529203000,- -
91,Common Stock Issued,- -,- -,- -,649000,8000,- -,14000,451000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-92000,- -,- -,- -,-42780000,-6878000,-457000,-1000000
93,Dividends Paid,- -,- -,- -,-5926000,-11816000,-15481000,-26493000,-28858000,-18919000,- -,- -
94,Other Financing Activites,-126838000,39000,-7371000,53255000,- -,166199000,672818000,- -,87644000,510270000,-155000000
95,Cash Used/Provided by Financing Activities,-126838000,39000,-7371000,-31314000,-88908000,79687000,-83619000,-116457000,-138484000,-19390000,-156000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,853000,-1790000,-863000,2369000,-3000000
97,Net Change In Cash,-126838000,39000,-7371000,-31314000,35326000,225352000,-230420000,12731000,-44941000,29628000,159000000
98,Cash at the End of Period,- -,- -,- -,65977000,101303000,326655000,96235000,108966000,64025000,93653000,253000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,65977000,101303000,326655000,96235000,108966000,64025000,94000000
100,Free Cash Flow,161206000,199807000,162030000,98741000,124234000,143522000,54730000,114735000,-60903000,47311000,137000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597672/000159767215000009/ryam201410k.htm,https://www.sec.gov/Archives/edgar/data/1597672/000159767216000125/0001597672-16-000125-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767217000013/0001597672-17-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/1597672/000159767219000008/0001597672-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767220000005/0001597672-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767221000009/0001597672-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1597672/000159767222000011/0001597672-22-000011-index.htm
102,false,,,,,,,,,,,
