,https://roic.ai/company/REGI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,19444000,7721000,-210000,2664000,-64000,330000,-117588000,22872000,12909000,12000000,5776000,3100000,205000,1462000
89,Cash Used for Investing Activites,- -,- -,-26173000,371000,-4562000,-2120000,-14546000,-54389000,-217033000,-67922000,-63765000,-59870000,-97197000,5670000,-333910000,-369309000
90,Debt Repayment,- -,- -,-7500000,-2598000,-750000,-46079000,-1380101000,-1538628000,-37798000,-6708000,-76999000,-19392000,-193899000,-201009000,-169336000,-78044000
91,Common Stock Issued,- -,- -,- -,- -,8000000,- -,63747000,- -,- -,- -,- -,- -,- -,- -,- -,385250000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2153000,-4773000,-307000,-5678000,-24350000,-51474000,-1257000,-25048000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-3155000,-1291000,-40000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,33655000,980000,10309000,28474000,1327419000,1541412000,138310000,3784000,186647000,24691000,-258000,168957000,-5778000,492420000
95,Cash Used/Provided by Financing Activities,- -,- -,26155000,-1618000,17559000,-19758000,3137000,1186000,94794000,-27274000,58174000,4042000,-219205000,-32052000,-175114000,799626000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1399000,-583000,1648000,-184000,-49000,376000,-423000
97,Net Change In Cash,- -,- -,-3654000,-9456000,-1596000,29316000,33210000,86442000,-89711000,-16435000,69129000,-38583000,48948000,-73139000,34782000,413653000
98,Cash at the End of Period,- -,- -,15311000,5855000,4259000,33575000,66785000,153227000,63516000,47081000,116210000,77627000,126575000,53436000,88218000,501871000
99,Cash at the Beginning of Period,- -,- -,18965000,15311000,5855000,4259000,33575000,66785000,153227000,63516000,47081000,116210000,77627000,126575000,53436000,88218000
100,Free Cash Flow,- -,- -,-70871000,-15559000,-19143000,46388000,31965000,100592000,-27635000,15683000,14598000,-51975000,319081000,-89226000,479788000,-115790000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1463258/000119312511085016/d10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000119312512123619/0001193125-12-123619-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000119312513098354/0001193125-13-098354-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000144530514000784/regi-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828015001595/regi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828016012666/0001628280-16-012666-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828017002479/0001628280-17-002479-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828018003045/0001628280-18-003045-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828019002647/0001628280-19-002647-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828020003141/0001628280-20-003141-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828021003654/0001628280-21-003654-index.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828022004504/0001628280-22-004504-index.htm
102,false,,,,,,,,,,,,,,,,
