,https://roic.ai/company/HY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,17600000,7100000,22500000,- -,- -,- -,-46800000,34100000,101500000,105100000,127400000,150100000,104500000,38300000,93800000,36600000,47900000,42200000,-154900000
21,Income Before Tax Ratio,0.0099,0.0035,0.0094,- -,- -,- -,-0.0317,0.0189,0.0399,0.0426,0.0478,0.0542,0.0405,0.0149,0.0325,0.0115,0.0146,0.0150,-0.0504
22,Income Tax expense (Gain),1800000,-3200000,4000000,- -,- -,- -,-3600000,1800000,18900000,7000000,17200000,39900000,29400000,-4000000,44900000,2300000,11300000,3700000,28300000
23,Net Income,16400000,10700000,18100000,- -,39300000,-376000000,-43100000,32400000,82600000,98000000,110000000,109800000,74700000,42800000,48600000,34700000,35800000,37100000,-173000000
24,Net Income ratio,0.0092,0.0052,0.0075,- -,0.0145,-0.1331,-0.0292,0.0180,0.0325,0.0397,0.0413,0.0397,0.0290,0.0167,0.0168,0.0109,0.0109,0.0132,-0.0562
25,EPS,0.97,0.64,1.08,- -,2.34,-22.38,-2.60,1.93,4.92,5.84,6.58,6.61,4.58,2.61,2.95,2.10,2.15,2.21,-10.88
26,EPS Diluted,0.97,0.64,1.08,- -,2.34,-22.38,-2.60,1.93,4.91,5.83,6.54,6.58,4.57,2.61,2.94,2.09,2.14,2.21,-10.88
27,Weighted Average Shares Outstanding,16826899,16826899,16826899,- -,16800000,16800000,16600000,16763000,16790000,16768000,16725000,16607000,16307000,16376000,16447000,16540000,16645000,16775000,16820000
28,Weighted Average Shares Outstanding Diluted,16826899,16826899,16826899,- -,16800000,16800000,16600000,16815000,16832000,16800000,16808000,16675000,16355000,16427000,16514000,16602000,16726000,16799000,16820000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1173514/000095015205002160/l12293ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1173514/000095015206001531/0000950152-06-001531-index.html,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173514/000117351413000022/0001173514-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351414000019/hy201310k.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351415000022/hy201410kv2.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351416000108/0001173514-16-000108-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351417000019/0001173514-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351418000014/0001173514-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351419000010/0001173514-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351420000015/0001173514-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351421000022/0001173514-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351422000013/0001173514-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,61300000,97400000,121200000,- -,- -,- -,- -,169500000,184900000,151300000,175700000,111400000,155100000,43200000,220100000,83700000,64600000,151400000,65000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,61300000,97400000,121200000,- -,- -,- -,- -,169500000,184900000,151300000,175700000,111400000,155100000,43200000,220100000,83700000,64600000,151400000,65000000
34,Net Receivables,260700000,262500000,276100000,- -,- -,- -,- -,319200000,368300000,329200000,359300000,357700000,324100000,375300000,453000000,465500000,468300000,412100000,457000000
35,Inventory,247700000,319600000,333100000,- -,- -,- -,- -,281100000,309000000,308600000,330600000,342500000,304600000,352200000,411900000,533600000,559900000,509400000,781000000
36,Other Current Assets,38000000,38800000,51600000,- -,- -,- -,- -,30300000,36200000,42700000,56000000,55400000,35100000,39300000,46400000,48800000,63000000,56800000,47000000
37,Total Current Assets,607700000,718300000,782000000,- -,- -,- -,- -,800100000,898400000,831800000,921600000,867000000,818900000,810000000,1131400000,1131600000,1155800000,1129700000,1350000000
38,PP&E,242900000,238100000,225900000,- -,- -,- -,- -,162700000,147100000,146100000,164200000,179800000,184500000,255100000,265400000,296200000,308500000,340400000,330000000
39,Goodwill,351300000,353300000,350500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50700000,59100000,108300000,106700000,114700000,56000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,3600000,56200000,56100000,67700000,60100000,58500000,50000000
41,Intangible Assets,351300000,353300000,350500000,- -,- -,- -,- -,- -,- -,- -,- -,4100000,3600000,106900000,115200000,176000000,166800000,173200000,106000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,36700000,39600000,42900000,45900000,81900000,75600000,80000000,80200000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,9500000,16000000,10200000,11400000,32700000,43900000,16600000,26300000,30800000,24400000,3000000
44,Other Non-Current Assets,73100000,95200000,97300000,- -,- -,- -,- -,78400000,62000000,25500000,28600000,18900000,13300000,25300000,37400000,36400000,105300000,111600000,181000000
45,Total Non-Current Assets,667300000,686600000,673700000,- -,- -,- -,- -,241100000,218600000,232600000,239700000,253800000,277000000,477100000,516500000,610500000,691400000,729800000,620000000
46,Other Assets,- -,- -,- -,- -,1603600000,1095100000,914100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1275000000,1404900000,1455700000,- -,1603600000,1095100000,914100000,1041200000,1117000000,1064400000,1161300000,1120800000,1095900000,1287100000,1647900000,1742100000,1847200000,1859500000,1970000000
48,Accounts Payable,231000000,329100000,321800000,- -,- -,- -,- -,314400000,318100000,306500000,361100000,350000000,295400000,258900000,403900000,436800000,417100000,428100000,517000000
49,Short-Term Debt,17100000,9200000,62900000,- -,- -,- -,- -,4200000,171400000,35300000,62800000,19500000,33500000,129000000,74500000,91400000,82300000,83100000,91000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,20000000,15000000,25000000,- -,- -,- -,- -,- -,9900000,11300000,7400000,- -,- -,- -,- -,- -,49100000,41700000,49000000
52,Other Current Liabilities,165000000,171200000,175000000,- -,- -,- -,- -,162000000,161800000,154000000,178500000,184000000,176300000,188600000,214000000,248000000,268500000,203000000,447000000
53,Total Current Liabilities,433100000,524500000,584700000,- -,- -,- -,- -,480600000,661200000,507100000,609800000,553500000,505200000,576500000,692400000,776200000,817000000,755900000,1104000000
54,Long-Term Debt,270100000,269500000,267100000,- -,233600000,229700000,229200000,215500000,54600000,106900000,6700000,12000000,19600000,82200000,216200000,210100000,204700000,206100000,261000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,13000000,17800000,15400000,14900000,12000000
57,Other Non-Current Liabilities,147000000,164100000,176300000,- -,- -,- -,- -,114400000,104100000,108200000,93900000,99300000,108400000,146600000,153900000,178500000,233100000,231500000,198000000
58,Total Non-Current Liabilities,417100000,433600000,443400000,- -,233600000,229700000,229200000,329900000,158700000,215100000,100600000,111300000,128000000,240200000,383100000,406400000,453200000,452500000,483000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,850200000,958100000,1028100000,- -,- -,- -,- -,810500000,819900000,722200000,710400000,664800000,633200000,816700000,1075500000,1182600000,1270200000,1208400000,1587000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,200000,200000,200000,200000,200000,200000,200000,- -
64,Retained Earnings,238200000,243900000,257000000,- -,- -,- -,- -,-85500000,-2900000,95100000,188400000,280400000,336700000,360300000,389100000,407300000,427400000,443200000,248000000
65,Other Comprehensive Income/Loss,-23200000,600000,-32000000,- -,1048600000,308400000,414200000,-79200000,-51600000,-60000000,-56000000,-101100000,-153900000,-179400000,-116100000,-177500000,-188700000,-133100000,-202000000
66,Other Total Stockholders Equity,209800000,202300000,202600000,- -,- -,- -,- -,395400000,352000000,306000000,317200000,275000000,277800000,282700000,292300000,297400000,305400000,306600000,336000000
67,Total Stockholders Equity,424800000,446800000,427600000,- -,524300000,154200000,207100000,230700000,296300000,341300000,449800000,454500000,460800000,463800000,565500000,527400000,544300000,616900000,382000000
68,Total Liabilities And Stockholders Equity,1275000000,1404900000,1455700000,- -,- -,- -,- -,1041200000,1116200000,1063500000,1160200000,1119300000,1094000000,1280500000,1641000000,1710000000,1814500000,1825300000,1969000000
69,Minority Interest,- -,- -,- -,- -,1603600000,1095100000,914100000,- -,800000,900000,1100000,1500000,1900000,6600000,6900000,32100000,32700000,34200000,1000000
70,Total Liabilities & Equity,1275000000,1404900000,1455700000,- -,1603600000,1095100000,914100000,1041200000,1117000000,1064400000,1161300000,1120800000,1095900000,1287100000,1647900000,1742100000,1847200000,1859500000,1970000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1173514/000095015205002160/l12293ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1173514/000095015206001531/0000950152-06-001531-index.html,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173514/000117351413000022/0001173514-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351414000019/hy201310k.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351415000022/hy201410kv2.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351416000108/0001173514-16-000108-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351417000019/0001173514-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351418000014/0001173514-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351419000010/0001173514-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351420000015/0001173514-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351421000022/0001173514-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351422000013/0001173514-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,16400000,10700000,18100000,- -,39300000,-376000000,-43100000,32400000,82600000,98000000,110000000,109800000,74700000,42800000,48600000,34700000,35800000,37100000,-173000000
74,Depreciation and Amortization,44100000,41900000,41100000,- -,- -,- -,36200000,33900000,31300000,28000000,30200000,29700000,28900000,39100000,42800000,44000000,43300000,42900000,- -
75,Deferred Income Tax,6200000,-2100000,-8700000,- -,- -,- -,28500000,-1100000,8600000,-13600000,-9600000,1800000,-1400000,-7400000,8100000,-3200000,-6800000,-2500000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,14200000,6000000,2900000,4900000,8800000,5700000,8200000,1300000,- -
77,Change in Working Capital,35500000,19200000,3500000,- -,-197300000,- -,- -,319500000,-82300000,87500000,-12900000,1700000,200000,-80200000,205500000,-83600000,-16600000,35000000,-127800000
78,Accounts Receivable,-43100000,- -,-39000000,- -,- -,- -,- -,-91900000,-59300000,27200000,-42000000,-8500000,6200000,-27500000,-44000000,58000000,-9600000,68900000,- -
79,Inventory,-25700000,- -,-31000000,- -,- -,- -,- -,-83100000,-37800000,400000,-27100000,-28800000,6200000,-14900000,-43600000,-125400000,-37900000,66600000,- -
80,Accounts Payable,-44100000,- -,23000000,- -,- -,- -,- -,150600000,14600000,-5000000,56200000,4700000,-39300000,-53800000,125100000,23300000,1900000,4300000,- -
81,Other Working Capital,174600000,193800000,197300000,- -,- -,- -,- -,319500000,237200000,324700000,311800000,313500000,313700000,233500000,439000000,355400000,338800000,373800000,246000000
82,Other Non-Cash Items,-52100000,10300000,-42100000,- -,192600000,348700000,94300000,-337200000,14400000,-72500000,21000000,-49000000,-15900000,-48100000,-149100000,70000000,12800000,53100000,300800000
83,Cash Provided by Operating Activities,50100000,80000000,11900000,- -,34600000,-27300000,115900000,47500000,54600000,128700000,152900000,100000000,89400000,-48900000,164700000,67600000,76700000,166900000,- -
84,CAPEX,-27600000,-33000000,-43000000,- -,- -,- -,-5800000,-12100000,-16500000,-19800000,-36500000,-48500000,-46600000,-42700000,-41000000,-38800000,-49700000,-51700000,-88000000
85,Acquisitions Net,- -,- -,4000000,- -,- -,- -,- -,3000000,- -,- -,- -,-3900000,900000,-116100000,-2000000,-78000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5600000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000
88,Other Investing Activites,16500000,15700000,8900000,- -,-33900000,-37500000,11600000,600000,600000,300000,10400000,8000000,14400000,13700000,1300000,5900000,7700000,8000000,1000000
89,Cash Used for Investing Activites,-11100000,-17300000,-30100000,- -,-33900000,-37500000,5800000,-8500000,-15900000,-19500000,-26100000,-44400000,-31300000,-145100000,-47300000,-110900000,-42000000,-43700000,-24000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-37600000,-25900000,-243000000,-154200000,-75400000,-35000000,-56500000,-187600000,-143700000,-97400000,-83700000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-3000000,-48200000,-100000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-5000000,-5000000,-5000000,- -,- -,- -,- -,-5000000,-10000000,-42800000,-16700000,-17800000,-18400000,-19200000,-19800000,-20400000,-21000000,-21300000,- -
94,Other Financing Activites,-29100000,-21300000,48100000,- -,-34100000,48000000,-18300000,18200000,16400000,143600000,69500000,30900000,46400000,153600000,260500000,76500000,66800000,64400000,-278000000
95,Cash Used/Provided by Financing Activities,-34100000,-26300000,43100000,- -,-34100000,48000000,-18300000,-24400000,-19500000,-144400000,-104400000,-110500000,-7100000,77900000,53100000,-87600000,-51600000,-40600000,-278000000
96,Effect of Forex Changes on Cash,1500000,-300000,-1100000,- -,- -,- -,1800000,-8300000,-3800000,1600000,2000000,-9400000,-7300000,4200000,6400000,-5500000,-2200000,4200000,- -
97,Net Change In Cash,6400000,36100000,23800000,- -,- -,- -,105200000,6300000,15400000,-33600000,24400000,-64300000,43700000,-111900000,176900000,-136400000,-19100000,86800000,- -
98,Cash at the End of Period,61300000,97400000,121200000,- -,121200000,- -,105200000,169500000,184900000,151300000,175700000,111400000,155100000,43200000,220100000,83700000,64600000,151400000,- -
99,Cash at the Beginning of Period,54900000,61300000,97400000,- -,121200000,- -,- -,163200000,169500000,184900000,151300000,175700000,111400000,155100000,43200000,220100000,83700000,64600000,- -
100,Free Cash Flow,22500000,46600000,-31700000,- -,34600000,-27300000,110100000,35400000,38100000,108900000,116400000,51500000,42800000,-91600000,123700000,28800000,27000000,115200000,-88000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1173514/000095015205002160/l12293ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1173514/000095015206001531/0000950152-06-001531-index.html,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173514/000117351413000022/0001173514-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351414000019/hy201310k.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351415000022/hy201410kv2.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351416000108/0001173514-16-000108-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351417000019/0001173514-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351418000014/0001173514-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351419000010/0001173514-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351420000015/0001173514-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1173514/000117351421000022/0001173514-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1173514/000117351422000013/0001173514-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,
