,https://roic.ai/company/NGD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-48732.0014,-51215.0209,-100333.0553,509.5000,-Infinity,-3.1199,-3.7164,-2.0571,-6.9021,-Infinity,-Infinity,-0.3380,-0.3607,0.5567,0.3787,0.3671,-0.1985,-0.5306,-0.3849,0.0105,-0.3556,-1.9664,-0.0360,-0.0399,0.5170
17,Operating Income,-69966,-72639,-75515,-124924,-181053,-233826,-320126,-1000553,-2979212,-3502059,-549328,-181290000,-141162000,141912000,267793000,273900000,-175000000,-343200000,-4700000,14900000,-244700000,-1046600000,-7900000,81400000,137300000
18,Operating Income ratio,-100122.0028,-111769.0457,-109371.0603,-93661.9948,-Infinity,-3.2217,-3.8267,-2.1288,-7.0918,-Infinity,-Infinity,-0.8311,-0.4360,0.2675,0.3848,0.3461,-0.2244,-0.4727,-0.0066,0.0218,-0.4049,-1.7313,-0.0125,0.1265,0.1842
19,Total Other Income Expenses (Gains),18425,13632,-27624,-11489,158827,-278,-441,- -,-2540,-7721,-72894073,71588000,-27366000,34129000,-9407000,4900000,-16600000,-66300000,-303600000,-12900000,27100000,-49400000,-66000000,-156400000,23000000
20,Income Before Tax,- -,- -,- -,- -,-22226,-234103,-320567,-1000553,-2981752,-3509780,-73443401,-109702000,-168528000,176041000,258386000,278800000,-191600000,-409500000,-308300000,2000000,-217600000,-1096000000,-73900000,-75000000,160300000
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-3.2255,-3.8320,-2.1288,-7.0979,-Infinity,-Infinity,-0.5029,-0.5205,0.3319,0.3713,0.3523,-0.2457,-0.5640,-0.4325,0.0029,-0.3600,-1.8131,-0.1172,-0.1166,0.2150
22,Income Tax expense (Gain),- -,- -,- -,- -,49891,-116015,618976,38881,-54819,-503603,-11393517,-7023000,14906000,41110000,79358000,79800000,-400000,67600000,-106900000,-700000,-115900000,-25200000,-400000,4300000,19700000
23,Net Income,-40045,-39582,-76024,-6790,-72117,-118088,-939543,-1039434,-2926932,-3006177,-62049884,-102679000,-194316000,176954000,179028000,199000000,-191200000,-477100000,-201400000,2700000,-108000000,-1225700000,-73500000,-79300000,140600000
24,Net Income ratio,-57304.0016,-60905.0249,-110108.0607,-5090.4997,-Infinity,-1.6271,-11.2311,-2.2115,-6.9674,-Infinity,-Infinity,-0.4707,-0.6001,0.3336,0.2572,0.2515,-0.2452,-0.6572,-0.2825,0.0039,-0.1787,-2.0276,-0.1166,-0.1233,0.1886
25,EPS,-0.01,-0.01,-0.02,-0.00,-0.01,-0.01,-0.10,-0.07,-0.21,-0.13,-2.02,-0.69,-0.64,0.46,0.42,0.43,-0.39,-0.95,-0.40,0.01,-0.18,-2.12,-0.12,-0.12,0.21
26,EPS Diluted,-0.01,-0.01,-0.02,-0.00,-0.01,-0.01,-0.10,-0.07,-0.21,-0.13,-2.02,-0.69,-0.64,0.45,0.40,0.42,-0.39,-0.95,-0.40,0.01,-0.18,-2.12,-0.12,-0.12,0.21
27,Weighted Average Shares Outstanding,2865200,3045250,3670267,6680516,8283766,9295350,9746722,13390604,14435573,22689000,30721000,148126000,306288000,390883000,429591000,463400000,488000000,503900000,509000000,511800000,564700000,578700000,611100000,676300000,676300000
28,Weighted Average Shares Outstanding Diluted,2865200,3045250,3670267,6680516,8283766,9295350,10216850,13390604,14435573,22689000,30721000,148126000,306288000,395233000,441009000,468400000,488000000,503900000,509000000,513800000,564700000,578700000,611100000,676300000,676300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800166/000119312507072354/0001193125-07-072354-index.html,- -,https://www.sec.gov/Archives/edgar/data/800166/000120445909000573/0001204459-09-000573-index.html,https://www.sec.gov/Archives/edgar/data/800166/000120445910000637/0001204459-10-000637-index.html,- -,https://www.sec.gov/Archives/edgar/data/800166/000080016612000034/0000800166-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/800166/000080016613000020/0000800166-13-000020-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/800166/000127956916003038/0001279569-16-003038-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956917000641/0001279569-17-000641-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956918000620/0001279569-18-000620-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956919000765/0001279569-19-000765-index.html,https://www.sec.gov/Archives/edgar/data/800166/000115752320000436/0001157523-20-000436-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,2459582,19075982,20820857,15652506,58385381,192038776,185668000,262325000,490754000,309406000,687800000,414400000,370500000,335500000,185900000,216200000,103700000,83400000,186300000,481500000
32,Short-Term Investments,- -,- -,- -,- -,- -,953,1157,- -,- -,- -,- -,- -,706000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45400000,59500000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,2460534,19077139,20820857,15652506,58385381,192038776,185668000,263031000,490754000,309406000,687800000,414400000,370500000,335500000,185900000,216200000,103700000,83400000,231700000,541000000
34,Net Receivables,- -,- -,- -,- -,- -,110177,65218,201764,280328,963452,3547410,11232000,10345000,21056000,37572000,54400000,52300000,66300000,124700000,54100000,41900000,40900000,28000000,82000000,30100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39402000,86299000,106325000,106490000,163300000,182000000,187500000,145900000,150000000,193200000,141800000,110000000,93300000,101000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,15423,67747,92721,68634,489751,6635000,35280000,7325000,7928000,12000000,9300000,10200000,8500000,19600000,3700000,4000000,7300000,11800000,14200000
37,Total Current Assets,- -,- -,- -,- -,- -,2570711,19157780,21090368,16025555,59417467,196075937,242937000,394955000,625460000,461396000,917500000,658000000,634500000,614600000,409600000,455000000,290400000,228700000,418800000,686300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1828300000,1787900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14087000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14087000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121241038,77016000,45890000,7533000,1823000,1000000,500000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2250000,931000,8924000,194100000,171000000,168300000,138900000,224900000,171600000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,1553524,2797074,5358836,19923811,54391730,156111279,1623661000,2045164000,2104990000,2749259000,3171100000,3369500000,3079000000,2922000000,3313500000,3390700000,1879200000,1929800000,3000000,2600000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,1553524,2797074,5358836,19923811,54391730,277352317,1714764000,2093304000,2113454000,2760006000,3366200000,3541000000,3247300000,3060900000,3538400000,3562300000,1879200000,1929800000,1831300000,1790500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,4124235,21954854,26449204,35949365,113809197,473428254,1957701000,2488259000,2738914000,3221402000,4283700000,4199000000,3881800000,3675500000,3948000000,4017300000,2169600000,2158500000,2250100000,2476800000
48,Accounts Payable,- -,- -,- -,- -,- -,28691,73984,968564,3243908,- -,- -,41382000,36033000,66654000,100437000,34300000,30500000,31400000,30200000,32000000,60900000,47100000,39700000,41600000,52000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214844996,7193000,12088000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12088000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,55095,18859,26027,3248113,11120872,5126000,45297000,74055000,122967000,142800000,59700000,73500000,117100000,143400000,117300000,83800000,132200000,105012000,120900000
53,Total Current Liabilities,- -,- -,- -,- -,- -,28691,129078,987423,3269935,3248113,225965869,53701000,93418000,140709000,223404000,177100000,90200000,104900000,147300000,175400000,181200000,130900000,171900000,158700000,172900000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35533677,212387000,245345000,229884000,251664000,847800000,862500000,874300000,787600000,889500000,1007700000,780500000,714500000,489200000,501700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46276000,46300000,46300000,46300000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,72265,675474,767527,3775340,- -,- -,224068000,316426000,280026000,146880000,322900000,381000000,494900000,414400000,460500000,250300000,41500000,48300000,53500000,69600000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,25146,- -,8582704,2391195,25757000,102025000,195104000,270809000,213100000,99100000,90200000,226600000,339700000,438600000,257400000,262500000,759400000,776700000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,72265,675474,792673,3775340,8582704,37924871,462212000,663796000,705014000,715629000,1430100000,1388900000,1505700000,1428600000,1689700000,1696600000,1079400000,1025300000,1302100000,1348000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,17165408,75849743,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,44004,26027,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23900000,19500000,10700000
61,Total Liabilities,- -,- -,- -,- -,- -,100956,804553,1780095,7045276,11830817,263890740,515913000,757214000,845723000,939033000,1607200000,1479100000,1610600000,1575900000,1865100000,1877800000,1210300000,1197200000,1460800000,1520900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2618400000,2815300000,2820900000,2841000000,2859000000,3036500000,3035200000,3144500000,3154000000,3155400000
64,Retained Earnings,- -,- -,- -,- -,- -,-1113449,-2291297,-3511097,-6561193,-8147735,-71639907,-111543000,-305859000,-128905000,-175626000,23400000,-167800000,-644900000,-846300000,-843600000,-961300000,-2187000000,-2275300000,-2354600000,-2214000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-13431,-25973,-61723,-140877,-266815,-1393517,-202154000,-91876000,-167340000,-296450000,-421400000,-475400000,-663900000,-886000000,-1152200000,-1150900000,-1095500000,-1321700000,-1497600000,-93000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,5150160,23467571,28241928,35606160,110392931,282570938,1755485000,2128780000,2189436000,2754445000,456100000,547800000,759100000,990900000,1219700000,1215200000,1206600000,1413800000,1487500000,107500000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,4023279,21150301,24669108,28904090,101978380,209537514,1441788000,1731045000,1893191000,2282369000,2676500000,2719900000,2271200000,2099600000,2082900000,2139500000,959300000,961300000,789300000,955900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,4124235,21954854,26449203,35949365,113809197,473428254,1957701000,2488259000,2738914000,3221402000,4283700000,4199000000,3881800000,3675500000,3948000000,4017300000,2169600000,2158500000,2250100000,2476800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-0,1,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,4124235,21954854,26449204,35949365,113809197,473428254,1957701000,2488259000,2738914000,3221402000,4283700000,4199000000,3881800000,3675500000,3948000000,4017300000,2169600000,2158500000,2250100000,2476800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800166/000119312507072354/0001193125-07-072354-index.html,- -,https://www.sec.gov/Archives/edgar/data/800166/000120445909000573/0001204459-09-000573-index.html,https://www.sec.gov/Archives/edgar/data/800166/000120445910000637/0001204459-10-000637-index.html,- -,https://www.sec.gov/Archives/edgar/data/800166/000080016612000034/0000800166-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/800166/000080016613000020/0000800166-13-000020-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/800166/000127956916003038/0001279569-16-003038-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956917000641/0001279569-17-000641-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956918000620/0001279569-18-000620-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956919000765/0001279569-19-000765-index.html,https://www.sec.gov/Archives/edgar/data/800166/000115752320000436/0001157523-20-000436-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-40045,-39582,-76024,-6790,-72117,-118088,-939543,-1039434,-2926932,-3006177,-62049884,-102679000,-194316000,176954000,179028000,199000000,-191200000,-477100000,-201400000,2700000,-108000000,-1225700000,-73500000,-79300000,140600000
74,Depreciation and Amortization,5990,6298,6749,7469,6930,7666,9667,33705,82225,119252,32313,32961000,59473000,76307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,49891,-116015,587744,38881,-59124,-553363,-11499546,-13496000,-1441000,-17197000,- -,79800000,-400000,67600000,-106900000,-700000,-115900000,-25200000,-400000,4300000,19700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2133665,858326,- -,- -,8151000,7192000,8500000,8100000,- -,- -,- -,- -,- -,- -,2400000,1500000
77,Change in Working Capital,18869,-16361,14,-27483,-76412,258591,147362,646804,2147284,13727,-1694436,2047000,-13597000,6072000,-12538000,-44800000,-9700000,-41600000,-2400000,-19600000,40900000,-71600000,25900000,16200000,1000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8664000,-233000,-145000,-6711000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24684000,-18239000,-13517000,-16620000,-34000000,-15000000,-27600000,900000,-8500000,2800000,-53100000,16200000,10600000,-4800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11920000,-3500000,2100000,5300000,-12600000,- -,24500000,-12500000,- -,- -,- -
81,Other Working Capital,18869,-16361,14,-27483,-76412,258591,147362,646804,2147284,- -,- -,-3285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-2027,5375,12148,27821,61785,5240,1,688021,739962,6863,64476421,105852000,234438000,-69723000,55848000,-6700000,365100000,719900000,573300000,299800000,525200000,1567600000,311500000,351200000,160900000
83,Cash Provided by Operating Activities,-17212,-44270,-57113,1018,-29924,37393,-194769,367977,-16585,-1286033,-9876805,24685000,84557000,180564000,229530000,235800000,171900000,268800000,262600000,282200000,342200000,245100000,263500000,294800000,323700000
84,CAPEX,-87650,-36934,-22673,-493532,-5325,-770036,-1343849,-375700,-14407560,-17724777,-69941432,-133868000,-111522000,-149165000,-413620000,-522000000,-289300000,-279300000,-389500000,-567000000,-567000000,-213900000,-253300000,-284200000,-247300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137718000,20735000,46276000,18651000,- -,-112600000,- -,87600000,- -,- -,149800000,12400000,9100000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175386247,- -,-1547000,-463000000,-3684000,- -,- -,- -,- -,-3500000,-900000,- -,- -,-2100000,-36400000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,8144,- -,- -,- -,32440000,39651000,106476000,16156000,- -,- -,- -,- -,- -,- -,- -,- -,102800000,- -
88,Other Investing Activites,2027,- -,- -,- -,-759606,- -,- -,-1865813,- -,- -,0,-1225000,-1405000,42460000,-20852000,24500000,8200000,21600000,-22600000,1900000,34300000,31900000,6900000,1200000,341100000
89,Cash Used for Investing Activites,-85623,-36934,-22673,-493532,-764931,-770036,-1343849,-2233369,-14407560,-17724777,-245327678,35065000,-54088000,-416953000,-403349000,-497500000,-393700000,-257700000,-324500000,-568600000,-533600000,-32200000,-234000000,-173200000,57400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500000,-66981000,-27235000,- -,-197600000,- -,- -,- -,- -,-305300000,-234000000,-113000000,-262600000,-10400000
91,Common Stock Issued,59217,73114,231301,196871,29711,768230,17628608,2121217,8618908,61799931,131760073,- -,107015000,- -,- -,- -,- -,- -,- -,- -,164700000,- -,106700000,10200000,200000
92,Common Stock Repurchased,- -,- -,- -,- -,-28628,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-5228,-5412,-8542,3234489,-0,- -,- -,-12573,-93477,- -,246762597,11491000,-7000000,474424000,-5489000,837500000,-47100000,-52900000,45700000,128400000,360400000,-78700000,-43900000,230500000,-76300000
95,Cash Used/Provided by Financing Activities,53990,67702,222759,3431360,1084,768230,17628608,2108645,8525431,61799931,378522670,-9000,33034000,447189000,-5424000,639900000,-47100000,-52900000,45700000,128400000,219800000,-312700000,-50200000,-21900000,-86500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23997000,13980000,16803000,-2105000,200000,-4500000,-2100000,-18800000,8400000,1900000,-500000,400000,3200000,600000
97,Net Change In Cash,-48846,-13502,142973,2938846,-793772,35586,16089991,243253,-5898713,42789121,123318186,35744000,77483000,227603000,-181348000,378400000,-273400000,-43900000,-35000000,-149600000,30300000,-112500000,-20300000,102900000,295200000
98,Cash at the End of Period,340108,302800,464666,3387655,2397090,2459582,19075982,20820857,15652506,58385381,192038776,185668000,263151000,490754000,309406000,687800000,414400000,370500000,335500000,185900000,216200000,103700000,83400000,186300000,481500000
99,Cash at the Beginning of Period,388953,316302,321693,448810,3190862,2423995,2985991,20577604,21551218,15596259,68720590,149924000,185668000,263151000,490754000,309400000,687800000,414400000,370500000,335500000,185900000,216200000,103700000,83400000,186300000
100,Free Cash Flow,-104862,-81204,-79786,-492514,-35249,-732644,-1538617,-7723,-14424145,-19010810,-79818237,-109183000,-26965000,31399000,-184090000,-286200000,-117400000,-10500000,-126900000,-284800000,-224800000,31200000,10200000,10600000,76400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800166/000119312507072354/0001193125-07-072354-index.html,- -,https://www.sec.gov/Archives/edgar/data/800166/000120445909000573/0001204459-09-000573-index.html,https://www.sec.gov/Archives/edgar/data/800166/000120445910000637/0001204459-10-000637-index.html,- -,https://www.sec.gov/Archives/edgar/data/800166/000080016612000034/0000800166-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/800166/000080016613000020/0000800166-13-000020-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/800166/000127956916003038/0001279569-16-003038-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956917000641/0001279569-17-000641-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956918000620/0001279569-18-000620-index.html,https://www.sec.gov/Archives/edgar/data/800166/000127956919000765/0001279569-19-000765-index.html,https://www.sec.gov/Archives/edgar/data/800166/000115752320000436/0001157523-20-000436-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
