,https://roic.ai/company/ARDX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-1.8087,-0.2220,-0.0995,-1.2341,-Infinity,-1.5038,-35.0188,-17.9203,-12.4569,-15.6642
22,Income Tax expense (Gain),- -,141000,67000,-29000,- -,1179000,4000,303000,2000,4000
23,Net Income,-9785000,-6564000,-3214000,-29621000,-112387000,-64339000,-91298000,-94940000,-94313000,-158165000
24,Net Income ratio,-1.8087,-0.2269,-0.1016,-1.2329,-Infinity,-1.5319,-35.0203,-17.9777,-12.4571,-15.6646
25,EPS,-0.73,-0.23,-0.31,-1.29,-2.80,-1.36,-1.62,-1.47,-1.05,-1.52
26,EPS Diluted,-0.73,-0.23,-0.31,-1.29,-2.80,-1.36,-1.62,-1.47,-1.05,-1.52
27,Weighted Average Shares Outstanding,13344711,13216414,10248337,22892640,40118522,47435331,56219919,64478066,89582138,104205645
28,Weighted Average Shares Outstanding Diluted,13344711,13216414,10248337,22892640,40118522,47435331,56219919,64478066,89582138,104205645
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1437402/000156459015001336/0001564590-15-001336-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000119312516493375/0001193125-16-493375-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000119312517047972/0001193125-17-047972-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837018002056/0001558370-18-002056-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837019001583/0001558370-19-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837020002138/0001558370-20-002138-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837021002500/0001558370-21-002500-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000162828022004226/0001628280-22-004226-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,32903000,34435000,107286000,107004000,74598000,75383000,78768000,181133000,91032000,72428000
32,Short-Term Investments,- -,- -,- -,- -,126225000,58593000,89321000,66379000,95452000,44261000
33,Cash and Short-Term Investments,32903000,34435000,107286000,107004000,200823000,133976000,168089000,247512000,186484000,116689000
34,Net Receivables,3072000,6436000,2584000,- -,- -,10796000,5085000,750000,- -,502000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,885000,965000,1209000,5027000,3169000,4940000,3197000,3800000,8202000,16458000
37,Total Current Assets,36860000,41836000,111079000,112031000,203992000,149712000,176371000,252062000,194686000,133649000
38,PP&E,844000,530000,2131000,4711000,8991000,8032000,5611000,7406000,4210000,15114000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,2114000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,180000,538000,204000,204000,148000,159000,1350000,314000,552000,1150000
45,Total Non-Current Assets,1024000,1068000,2335000,4915000,9139000,8191000,6961000,7720000,6876000,16264000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37884000,42904000,113414000,116946000,213131000,157903000,183332000,259782000,201562000,149913000
48,Accounts Payable,1146000,2284000,3129000,2777000,5635000,3933000,1148000,2187000,5626000,4277000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,3791000,6284000,35756000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,13571000,13828000,15979000,- -,- -,- -,1000000,4541000,4177000,- -
52,Other Current Liabilities,2074000,1027000,2428000,4946000,13566000,13938000,15580000,11701000,12329000,12788000
53,Total Current Liabilities,16791000,17139000,21536000,7723000,19201000,17871000,17728000,22220000,28416000,52821000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,49209000,50907000,47034000,9748000
55,Deferred Revenue,19091000,26470000,31074000,- -,- -,- -,- -,- -,- -,4727000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3239000,6619000,122000,322000,779000,720000,582000,- -,- -,- -
58,Total Non-Current Liabilities,22330000,33089000,31196000,322000,779000,720000,49791000,50907000,47034000,14475000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,4684000,2530000,13240000
61,Total Liabilities,39121000,50228000,52732000,8045000,19980000,18591000,67519000,73127000,75450000,67296000
62,Preferred Stock,56155000,56155000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,3000,5000,5000,6000,9000,9000,13000
64,Retained Earnings,-62089000,-68653000,-71867000,-101488000,-213875000,-278214000,-365512000,-460452000,-554765000,-712930000
65,Other Comprehensive Income/Loss,-2740000,-3332000,-3634000,-3808000,-71000,-47000,-38000,20000,-4000,-6000
66,Other Total Stockholders Equity,63592000,64661000,136181000,214194000,407092000,417568000,481357000,647078000,680872000,795540000
67,Total Stockholders Equity,-1237000,-7324000,60682000,108901000,193151000,139312000,115813000,186655000,126112000,82617000
68,Total Liabilities And Stockholders Equity,37884000,42904000,113414000,116946000,213131000,157903000,183332000,259782000,201562000,149913000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37884000,42904000,113414000,116946000,213131000,157903000,183332000,259782000,201562000,149913000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1437402/000156459015001336/0001564590-15-001336-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000119312516493375/0001193125-16-493375-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000119312517047972/0001193125-17-047972-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837018002056/0001558370-18-002056-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837019001583/0001558370-19-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837020002138/0001558370-20-002138-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837021002500/0001558370-21-002500-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000162828022004226/0001628280-22-004226-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-9785000,-6564000,-3214000,-29621000,-112387000,-64339000,-91298000,-94940000,-94313000,-158165000
74,Depreciation and Amortization,675000,592000,302000,829000,1295000,2639000,2678000,2501000,1824000,1441000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,473000,352000,1692000,2634000,5317000,9590000,9226000,9936000,10583000,12039000
77,Change in Working Capital,29667000,4628000,64846000,14765000,80483000,-52950000,26802000,2985000,-3213000,-11922000
78,Accounts Receivable,-3072000,-3364000,3852000,2584000,- -,-10796000,10711000,85000,- -,-502000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-105000,1138000,831000,-371000,2148000,-1027000,-2730000,39000,3439000,-1349000
81,Other Working Capital,20069000,24697000,89543000,104308000,184791000,131841000,158643000,6271000,855000,300000
82,Other Non-Cash Items,950000,2803000,-50229000,-60447000,-67242000,39870000,-17682000,3034000,3684000,4056000
83,Cash Provided by Operating Activities,21980000,1811000,13397000,-71840000,-92534000,-65190000,-70274000,-76484000,-81435000,-152551000
84,CAPEX,-128000,-278000,-1856000,-3454000,-4866000,-2355000,-311000,-325000,-324000,-1867000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-133810000,-84013000,-169033000,-102671000,-150852000,-72735000
87,Sales/Maturities of Investments,- -,- -,- -,- -,7600000,151658000,139450000,126369000,119734000,125550000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-128000,-278000,-1856000,-3454000,-131076000,65290000,-29894000,23373000,-31442000,50948000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-125000,-19444000
91,Common Stock Issued,- -,1000,61241000,74323000,190573000,- -,53770000,154902000,21047000,101146000
92,Common Stock Repurchased,-20000,-2000,-2000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,290000,- -,71000,689000,631000,685000,49783000,574000,1854000,1297000
95,Cash Used/Provided by Financing Activities,270000,-1000,61310000,75012000,191204000,685000,103553000,155476000,22776000,82999000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,22122000,1532000,72851000,-282000,-32406000,785000,3385000,102365000,-90101000,-18604000
98,Cash at the End of Period,32903000,34435000,107286000,107004000,74598000,75383000,78768000,181133000,91032000,72428000
99,Cash at the Beginning of Period,10781000,32903000,34435000,107286000,107004000,74598000,75383000,78768000,181133000,91032000
100,Free Cash Flow,21852000,1533000,11541000,-75294000,-97400000,-67545000,-70585000,-76809000,-81759000,-154418000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1437402/000156459015001336/0001564590-15-001336-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000119312516493375/0001193125-16-493375-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000119312517047972/0001193125-17-047972-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837018002056/0001558370-18-002056-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837019001583/0001558370-19-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837020002138/0001558370-20-002138-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000155837021002500/0001558370-21-002500-index.htm,https://www.sec.gov/Archives/edgar/data/1437402/000162828022004226/0001628280-22-004226-index.htm
102,false,,,,,,,,,,
