,https://roic.ai/company/FAMI,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,6686028,7509067,5144460,8602530,13827590,10758119,24473318
35,Inventory,1816570,1473425,1591620,1808140,1459250,583639,1371540
36,Other Current Assets,35618,4023851,4414790,6003790,14283060,25132262,70208774
37,Total Current Assets,8694706,13053584,13741410,21339630,29705030,37022171,155305536
38,PP&E,72626,56759,102520,136360,139470,1088933,856147
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,38140,- -,- -
41,Intangible Assets,- -,- -,- -,- -,38140,80642,40075
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,244596,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,25912,24712,- -,600010,599990,- -,9485143
45,Total Non-Current Assets,343134,81471,102520,736370,777600,1169575,10381365
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9037840,13135055,13843930,22076000,30482630,38191746,165686901
48,Accounts Payable,1295492,466999,415820,343140,293260,413255,56457
49,Short-Term Debt,4727480,3957888,1652917,1455580,4327255,5430850,2328298
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,20180,1114027,- -,- -,- -,- -,- -
52,Other Current Liabilities,743284,308758,461113,423180,3524565,2523282,1761671
53,Total Current Liabilities,6786436,5847672,2529850,2221900,8145080,8367387,4146426
54,Long-Term Debt,691680,- -,661170,640460,- -,- -,748057
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,896570,875370,839050,669202,- -
58,Total Non-Current Liabilities,691680,- -,1557740,1515830,839050,669202,748057
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,808052,761325
61,Total Liabilities,7478116,5847672,4087590,3737730,8984130,9036589,4894483
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,728940,-210900,-1183280,20518,557781
64,Retained Earnings,-1581155,733007,4004320,7226350,6918910,6770426,9127377
65,Other Comprehensive Income/Loss,297583,625795,718941,6682,-598338,1159004,3102527
66,Other Total Stockholders Equity,2833296,5023080,4304137,11316138,16361211,20335228,- -
67,Total Stockholders Equity,1559724,6391882,9756338,18338270,21498503,28285176,159875912
68,Total Liabilities And Stockholders Equity,9037840,12239554,13843928,22076000,30482633,37321765,164770395
69,Minority Interest,- -,895501,2,- -,-3,869981,916506
70,Total Liabilities & Equity,9037840,13135055,13843930,22076000,30482630,38191746,165686901
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701261/000110465919077298/0001104659-19-077298-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,760850,2314162,3271310,3222032,-307437,823606,2358414
74,Depreciation and Amortization,20530,18891,21939,24886,46779,82809,- -
75,Deferred Income Tax,260529,75192,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1260674
77,Change in Working Capital,-1770959,-3045072,-1287366,-5980035,-13710328,-3777947,-165081
78,Accounts Receivable,-2342707,380651,133681,-3804464,-5759327,3446672,- -
79,Inventory,-529992,321642,-112128,-280017,291652,900691,- -
80,Accounts Payable,1070675,-930372,-51038,-62706,-38392,102438,- -
81,Other Working Capital,40304,1205092,-1090595,- -,6151,910109,- -
82,Other Non-Cash Items,- -,-4072,-964,8107,3197699,1255109,-4395592
83,Cash Provided by Operating Activities,-729050,-640899,2004919,-2725010,-10773287,-1616423,-941585
84,CAPEX,-7048,-6120,-66503,-64715,-94905,-247240,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-122726999
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3499644,-1518479,2192762,- -,-43124,-82195,- -
89,Cash Used for Investing Activites,3492596,-1524599,2126259,-64715,-94905,-247240,-122726999
90,Debt Repayment,-2676300,-4911022,-6809972,-1683088,-2181828,-3647955,-2138508
91,Common Stock Issued,- -,- -,- -,7728000,- -,- -,126029588
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,37741,6972342,5155844,-517592,8237868,6849600,298297
95,Cash Used/Provided by Financing Activities,-2638559,2061320,-1654128,5527320,6056040,3201645,124189377
96,Effect of Forex Changes on Cash,-5022,-5071,66248,-402969,40802,73354,- -
97,Net Change In Cash,119965,-109249,2543298,2334626,-4771350,1411336,520793
98,Cash at the End of Period,156490,47241,2590539,4925165,753815,2165151,522915
99,Cash at the Beginning of Period,36525,156490,47241,2590539,5525165,753815,2122
100,Free Cash Flow,-736098,-647019,1938416,-2789725,-10868192,-1863663,-941585
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701261/000110465919077298/0001104659-19-077298-index.html,- -,- -
102,false,,,,,,,
