,https://roic.ai/company/ALIM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,174000,130000,172000,163000,106000,216000,-68000,- -
23,Net Income,-12971000,-5705000,-61464000,-44218000,-13859000,-22516000,-19746000,-46229000,-35910000,-30645000,-33174000,-22001000,-16382000,-10443000,-5339000,-4372000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.6950,-4.2633,-1.3658,-0.9662,-0.6126,-0.3488,-0.1936,-0.1051,-0.0911
25,EPS,-155.30,-98.56,-637.01,-14.10,-11.55,-10.80,-9.45,-24.30,-13.65,-10.35,-9.45,-4.95,3.75,-2.19,-1.04,-0.85
26,EPS Diluted,-155.30,-98.56,-637.01,-14.10,-11.55,-10.80,-9.45,-24.30,-13.65,-10.35,-9.45,-4.95,3.75,-2.19,-1.04,-0.85
27,Weighted Average Shares Outstanding,107934,107934,107934,1499728,1477865,2090848,2097485,2105314,2693161,2963362,3520124,4466265,4666883,4770204,5117656,5117656
28,Weighted Average Shares Outstanding Diluted,107934,107934,107934,1499728,1477865,2090848,2097485,2105314,2693161,2963362,3520124,4466265,4715922,4770204,5117656,5117656
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1267602/000095012311029223/g26567e10vk.htm,https://www.sec.gov/Archives/edgar/data/1267602/000119312512143815/0001193125-12-143815-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760213000008/0001267602-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760214000015/alim-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760215000018/alim-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760216000119/0001267602-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760217000021/0001267602-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760218000047/0001267602-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760219000043/0001267602-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760220000029/0001267602-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760221000013/0001267602-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760222000013/0001267602-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27157000,20847000,17875000,14858000,28514000,33108000,49564000,12628000,76697000,31075000,30979000,24067000,13043000,9426000,11208000,16510000
32,Short-Term Investments,- -,- -,- -,- -,26330000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,27157000,20847000,17875000,14858000,54844000,33608000,49564000,12628000,76697000,31075000,30979000,24067000,13043000,9426000,11208000,16510000
34,Net Receivables,1203000,1989000,- -,- -,- -,- -,- -,500000,850000,9799000,13839000,11435000,17259000,19331000,17200000,19128000
35,Inventory,725000,- -,- -,- -,- -,- -,719000,1786000,1734000,1552000,446000,1508000,2405000,1390000,2746000,2679000
36,Other Current Assets,1742000,1262000,1593000,1449000,1350000,893000,2124000,3724000,3988000,2733000,2138000,2312000,2141000,2598000,3752000,3843000
37,Total Current Assets,30827000,24098000,19468000,16307000,56194000,34501000,52407000,18638000,83269000,45159000,47402000,39322000,34848000,32745000,34906000,42160000
38,PP&E,400000,397000,796000,254000,220000,197000,114000,982000,1653000,2553000,1787000,1410000,1355000,2047000,2358000,4493000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,24490000,22549000,20604000,18664000,16723000,14783000,12838000,10897000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,24490000,22549000,20604000,18664000,16723000,14783000,12838000,10897000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000,436000,528000,1182000,734000,753000,137000
44,Other Non-Current Assets,24000,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,833000
45,Total Non-Current Assets,424000,421000,796000,254000,220000,197000,114000,982000,26143000,25325000,22827000,20602000,19260000,17564000,15949000,16360000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31251000,24519000,20264000,16561000,56414000,34698000,52521000,19620000,109412000,70484000,70229000,59924000,54108000,50309000,50855000,58520000
48,Accounts Payable,1657000,845000,1575000,1758000,1677000,1948000,1973000,1735000,5021000,4002000,4986000,5905000,6355000,7077000,7461000,8706000
49,Short-Term Debt,11000,10000,10000,4506000,1168000,2474000,2279000,1677000,1034000,32020000,191000,184000,236000,724000,2095000,43080000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,184000,- -,452000,809000,305000,346000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3865000,3381000,3332000,4471000,3572000,2296000,8213000,1537000,4420000,3911000,3946000,3582000,3643000,4247000,2792000,-39194000
53,Total Current Liabilities,5533000,4236000,4917000,10735000,6417000,6718000,12465000,4949000,10475000,39933000,9123000,9671000,10234000,12048000,12348000,12592000
54,Long-Term Debt,33000,15000,15000000,10500000,4767000,2868000,703000,3194000,33065000,- -,33084000,34365000,37873000,38658000,42408000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,63084000,68006000,116234000,708000,18000,134000,209000,16402000,16353000,4231000,2436000,969000,3279000,4048000,4077000,45928000
58,Total Non-Current Liabilities,63117000,68021000,131234000,11208000,4785000,3002000,912000,19596000,49418000,4231000,35520000,35334000,41152000,42706000,46485000,45928000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,21000,26000,16000,6000,11000,12000,6000,10000,11000,816000,465000,387000,541000,818000,1128000,- -
61,Total Liabilities,68650000,72257000,136151000,21943000,11202000,9720000,13377000,24545000,59893000,44164000,44643000,45005000,51386000,54754000,58833000,58520000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,32045000,32045000,68795000,68795000,68795000,68795000,30344000,30344000,19227000,- -
63,Common Stock,49000,52000,51000,283000,313000,314000,315000,316000,443000,450000,649000,691000,701000,50000,57000,69000
64,Retained Earnings,-40077000,-50715000,-119470000,-170282000,-188854000,-211370000,-231116000,-277345000,-313255000,-343900000,-377074000,-399075000,-377127000,-387570000,-392909000,-397281000
65,Other Comprehensive Income/Loss,-275000,-373000,-611000,-848000,-1028000,-1000000,-1106000,-488000,-812000,-1148000,-1272000,-821000,-1011000,-1093000,-553000,-1849000
66,Other Total Stockholders Equity,2904000,3298000,4143000,165465000,234781000,237034000,239006000,240547000,294348000,302123000,334488000,345329000,349815000,353824000,366200000,396456000
67,Total Stockholders Equity,-37399000,-47738000,-115887000,-5382000,45212000,24978000,39144000,-4925000,49519000,26320000,25586000,14919000,2722000,-4445000,-7978000,-2605000
68,Total Liabilities And Stockholders Equity,31251000,24519000,20264000,16561000,56414000,34698000,52521000,19620000,109412000,70484000,70229000,59924000,54108000,50309000,50855000,55915000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2605000
70,Total Liabilities & Equity,31251000,24519000,20264000,16561000,56414000,34698000,52521000,19620000,109412000,70484000,70229000,59924000,54108000,50309000,50855000,58520000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1267602/000095012311029223/g26567e10vk.htm,https://www.sec.gov/Archives/edgar/data/1267602/000119312512143815/0001193125-12-143815-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760213000008/0001267602-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760214000015/alim-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760215000018/alim-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760216000119/0001267602-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760217000021/0001267602-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760218000047/0001267602-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760219000043/0001267602-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760220000029/0001267602-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760221000013/0001267602-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760222000013/0001267602-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-12971000,-5705000,-61464000,-44218000,-13859000,-22516000,-19746000,-46229000,-35910000,-30645000,-33174000,-22001000,-16382000,-10443000,-5339000,-4372000
74,Depreciation and Amortization,129000,147000,241000,1098000,194000,133000,106000,138000,659000,2555000,2767000,2684000,2645000,2641000,2676000,2579000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-223000,-213000,-92000,-653000,454000,31000,610000
76,Stock Based Compensation,253000,185000,750000,551000,957000,1873000,1777000,2477000,3850000,5037000,4889000,4981000,4411000,2456000,1331000,997000
77,Change in Working Capital,-588000,-5432000,-5311000,-8979000,44205000,-21994000,12159000,-26253000,59105000,-67568000,33053000,-8628000,-5037000,-3917000,1861000,7010000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-483000,-444000,-8919000,-4096000,2610000,-5995000,-2160000,2631000,-2206000
79,Inventory,- -,- -,- -,- -,- -,- -,-719000,-1416000,-135000,-386000,1000000,-1052000,-933000,996000,-1259000,-19000
80,Accounts Payable,120000,181000,615000,183000,391000,271000,25000,-259000,2987000,-487000,1073000,644000,556000,779000,106000,1485000
81,Other Working Capital,25294000,19862000,14551000,5572000,49777000,27783000,39942000,13689000,72794000,5226000,38279000,29651000,24614000,20697000,22558000,29568000
82,Other Non-Cash Items,-7607000,-2132000,33668000,34010000,-53550000,21788000,-15478000,32046000,-52005000,45480000,-32421000,10182000,3463000,4657000,-2753000,-10048000
83,Cash Provided by Operating Activities,-20784000,-12937000,-32116000,-17538000,-22053000,-20716000,-21182000,-37821000,-24301000,-45364000,-25099000,-12874000,-11553000,-4152000,-2193000,-3224000
84,CAPEX,-443000,-172000,-640000,-65000,-128000,-110000,-23000,-973000,-25842000,-451000,-186000,-238000,-175000,-174000,-620000,-621000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-39927000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,13595000,25830000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,9750000,6719000,- -,- -,4000000,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,9307000,6547000,-640000,-65000,-22460000,25720000,477000,-973000,-25842000,-451000,-186000,-238000,-175000,-174000,-620000,-621000
90,Debt Repayment,-11000,-11000,-10000,-10000,-15008000,-769000,-2474000,-3180000,-4871000,-293000,-227000,-182000,-35327000,-40306000,-445000,-221000
91,Common Stock Issued,- -,- -,- -,- -,68470000,154000,38000,53000,37598000,1002000,27763000,6084000,83000,902000,49000,10084000
92,Common Stock Repurchased,- -,-23000,-150000,- -,-1942000,- -,-455000,- -,- -,- -,- -,- -,-122000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15830000,114000,29944000,4596000,16649000,205000,40052000,4781000,82018000,-84000,-2112000,-179000,36316000,40273000,4278000,-40000
95,Cash Used/Provided by Financing Activities,15819000,80000,29784000,4586000,68169000,-410000,37161000,1654000,114745000,625000,25424000,5723000,950000,869000,3882000,9823000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,204000,-533000,-432000,-235000,477000,-248000,-159000,714000,-676000
97,Net Change In Cash,4342000,-6310000,-2972000,-13017000,23656000,4594000,16456000,-36936000,64069000,-45622000,-96000,-6912000,-11026000,-3616000,1783000,5302000
98,Cash at the End of Period,27157000,20847000,17875000,4858000,28514000,33108000,49564000,12628000,76697000,31075000,30979000,24067000,13075000,9459000,11242000,16544000
99,Cash at the Beginning of Period,22815000,27157000,20847000,17875000,4858000,28514000,33108000,49564000,12628000,76697000,31075000,30979000,24101000,13075000,9459000,11242000
100,Free Cash Flow,-21227000,-13109000,-32756000,-17603000,-22181000,-20826000,-21205000,-38794000,-50143000,-45815000,-25285000,-13112000,-11728000,-4326000,-2813000,-3845000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1267602/000095012311029223/g26567e10vk.htm,https://www.sec.gov/Archives/edgar/data/1267602/000119312512143815/0001193125-12-143815-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760213000008/0001267602-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760214000015/alim-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760215000018/alim-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760216000119/0001267602-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760217000021/0001267602-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760218000047/0001267602-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760219000043/0001267602-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760220000029/0001267602-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1267602/000126760221000013/0001267602-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1267602/000126760222000013/0001267602-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,
