,https://roic.ai/company/BLPG,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1416697/000139390509000121/0001393905-09-000121-index.html,https://www.sec.gov/Archives/edgar/data/1416697/000139390510000119/0001393905-10-000119-index.html,- -,https://www.sec.gov/Archives/edgar/data/1416697/000139390512000127/0001393905-12-000127-index.html,https://www.sec.gov/Archives/edgar/data/1416697/000139390513000163/0001393905-13-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000139390514000178/0001393905-14-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785516000608/0001127855-16-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785516000626/0001127855-16-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785517000084/0001127855-17-000084-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1416697/000149315219005428/0001493152-19-005428-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315220016934/0001493152-20-016934-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315221011487/0001493152-21-011487-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315222008860/0001493152-22-008860-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,30736,7420,553,191,314,582,2844,211922,16211,- -,37771,15862,45113,244750,662177
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,30736,7420,553,191,314,582,2844,211922,16211,- -,37771,15862,45113,244750,662177
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,163342,125246,133698,206408,300188,336840,322598,328042
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-736,- -,- -,- -,- -,- -,- -,2500,20669,85888,24628,21831,11980,32216,34378
37,Total Current Assets,- -,30000,7420,553,191,314,582,2844,377764,162126,219586,268807,337881,393933,599564,1024597
38,PP&E,- -,- -,1256,749,242,- -,- -,- -,1287991,1300831,135669,114677,393289,1242840,933378,2782
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35632,41740,34940,34940,-181152
45,Total Non-Current Assets,- -,- -,1256,749,242,- -,- -,- -,1287991,1300831,135669,150309,435029,1277780,968318,-178370
46,Other Assets,- -,736,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,30736,8676,1302,433,314,582,2844,1665755,1462957,355255,419116,772910,1671713,1567882,846227
48,Accounts Payable,- -,120,- -,- -,- -,- -,2000,2300,143019,332169,416573,642059,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,294006,1037447,799137,1949871,2555736,3108917,2953934,695839
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,2000,- -,2000,152844,214682,417643,1881265,1542349,2222335,3408607,2026005
53,Total Current Liabilities,- -,- -,- -,- -,- -,2000,2000,4300,589869,1584298,1633353,4473195,4098085,5331252,6362541,2721844
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,691780,12836,8664,6518,368,- -,567452,456768
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57534,785802,- -,1313817
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,691780,12836,8664,6518,57902,785802,567452,1770585
59,Other Liabilities,- -,120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92039,989167,740679,- -
61,Total Liabilities,- -,120,- -,- -,- -,2000,2000,4300,1281649,1597134,1642017,4479713,4155987,6117054,6929993,1770585
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,20000,20000,20000,20000,- -
63,Common Stock,- -,7630,7630,7630,7630,7630,7630,7630,122845,125361,127361,128348,368469,793360,822360,8499
64,Retained Earnings,- -,-11759,-33699,-44673,-56842,-72261,-87193,-102481,-2528422,-4535829,-6971790,-9626224,-10878959,-12487242,-13421819,-11671230
65,Other Comprehensive Income/Loss,- -,- -,-265,-772,-1279,-1521,-1521,- -,-28692,-69084,-115309,-165642,-194454,-325285,- -,- -
66,Other Total Stockholders Equity,- -,34745,35010,39117,50924,64466,79666,93395,2818375,4345375,5652976,5582921,7301867,7553826,7217348,9041126
67,Total Stockholders Equity,- -,30616,8676,1302,433,-1686,-1418,-1456,384106,-134177,-1286762,-4060597,-3383077,-4445341,-5362111,-2621605
68,Total Liabilities And Stockholders Equity,- -,30736,- -,- -,- -,314,582,2844,1665755,1462957,355255,419116,772910,1671713,1567882,-851020
69,Minority Interest,- -,- -,8676,1302,433,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1697247
70,Total Liabilities & Equity,- -,30736,8676,1302,433,314,582,2844,1665755,1462957,355255,419116,772910,1671713,1567882,846227
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1416697/000139390509000121/0001393905-09-000121-index.html,https://www.sec.gov/Archives/edgar/data/1416697/000139390510000119/0001393905-10-000119-index.html,- -,https://www.sec.gov/Archives/edgar/data/1416697/000139390512000127/0001393905-12-000127-index.html,https://www.sec.gov/Archives/edgar/data/1416697/000139390513000163/0001393905-13-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000139390514000178/0001393905-14-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785516000608/0001127855-16-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785516000626/0001127855-16-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785517000084/0001127855-17-000084-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1416697/000149315219005428/0001493152-19-005428-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315220016934/0001493152-20-016934-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315221011487/0001493152-21-011487-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315222008860/0001493152-22-008860-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-8297,-21940,-10974,-12169,-15419,-14932,-15288,-2425941,-1315407,-2435961,-2654434,-1252735,-1608283,-934577,1750589
74,Depreciation and Amortization,- -,- -,265,507,507,242,- -,- -,27172,41912,67094,50332,89717,130831,242754,134371
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1285937,544938,248136,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,30000,-22580,-6867,-362,-1877,268,-38,-210649,-1210067,8405,-2790621,444184,-1177115,-825658,4065730
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-116892,-8355,-8452,-72710,-93780,-36652,14242,-5444
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,120,-120,- -,- -,- -,- -,2300,297298,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,30000,7420,553,191,-1686,-1418,-1456,-212105,-1422172,-1413767,-4204388,-3760204,-4937319,-5762977,-1697247
82,Other Non-Cash Items,- -,-29880,22460,6867,362,1877,-268,2338,880336,1255994,642449,4671708,-137346,2318516,1980735,-5047316
83,Cash Provided by Operating Activities,- -,-8177,-21795,-10467,-11662,-15177,-14932,-12988,-443145,-682630,-1469877,-723015,-856180,-336051,463254,903374
84,CAPEX,- -,- -,-1521,- -,- -,- -,- -,- -,-1285163,-18208,-513867,-32122,-216740,-86602,-39470,-66002
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2782,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-46451,46451,722319,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1521,- -,- -,- -,- -,- -,-1131614,25461,208452,-32122,-216740,-86602,-39470,-66002
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-147333,-3617,-716172,-846823,-244489,-117413,-248147,- -
91,Common Stock Issued,- -,32100,- -,- -,- -,- -,- -,- -,1362992,50000,- -,- -,- -,- -,- -,10010
92,Common Stock Repurchased,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,3600,11300,15300,15200,15250,568458,415075,1961386,1639731,1295500,569317,24000,-429955
95,Cash Used/Provided by Financing Activities,10000,32100,- -,3600,11300,15300,15200,15250,1784117,461458,1245214,792908,1051011,451904,-224147,-419945
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-280,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,23923,-23316,-6867,-362,123,268,2262,209078,-195711,- -,- -,-21909,29251,199637,417427
98,Cash at the End of Period,25860,30736,7420,553,191,314,582,2844,211922,16211,- -,37771,15862,45113,244750,662177
99,Cash at the Beginning of Period,15860,6813,30736,7420,553,191,314,582,2844,211922,16211,- -,37771,15862,45113,244750
100,Free Cash Flow,- -,-8177,-23316,-10467,-11662,-15177,-14932,-12988,-1728308,-700838,-1983744,-755137,-1072920,-422653,423784,837372
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1416697/000139390509000121/0001393905-09-000121-index.html,https://www.sec.gov/Archives/edgar/data/1416697/000139390510000119/0001393905-10-000119-index.html,- -,https://www.sec.gov/Archives/edgar/data/1416697/000139390512000127/0001393905-12-000127-index.html,https://www.sec.gov/Archives/edgar/data/1416697/000139390513000163/0001393905-13-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000139390514000178/0001393905-14-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785516000608/0001127855-16-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785516000626/0001127855-16-000626-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000112785517000084/0001127855-17-000084-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1416697/000149315219005428/0001493152-19-005428-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315220016934/0001493152-20-016934-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315221011487/0001493152-21-011487-index.htm,https://www.sec.gov/Archives/edgar/data/1416697/000149315222008860/0001493152-22-008860-index.htm
102,false,,,,,,,,,,,,,,,,
