,https://roic.ai/company/SLI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,145555,-103440,194897,290995,254519,106038,416207,-279107,-182554,-629535,-388238,-212852,-260504,-73709,-371565,-11462154,- -,-8512507,-9293787,-25260714
18,Operating Income ratio,0.4662,-0.2024,0.3229,0.4741,0.4385,0.1927,0.4009,-0.5655,-1.0326,-5.1622,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),2414,138291,36387,121028,47574,-58682,181001,-328035,882571,7190,-53705,13266,-87974,-62308,-20229,-8449702,- -,-66334,-234271,-173663
20,Income Before Tax,- -,34851,231284,412023,302093,47356,597208,-607142,700017,-622345,-441943,-199586,-348478,-136017,-391794,-19911856,- -,-8578841,-9528058,-25434377
21,Income Before Tax Ratio,- -,0.0682,0.3832,0.6713,0.5204,0.0861,0.5752,-1.2302,3.9596,-5.1032,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-64300,87100,139363,93724,29327,186800,-163420,371985,2417,-141416,-108015,- -,- -,-16921,- -,- -,- -,- -,- -
23,Net Income,149595,99151,144184,272660,208369,18029,410408,-443722,353084,-624762,-300527,-91571,-348478,-136017,-374873,-19911856,- -,-8578841,-9527368,-25434376
24,Net Income ratio,0.4791,0.1940,0.2389,0.4442,0.3590,0.0328,0.3953,-0.8991,1.9972,-5.1230,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity
25,EPS,0.15,0.10,0.10,0.20,0.15,0.01,0.30,-0.30,0.25,-0.40,-0.15,-0.05,-0.15,-0.05,-0.05,-0.37,- -,-0.11,-0.11,-0.21
26,EPS Diluted,0.15,0.10,0.10,0.20,0.15,0.01,0.30,-0.30,0.25,-0.40,-0.15,-0.05,-0.15,-0.05,-0.05,-0.37,- -,-0.11,-0.11,-0.21
27,Weighted Average Shares Outstanding,1051904,1297797,1368235,1383000,1383000,1383000,1383000,1383000,1383000,1405602,1875930,2012138,2113508,2260083,7184946,53388658,- -,77935643,88776626,121469730
28,Weighted Average Shares Outstanding Diluted,1073570,1308874,1368235,1383000,1383000,1383000,1383000,1383000,1383000,1405602,1875930,2012138,2113508,2260083,7184946,53388658,- -,77935643,88776626,121469730
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89270/000136231009005343/0001362310-09-005343-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000095012310029929/0000950123-10-029929-index.html,https://www.sec.gov/Archives/edgar/data/89270/000095012311031499/0000950123-11-031499-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312512143710/0001193125-12-143710-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312513132508/0001193125-13-132508-index.html,https://www.sec.gov/Archives/edgar/data/89270/000119312514106402/0001193125-14-106402-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312515095358/0001193125-15-095358-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312516505257/0001193125-16-505257-index.html,- -,- -,undefined,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,397920,767312,980989,1387930,1476469,1815268,593016,82726,707182,161984,4603,101325,8939,3431,286203,4067672,- -,6849114,4141494,27988471
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,397920,767312,980989,1387930,1476469,1815268,593016,82726,707182,161984,4603,101325,8939,3431,286203,4067672,- -,6849114,4141494,27988471
34,Net Receivables,133867,117914,288366,222336,428283,168722,130498,319640,47254,63705,151327,106646,1315,766,2822,51922,- -,90428,44908,139396
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,137889,- -,- -,500,38595,- -,- -,3124,- -,- -,- -,- -,390434,- -,254524,281616,249671
37,Total Current Assets,531787,885226,1269355,1748155,1904752,1983990,724014,440961,754436,225689,159054,207971,10254,4197,289025,4510028,- -,7194066,4468018,28377538
38,PP&E,777448,538126,415600,348126,235211,188913,1620463,1120392,35615,18530,- -,- -,- -,- -,3989705,7885906,- -,35204914,51325793,43928935
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1910349,1882609,1691575
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1910349,1882609,1691575
42,Investments,- -,- -,- -,- -,- -,- -,159726,36436,36436,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,64300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,262260,265407,- -,- -,- -,- -,- -,- -,- -,- -,542451,204625,- -,82002,85392,77660
45,Total Non-Current Assets,777448,602426,415600,348126,497471,454320,1780189,1156828,72051,18530,- -,- -,- -,- -,4532156,8090531,- -,37197265,53293794,45698170
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1309235,1487652,1684955,2096281,2402223,2438310,2504203,1597789,826487,244219,159054,207971,10254,4197,4821181,12600559,- -,44391331,57761812,74075708
48,Accounts Payable,16661,19427,17446,13023,16500,19205,268863,49266,51288,149056,137184,23885,110925,207460,444019,1050201,- -,5615174,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,219521,216575,250000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,170000,- -,344409,901,901,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,22800,162163,255887,420970,244208,- -,344409,901,30952,- -,- -,- -,- -,- -,- -,- -,7073336,2408302
53,Total Current Liabilities,16661,19427,40246,175186,272387,440175,513071,49266,395697,149957,173136,243406,327500,457460,444019,1050201,- -,5615174,7073336,2408302
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693174,- -,- -,398453,4955500,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3726,4098,4470,23290,24403,5736,7904,- -,- -,- -,- -,- -,- -,- -,- -,136280,123940
58,Total Non-Current Liabilities,- -,- -,- -,3726,4098,4470,23290,24403,5736,7904,- -,- -,- -,- -,693174,- -,- -,398453,5091780,123940
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,16661,19427,40246,178912,276485,444645,536361,73669,401433,157861,173136,243406,327500,457460,1137193,1050201,- -,6013627,12165116,2532242
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,462672,525172,591839,591839,4783187,25709682,- -,57875488,70990300,122996406
64,Retained Earnings,-113562,-14411,129773,402433,610802,478729,452906,9184,362268,-262494,-563021,-654592,-1003070,-1070650,-1419975,-21331831,- -,-33655763,-43183131,-68617507
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-70000000,-118000000,-141000000,-87000000,-10136,86267,93985,93985,25548,37364,7172507,- -,13682979,17789527,17164567
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283412,- -,- -,- -,- -,- -
67,Total Stockholders Equity,1292574,1468225,1644709,1917369,2125738,1993665,1967842,1524120,425054,86358,-14082,-35435,-317246,-453263,3683988,11550358,- -,38377704,45596696,71543466
68,Total Liabilities And Stockholders Equity,1309235,1487652,1684955,2096281,2402223,2438310,2504203,1597789,826487,244219,159054,207971,10254,4197,4821181,12600559,- -,44391331,57761812,74075708
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1309235,1487652,1684955,2096281,2402223,2438310,2504203,1597789,826487,244219,159054,207971,10254,4197,4821181,12600559,- -,44391331,57761812,74075708
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89270/000136231009005343/0001362310-09-005343-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000095012310029929/0000950123-10-029929-index.html,https://www.sec.gov/Archives/edgar/data/89270/000095012311031499/0000950123-11-031499-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312512143710/0001193125-12-143710-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312513132508/0001193125-13-132508-index.html,https://www.sec.gov/Archives/edgar/data/89270/000119312514106402/0001193125-14-106402-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312515095358/0001193125-15-095358-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312516505257/0001193125-16-505257-index.html,- -,- -,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,149595,99151,144184,272660,208369,18029,410408,-443722,353084,-624762,-300527,-91571,-348478,-136017,-374873,-19911856,- -,-8578841,-9527368,-25434376
74,Depreciation and Amortization,988,239322,122526,71200,112915,46670,70662,234563,18841,9117,681,- -,- -,- -,- -,- -,- -,- -,3750602,11551500
75,Deferred Income Tax,- -,-64300,87100,95900,-45785,-15507,16800,-74208,- -,- -,- -,- -,- -,- -,-16921,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,53479,32788,7718,- -,- -,37364,7591832,- -,3325918,2037564,4828614
77,Change in Working Capital,-125135,18719,-172433,-32819,-62961,328615,-170193,-508657,613153,-247202,-97618,-45217,192371,97084,109023,-531594,- -,918253,211449,1251508
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,38224,13554,60388,-16451,52312,10222,-144,549,-2056,-49100,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-219597,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,157230,- -,- -,- -,-139934,33558,105475,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,372,117867,-163068,328035,-912433,6025,50132,-22880,60740,33425,5833,8449749,- -,67055,415251,-834433
83,Cash Provided by Operating Activities,25448,292892,181377,406941,212910,495674,164609,-463989,72645,-803343,-314544,-151950,-95367,-5508,-239574,-4401869,- -,-4267615,-3112502,-8637187
84,CAPEX,-778436,- -,- -,- -,- -,- -,-1452575,-41616,- -,- -,- -,- -,- -,- -,-169225,-3313471,- -,-13354346,-16218370,-10595307
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-51549,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,15113,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-124371,-3147,- -,- -,2021478,15422,- -,- -,- -,- -,-540027,-78825,- -,-608301,-500000,- -
89,Cash Used for Investing Activites,-778436,- -,- -,- -,-124371,-3147,-1504124,-26503,2021478,15422,- -,- -,- -,- -,-709252,-3392296,- -,-13354346,-16218370,-10595307
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,-250000,- -,- -,- -,- -,- -
91,Common Stock Issued,806000,76500,32300,- -,- -,- -,- -,- -,- -,- -,157163,- -,- -,- -,731598,11318384,- -,10845393,11927931,31867688
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-1418033,242723,- -,250000,- -,- -,750000,257250,- -,112500,4695321,11211783
95,Cash Used/Provided by Financing Activities,806000,76500,32300,- -,- -,- -,- -,- -,-1418033,242723,157163,250000,- -,- -,1231598,11575634,- -,10957893,16623252,43079471
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-153728,117263,-19798,-51634,- -,- -,-1328,2981,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,53012,369392,213677,406941,88539,338799,-1222252,-510290,624456,-545198,-157381,96722,-92386,-5508,282772,3781469,- -,-6664068,-2707620,23846977
98,Cash at the End of Period,397920,767312,980989,1387930,1476469,1815268,593016,82726,707182,161984,4603,101325,8939,3431,286203,4067672,- -,6849114,4141494,27988471
99,Cash at the Beginning of Period,344908,397920,767312,980989,1387930,1476469,1815268,593016,82726,707182,161984,4603,101325,8939,3431,286203,- -,13513182,6849114,4141494
100,Free Cash Flow,-752988,292892,181377,406941,212910,495674,-1287966,-505605,72645,-803343,-314544,-151950,-95367,-5508,-408799,-7715340,- -,-17621961,-19330872,-19232494
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89270/000136231009005343/0001362310-09-005343-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000095012310029929/0000950123-10-029929-index.html,https://www.sec.gov/Archives/edgar/data/89270/000095012311031499/0000950123-11-031499-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312512143710/0001193125-12-143710-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312513132508/0001193125-13-132508-index.html,https://www.sec.gov/Archives/edgar/data/89270/000119312514106402/0001193125-14-106402-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312515095358/0001193125-15-095358-index.htm,https://www.sec.gov/Archives/edgar/data/89270/000119312516505257/0001193125-16-505257-index.html,- -,- -,undefined,- -,- -,- -
102,Forex Rate,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,undefined,0.7637,0.7364,0.8066
