,https://roic.ai/company/GSPE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.04,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,-0.00,-0.00
26,EPS Diluted,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.04,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,1200000,1200000,1200000,1200000,1200000,1200000,3610959,83487568,394016867,627628630,662771509,678387357,684935344,768365759,983454724,1183190324,1267808839
28,Weighted Average Shares Outstanding Diluted,1200000,1200000,1200000,1200000,1200000,1200000,3610959,83487568,394016867,627628630,662771509,678387357,684935344,768365759,983454724,1183190324,1267808839
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341726/000110524108000026/0001105241-08-000026-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000110524109000020/0001105241-09-000020-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000110524110000019/0001105241-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000143209311000807/0001432093-11-000807-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000121478212000174/0001214782-12-000174-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069513000233/0001580695-13-000233-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069514000553/0001580695-14-000553-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000121478215000254/0001214782-15-000254-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069516000914/0001580695-16-000914-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069517000615/0001580695-17-000615-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069518000585/0001580695-18-000585-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069519000500/0001580695-19-000500-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069520000455/0001580695-20-000455-index.htm,https://www.sec.gov/Archives/edgar/data/1341726/000158069521000356/0001580695-21-000356-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22914,7448,10000,- -,- -,- -,90000,420000,310000,4410000,1428010,64110,6430,5621810,1138920,3190418000,1517522
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22914,7448,10000,- -,- -,- -,90000,420000,310000,4410000,1428010,64110,6430,5621810,1138920,3190418000,1517522
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63150,- -,6286800,8493310,366173000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,330000,2510000,1530000,53890,38310,40570,32040,137170,84129000,54398
37,Total Current Assets,22914,7448,10000,- -,- -,- -,90000,750000,2820000,5940000,1481900,165570,47000,11940650,9769400,3640720000,1571920
38,PP&E,2860,5107,- -,- -,- -,- -,- -,- -,70000,2160000,5627700,4550460,1891360,8127570,17351990,6347000,12126565
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,10000,160000,- -,- -,- -,24790,3662230,- -,- -
45,Total Non-Current Assets,2860,5107,- -,- -,- -,- -,- -,- -,80000,2320000,5627700,4550460,1891360,8152360,21014220,6347000,12126565
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25774,12555,10000,- -,- -,- -,90000,750000,2900000,8260000,7109600,4716030,1938360,20093010,30783620,3647067000,13698485
48,Accounts Payable,- -,4812,- -,10000,10000,10000,- -,30000,160000,50000,178650,426270,476240,7591240,12747380,228892000,52812
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5500000,6464427,7959988,8540405,9828690,9219500,10190466,9370014,8902163
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4261,7912,10000,10000,10000,10000,- -,30000,3670000,2805573,1961342,2442755,2950180,7668500,8174684,13734049986,4683675
53,Total Current Liabilities,4261,12724,10000,20000,20000,20000,- -,60000,9330000,9320000,10099980,11409430,13255110,24479240,31112530,13972312000,13638650
54,Long-Term Debt,- -,- -,20000,30000,30000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-10000,- -,- -,- -,- -,3010000,- -,- -,- -,- -,- -,- -,- -,1
58,Total Non-Current Liabilities,- -,- -,20000,20000,30000,40000,- -,- -,3010000,- -,- -,- -,- -,- -,- -,- -,1
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62074,- -
61,Total Liabilities,4261,12724,30000,40000,50000,60000,- -,60000,12340000,9320000,10099980,11409430,13255110,24479240,31112530,13972312000,13638651
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12000,12000,10000,10000,10000,10000,90000,240000,580000,660000,670390,682400,692200,832010,1092270,1250740000,1268240
64,Retained Earnings,-14724,-36406,-60000,-80000,-90000,-100000,-160000,-1700000,-19150000,-24660000,-28351260,-33527170,-39221520,-41858260,-55582010,- -,-60207991
65,Other Comprehensive Income/Loss,-1462,-3799,- -,-10000,-10000,- -,- -,- -,-10000,- -,-93720,- -,- -,- -,-144040,- -,- -
66,Other Total Stockholders Equity,25699,28036,31575,39901,38612,27050,155243,2149468,9147322,22937680,24784205,26151374,27212570,36640015,54304872,-1248637624,58999585
67,Total Stockholders Equity,21513,-169,-18425,-40099,-51388,-62950,85243,689468,-9432678,-1062320,-2990385,-6693396,-11316750,-4386235,-328908,2102376,59834
68,Total Liabilities And Stockholders Equity,25774,12555,11575,-99,-1388,-2950,90000,749468,2907322,8257680,7109595,4716034,1938360,20093005,30783622,13974414376,13698485
69,Minority Interest,- -,- -,-1575,99,1388,2950,- -,532,-7322,2320,5,-4,- -,5,-2,-10327347376,- -
70,Total Liabilities & Equity,25774,12555,10000,- -,- -,- -,90000,750000,2900000,8260000,7109600,4716030,1938360,20093010,30783620,3647067000,13698485
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341726/000110524108000026/0001105241-08-000026-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000110524109000020/0001105241-09-000020-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000110524110000019/0001105241-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000143209311000807/0001432093-11-000807-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000121478212000174/0001214782-12-000174-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069513000233/0001580695-13-000233-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069514000553/0001580695-14-000553-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000121478215000254/0001214782-15-000254-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069516000914/0001580695-16-000914-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069517000615/0001580695-17-000615-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069518000585/0001580695-18-000585-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069519000500/0001580695-19-000500-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069520000455/0001580695-20-000455-index.htm,https://www.sec.gov/Archives/edgar/data/1341726/000158069521000356/0001580695-21-000356-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-11324,-21682,-20000,-20000,-10000,-10000,-60000,-1540000,-17450000,-5510000,-3691580,-5175910,-5694350,-2636730,-13723750,-2416092000,-2226319
74,Depreciation and Amortization,965,2337,2947,2160,- -,- -,- -,- -,7217,34565,51934,46226,20804,4724,5619,6667,6667
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,151712,405773,283098,458543,1036654,744945,470457,96875
77,Change in Working Capital,4118,-23929,5276,-20000,- -,- -,110000,600000,-7200000,3130000,-5238080,-2625780,-1964250,669520,-8804540,-10310248870,10319525270
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191171,191171,-6286796,-5843958,3476998,37233
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,1588,- -,- -,15250,-130619,12720,74455,-30205,5914705,4065384,-3510419,-206858
81,Other Working Capital,18653,-5276,- -,-20000,-20000,-20000,90000,690000,-6510000,-3380000,-8618080,-11243860,-13208110,-12538590,-21343130,-10331592000,-12066730
82,Other Non-Cash Items,- -,32392,-2615,23534,434,4738,-124417,484004,23260814,-3976384,4827369,6520233,6912338,5811413,15372882,12725497825,-10318964275
83,Cash Provided by Operating Activities,-6241,-10882,-14392,-14306,-9566,-5262,-74417,-455996,-1381969,-6170107,-3644584,-952133,-266915,4885581,-6404844,-365921,-1561782
84,CAPEX,-2822,-4584,- -,- -,- -,- -,- -,- -,-6465724,-13080829,-4779922,-1672087,-460020,-2206936,-11488498,-2573050,-147345
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,1800000,400000,26400,2884651,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4731506,-3467142,-1230593,-175931,-1904618,-10558508,7642820,356758
89,Cash Used for Investing Activites,-2822,-4584,- -,- -,- -,- -,- -,- -,-6465724,-4880829,-2829922,-1272087,-433620,677715,-10627818,5069770,209413
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-41769,- -,- -,-146199,-232859,-241680,-159653,-160408,-146310,-3187650,-320527
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,198000,791500,3535200,13136998,730000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,15000,10000,5816,5262,5691,- -,4199683,2160240,2995077,1102000,802500,212500,12696077,535300,- -
95,Cash Used/Provided by Financing Activities,- -,- -,15000,10000,5816,5262,161922,791500,7734883,15151039,3492218,860320,642847,52092,12549767,-2652350,-320527
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-9063,-15466,608,-4306,5816,5262,161922,335504,-112810,4100103,-2982288,-1363900,-57688,5615388,-4482895,2051499,-1672896
98,Cash at the End of Period,22914,7448,8056,3750,- -,- -,87505,423009,310199,4410302,1428014,64114,6426,5621814,1138919,3190418,1517522
99,Cash at the Beginning of Period,31977,22914,7448,8056,3750,- -,- -,87505,423009,310199,4410302,1428014,64114,6426,5621814,1138919,3190418
100,Free Cash Flow,-9063,-15466,-14392,-14306,-9566,-5262,-74417,-455996,-7847693,-19250936,-8424506,-2624220,-726935,2678645,-17893342,-2938971,-1709127
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341726/000110524108000026/0001105241-08-000026-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000110524109000020/0001105241-09-000020-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000110524110000019/0001105241-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000143209311000807/0001432093-11-000807-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000121478212000174/0001214782-12-000174-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069513000233/0001580695-13-000233-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069514000553/0001580695-14-000553-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000121478215000254/0001214782-15-000254-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069516000914/0001580695-16-000914-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069517000615/0001580695-17-000615-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069518000585/0001580695-18-000585-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069519000500/0001580695-19-000500-index.html,https://www.sec.gov/Archives/edgar/data/1341726/000158069520000455/0001580695-20-000455-index.htm,https://www.sec.gov/Archives/edgar/data/1341726/000158069521000356/0001580695-21-000356-index.htm
102,false,,,,,,,,,,,,,,,,,
