,https://roic.ai/company/DGLY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
76,Stock Based Compensation,- -,- -,- -,1599264,1757983,1755720,839232,521427,705612,834593,1623033,1592365,1752579,2272656,2112090,1462270
77,Change in Working Capital,-63345,-206542,5840210,6745982,574354,-3751546,-284703,561159,-1022690,-938254,11756767,-6956800,-10052942,7002422,-7919493,-750825
78,Accounts Receivable,- -,- -,- -,-5983560,-2251986,3749138,2152897,-15628,1136034,-1219063,-334030,655869,542956,131050,716868,-634443
79,Inventory,20348,-1452794,-1634204,-5728656,958152,-2890932,3041829,-441580,-635133,-1536849,-2020144,277946,-155184,1153855,862406,275690
80,Accounts Payable,- -,- -,- -,1782734,-791024,1156492,-2309997,673171,-79056,969725,-1036716,1081419,737690,-2345555,1555386,-1195310
81,Other Working Capital,1562371,1355829,7196039,13942021,14516375,10764829,10480126,-143592,7873234,6934980,18691747,11734947,1682005,8684427,764934,14110
82,Other Non-Cash Items,123462,63048,-3910168,-16078979,-1808113,4709557,3291133,-224659,1821359,5488318,-9576446,11598142,13516039,-3242561,14298592,-11620436
83,Cash Provided by Operating Activities,-2259124,-3419666,4870409,-4469848,-210237,-176424,945519,-440972,-564660,-3172812,-7686769,-5902901,-6354853,-9011857,-1124373,-13284715
84,CAPEX,-97828,-482563,-562978,-1674863,-570847,-383790,-151101,-415593,-336993,-510819,-618953,-440711,-476199,-147216,-266144,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,8127,- -,- -,-383976,-31075,-42395,-30123,-689056,-61525,-914387,1304110,-600037,-153485,-28422,-62131,-1499189
89,Cash Used for Investing Activites,-89701,-482563,-562978,-1674863,-570847,-383790,-151101,-1078093,-336993,-1348319,881047,-940711,-476199,-70948,-266144,-1499189
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-48156,-76113,-91279,-2583244,-34828,-1382792,-11566992,-123457,- -
91,Common Stock Issued,4114368,1651467,378448,- -,- -,- -,190226,- -,739572,- -,11223285,- -,2776332,7414204,1564000,30700
92,Common Stock Repurchased,- -,- -,- -,-1624353,-63112,-469761,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,500000,-488000,4719972,-178601,1470300,662274,- -,-10000,7207148,2040044,3837485,1609100,16279688,-3289148,18745277
95,Cash Used/Provided by Financing Activities,4114368,2151467,-109552,3095619,-241713,1000539,852500,-48156,653459,7115869,10680085,3802657,3002640,12126900,-1848605,18775977
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1765542,-1750762,4197879,-3049092,-1022797,440325,1646918,-1567221,-248194,2594738,3874363,-3040955,-3828412,3044095,-3239122,4002073
98,Cash at the End of Period,1807922,57160,4255039,1205947,183150,623475,2270393,703172,454978,3049716,6924079,3883124,54712,3598807,359685,4361758
99,Cash at the Beginning of Period,42380,1807922,57160,4255039,1205947,183150,623475,2270393,703172,454978,3049716,6924079,3883124,554712,3598807,359685
100,Free Cash Flow,-2356952,-3902229,4307431,-6144711,-781084,-560214,794418,-856565,-901653,-3683631,-8305722,-6343612,-6831052,-9159073,-1390517,-13284715
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1342958/000119312508046095/0001193125-08-046095-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000117184309000222/0001171843-09-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000117184310000455/0001171843-10-000455-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000135448811001012/0001354488-11-001012-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000135448812001378/0001354488-12-001378-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1342958/000149315214000847/0001493152-14-000847-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315215000962/0001493152-15-000962-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315216007877/0001493152-16-007877-index.html,https://www.sec.gov/Archives/edgar/data/1342958/000149315217002889/0001493152-17-002889-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315218005114/0001493152-18-005114-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315219004279/0001493152-19-004279-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315220005861/0001493152-20-005861-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315221007505/0001493152-21-007505-index.htm
102,false,,,,,,,,,,,,,,,,
