,https://roic.ai/company/GYRO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4474231,3194916,11156629,14401531,17503386,21471264,24806879,- -,69750997,22984307,20418753,14436134,10876300,11764400,12530200,19218160,18419887,25256285
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1531086,- -,- -,- -,- -,- -,1723888,1723888,1723888,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-930224,-1067872,11615310,4903499,6445748,7968638,6887173,- -,48024109,-8693390,-9653951,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3347322,-3397082,280042,-2651084,-3010709,-3701200,-4504925,- -,-6281121,-7234846,-8204417,- -,56223220,53274700,53693340,62739280,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10074685,10793387,- -,10771283,9251262,10366303,12579092,- -,21301126,23569443,23786543,- -,- -,- -,- -,- -,22487944,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5797139,6328433,19791086,13023698,12686301,14633741,14961340,- -,64768002,9365095,7652063,- -,28111610,26637350,26846670,31369640,22487944,23027770
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10271370,9523349,30947715,27425229,30189687,36105005,39768219,- -,134518999,32349402,28070816,57891714,38987910,38401750,39376870,50587800,40907831,48284055
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18632386,15805548,-3,10,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10271370,9523349,30947715,27425229,30189687,36105005,39768219,- -,134518999,50981788,43876364,57891711,38987920,38401750,39376870,50587800,40907831,48284055
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1589061/000143774916028641/0001437749-16-028641-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774917005720/0001437749-17-005720-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774918005759/0001437749-18-005759-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774919005881/0001437749-19-005881-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774920006207/0001437749-20-006207-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774921008826/0001437749-21-008826-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774922007723/0001437749-22-007723-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,300000,600000,200000,600000,900000,300000,500000,-400000,-600000,100000,-400000,-300000,200000,- -,695763,21645,1769668,-113466,-137648,13115317,-1551654,1542249,1522890,-1081465,- -,99048253,46063206,147553,-2501702000,- -,- -,- -,- -,- -,- -
74,Depreciation and Amortization,- -,- -,300000,300000,200000,- -,100000,- -,100000,200000,200000,200000,100000,100000,100000,108000,109669,120330,102721,119945,115607,105861,164594,381239,707747,845596,910681,1186515,1000442,969571,559964000,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,- -,100000,-200000,-200000,100000,-41000,370800,-38000,1220000,-142000,-114000,7947000,-303000,- -,- -,- -,- -,61649000,-61649000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101442,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627787,-233342,17497982,7251429,-11427472,-20861715,6030532,2818427,96553950,-85661948,-3927389,857676,3345143083,1898934600,-2215446800,-840389890,-2197027862,3813790
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21734,-47383,- -,- -,- -,-82536,10649,37377,-16928000,23096000,41226000,57270000,63132000,21849000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69825,-237610,615717,-303587,-358142,152951,1223370,-916995,-8677000,416226000,532671000,769346000,621538000,893183000,1146651000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627787,394445,17892427,25143856,13716384,-7145331,-1114799,1703628,98257578,12595630,8668241,9525917,3354669000,5253603600,3038156800,2197766910,739048,4552838
82,Other Non-Cash Items,- -,- -,-600000,-900000,-400000,-600000,-1000000,-500000,-600000,-200000,100000,-100000,700000,700000,500000,281000,202755,-348641,-4431655,-1559685,-760744,-14633986,-9211288,8246369,16925631,-6141599,-4206381,-96724943,92141961,-2660033,-353179118,-3345143083,-1898934600,2215446800,840389890,2197027862,-3813790
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,-200000,200000,-300000,-300000,300000,200000,300000,900000,348000,1378987,-244666,-1339266,-1067419,-1130127,24032174,-3649919,-1257615,-1705447,-346936,-477273,161712775,-8105339,-5470298,-2293958000,- -,- -,- -,- -,- -,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-100000,-500000,-300000,-500000,-600000,-600000,-300000,-600000,-299000,-63427,-98581,-46516,-29754,-62958,-78984,-3449926,-8247408,-15063780,-1727192,-905834,-568809,-997585,-1064842,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-1100000,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203000,- -,- -,-5332656,- -,-3138943,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,400000,700000,300000,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12849619,2351920,8997634,203000,- -,890470,996148,653593,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,6850,1006800,2523625,- -,512000,1896075,- -,- -,-153871,- -,-125029,- -,-108001,- -,5875596,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-1200000,-100000,200000,-100000,-500000,-400000,-300000,-600000,-299000,-56577,908219,2477109,-29754,449042,1817091,9399693,-5895488,-6269146,-1524192,-905834,-5010995,-1437,-3550192,5875596,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48601,-346145,-396220,-439589,-580897,-16130365,-5013415,- -,835000000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,400000,- -,- -,97000,- -,57741,18258,372869,668942,326429,- -,- -,- -,- -,9961476,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2247750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5875596,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5160157,- -,- -,- -,- -,-56786652,-67995704,- -,-403750000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,-100000,600000,-100000,- -,100000,-54000,-54496,-56592,-30574,55630,-706095,-7411,-37162,5250000,8033706,3583453,237000,3965,- -,- -,5180815596,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,-200000,- -,600000,-100000,700000,300000,- -,- -,43000,-54496,-2246601,-12316,428499,-37153,319018,-5245920,4903855,7637486,3143864,9617579,-72913052,-73009119,- -,5606190000,- -,- -,- -,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
