,https://roic.ai/company/MEG,2018,2019,2020,2021
58,Total Non-Current Liabilities,185106000,284877000,201110000,215970000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,33015000
61,Total Liabilities,227471000,358129000,312653000,363665000
62,Preferred Stock,109206000,128822000,152928000,152928000
63,Common Stock,- -,- -,- -,- -
64,Retained Earnings,-40847000,-64404000,-122353000,-147678000
65,Other Comprehensive Income/Loss,-29214000,-36638000,71000,36000
66,Other Total Stockholders Equity,76961000,74751000,412355000,- -
67,Total Stockholders Equity,116106000,102531000,290073000,469429000
68,Total Liabilities And Stockholders Equity,343577000,460660000,602726000,833094000
69,Minority Interest,-109206000,-128822000,- -,- -
70,Total Liabilities & Equity,234371000,331838000,602726000,833094000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1643615/000156459021015136/0001564590-21-015136-index.htm,https://www.sec.gov/Archives/edgar/data/1643615/000156459022008029/0001564590-22-008029-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-16491000,-23557000,-57949000,-25325000
74,Depreciation and Amortization,23915000,27705000,37274000,52961000
75,Deferred Income Tax,-4968000,-3121000,851000,1709000
76,Stock Based Compensation,5794000,4345000,4849000,10321000
77,Change in Working Capital,-11851000,-11647000,22738000,-18016000
78,Accounts Receivable,-9997000,-6588000,-19202000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-2202000,6085000,601000,23996000
81,Other Working Capital,11634000,-13000,22725000,-7944000
82,Other Non-Cash Items,756000,23317000,-5913000,15931000
83,Cash Provided by Operating Activities,-2845000,17042000,1850000,37581000
84,CAPEX,-4109000,-4713000,-7776000,-7584000
85,Acquisitions Net,-46000000,-81000000,1939000,-55731000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-174000,-1270000,-174473000,-9025000
89,Cash Used for Investing Activites,-50283000,-86983000,-179740000,-71641000
90,Debt Repayment,-173927000,-71969000,-254672000,-285616000
91,Common Stock Issued,30000,1509000,161696000,169783000
92,Common Stock Repurchased,-2722000,- -,-131821000,- -
93,Dividends Paid,- -,- -,-6970000,-16400000
94,Other Financing Activites,227469000,144912000,437669000,278336000
95,Cash Used/Provided by Financing Activities,50850000,74452000,205902000,146103000
96,Effect of Forex Changes on Cash,- -,-116000,-15000,-183000
97,Net Change In Cash,-2278000,4395000,27997000,111860000
98,Cash at the End of Period,2489000,6884000,34881000,146741000
99,Cash at the Beginning of Period,4767000,2489000,6884000,34881000
100,Free Cash Flow,-6954000,12329000,-5926000,29997000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1643615/000156459021015136/0001564590-21-015136-index.htm,https://www.sec.gov/Archives/edgar/data/1643615/000156459022008029/0001564590-22-008029-index.htm
102,false,,,,
