,https://roic.ai/company/DISCA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,15000000,22000000,10000000,18000000
13,Interest Expense (Gain),- -,- -,- -,47489000,- -,- -,- -,- -,- -,- -,203000000,208000000,248000000,306000000,328000000,330000000,353000000,475000000,729000000,677000000,648000000,633000000
14,Depreciation and Amortization,- -,- -,- -,70526000,77605000,76377000,67929000,67732000,232000000,155000000,132000000,965000000,982000000,1466000000,1886000000,2039000000,2095000000,2240000000,4686000000,4200000000,4315000000,5083000000
15,EBITDA,-303757000,-608261000,-129275000,85777000,178683000,158489000,65861000,58497000,901000000,1187000000,1276000000,2730000000,2735000000,3506000000,3963000000,3914000000,4095000000,2554000000,6350000000,7027000000,6555000000,6958000000
16,EBITDA ratio,-1.0272,-1.0262,-0.2397,0.1695,0.2831,0.2282,0.0957,0.0827,0.2617,0.3376,0.3382,0.6446,0.6095,0.6334,0.6326,0.6121,0.6303,0.3716,0.6017,0.6306,0.6143,0.5707
17,Operating Income,-62209000,-350628000,-61452000,-2404000,16935000,-1402000,-115137000,-167643000,1057000000,1235000000,1360000000,1799000000,1855000000,1998000000,2061000000,1985000000,2058000000,713000000,1934000000,3009000000,2515000000,2012000000
18,Operating Income ratio,-0.2104,-0.5915,-0.1139,-0.0048,0.0268,-0.0020,-0.1673,-0.2370,0.3070,0.3513,0.3605,0.4248,0.4134,0.3610,0.3290,0.3104,0.3168,0.1037,0.1833,0.2700,0.2357,0.1650
19,Total Other Income Expenses (Gains),- -,- -,- -,-32086000,84143000,83514000,113069000,158408000,-303000000,-204000000,-425000000,-240000000,-337000000,-262000000,-314000000,-426000000,-387000000,-850000000,-912000000,-715000000,-787000000,-579000000
20,Income Before Tax,- -,- -,- -,-34490000,101078000,82112000,-2068000,-9235000,754000000,1031000000,935000000,1559000000,1518000000,1736000000,1747000000,1559000000,1671000000,-137000000,1022000000,2294000000,1728000000,1433000000
21,Income Before Tax Ratio,- -,- -,- -,-0.0681,0.1601,0.1182,-0.0030,-0.0131,0.2190,0.2932,0.2478,0.3681,0.3383,0.3136,0.2789,0.2438,0.2572,-0.0199,0.0968,0.2059,0.1619,0.1175
22,Income Tax expense (Gain),- -,- -,- -,20156000,34970000,48836000,43942000,59157000,352000000,472000000,288000000,425000000,562000000,659000000,610000000,511000000,453000000,176000000,341000000,81000000,373000000,236000000
23,Net Income,-303757000,-608261000,-129275000,-52394000,66108000,33276000,-46010000,-68392000,317000000,560000000,653000000,1132000000,943000000,1075000000,1139000000,1034000000,1194000000,-337000000,594000000,2069000000,1219000000,1006000000
24,Net Income ratio,-1.0272,-1.0262,-0.2397,-0.1035,0.1047,0.0479,-0.0669,-0.0967,0.0921,0.1593,0.1731,0.2673,0.2102,0.1942,0.1818,0.1617,0.1838,-0.0490,0.0563,0.1857,0.1142,0.0825
25,EPS,-0.54,-1.08,-0.23,-0.10,0.12,0.06,-0.08,-0.12,0.49,0.65,0.78,1.41,1.25,1.50,1.67,1.59,1.97,-0.59,0.86,2.90,1.82,1.55
26,EPS Diluted,-0.54,-1.08,-0.23,-0.10,0.12,0.06,-0.08,-0.12,0.49,0.65,0.78,1.40,1.24,1.49,1.66,1.58,1.96,-0.59,0.86,2.88,1.81,1.54
27,Weighted Average Shares Outstanding,560407076,560407076,560407076,560407076,560407076,560407076,560407076,561193146,562447947,564945732,569440000,529125000,348925000,330950000,454000000,432000000,401000000,384000000,498000000,529000000,505000000,503000000
28,Weighted Average Shares Outstanding Diluted,560407076,560407076,560407076,560407076,560407076,560398000,- -,- -,644000000,850000000,858000000,810000000,760000000,722000000,687000000,656000000,610000000,576000000,688000000,711000000,672000000,664000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437107/000095013309000442/0000950133-09-000442-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000119312510035850/0001193125-10-035850-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000119312511040418/d10k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000119312512066285/0001193125-12-066285-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710713000006/0001437107-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710714000016/disca-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710715000004/disca-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710716000059/0001437107-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710717000007/0001437107-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710718000028/0001437107-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710719000013/0001437107-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710720000006/0001437107-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710721000018/0001437107-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710722000031/0001437107-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,8599000,34441000,250352000,154775000,209449000,100000000,623000000,466000000,1048000000,1201000000,408000000,367000000,390000000,300000000,7309000000,986000000,1552000000,2091000000,3905000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,8599000,34441000,250352000,154775000,209449000,100000000,623000000,466000000,1048000000,1201000000,408000000,367000000,390000000,300000000,7309000000,986000000,1552000000,2091000000,3905000000
34,Net Receivables,- -,- -,- -,102889000,151120000,134615000,147436000,144342000,780000000,810000000,880000000,1042000000,1130000000,1371000000,1433000000,1479000000,1495000000,1838000000,2620000000,2633000000,2537000000,2446000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3272560000,- -,- -,19949000,26208000,15419000,15151000,17916000,229000000,247000000,389000000,341000000,399000000,631000000,691000000,727000000,804000000,844000000,625000000,1032000000,1502000000,913000000
37,Total Current Assets,3272560000,- -,- -,131437000,211769000,400386000,317362000,371707000,1109000000,1680000000,1735000000,2431000000,2730000000,2410000000,2491000000,2596000000,2599000000,9991000000,4231000000,5217000000,6130000000,7264000000
38,PP&E,366944000,- -,- -,257536000,258741000,256245000,280775000,269742000,395000000,411000000,399000000,379000000,388000000,514000000,554000000,488000000,482000000,597000000,800000000,951000000,1206000000,1336000000
39,Goodwill,- -,2034102000,2104705000,- -,- -,- -,2074789000,1909823000,6891000000,6433000000,6434000000,6291000000,6399000000,7341000000,8236000000,8164000000,8040000000,7073000000,13006000000,13050000000,13070000000,12912000000
40,Intangible Assets,- -,- -,- -,- -,- -,2133518000,- -,- -,716000000,1860000000,1850000000,1873000000,2166000000,3448000000,3944000000,3760000000,3601000000,3983000000,12743000000,11796000000,11079000000,10149000000
41,Intangible Assets,2315164000,2034102000,2104705000,2136667000,2140355000,2133518000,2074789000,1909823000,7607000000,8293000000,8284000000,8164000000,8565000000,10789000000,12180000000,11924000000,11641000000,11056000000,25749000000,24846000000,24149000000,23061000000
42,Investments,- -,- -,2816513000,2863003000,2945782000,3019000000,3181000000,3272000000,- -,- -,455000000,807000000,1095000000,1087000000,644000000,567000000,557000000,335000000,935000000,568000000,507000000,543000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,7984000,8181000,10087000,17056000,42480000,1373000000,581000000,146000000,132000000,152000000,179000000,145000000,289000000,479000000,576000000,835000000,2153000000,2095000000,2223000000
45,Total Non-Current Assets,2682108000,- -,- -,5265190000,5353059000,5418850000,5553620000,5494045000,9375000000,9285000000,9284000000,9482000000,10200000000,12569000000,13523000000,13268000000,13159000000,12564000000,28319000000,28518000000,27957000000,27163000000
46,Other Assets,- -,5399702000,5373150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5954668000,5399702000,5373150000,5396627000,5564828000,5819236000,5870982000,5865752000,10484000000,10965000000,11019000000,11913000000,12930000000,14979000000,16014000000,15864000000,15758000000,22555000000,32550000000,33735000000,34087000000,34427000000
48,Accounts Payable,- -,- -,- -,12269000,33327000,26854000,43656000,26298000,71000000,63000000,87000000,53000000,71000000,141000000,225000000,282000000,241000000,277000000,325000000,463000000,397000000,412000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,458000000,155000000,20000000,26000000,31000000,17000000,1107000000,119000000,82000000,30000000,1860000000,609000000,335000000,339000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,- -,38000000,59000000,71000000,120000000,30000000,34000000,45000000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,17491000,16015000,24951000,93000000,91000000,114000000,113000000,123000000,144000000,178000000,190000000,163000000,255000000,249000000,489000000,557000000,478000000
52,Other Current Liabilities,- -,- -,- -,48326000,75200000,45600000,62216000,68888000,448000000,481000000,564000000,554000000,721000000,992000000,1094000000,988000000,1075000000,1309000000,1563000000,1678000000,1793000000,2230000000
53,Total Current Liabilities,- -,- -,- -,60595000,108527000,89945000,121887000,120137000,1070000000,790000000,785000000,746000000,946000000,1294000000,2604000000,1579000000,1561000000,1871000000,3997000000,3239000000,3082000000,3459000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,3331000000,3457000000,3598000000,4219000000,5212000000,6482000000,6046000000,7616000000,7841000000,14755000000,15185000000,14810000000,15069000000,14420000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1053113000,1083964000,1131505000,1174594000,1228942000,246000000,274000000,304000000,337000000,272000000,637000000,588000000,556000000,553000000,319000000,1811000000,1691000000,1534000000,1225000000
57,Other Non-Current Liabilities,- -,- -,- -,22650000,25058000,22361000,25237000,22352000,301000000,225000000,99000000,92000000,207000000,369000000,1172000000,662000000,636000000,1000000000,1455000000,2471000000,2402000000,1927000000
58,Total Non-Current Liabilities,- -,- -,- -,1075763000,1109022000,1153866000,1199831000,1251294000,3878000000,3956000000,4001000000,4648000000,5691000000,7488000000,7806000000,8834000000,9030000000,16074000000,18451000000,18972000000,19005000000,17572000000
59,Other Liabilities,1861518000,1821338000,1755733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1861518000,1821338000,1755733000,1136358000,1217549000,1243811000,1321718000,1371431000,4948000000,4746000000,4786000000,5394000000,6637000000,8782000000,10410000000,10413000000,10591000000,17945000000,22448000000,22211000000,22087000000,21031000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,2681000,2802000,2810000,3000000,3000000,3000000,3000000,3000000,3000000,5000000,5000000,5000000,5000000,7000000,7000000,7000000,7000000
64,Retained Earnings,- -,- -,- -,-1237205000,-1171097000,-1137821000,-1183831000,-1253483000,-936000000,-376000000,- -,1132000000,2075000000,2892000000,3809000000,4517000000,5232000000,4632000000,5254000000,7333000000,8543000000,9580000000
65,Other Comprehensive Income/Loss,- -,- -,- -,6675000,12310000,-1860000,15914000,16781000,-78000000,-21000000,-33000000,-23000000,4000000,4000000,-368000000,-633000000,-762000000,-585000000,-785000000,-822000000,-651000000,-830000000
66,Other Total Stockholders Equity,4093150000,3578364000,3617417000,5497474000,5518376000,5712425000,5714379000,5728213000,6545000000,6600000000,6253000000,5403000000,4207000000,3295000000,2154000000,1560000000,690000000,558000000,3910000000,3373000000,2565000000,2842000000
67,Total Stockholders Equity,4093150000,3578364000,3617417000,4260269000,4347279000,4575425000,4549264000,4494321000,5536000000,6208000000,6225000000,6517000000,6291000000,6196000000,5602000000,5451000000,5167000000,4610000000,8386000000,9891000000,10464000000,11599000000
68,Total Liabilities And Stockholders Equity,5954668000,5399702000,5373150000,5396627000,5564828000,5819236000,5870982000,5865752000,10484000000,10954000000,11011000000,11911000000,12928000000,14978000000,16012000000,15864000000,15758000000,22555000000,30834000000,32102000000,32551000000,32630000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,8000000,2000000,2000000,1000000,2000000,- -,- -,- -,1716000000,1633000000,1536000000,1797000000
70,Total Liabilities & Equity,5954668000,5399702000,5373150000,5396627000,5564828000,5819236000,5870982000,5865752000,10484000000,10965000000,11019000000,11913000000,12930000000,14979000000,16014000000,15864000000,15758000000,22555000000,32550000000,33735000000,34087000000,34427000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437107/000095013309000442/0000950133-09-000442-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000119312510035850/0001193125-10-035850-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000119312511040418/d10k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000119312512066285/0001193125-12-066285-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710713000006/0001437107-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710714000016/disca-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710715000004/disca-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710716000059/0001437107-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710717000007/0001437107-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710718000028/0001437107-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710719000013/0001437107-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710720000006/0001437107-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710721000018/0001437107-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710722000031/0001437107-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-52394000,66108000,33276000,-46010000,-68392000,317000000,560000000,653000000,1132000000,943000000,1075000000,1139000000,1034000000,1194000000,-337000000,594000000,2069000000,1219000000,1006000000
74,Depreciation and Amortization,- -,- -,- -,70526000,77605000,76377000,67929000,67732000,232000000,155000000,132000000,965000000,982000000,1466000000,1886000000,2039000000,2095000000,2240000000,4686000000,4200000000,4315000000,5083000000
75,Deferred Income Tax,- -,- -,- -,17653000,31692000,50363000,42115000,56353000,190000000,-7000000,11000000,- -,-70000000,83000000,-181000000,2000000,-27000000,-199000000,-131000000,-504000000,-186000000,-511000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000000,182000000,99000000,154000000,190000000,78000000,35000000,69000000,39000000,80000000,142000000,110000000,178000000
77,Change in Working Capital,- -,- -,- -,-14109000,207199000,-114966000,56095000,-212570000,851000000,60000000,735000000,99000000,-668000000,-1229000000,1130000000,21000000,7082000000,-7886000000,1744000000,1070000000,273000000,-3237000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59000000,-120000000,6000000,-44000000,-25000000,-258000000,-84000000,-7000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,- -,- -,171000000,106000000,138000000,11000000,-12000000,265000000,-74000000,122000000,-131000000,185000000
81,Other Working Capital,- -,- -,- -,103242000,310441000,195475000,251570000,39000000,890000000,950000000,1685000000,1784000000,1116000000,-113000000,1017000000,1038000000,8120000000,234000000,1978000000,3048000000,3321000000,-3469000000
82,Other Non-Cash Items,- -,- -,- -,8006000,-298282000,40241000,-46496000,213876000,-1021000000,-388000000,-1045000000,-1195000000,-242000000,-300000000,-2734000000,-1854000000,-9040000000,7772000000,-4397000000,-3578000000,-2992000000,279000000
83,Cash Provided by Operating Activities,- -,- -,- -,29682000,84322000,85291000,73633000,56999000,569000000,608000000,668000000,1100000000,1099000000,1285000000,1318000000,1277000000,1373000000,1629000000,2576000000,3399000000,2739000000,2798000000
84,CAPEX,- -,- -,- -,-25863000,-49292000,-90526000,-77541000,-47115000,-102000000,-57000000,-49000000,-58000000,-77000000,-115000000,-120000000,-103000000,-88000000,-135000000,-147000000,-289000000,-402000000,-373000000
85,Acquisitions Net,- -,- -,- -,5453000,-40260000,- -,-46793000,2143000,176000000,- -,-38000000,-26000000,-553000000,-1861000000,-504000000,-80000000,19000000,-31000000,-8458000000,-202000000,-151000000,-2000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-394000,-51837000,- -,- -,- -,-127000000,-151000000,- -,-55000000,- -,-220000000,-272000000,-545000000,-63000000,- -,-250000000,-373000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,12800000,- -,28292000,24000000,- -,- -,21000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,599000000
88,Other Investing Activites,- -,- -,- -,-25686000,-49219000,15374000,6689000,2021000,- -,323000000,24000000,- -,-13000000,44000000,56000000,102000000,85000000,78000000,75000000,53000000,100000000,93000000
89,Cash Used for Investing Activites,- -,- -,- -,-20233000,-89479000,-62746000,-169482000,-14659000,98000000,266000000,-190000000,-214000000,-643000000,-1987000000,-568000000,-301000000,-256000000,-633000000,-8593000000,-438000000,-703000000,-56000000
90,Debt Repayment,- -,- -,- -,-406820000,- -,- -,- -,- -,- -,-1341000000,-2893000000,-20000000,-22000000,-32000000,-19000000,-1114000000,-863000000,-1158000000,-2266000000,-2939000000,-2693000000,-574000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,279000,12975000,- -,- -,- -,- -,- -,73000000,- -,- -,46000000,16000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-605000000,-997000000,-1380000000,-1305000000,-1422000000,-951000000,-1431000000,-545000000,- -,-633000000,-969000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31000000,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,393972000,30999000,206166000,-7000,-641000,-774000000,985000000,2888000000,727000000,1097000000,1179000000,707000000,1163000000,1071000000,7638000000,1983000000,1215000000,2113000000,-279000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-12848000,30999000,206166000,272000,12334000,-774000000,-356000000,-641000000,-297000000,-305000000,-85000000,-734000000,-902000000,-1177000000,5951000000,-283000000,-2357000000,-1549000000,-853000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,5000000,6000000,-7000000,2000000,-6000000,-57000000,-51000000,-30000000,62000000,-23000000,-38000000,83000000,-106000000
97,Net Change In Cash,- -,- -,- -,-3399000,25842000,228711000,-95577000,54674000,-109000000,523000000,-157000000,582000000,153000000,-793000000,-41000000,23000000,-90000000,7009000000,-6323000000,566000000,570000000,1783000000
98,Cash at the End of Period,- -,- -,- -,8599000,34441000,250352000,154775000,209449000,100000000,623000000,466000000,1048000000,1201000000,408000000,367000000,390000000,300000000,7309000000,986000000,1552000000,2122000000,3905000000
99,Cash at the Beginning of Period,- -,- -,- -,11998000,8599000,21641000,250352000,154775000,209000000,100000000,623000000,466000000,1048000000,1201000000,408000000,367000000,390000000,300000000,7309000000,986000000,1552000000,2122000000
100,Free Cash Flow,- -,- -,- -,3819000,35030000,-5235000,-3908000,9884000,467000000,551000000,619000000,1042000000,1022000000,1170000000,1198000000,1174000000,1285000000,1494000000,2429000000,3110000000,2337000000,2425000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437107/000095013309000442/0000950133-09-000442-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000119312510035850/0001193125-10-035850-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000119312511040418/d10k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000119312512066285/0001193125-12-066285-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710713000006/0001437107-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710714000016/disca-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710715000004/disca-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710716000059/0001437107-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710717000007/0001437107-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710718000028/0001437107-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710719000013/0001437107-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710720000006/0001437107-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1437107/000143710721000018/0001437107-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1437107/000143710722000031/0001437107-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
