,https://roic.ai/company/DPZ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,114906000,- -,110945000,96810000,101448000,88872000,86881000,- -,99537000,122541000,146345000,150818000,- -,172166000
14,Depreciation and Amortization,33600000,33100000,- -,29822000,- -,39513000,35646000,69788000,28377000,- -,24064000,24052000,23171000,25783000,35788000,- -,32434000,44369000,53665000,59930000,- -,65038000
15,EBITDA,58900000,69900000,60500000,92257000,- -,139573000,196071000,125347000,226153000,- -,270531000,259807000,305806000,339754000,381292000,- -,438186000,567063000,628688000,693385000,- -,792334000
16,EBITDA ratio,0.0505,0.0556,0.0475,0.0692,- -,0.0965,0.1364,0.0857,0.1587,- -,0.1927,0.1654,0.1822,0.1885,0.1912,- -,0.1977,0.2034,0.1831,0.1916,- -,0.1924
17,Operating Income,112400000,127100000,157800000,159473000,- -,171379000,214197000,193910000,195030000,- -,189509000,227702000,282331000,313811000,345361000,- -,405439000,521232000,571689000,629407000,- -,725642000
18,Operating Income ratio,0.0964,0.1010,0.1238,0.1196,- -,0.1185,0.1490,0.1326,0.1369,- -,0.1350,0.1450,0.1682,0.1741,0.1732,- -,0.1829,0.1870,0.1665,0.1739,- -,0.1762
19,Total Other Income Expenses (Gains),-70900000,-66800000,-61600000,-97038000,- -,-71319000,-53772000,-138351000,-112160000,- -,-53987000,-88757000,-101144000,-88712000,-86738000,- -,-99224000,-121079000,-143011000,-146770000,- -,-170512000
20,Income Before Tax,41500000,60300000,96200000,62435000,- -,100060000,160425000,55559000,82870000,- -,135522000,138945000,181187000,225099000,258623000,- -,306215000,400153000,428678000,482637000,- -,555130000
21,Income Before Tax Ratio,0.0356,0.0479,0.0755,0.0468,- -,0.0692,0.1116,0.0380,0.0581,- -,0.0965,0.0884,0.1079,0.1249,0.1297,- -,0.1382,0.1435,0.1249,0.1334,- -,0.1348
22,Income Tax expense (Gain),- -,- -,- -,23398000,- -,37773000,54198000,17677000,28899000,- -,55778000,51028000,68795000,82114000,96036000,- -,113426000,122248000,66706000,81928000,- -,63834000
23,Net Income,25300000,36800000,60500000,39037000,- -,62287000,106227000,37882000,53971000,- -,79744000,87917000,112392000,142985000,162587000,- -,192789000,277905000,361972000,400709000,- -,491296000
24,Net Income ratio,0.0217,0.0292,0.0475,0.0293,- -,0.0431,0.0739,0.0259,0.0379,- -,0.0568,0.0560,0.0670,0.0793,0.0815,- -,0.0870,0.0997,0.1054,0.1107,- -,0.1193
25,EPS,0.30,-0.45,0.10,-1.26,- -,0.85,1.68,0.61,0.93,- -,1.36,1.50,1.99,2.56,2.93,- -,3.53,6.48,8.83,10.29,- -,12.47
26,EPS Diluted,0.27,-0.45,0.09,-1.26,- -,0.81,1.65,0.59,0.93,- -,1.36,1.45,1.91,2.48,2.86,- -,3.47,5.83,8.35,9.56,- -,12.39
27,Weighted Average Shares Outstanding,36315319,36315319,605000000,3177778,- -,73278824,63230357,62101639,57755519,- -,57276668,58467769,56419645,55768672,55553149,- -,49838221,42898329,40977561,38934009,- -,38868350
28,Weighted Average Shares Outstanding Diluted,40519352,40519352,672222222,3177778,- -,76897531,64380000,64206780,58339535,- -,57827697,60815898,58997476,57720998,56931226,- -,55532955,47677834,43349940,41923062,- -,39640791
29,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312505053437/0001193125-05-053437-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312507037666/0001193125-07-037666-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312508037999/0001193125-08-037999-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312509035628/0001193125-09-035628-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312510045334/0001193125-10-045334-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312511050979/0001193125-11-050979-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312513081957/0001193125-13-081957-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312514066092/0001193125-14-066092-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312515059100/0001193125-15-059100-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312516476935/0001193125-16-476935-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312518049576/0001193125-18-049576-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312519046191/0001193125-19-046191-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312520042675/0001193125-20-042675-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312521055734/0001193125-21-055734-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,25500000,42852000,- -,40396000,38222000,11344000,45372000,- -,42392000,47945000,54813000,14383000,30855000,- -,133449000,35768000,25438000,190615000,- -,168821000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25116000,36134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,25500000,42852000,- -,40396000,38222000,11344000,45372000,- -,67508000,84079000,54813000,14383000,30855000,- -,133449000,35768000,25438000,190615000,- -,168821000
34,Net Receivables,- -,- -,- -,68356000,- -,74901000,66691000,68886000,70020000,- -,77352000,81919000,95961000,107602000,120391000,- -,131582000,173677000,190091000,210260000,- -,244560000
35,Inventory,- -,- -,- -,19480000,- -,21505000,22803000,24931000,24342000,- -,25890000,26998000,31061000,30321000,37944000,- -,36861000,39961000,45975000,52955000,- -,66683000
36,Other Current Assets,- -,- -,- -,52314000,- -,52689000,38589000,121721000,114517000,- -,107918000,112042000,124432000,199234000,239171000,- -,300745000,330374000,305447000,333787000,- -,389320000
37,Total Current Assets,- -,- -,- -,183002000,- -,189491000,166305000,226882000,254251000,- -,278668000,305038000,306267000,351540000,428361000,- -,602637000,579780000,566951000,787617000,- -,869384000
38,PP&E,- -,- -,- -,127067000,- -,136883000,117144000,122890000,108430000,- -,102776000,97384000,91445000,97584000,114046000,- -,131890000,169586000,234939000,471666000,- -,525632000
39,Goodwill,- -,- -,- -,23432000,- -,- -,21319000,20772000,17675000,- -,17606000,17356000,16598000,16598000,16297000,- -,16097000,15423000,14919000,15093000,- -,15061000
40,Intangible Assets,- -,- -,- -,27197000,- -,22955000,16142000,43269000,3672000,- -,3233000,7788000,11387000,14464000,20562000,- -,28505000,52823000,63809000,73140000,- -,81306000
41,Intangible Assets,- -,- -,- -,50629000,- -,22955000,37461000,64041000,21347000,- -,20839000,25144000,27985000,31062000,36859000,- -,44602000,68246000,78728000,88233000,- -,96367000
42,Investments,- -,- -,- -,4155000,- -,- -,- -,- -,1258000,- -,1406000,1193000,2097000,3269000,4586000,- -,6054000,8119000,8718000,11982000,- -,13251000
43,Tax Assets,- -,- -,- -,52042000,- -,39696000,39982000,45810000,43049000,- -,21846000,8646000,3953000,3167000,2475000,- -,5865000,2750000,5526000,10073000,- -,1904000
44,Other Non-Current Assets,- -,- -,- -,31680000,- -,58322000,19311000,13541000,35459000,- -,28226000,23432000,46450000,38633000,32953000,- -,8797000,8272000,12523000,12521000,- -,60630000
45,Total Non-Current Assets,- -,- -,- -,265573000,- -,257856000,213898000,246282000,209543000,- -,175093000,155799000,171930000,173715000,190919000,- -,197208000,256973000,340434000,594475000,- -,697784000
46,Other Assets,- -,- -,425500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,425500000,448575000,- -,447347000,380203000,473164000,463794000,- -,453761000,460837000,478197000,525255000,619280000,- -,799845000,836753000,907385000,1382092000,- -,1567168000
48,Accounts Payable,- -,- -,- -,53388000,- -,55350000,55036000,60411000,56906000,- -,64120000,56602000,77414000,83408000,86552000,- -,106927000,106894000,92546000,111101000,- -,94499000
49,Short-Term Debt,- -,- -,- -,18572000,- -,25295000,1477000,15312000,340000,- -,87518000,835000,24349000,24144000,565000,- -,59333000,32324000,35893000,76712000,- -,38716000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,112303000,- -,109022000,98688000,99785000,92308000,- -,67785000,128689000,127735000,147059000,178491000,- -,209723000,259067000,251304000,266018000,- -,337604000
53,Total Current Liabilities,- -,- -,- -,184263000,- -,189667000,155201000,175508000,149554000,- -,219423000,186126000,229498000,254611000,265608000,- -,375983000,398285000,379743000,453831000,- -,470819000
54,Long-Term Debt,- -,- -,599200000,941165000,- -,755405000,740120000,1704771000,1704444000,- -,1537590000,1451321000,1536443000,1512299000,1523546000,- -,2181460000,3121490000,3495691000,4273786000,- -,4318286000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7001000,7827000,5588000,- -,- -,- -,- -,- -,- -,6099000
57,Other Non-Current Liabilities,- -,- -,- -,41110000,- -,52155000,49775000,43024000,34419000,- -,17742000,34041000,40778000,40720000,44003000,- -,42653000,52362000,71872000,70234000,- -,72369000
58,Total Non-Current Liabilities,- -,- -,599200000,982275000,- -,807560000,789895000,1747795000,1738863000,- -,1555332000,1485362000,1584222000,1560846000,1573137000,- -,2224113000,3173852000,3567563000,4344020000,- -,4396754000
59,Other Liabilities,- -,- -,1498100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255706000,- -,238129000
61,Total Liabilities,- -,- -,898900000,1166538000,- -,997227000,945096000,1923303000,1888417000,- -,1774755000,1671488000,1813720000,1815457000,1838745000,- -,2600096000,3572137000,3947306000,4797851000,- -,4867573000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,363000,- -,687000,625000,597000,- -,- -,586000,601000,563000,558000,556000,- -,498000,429000,410000,389000,- -,389000
64,Retained Earnings,- -,- -,- -,-900232000,- -,-859289000,-701520000,-1444938000,-1421705000,- -,-1341961000,-1254044000,-1335364000,-1289445000,-1246921000,- -,-1804143000,-2739437000,-3036471000,-3412649000,- -,-3303492000
65,Other Comprehensive Income/Loss,- -,- -,- -,9000,- -,6309000,2066000,-5798000,-5341000,- -,-4106000,-2740000,-2386000,-1984000,-2661000,- -,-3548000,-2030000,-4429000,-3742000,- -,-2424000
66,Other Total Stockholders Equity,- -,- -,- -,181897000,- -,302413000,133936000,- -,- -,- -,24487000,45532000,1664000,669000,29561000,- -,6942000,5654000,569000,243000,- -,5122000
67,Total Stockholders Equity,- -,- -,-473400000,-717963000,- -,-549880000,-564893000,-1450139000,-1424623000,- -,-1320994000,-1210651000,-1335523000,-1290202000,-1219465000,- -,-1800251000,-2735384000,-3039921000,-3415759000,- -,-3300405000
68,Total Liabilities And Stockholders Equity,- -,- -,425500000,448575000,- -,447347000,380203000,473164000,463794000,- -,453761000,460837000,478197000,525255000,619280000,- -,799845000,836753000,907385000,1382092000,- -,1567168000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,425500000,448575000,- -,447347000,380203000,473164000,463794000,- -,453761000,460837000,478197000,525255000,619280000,- -,799845000,836753000,907385000,1382092000,- -,1567168000
71,SEC Link,undefined,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312505053437/0001193125-05-053437-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312507037666/0001193125-07-037666-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312508037999/0001193125-08-037999-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312509035628/0001193125-09-035628-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312510045334/0001193125-10-045334-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312511050979/0001193125-11-050979-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312513081957/0001193125-13-081957-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312514066092/0001193125-14-066092-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312515059100/0001193125-15-059100-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312516476935/0001193125-16-476935-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312518049576/0001193125-18-049576-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312519046191/0001193125-19-046191-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312520042675/0001193125-20-042675-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312521055734/0001193125-21-055734-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,25300000,36800000,- -,39037000,- -,62287000,106227000,37882000,53971000,- -,79744000,87917000,112392000,142985000,162587000,- -,192789000,277905000,361972000,400709000,- -,491296000
74,Depreciation and Amortization,33600000,33100000,- -,29822000,- -,39513000,35646000,69788000,28377000,- -,24064000,24052000,23171000,25783000,35788000,- -,32434000,44369000,53665000,59930000,- -,65038000
75,Deferred Income Tax,- -,- -,- -,7799000,- -,8761000,-615000,-5564000,2046000,- -,19476000,6027000,4193000,6055000,-132000,- -,1713000,6160000,-872000,-3297000,- -,14424000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,9059000,- -,17254000,13370000,17621000,21987000,17587000,- -,17623000,20713000,22792000,20265000,- -,24244000
77,Change in Working Capital,- -,- -,- -,-1261000,- -,1085000,7143000,40270000,53323000,- -,-45452000,59667000,-52899000,20160000,65824000,- -,63901000,89320000,5713000,146578000,- -,64779000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-10304000,- -,-7235000,-3395000,-6917000,-11001000,-12710000,- -,-13678000,-22649000,-18172000,-20900000,- -,-33334000
79,Inventory,- -,- -,- -,- -,- -,913000,1039000,-1503000,1245000,- -,-1050000,-2357000,-703000,-242000,-11827000,- -,-2262000,1527000,-12455000,-6741000,- -,-24959000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-1261000,- -,-176000,11104000,51374000,104697000,- -,59245000,118912000,76769000,96929000,162753000,- -,226654000,181495000,187208000,333786000,- -,398565000
82,Other Non-Cash Items,-58900000,-69900000,- -,27126000,- -,1816000,-15398000,-58188000,-71519000,- -,6188000,-62708000,71842000,-22981000,-89315000,- -,-16674000,-99431000,-49099000,-127235000,- -,-66987000
83,Cash Provided by Operating Activities,- -,- -,- -,102523000,- -,113462000,133003000,84188000,75257000,- -,101274000,128325000,176320000,193989000,192339000,- -,291786000,339036000,394171000,496950000,- -,592794000
84,CAPEX,-37900000,-40600000,- -,-29161000,- -,-39763000,-20204000,-42415000,-19411000,- -,-22870000,-25421000,-29267000,-40387000,-70093000,- -,-63282000,-90011000,-119888000,-85565000,- -,-88768000
85,Acquisitions Net,- -,- -,- -,- -,- -,-515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3423000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12270000,- -,- -,- -,- -,- -,- -,- -,-70152000,- -,- -,-40000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94007000,50152000,- -,- -
88,Other Investing Activites,- -,- -,- -,-19564000,- -,4008000,14272000,-67054000,12092000,- -,-20621000,-18380000,7348000,-99733000,-57443000,- -,-109292000,-149004000,-112112000,-74583000,- -,-88927000
89,Cash Used for Investing Activites,- -,- -,- -,-19564000,- -,-36270000,-5932000,-109469000,12092000,- -,-32891000,-18380000,7348000,-99733000,-57443000,- -,-109292000,-149004000,-88257000,-27854000,- -,-128927000
90,Debt Repayment,- -,- -,- -,-662492000,- -,- -,- -,- -,-18312000,- -,-136679000,-116760000,-1465509000,-24349000,-12332000,- -,-564403000,-928193000,-604088000,-92085000,- -,-202058000
91,Common Stock Issued,- -,- -,- -,85000,- -,119779000,9543000,10393000,4452000,- -,4376000,4548000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-201089000,- -,-16880000,-145000000,-54548000,-42976000,- -,- -,-5384000,-88238000,-97132000,-82407000,- -,-738557000,-1064253000,-591212000,-699007000,- -,-304590000
93,Dividends Paid,- -,- -,- -,-188333000,- -,-4464000,-29841000,-896972000,- -,- -,- -,- -,-185484000,-34241000,-52843000,- -,-80329000,-84298000,-92166000,-105715000,- -,-121925000
94,Other Financing Activites,- -,- -,- -,988948000,- -,-182338000,9541000,939513000,3305000,- -,61507000,13329000,1561782000,20918000,28684000,- -,1302353000,1879599000,964663000,674015000,- -,182167000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-62881000,- -,-83903000,-155757000,-1614000,-53531000,- -,-70796000,-104267000,-177449000,-134804000,-118898000,- -,-80936000,-197145000,-322803000,-222792000,- -,-446406000
96,Effect of Forex Changes on Cash,- -,- -,- -,178000,- -,716000,-11000,17000,210000,- -,-567000,-125000,-1698000,118000,474000,- -,1036000,66000,-538000,201000,- -,761000
97,Net Change In Cash,- -,- -,- -,20256000,- -,-5995000,-28697000,-26878000,34028000,- -,-2980000,5553000,4521000,-40430000,16472000,- -,102594000,-7047000,-17427000,246505000,- -,-21794000
98,Cash at the End of Period,- -,- -,- -,42852000,- -,40396000,38222000,11344000,45372000,- -,42392000,47945000,54813000,14383000,30855000,- -,133449000,35768000,237419000,483924000,- -,168821000
99,Cash at the Beginning of Period,- -,- -,- -,22596000,- -,46391000,66919000,38222000,11344000,- -,45372000,42392000,50292000,54813000,14383000,- -,30855000,42815000,254846000,237419000,- -,190615000
100,Free Cash Flow,- -,- -,- -,73362000,- -,73699000,112799000,41773000,55846000,- -,78404000,102904000,147053000,153602000,122246000,- -,228504000,249025000,274283000,411385000,- -,504026000
101,SEC Link,- -,- -,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312505053437/0001193125-05-053437-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312507037666/0001193125-07-037666-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312508037999/0001193125-08-037999-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312509035628/0001193125-09-035628-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312510045334/0001193125-10-045334-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312511050979/0001193125-11-050979-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312513081957/0001193125-13-081957-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312514066092/0001193125-14-066092-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312515059100/0001193125-15-059100-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312516476935/0001193125-16-476935-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312518049576/0001193125-18-049576-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312519046191/0001193125-19-046191-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312520042675/0001193125-20-042675-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1286681/000119312521055734/0001193125-21-055734-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
