,https://roic.ai/company/ASML,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49303000,23301000,33737000,22781000,28010000,11913000,- -,- -,- -,41800000,36600000,43400000,- -
14,Depreciation and Amortization,6473253,9480946,15818166,33850602,42534212,66031981,159074850,165925419,144547603,90148184,90461906,87091919,126543015,119472872,140201000,151444000,165185000,186620000,228775000,254644000,296884000,356928000,417500000,422700000,448500000,490800000,471000000
15,EBITDA,107705571,165514820,234636129,123294636,160894601,557790668,-539359913,-84510333,-74959608,452720117,525154910,956889732,986734420,429851064,17954000,1417268000,1847557000,1359979000,1280262000,1540192000,1845504000,2048306000,2863400000,3401500000,3250900000,4639400000,7176500000
16,EBITDA ratio,0.2413,0.2672,0.2902,0.1592,0.1344,0.2581,-0.2919,-0.0432,-0.0487,0.1838,0.2078,0.2660,0.2587,0.1452,0.0112,0.3144,0.3269,0.2874,0.2441,0.2630,0.2935,0.3015,0.3163,0.3108,0.2750,0.3319,0.3856
17,Operating Income,100920354,152418259,204181614,88250310,85366561,488584697,-694827012,-93980948,-154761211,378633440,448776094,870651729,826687341,287726059,-165013000,1250699000,1641216000,1156774000,1047948000,1282235000,1565135000,1657734000,2496200000,2965300000,2790800000,4051500000,6750100000
18,Operating Income ratio,0.2261,0.2461,0.2526,0.1139,0.0713,0.2261,-0.3761,-0.0480,-0.1005,0.1537,0.1776,0.2420,0.2167,0.0972,-0.1034,0.2774,0.2904,0.2445,0.1998,0.2190,0.2489,0.2440,0.2757,0.2710,0.2361,0.2898,0.3627
19,Total Other Income Expenses (Gains),311964,3615615,14636349,1193724,32993828,2116703,-3606627,-36757006,-29098023,-16061507,-14083091,-854674,33504064,22652134,-6537000,-8176000,7419000,-6196000,-24471000,-8600000,-16515000,33644000,-50300000,-28300000,-25000000,-34900000,-44600000
20,Income Before Tax,101232318,156033874,218817963,89444034,118360389,490701400,-698433639,-130737954,-183859235,362571933,434693004,869797055,860191405,310378192,-171550000,1242523000,1648635000,1150578000,1023477000,1273635000,1548620000,1691378000,2445900000,2937000000,2765800000,4016600000,6705500000
21,Income Before Tax Ratio,0.2268,0.2519,0.2707,0.1155,0.0988,0.2271,-0.3780,-0.0668,-0.1194,0.1472,0.1720,0.2418,0.2255,0.1048,-0.1075,0.2756,0.2917,0.2432,0.1951,0.2175,0.2463,0.2489,0.2702,0.2684,0.2340,0.2873,0.3603
22,Income Tax expense (Gain),37279698,54716307,71272656,27796716,37565262,146318700,-218608362,-42751187,-59570513,127285946,123465140,245108927,171264482,-12756282,-20625000,220703000,181675000,4262000,7987000,76995000,161446000,219484000,310700000,351600000,191700000,551500000,1021400000
23,Net Income,63952620,101317567,147545307,61647318,80795127,345439987,-479826401,-207684564,-159936699,235285987,311227864,624688886,688926923,323134474,-150925000,1021820000,1466960000,1146316000,1015490000,1196640000,1387174000,1471894000,2135200000,2585400000,2574100000,3553700000,5684100000
24,Net Income ratio,0.1433,0.1636,0.1825,0.0796,0.0675,0.1599,-0.2597,-0.1061,-0.1039,0.0955,0.1232,0.1737,0.1806,0.1091,-0.0946,0.2267,0.2596,0.2423,0.1936,0.2043,0.2206,0.2166,0.2359,0.2362,0.2178,0.2542,0.3054
25,EPS,0.21,0.32,0.46,0.19,0.28,1.21,-1.51,-0.64,-0.48,0.72,0.93,1.93,1.94,0.97,-0.45,3.05,4.56,2.70,2.78,3.24,3.22,3.46,4.93,5.94,6.13,8.49,13.59
26,EPS Diluted,0.21,0.32,0.46,0.19,0.28,1.17,-1.51,-0.64,-0.48,0.72,0.93,1.85,1.88,0.96,-0.45,3.03,4.52,2.68,2.75,3.23,3.21,3.44,4.91,5.92,6.12,8.48,13.56
27,Weighted Average Shares Outstanding,300666667,313215119,320438462,327476471,284865128,286495475,318859435,326388325,330066530,330846796,331341650,325015329,356052620,332347400,333113550,335027000,327725860,424100000,429770000,437142000,430600000,425600000,429800000,424900000,420800000,418300000,418300000
28,Weighted Average Shares Outstanding Diluted,300666667,313215119,320438462,327476471,287698729,299100890,318859435,326388325,330066530,331723570,371639006,344948407,373945110,334337850,333113550,338030000,330370810,427000000,433446000,439693000,432600000,427700000,431600000,426400000,421600000,419100000,419100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/937966/000115697305000129/0001156973-05-000129-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000115697306000117/0001156973-06-000117-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000095012307000854/0000950123-07-000854-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000115697308000096/0001156973-08-000096-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000115697309000036/0001156973-09-000036-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000095012310006383/0000950123-10-006383-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000095012311013996/0000950123-11-013996-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312512058548/0001193125-12-058548-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312513053249/0001193125-13-053249-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/0001193125-14-046822-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/0001193125-15-042676-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/0000937966-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/0000937966-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/0000937966-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/0000937966-21-000009-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33536130,61224414,34545420,150068160,603031772,711165400,912263136,668318814,1026012217,1227222890,1903163393,1655855726,1273640014,1111814327,1037074000,1949834000,2731782000,1767596000,2330694000,2419487000,2458717000,2906868000,2259000000,3121100000,3532300000,6049400000,6951800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930005000,679884000,334864000,950000000,1150000000,1029300000,913300000,1185800000,1302200000,638500000
33,Cash and Short-Term Investments,33536130,61224414,34545420,150068160,603031772,711165400,912263136,668318814,1026012217,1227222890,1903163393,1655855726,1273640014,1111814327,1037074000,1949834000,2731782000,2697601000,3010578000,2754351000,3408717000,4056868000,3288300000,4034400000,4718100000,7351600000,7590300000
34,Net Receivables,130088988,189859961,267090642,208219572,455155820,672997665,571110371,556296238,313945963,502781295,302342345,672761286,638980497,470611113,398992000,1225223000,959480000,988514000,1257212000,1333588000,1164631000,1220777000,1965700000,2400900000,2850500000,3332900000,4420200000
35,Inventory,111995076,156274915,250817931,386851842,375851378,496232724,870400860,729542372,593978112,717157742,776609847,808480234,1103946860,1001519685,963382000,1497180000,1624627000,1856970000,2393022000,2549837000,2573730000,2780878000,2958400000,3439500000,3809200000,4569400000,5179200000
36,Other Current Assets,8812983,21613343,29909061,38625498,29416184,208289763,249515887,459590748,212138613,232868609,221270010,288938262,308033133,396355588,349436000,272228000,390920000,288757000,364766000,508430000,560623000,498906000,794600000,656600000,753300000,676100000,1000500000
37,Total Current Assets,284433177,428972633,582363054,783765072,1463455154,2088685552,2603290255,2413748171,2146074905,2680030537,3203385595,3426035508,3324600504,2980300712,2748884000,4944465000,5706809000,5831842000,7025578000,7146206000,7707701000,8557429000,9007000000,10531400000,12131100000,15930000000,18190200000
38,PP&E,35797869,62509966,73909017,135828738,202136886,269939273,674519082,495395737,347276167,303466798,278369851,270890086,381494611,541922161,618706000,745331000,1053610000,1029923000,1217840000,1447523000,1620678000,1687237000,1600800000,1727100000,2323200000,2815200000,3147500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128473053,131765106,131462000,141286000,146044000,149168000,2088589000,2357536000,2624552000,4873894000,4541100000,4541100000,4541100000,4629100000,4555600000
40,Intangible Assets,- -,- -,- -,- -,19975179,17666166,18408522,14060119,14564892,31794746,24924031,18076210,38255085,26755292,18128000,13651000,8366000,9943000,697634000,723839000,738170000,1322924000,1166000000,1104000000,1104400000,1048900000,952100000
41,Intangible Assets,- -,- -,- -,- -,19975179,17666166,18408522,14060119,14564892,31794746,24924031,18076210,166728138,158520398,149590000,154937000,154410000,159111000,2786223000,3081375000,3362722000,6196818000,5707100000,5645100000,5645500000,5678000000,5507700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,982200000,915800000,833000000,820700000,892500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,262547624,314586833,324703482,200951409,206726771,200377940,141254241,148484470,133263000,71008000,38735000,39443000,139513000,28760000,29012000,34940000,31700000,236300000,445300000,671500000,1098700000
44,Other Non-Current Assets,311964,7793659,- -,12789900,17888220,15239624,91418839,61716243,30655910,25126118,39765312,35652345,60084955,119508789,77054000,264617000,307251000,350159000,344576000,500081000,574918000,729537000,867600000,1081200000,1251500000,1352000000,1394400000
45,Total Non-Current Assets,36109833,70303625,73909017,148618638,240000285,302845063,1046894067,885758932,717200451,561339071,549785965,524996582,749561946,968435818,978613000,1235893000,1554006000,1578636000,4488152000,5057739000,5587330000,8648532000,9189400000,9605500000,10498500000,11337400000,12040800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,320543010,499276258,656272071,932383710,1703455439,2391530615,3650184322,3299507103,2863275356,3241369608,3753171560,3951032089,4074162450,3948736530,3727497000,6180358000,7260815000,7410478000,11513730000,12203945000,13295031000,17205961000,18196400000,20136900000,22629600000,27267400000,30231000000
48,Accounts Payable,43674960,76651038,118090791,60197796,143205139,180904650,290769004,213282310,219768447,342974726,343700870,326994758,283398741,194149344,206226000,555397000,444269000,188961000,625870000,496236000,418894000,593197000,837300000,964000000,1062200000,1377900000,- -
49,Short-Term Debt,779910,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7405662,1207817,70204087,- -,- -,2587000,3610000,4385000,4261000,4211000,247672000,25200000,- -,- -,15400000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15032000,61197000,- -,10791000,15803000,36293000,3654000,201930000,152000000,187900000,65600000,110000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191234137,295039326,262830549,- -,- -,- -,- -,- -,- -,- -,- -,- -,1728600000,2526400000,3954200000,- -
52,Other Current Liabilities,118468329,119074254,100363536,101125476,157913231,299849949,539381268,538994114,465552493,469565778,1075204300,655777664,727178578,483550571,837944000,1600419000,1786186000,1893712000,2238406000,2388374000,2684067000,2439727000,2479400000,1099300000,1105500000,1256000000,12298000000
53,Total Current Liabilities,162923199,195725292,218454327,161323272,301118370,480754599,830150272,752276424,685320941,812540504,1418905171,1181412221,1306824462,1010734550,1044170000,2155816000,2233042000,2086283000,2868661000,2888871000,3107172000,3280596000,3341900000,3791900000,4694100000,6603500000,12298000000
54,Long-Term Debt,8033073,- -,- -,270719550,789069260,819296135,1538105676,1083774662,858563994,816729051,382267263,381432511,602964778,648584876,663102000,710060000,733781000,755880000,1070185000,1149876000,1125474000,3071793000,3000100000,3026500000,3108300000,4662800000,4075000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1224600000,1759600000,1639900000,3225700000
56,Deferred Tax Liabilities,1949775,3937003,5181813,3069576,2086959,3165472,34361300,133428189,169345160,200568553,224048635,223462481,245802091,210196341,188404000,155693000,176727000,88307000,364695000,237315000,256740000,396837000,327900000,251200000,234400000,238300000,240600000
57,Other Non-Current Liabilities,- -,-80347,90909,- -,-99379,- -,- -,- -,-794,20957489,17413049,8271702,7947862,85735316,57053000,384881000,673111000,413115000,287762000,415293000,416814000,636254000,850300000,201700000,241000000,257500000,251100000
58,Total Non-Current Liabilities,9982848,3856656,5272722,273789126,791056840,822461607,1572466977,1217202851,1027908360,1038255093,623728947,613166694,856714730,944516532,908559000,1250634000,1583619000,1257302000,1722642000,1802484000,1799028000,4104884000,4178300000,4704000000,5343300000,6798500000,7792400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2055816721,- -,1247457893,- -,1713429460,1889033065,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,172906047,199581948,223727049,435112398,1092175210,1303216206,2402617248,1969479275,1713229301,1850795597,2042634117,1794578915,2163539192,1955251083,1952729000,3406450000,3816661000,3343585000,4591303000,4691355000,4906200000,7385480000,7520200000,8495900000,10037400000,13402000000,20090400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,8248457,8283677,9356551,9637386,9633172,9668034,9686769,10050758,39268115,38979283,39028000,39293000,38354000,37470000,40092000,39426000,38786000,39391000,38800000,38600000,38200000,37600000,- -
64,Retained Earnings,67150251,165514820,2090907,370566036,453565756,791683168,484991891,276143070,115906941,351310510,662530901,1239688432,1528606014,1702958581,1450156000,2366443000,3270703000,3931359000,4376613000,4648541000,5284315000,6282504000,7211300000,9197900000,9523800000,10731500000,- -
65,Other Comprehensive Income/Loss,-30104526,-680539090,-53454492,-84924936,-126012572,-186882100,-555987038,158988750,139372910,134421525,121453149,112680626,77377796,29694021,27526000,48591000,78471000,78987000,-42438000,212016000,472320000,601172000,251500000,285000000,277800000,179400000,- -
66,Other Total Stockholders Equity,110591238,814718580,483908607,211630212,275478588,475229663,1309205670,869877687,874301669,895173942,916866624,794033359,265371333,221853562,258058000,319581000,56626000,19077000,2548160000,2612607000,2593410000,2897414000,3174600000,2119500000,2752400000,2916900000,- -
67,Total Stockholders Equity,147636963,299694310,432545022,497271312,611280229,1088314408,1247567074,1314646892,1139214692,1390574012,1710537443,2156453174,1910623258,1993485448,1774768000,2773908000,3444154000,4066893000,6922427000,7512590000,8388831000,9820481000,10676200000,11641000000,12592200000,13865400000,10140600000
68,Total Liabilities And Stockholders Equity,320543010,499276258,656272071,932383710,1703455439,2391530615,3650184322,3284126167,2852443993,3241369608,3753171560,3951032089,4074162450,3948736530,3727497000,6180358000,7260815000,7410478000,11513730000,12203945000,13295031000,17205961000,18196400000,20136900000,22629600000,27267400000,30231000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,15380936,10831363,- -,-0,0,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,320543010,499276258,656272071,932383710,1703455439,2391530615,3650184322,3299507103,2863275356,3241369608,3753171560,3951032089,4074162450,3948736530,3727497000,6180358000,7260815000,7410478000,11513730000,12203945000,13295031000,17205961000,18196400000,20136900000,22629600000,27267400000,30231000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/937966/000115697305000129/0001156973-05-000129-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000115697306000117/0001156973-06-000117-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000095012307000854/0000950123-07-000854-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000115697308000096/0001156973-08-000096-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000115697309000036/0001156973-09-000036-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000095012310006383/0000950123-10-006383-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000095012311013996/0000950123-11-013996-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312512058548/0001193125-12-058548-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312513053249/0001193125-13-053249-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/0001193125-14-046822-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/0001193125-15-042676-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/0000937966-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/0000937966-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/0000937966-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/0000937966-21-000009-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,63952620,101317567,147545307,61647318,80795127,345439987,-479826401,-207684564,-159936699,235285987,311227864,624688886,688926923,323134474,-150925000,1021820000,1466960000,1146316000,1015490000,1196640000,1387174000,1471894000,2135200000,2585400000,2574100000,3553700000,5684100000
74,Depreciation and Amortization,6473253,9480946,15818166,33850602,42534212,66031981,159074850,165925419,144547603,90148184,90461906,87091919,126543015,119472872,140201000,151444000,165185000,186620000,228775000,254644000,296884000,356928000,417500000,422700000,448500000,490800000,471000000
75,Deferred Income Tax,2417721,2330063,3636360,-3836970,4273297,-8105866,-196227943,-22346194,-79437937,114616292,17816630,-69450623,109097912,-34236084,-49423000,28053000,63250000,-72374000,-22658000,-59050000,45349000,-580000,-7600000,-238500000,-236800000,-211300000,-419600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13394000,12109000,12430000,18714000,52371000,63380000,59070000,47701000,53100000,46300000,74600000,53900000,117500000
77,Change in Working Capital,-40087374,-76008262,-172272555,-144952200,-89540479,-216205040,-97088965,-242435568,514073285,-223414502,271448198,-334346624,-342148993,-310110251,36043000,-339289000,285826000,-712673000,-401599000,-607392000,17515000,-294932000,-939300000,-59400000,111600000,531600000,4892400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97540000,-748898000,267209000,246982000,-192149000,-164850000,243097000,187427000,-1142400000,201200000,-255000000,507500000,- -
79,Inventory,-31508364,-49172364,-100181718,-134549748,13217407,-124651241,-377357278,-77357340,95124794,-149105045,-41365280,-85212848,-439437595,-88012453,-158024000,-706233000,-276243000,-352716000,-518121000,-293404000,-87777000,-43662000,-237800000,-515700000,-404700000,-706700000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10430000,350231000,-126234000,-225083000,321486000,-136192000,-77090000,50917000,266500000,97900000,-12100000,334300000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31366093,-169428408,-101306772,14830000,- -,-130822000,- -,- -,- -,- -,- -,-151800000,988400000,995700000,1549500000,- -
82,Other Non-Cash Items,3119640,3374574,-10636353,-85266,- -,-2115638,378106926,252425553,89197360,34445230,19998327,169523288,88932648,183150840,108474000,65911000,76789000,136875000,181794000,176984000,219588000,84895000,139700000,316200000,304400000,208900000,100400000
83,Cash Provided by Operating Activities,35875860,40494888,-15909075,-53376516,38062157,185045424,-235961533,-54115354,508443612,251081191,710952924,477506846,671351504,281411850,97764000,940048000,2070440000,703478000,1054173000,1025206000,2025580000,1665906000,1798600000,3072700000,3276400000,4627600000,10845800000
84,CAPEX,-22149444,-37763090,-40999959,-97970634,-109813795,-131599735,-347338766,-138495130,-71315010,-74923945,-72604750,-70738696,-179434566,-260421237,-104959000,-128728000,-300898000,-179536000,-214804000,-361232000,-372878000,-324722000,-358000000,-609500000,-885900000,-1000800000,-940300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-188306980,- -,- -,- -,- -,-10292000,-443712000,- -,- -,-2641295000,-1019700000,- -,- -,-222800000,329000000
86,Purchases of Investments,-5303388,-1847981,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1379997000,-904856000,-504756000,-1121899000,-2535034000,-1102300000,-920500000,-1291500000,-1475500000,-1162700000
87,Sales/Maturities of Investments,- -,5222555,15818166,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449992000,1195031000,849776000,334864000,2320000000,1250000000,1034100000,1019000000,1359100000,1826400000
88,Other Investing Activites,2261739,- -,12363624,-3751704,-10236037,2995114,-13261014,58696281,45657519,14570655,11848202,5215938,19250999,- -,6877000,3825000,- -,-7658000,-4000000,-2952000,-1108000,-15811000,1600000,-31100000,-118400000,-51000000,-164000000
89,Cash Used for Investing Activites,-25191093,-34388516,-12818169,-101722338,-120049832,-128604621,-360599780,-79798849,-25657491,-60353289,-60756548,-65522758,-348490547,-260421237,-98082000,-124903000,-300898000,-1119833000,-368341000,-16212000,-1159913000,-3188478000,-1209300000,-491500000,-1157500000,-1352200000,-72000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,-1444000,-2537000,-2776000,-372403000,-4128000,-3639000,-4739000,-243000000,-2800000,-3800000,-3300000,-12000000
91,Common Stock Issued,- -,44110503,- -,1790586,31602522,17886567,26397274,26612640,6349064,20016209,15815615,38745994,79938834,11502060,11073000,31000000,34084000,3907666000,31822000,39679000,33230000,582742000,50600000,21800000,27200000,37900000,48900000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-678384861,-360423313,-87812755,- -,- -,-700452000,-535373000,-300000000,-700000000,-564887000,-400000000,-500000000,-1146200000,-410000000,-1207500000,-8560300000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-108096522,-86486000,-86960000,-172645000,-188892000,-216085000,-267962000,-302310000,-445865000,-516700000,-597100000,-1325700000,-1066400000,-1368300000
94,Other Financing Activites,11698650,-21613343,3727269,269440560,503950909,119740660,478880068,-132588622,-61672310,-1158895,-12939051,-8317921,-419473977,-267941,1986000,150106000,-150011000,-3726208000,743555000,3972000,3660000,2231501000,- -,- -,- -,1486300000,- -
95,Cash Used/Provided by Financing Activities,11698650,22497160,3727269,271231146,535553431,137627228,505277343,-105975982,-55323246,18857314,2876564,-647956788,-699958456,-184675157,-73444000,92702000,-991561000,-545583000,-113111000,-928439000,-833946000,1963639000,-1209100000,-1724300000,-1712300000,-753000000,-9891700000
96,Effect of Forex Changes on Cash,-233973,562429,545454,-852660,-1490685,40638996,17634148,-1867821,-69044085,-9409108,22892621,-12779200,-7729069,846923,1652000,4913000,3967000,-2248000,-9623000,8238000,7509000,7084000,-28100000,5200000,4600000,-5300000,20300000
97,Net Change In Cash,11698650,22497160,3727269,271231146,452075071,234707027,-73649822,-241758006,358419584,200176107,675965562,-248751900,-384826568,-162837621,-72110000,912760000,781948000,-964186000,563098000,88793000,39230000,448151000,-647900000,862100000,411200000,2517100000,902400000
98,Cash at the End of Period,- -,- -,- -,- -,603031772,830906060,912263136,668318814,1026012217,1227222890,1903163393,1655855726,1273640014,1111814327,1037074000,1949834000,2731782000,1767596000,2330694000,2419487000,2458717000,2906868000,2259000000,3121100000,3532300000,6049400000,6951800000
99,Cash at the Beginning of Period,11386686,32058453,58999941,34788528,150956701,596199034,985912958,910076820,667592633,1027046783,1227197831,1904607626,1658466582,1274651948,1109184000,1037074000,1949834000,2731782000,1767596000,2330694000,2419487000,2458717000,2906900000,2259000000,3121100000,3532300000,6049400000
100,Free Cash Flow,13726416,2731798,-56909034,-151347150,-71751638,53445689,-583300299,-192610485,437128602,176157246,638348174,406768150,491916938,20990613,-7195000,811320000,1769542000,523942000,839369000,663974000,1652702000,1341184000,1440600000,2463200000,2390500000,3626800000,9905500000
