,https://roic.ai/company/NEPH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1196298/000114420408056862/0001144204-08-056862-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000114420409017558/0001144204-09-017558-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420410018161/0001144204-10-018161-index.html,- -,https://www.sec.gov/Archives/edgar/data/1196298/000114420412016613/0001144204-12-016613-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420413012708/0001144204-13-012708-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420414018633/0001144204-14-018633-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000114420415022858/0001144204-15-022858-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000149315216008366/0001493152-16-008366-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315217002633/0001493152-17-002633-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315218002569/0001493152-18-002569-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315219003127/0001493152-19-003127-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315220003069/0001493152-20-003069-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315221005090/0001493152-21-005090-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000149315222005976/0001493152-22-005976-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2417042,-5636000,-7596480,-5468177,-8012911,-26356000,-6337000,-2026000,-1933000,-2360000,-3262000,-3698000,-7371000,-3088000,-3032000,-809000,-3402000,-3420000,-4766000,-4107000
74,Depreciation and Amortization,- -,1252785,644531,199241,305601,354420,4908000,447000,231000,129000,91000,9000,223000,216000,212000,230000,218000,163000,200000,208000,252000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,155000,108000,92000,256000,443000,575000,429000,489000,597000,772000,985000,1332000,779000,1259000
77,Change in Working Capital,- -,171715,3565899,7079306,-3622783,-2289851,5424671,-5866000,-374000,-1700000,599000,-2639000,-498000,2948000,1068000,-1136000,1569000,3581000,352000,7958000,-2585000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1000,-220000,283000,-832000,1006000,820000,12000,-302000,-17000,-416000,-484000,392000,-333000,-278000
79,Inventory,- -,- -,-201963,-451387,-280613,361624,217000,-409000,57000,-98000,295000,-147000,-60000,-82000,-405000,103000,-195000,-1082000,-735000,-2762000,213000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,904000,- -,-190000,-176000,-76000,268000,-130000,119000,-538000,908000
81,Other Working Capital,- -,-2190242,1375657,8454963,4832180,2542329,7967000,2101000,1727000,27000,626000,-2013000,-2511000,437000,1505000,369000,1938000,5519000,5871000,13829000,11244000
82,Other Non-Cash Items,- -,-813793,-1986386,-7521048,3733165,2648745,8589329,5876000,-551000,2120000,118000,3902000,-185000,1283000,-2496000,1229000,-1827000,-4989000,-740000,-11082000,3764000
83,Cash Provided by Operating Activities,- -,-1806335,-3411956,-7838981,-5052194,-7299597,-7434000,-5725000,-2612000,-1292000,-1296000,-1547000,-3583000,-2495000,-3815000,-2112000,-77000,-3662000,-2276000,-6903000,-1417000
84,CAPEX,- -,-30779,-453980,-902872,-397290,-110163,-145000,-97000,-28000,-30000,- -,-659000,- -,- -,-13000,-45000,- -,- -,-14000,-239000,-36000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-6000000,- -,-3000000,-4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1500000,4700000,2800000,4693000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,- -,47000,3000,- -,- -,- -,- -,9000,-137000,- -,-49000
89,Cash Used for Investing Activites,- -,-30779,-453980,-6902872,1102710,1589837,-2045000,4599000,-21000,-30000,- -,-612000,3000,- -,-13000,-45000,- -,-991000,-151000,-239000,-85000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,-1300000,-3250000,- -,- -,- -,-1336000,-216000,-800000,-11000
91,Common Stock Issued,- -,- -,6796450,14633624,1002761,1441,- -,- -,1251000,- -,3189000,- -,2771000,4866000,1340000,- -,1179000,3778000,1992000,11452000,1124000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-349949,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1800000,850000,- -,- -,5200000,12677000,- -,85000,572000,34000,503000,2649000,1587000,2451000,1188000,811000,4605000,241000,564000,-876000
95,Cash Used/Provided by Financing Activities,- -,1800000,7646450,14283675,1002761,5201441,12677000,- -,1336000,572000,2723000,503000,4120000,3203000,3791000,1188000,1990000,7047000,2017000,11216000,237000
96,Effect of Forex Changes on Cash,- -,- -,100337,56096,-25877,14781,-2000,-17000,-5000,-14000,2000,34000,-8000,-3000,1000,-4000,6000,-7000,-5000,9000,-11000
97,Net Change In Cash,- -,-37114,3880851,-402082,-2972600,-493538,3196000,-1143000,-1302000,-764000,1429000,-1622000,532000,705000,-36000,-973000,1919000,2387000,-415000,4083000,-1276000
98,Cash at the End of Period,- -,240412,4121263,3719181,746581,253043,3449000,2306000,1004000,240000,1669000,47000,579000,1284000,1248000,275000,2194000,4581000,4166000,8249000,6973000
99,Cash at the Beginning of Period,- -,277526,240412,4121263,3719181,746581,253000,3449000,2306000,1004000,240000,1669000,47000,579000,1284000,1248000,275000,2194000,4581000,4166000,8249000
100,Free Cash Flow,- -,-1837114,-3865936,-8741853,-5449484,-7409760,-7579000,-5822000,-2640000,-1322000,-1296000,-2206000,-3583000,-2495000,-3828000,-2157000,-77000,-3662000,-2290000,-7142000,-1453000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1196298/000114420408056862/0001144204-08-056862-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000114420409017558/0001144204-09-017558-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420410018161/0001144204-10-018161-index.html,- -,https://www.sec.gov/Archives/edgar/data/1196298/000114420412016613/0001144204-12-016613-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420413012708/0001144204-13-012708-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420414018633/0001144204-14-018633-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000114420415022858/0001144204-15-022858-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000149315216008366/0001493152-16-008366-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315217002633/0001493152-17-002633-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315218002569/0001493152-18-002569-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315219003127/0001493152-19-003127-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315220003069/0001493152-20-003069-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315221005090/0001493152-21-005090-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000149315222005976/0001493152-22-005976-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
