,https://roic.ai/company/SUME,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144902
61,Total Liabilities,- -,- -,30000,- -,- -,10000,30000,1100000,6200000,11539030,12094010,13801140,22059700,36154780,46463550
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,826,1900,1900,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,10000,10000,14940,16220,22460,25060,27480,31530
64,Retained Earnings,- -,-70000,-120000,-220000,-280000,-320000,-370000,-1950000,-4370000,-8474270,-7320210,-8604020,-7337410,-15091280,-25824370
65,Other Comprehensive Income/Loss,- -,-20000,-30000,-50000,-60000,-70000,-90000,-120000,-190000,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,180000,180000,360000,370000,400000,450000,3920489,5325611,8083135,9440448,14563562,18839249,23305953,30827059
67,Total Stockholders Equity,- -,84926,33753,85092,28814,9867,-11463,1860489,776437,-374295,2138358,5982002,11526899,8242153,5034219
68,Total Liabilities And Stockholders Equity,- -,90000,63753,90000,30000,19867,18537,2960489,6976437,11164735,14232368,19783142,33586599,44396933,51497769
69,Minority Interest,- -,- -,-3753,- -,- -,133,-8537,-489,3563,-5,2,-2,1,7,1
70,Total Liabilities & Equity,- -,90000,60000,90000,30000,20000,10000,2960000,6980000,11164730,14232370,19783140,33586600,44396940,51497770
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396633/000103883810000097/0001038838-10-000097-index.html,- -,https://www.sec.gov/Archives/edgar/data/1396633/000107878212000803/0001078782-12-000803-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586613000270/0001445866-13-000270-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586614000350/0001445866-14-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586615000352/0001445866-15-000352-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586616001803/0001445866-16-001803-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586617000333/0001445866-17-000333-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586618000304/0001445866-18-000304-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586619000404/0001445866-19-000404-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586620000261/0001445866-20-000261-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-100000,- -,-100000,-100000,-100000,- -,-100000,-1600000,-2400000,-3840170,1382060,-1173860,1266610,-7753870,-10733090
74,Depreciation and Amortization,10000,12024,12024,16848,12024,12024,12024,29102,167279,243847,295375,210481,355208,1288022,1218042
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85397,342865,561421,831624,1358074
77,Change in Working Capital,- -,-9164,32638,-18918,2992,9808,12040,-742215,1574423,-1675114,-6822088,-2362682,-4930551,-5913188,-3378563
78,Accounts Receivable,- -,-4651,- -,6582,550,- -,- -,-1635880,-2973080,-5948334,-6025293,-4462593,-11210496,-8261108,-8587950
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-4513,- -,- -,- -,- -,- -,87917,-47150,244966,54804,50101,181219,2602970,-1711627
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,30000,-8700,48827,1339,43722,-44447,48670,393064,820315,2710918,2981250,2121795,839953,1169493,1740259
83,Cash Provided by Operating Activities,-60000,-5840,-6511,-100731,-41262,-22615,-27266,-1920049,162017,-2560519,-2078006,-861401,-1907359,-10377919,-9795278
84,CAPEX,- -,- -,- -,-7546,- -,- -,- -,-238244,-390456,-278909,-194841,-76762,-75897,-32561,-12947
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,564,- -,- -,15044,- -,31201,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-90614,-290971,-215358,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,430,- -,- -,- -,- -,504001,- -,-50125,-1272030,317804,- -,- -
89,Cash Used for Investing Activites,- -,- -,38,-7116,- -,- -,- -,-328294,-177426,-494267,-229922,-1348792,273108,-32561,-12947
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-490000,-898943,-3467657,-25000,-807677,-3876000
91,Common Stock Issued,- -,- -,- -,150000,- -,25500,30000,777701,520000,40000,130000,4228450,450000,3637500,5730000
92,Common Stock Repurchased,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-45894,-84838,-190981,-86795,- -,- -,- -
94,Other Financing Activites,10000,- -,- -,- -,- -,- -,- -,- -,- -,3400000,3100000,2676713,- -,9443506,8111408
95,Cash Used/Provided by Financing Activities,70000,- -,- -,150000,- -,25500,30000,777701,474106,2865162,2140076,3350711,425000,12273329,9965408
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,-5840,-6473,42153,-41262,2885,2734,-1470642,458697,-189624,-167852,1140518,-1209251,1862849,157183
98,Cash at the End of Period,462000,6944,471,42624,1362,4247,6981,281269,739966,550342,382490,1523008,313757,3854885,4012068
99,Cash at the Beginning of Period,452000,12784,6944,471,42624,1362,4247,1751911,281269,739966,550342,382490,1523008,1992036,3854885
100,Free Cash Flow,-60000,-5840,-6511,-108277,-41262,-22615,-27266,-2158293,-228439,-2839428,-2272847,-938163,-1983256,-10410480,-9808225
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396633/000103883810000097/0001038838-10-000097-index.html,- -,https://www.sec.gov/Archives/edgar/data/1396633/000107878212000803/0001078782-12-000803-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586613000270/0001445866-13-000270-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586614000350/0001445866-14-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586615000352/0001445866-15-000352-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586616001803/0001445866-16-001803-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586617000333/0001445866-17-000333-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586618000304/0001445866-18-000304-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586619000404/0001445866-19-000404-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586620000261/0001445866-20-000261-index.htm
102,false,,,,,,,,,,,,,,,
