,https://roic.ai/company/NET,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,222977000,411885000,104996000,563711000,1556273000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,79000,85000,294000,304000,321000
64,Retained Earnings,- -,-108714000,-195878000,-301706000,-420520000,-680829000
65,Other Comprehensive Income/Loss,- -,-27736000,-39899000,-67189000,163000,-2645000
66,Other Total Stockholders Equity,- -,76537000,122187000,1094429000,1236993000,- -
67,Total Stockholders Equity,- -,-59834000,-113505000,725828000,816940000,815798000
68,Total Liabilities And Stockholders Equity,- -,163143000,298380000,830824000,1380651000,2372071000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,163143000,298380000,830824000,1380651000,2372071000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1477333/000147733320000010/0001477333-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733321000009/0001477333-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733322000008/0001477333-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-17334000,-10748000,-87164000,-105828000,-119370000,-260309000
74,Depreciation and Amortization,8355000,12174000,18905000,29479000,49387000,66607000
75,Deferred Income Tax,-530000,-135000,385000,370000,-6145000,8738000
76,Stock Based Compensation,5700000,2755000,27347000,36627000,56334000,90136000
77,Change in Working Capital,-11752000,72892000,70497000,470631000,382588000,3391000
78,Accounts Receivable,-6680000,-2073000,-14758000,-11200000,-33000000,-35848000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1247000,-957000,4386000,-1328000,1690000,2462000
81,Other Working Capital,-8031000,64861000,135358000,605989000,988577000,8979000
82,Other Non-Cash Items,2243000,-73771000,-73251000,-470196000,-379923000,156085000
83,Cash Provided by Operating Activities,-13318000,3167000,-43281000,-38917000,-17129000,64648000
84,CAPEX,-18558000,-22975000,-34839000,-57279000,-74962000,-107738000
85,Acquisitions Net,- -,- -,- -,- -,-13941000,-5605000
86,Purchases of Investments,-74891000,-47090000,-145269000,-537382000,-1267015000,-1589265000
87,Sales/Maturities of Investments,79561000,79831000,59249000,176976000,840248000,993233000
88,Other Investing Activites,-4028000,-4166000,-9309000,-13946000,-18190000,-14699000
89,Cash Used for Investing Activites,-15256000,9544000,-120795000,-417641000,-515273000,-709322000
90,Debt Repayment,-507000,-5095000,-356000,-255000,-200000,-370647000
91,Common Stock Issued,- -,- -,- -,570544000,10923000,- -
92,Common Stock Repurchased,-20000,-16000,-65000,-283000,-157000,-189000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,945000,4962000,169042000,762000,494346000,1218322000
95,Cash Used/Provided by Financing Activities,418000,-149000,168621000,570768000,504912000,847486000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-28156000,12562000,4545000,114210000,-27490000,202812000
98,Cash at the End of Period,14319000,26881000,31426000,145636000,118146000,320958000
99,Cash at the Beginning of Period,42475000,14319000,26881000,31426000,145636000,118146000
100,Free Cash Flow,-31876000,-19808000,-78120000,-96196000,-92091000,-43090000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1477333/000147733320000010/0001477333-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733321000009/0001477333-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733322000008/0001477333-22-000008-index.htm
102,false,,,,,,
