,https://roic.ai/company/MT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1772,0.1085,0.0624,0.0587,-0.0450,0.0352,0.0443,0.2735,0.1782,0.1466,0.1708,0.1328,0.0337,0.0950,0.1134,0.0126,0.0536,0.0615,-0.0388,0.1172,0.1259,0.1090,0.0250,0.0820,0.1969
17,Operating Income,299000000,406000000,308000000,315000000,-194000000,142000000,151000000,6146000000,4746000000,7499000000,14830000000,12236000000,-1678000000,3605000000,4898000000,-3226000000,1197000000,3034000000,-4161000000,4161000000,5434000000,6539000000,-627000000,2110000000,16976000000
18,Operating Income ratio,0.1365,0.1163,0.0658,0.0618,-0.0432,0.0290,0.0278,0.2769,0.1687,0.1274,0.1409,0.0979,-0.0258,0.0462,0.0521,-0.0383,0.0151,0.0383,-0.0654,0.0733,0.0791,0.0860,-0.0089,0.0396,0.2217
19,Total Other Income Expenses (Gains),1000000,-118000000,-180000000,-193000000,-224000000,-166000000,-94000000,-13000000,-43000000,-304000000,58000000,-699000000,-2759000000,-1749000000,-2218000000,-2543000000,-3557000000,-3554000000,-3360000000,-1441000000,-427000000,-1558000000,-1305000000,-1022000000,1049000000
20,Income Before Tax,300000000,288000000,128000000,122000000,-418000000,-24000000,57000000,6133000000,4703000000,7195000000,14888000000,11537000000,-4437000000,1856000000,2680000000,-5769000000,-2360000000,-520000000,-7521000000,2720000000,5007000000,4981000000,-1932000000,1088000000,18025000000
21,Income Before Tax Ratio,0.1370,0.0825,0.0274,0.0239,-0.0932,-0.0049,0.0105,0.2763,0.1672,0.1222,0.1415,0.0923,-0.0681,0.0238,0.0285,-0.0685,-0.0297,-0.0066,-0.1183,0.0479,0.0729,0.0655,-0.0274,0.0204,0.2354
22,Income Tax expense (Gain),11000000,51000000,43000000,23000000,-106000000,-54000000,-8000000,817000000,818000000,1109000000,3038000000,1098000000,-4512000000,-1479000000,882000000,-1925000000,215000000,454000000,902000000,986000000,432000000,-349000000,459000000,1666000000,-2460000000
23,Net Income,289000000,237000000,85000000,99000000,-312000000,49000000,66000000,4701000000,3365000000,5226000000,10368000000,9399000000,118000000,2916000000,2263000000,-3726000000,-2545000000,-1086000000,-7946000000,1779000000,4568000000,5149000000,-2454000000,-733000000,14956000000
24,Net Income ratio,0.1320,0.0679,0.0182,0.0194,-0.0695,0.0100,0.0121,0.2118,0.1196,0.0888,0.0985,0.0752,0.0018,0.0374,0.0241,-0.0442,-0.0320,-0.0137,-0.1250,0.0313,0.0665,0.0677,-0.0348,-0.0138,0.1953
25,EPS,5.86,4.60,1.69,1.95,-6.15,0.95,1.26,17.42,11.68,12.61,17.66,16.21,0.19,4.60,3.48,-5.74,-3.48,-1.45,-10.56,1.86,4.48,5.07,-2.42,-0.64,13.12
26,EPS Diluted,5.86,4.60,1.69,1.95,-6.15,0.95,1.26,17.42,11.66,12.59,17.64,16.16,0.19,4.10,2.84,-5.74,-3.48,-1.45,-10.56,1.86,4.46,5.04,-2.42,-0.64,13.12
27,Weighted Average Shares Outstanding,49086832,51604106,50345469,50345469,50765015,51604106,51184560,269767808,288227813,414511033,586944267,580231537,606243363,634352917,649876104,649876104,746791133,751406134,753084316,953332380,1020000000,1015000000,1013000000,1140000000,1140000000
28,Weighted Average Shares Outstanding Diluted,49086832,52023652,50345469,50345469,50765015,51604106,51184560,269767808,289066904,414930579,587783358,581490174,606662909,671272928,675887930,650295649,747630224,752245225,753084316,954999045,1024000000,1021000000,1013000000,1140000000,1140000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1243429/000119312508060572/0001193125-08-060572-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312509034129/0001193125-09-034129-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312510030759/0001193125-10-030759-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312511041201/0001193125-11-041201-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342912000008/0001243429-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342913000002/0001243429-13-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1243429/000124342915000002/0001243429-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342916000008/0001243429-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342917000002/0001243429-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342918000007/0001243429-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342919000005/0001243429-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342920000004/0001243429-20-000004-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,77000000,80000000,2495000000,2035000000,6020000000,7860000000,7576000000,5919000000,6207000000,3821000000,4398000000,6072000000,3893000000,4002000000,2501000000,2574000000,2172000000,4867000000,5600000000,4371000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1000000,14000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,77000000,80000000,2496000000,2049000000,6026000000,7860000000,7576000000,5919000000,6207000000,3821000000,4398000000,6072000000,3893000000,4002000000,2501000000,2574000000,2172000000,4867000000,5600000000,4371000000
34,Net Receivables,- -,- -,- -,- -,- -,529000000,507000000,2006000000,2287000000,8769000000,9533000000,9332000000,5750000000,5725000000,6452000000,6873000000,6608000000,4904000000,3644000000,3757000000,5345000000,6165000000,5252000000,4190000000,5143000000
35,Inventory,- -,- -,- -,- -,- -,873000000,828000000,4013000000,6036000000,19238000000,21750000000,24741000000,16835000000,19583000000,21689000000,19025000000,19240000000,17304000000,13424000000,14734000000,17986000000,20744000000,17296000000,12328000000,19858000000
36,Other Current Assets,- -,- -,- -,- -,- -,133000000,135000000,1110000000,1340000000,5329000000,6185000000,2765000000,4303000000,11160000000,3643000000,1498000000,2105000000,1956000000,1256000000,1255000000,840000000,3394000000,1201000000,5855000000,5567000000
37,Total Current Assets,- -,- -,- -,- -,- -,1612000000,1550000000,9625000000,11712000000,39362000000,45328000000,44414000000,32807000000,42675000000,35605000000,31794000000,34025000000,28057000000,22326000000,22247000000,26745000000,32475000000,28616000000,27973000000,34939000000
38,PP&E,- -,- -,- -,- -,- -,3035000000,3091000000,7562000000,15539000000,54696000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30622000000,30075000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,8020000000,12663000000,13629000000,- -,- -,- -,8164000000,7735000000,7322000000,5143000000,5248000000,5294000000,4986000000,5104000000,3992000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,83000000,117000000,106000000,1439000000,2762000000,2368000000,2490000000,- -,- -,- -,1417000000,999000000,782000000,449000000,403000000,443000000,742000000,328000000,320000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,83000000,117000000,106000000,1439000000,10782000000,15031000000,16119000000,17034000000,14373000000,14053000000,9581000000,8734000000,8104000000,5592000000,5651000000,5737000000,5728000000,5432000000,4312000000,4425000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10052000000,10419000000,9267000000,8306000000,7933000000,7035000000,5603000000,5223000000,6555000000,5761000000,7301000000,9797000000,10319000000
43,Tax Assets,- -,- -,- -,- -,- -,438000000,535000000,855000000,785000000,1670000000,1629000000,751000000,4838000000,6603000000,6081000000,8130000000,8938000000,7962000000,6625000000,5837000000,7055000000,8287000000,8680000000,7866000000,8147000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,344000000,342000000,1005000000,1567000000,5656000000,71637000000,71804000000,62966000000,56834000000,56874000000,56762000000,52678000000,48021000000,36700000000,36184000000,39205000000,38998000000,37879000000,1482000000,2607000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,3900000000,4085000000,9528000000,19330000000,72804000000,88297000000,88674000000,94890000000,88229000000,86275000000,82779000000,78283000000,71122000000,54520000000,52895000000,58552000000,58774000000,59292000000,54079000000,55573000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,5512000000,5635000000,19153000000,31042000000,112166000000,133625000000,133088000000,127697000000,130904000000,121880000000,114573000000,112308000000,99179000000,76846000000,75142000000,85297000000,91249000000,87908000000,82052000000,90512000000
48,Accounts Payable,- -,- -,- -,- -,- -,607000000,577000000,1899000000,2504000000,10717000000,13991000000,10501000000,10676000000,13256000000,1092000000,12601000000,12604000000,11450000000,8977000000,11633000000,13428000000,13981000000,12614000000,11525000000,15093000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9686000000,8409000000,4135000000,6716000000,2784000000,4239000000,4036000000,2449000000,2243000000,1820000000,2711000000,3098000000,2608000000,2324000000,1913000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218000000,161000000,52000000,59000000,56000000,39000000,69000000,58000000,49000000,73000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,667000000,883000000,4331000000,3111000000,13843000000,8532000000,11850000000,8719000000,10751000000,19730000000,6817000000,8543000000,7165000000,6765000000,4623000000,5202000000,6318000000,6016000000,8745000000,7161000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,1274000000,1460000000,6230000000,5615000000,24560000000,32209000000,30760000000,23530000000,30723000000,23824000000,23818000000,25235000000,21123000000,18041000000,18115000000,21410000000,23455000000,21287000000,22667000000,24167000000
54,Long-Term Debt,- -,- -,- -,- -,- -,2022000000,1914000000,1639000000,7974000000,21645000000,22085000000,25667000000,20677000000,19292000000,23634000000,21513000000,17520000000,16643000000,16942000000,11325000000,9729000000,8961000000,10605000000,9183000000,6488000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,69000000,74000000,955000000,1602000000,7274000000,7927000000,6395000000,5144000000,4006000000,3680000000,3228000000,3115000000,3004000000,2496000000,2529000000,2684000000,2374000000,2331000000,1832000000,2369000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,2019000000,2038000000,2740000000,3867000000,8496000000,9869000000,11036000000,12948000000,10783000000,10265000000,10817000000,13265000000,13249000000,11797000000,10848000000,10619000000,12351000000,13202000000,8133000000,6144000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,4110000000,4026000000,5334000000,13443000000,37415000000,39881000000,43098000000,38769000000,34081000000,37579000000,35558000000,33900000000,32896000000,31235000000,24702000000,23032000000,23686000000,26138000000,19148000000,15001000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,552000000,755000000,705000000,601000000,529000000,488000000,424000000,1127000000,815000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,5384000000,5486000000,11564000000,19058000000,61975000000,72090000000,73858000000,62299000000,64804000000,61403000000,59376000000,59135000000,54019000000,49276000000,42817000000,44442000000,47141000000,47425000000,41815000000,39168000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,7000000,7000000,59000000,60000000,17000000,- -,9269000000,- -,- -,- -,9403000000,10011000000,10011000000,10011000000,401000000,401000000,364000000,364000000,393000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,141000000,207000000,4739000000,7891000000,14974000000,23552000000,30403000000,29738000000,31647000000,30531000000,25633000000,24037000000,22182000000,13902000000,16049000000,20635000000,25611000000,22883000000,22097000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1198000000,-1616000000,-3826000000,-4037000000,-8403000000,-16055000000,-16488000000,-23519000000,-24534000000,-26241000000,-31424000000,-34999000000,-29856000000,-27035000000,-26602000000,-33655000000,-27567000000,-30989000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,1178000000,1551000000,4874000000,6236000000,35539000000,49188000000,32014000000,54826000000,55317000000,52400000000,48111000000,50744000000,39749000000,28394000000,40287000000,51408000000,43678000000,46263000000,15790000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,128000000,149000000,5846000000,10150000000,42127000000,56685000000,55198000000,61045000000,62430000000,56690000000,51723000000,49793000000,42086000000,25272000000,30135000000,38789000000,42086000000,38521000000,38280000000,49106000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,5512000000,5635000000,17410000000,29208000000,104102000000,128775000000,129056000000,123344000000,127234000000,118093000000,111099000000,108928000000,96105000000,74548000000,72952000000,83231000000,89227000000,85946000000,80095000000,88274000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1743000000,1834000000,8064000000,4850000000,4032000000,4353000000,3670000000,3787000000,3474000000,3380000000,3074000000,2298000000,2190000000,2066000000,2022000000,1962000000,1957000000,2238000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,5512000000,5635000000,19153000000,31042000000,112166000000,133625000000,133088000000,127697000000,130904000000,121880000000,114573000000,112308000000,99179000000,76846000000,75142000000,85297000000,91249000000,87908000000,82052000000,90512000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1243429/000119312508060572/0001193125-08-060572-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312509034129/0001193125-09-034129-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312510030759/0001193125-10-030759-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312511041201/0001193125-11-041201-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342912000008/0001243429-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342913000002/0001243429-13-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1243429/000124342915000002/0001243429-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342916000008/0001243429-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342917000002/0001243429-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342918000007/0001243429-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342919000005/0001243429-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342920000004/0001243429-20-000004-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,289000000,237000000,85000000,99000000,-312000000,49000000,66000000,4701000000,3365000000,5226000000,10368000000,9399000000,118000000,2916000000,2263000000,-3726000000,-2545000000,-1086000000,-7946000000,1779000000,4568000000,5149000000,-2454000000,-733000000,14956000000
74,Depreciation and Amortization,88000000,91000000,164000000,177000000,216000000,177000000,183000000,553000000,829000000,2296000000,4570000000,6100000000,4894000000,4395000000,4669000000,4684000000,4695000000,3939000000,3192000000,2721000000,2768000000,2799000000,3067000000,2960000000,2305000000
75,Deferred Income Tax,3000000,45000000,25000000,3000000,-114000000,-61000000,-30000000,86000000,155000000,- -,- -,- -,-4512000000,-1479000000,882000000,-1925000000,215000000,615000000,902000000,986000000,432000000,-349000000,459000000,1666000000,-493000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-82000000,-96000000,406000000,187000000,316000000,18000000,172000000,-1173000000,-520000000,-626000000,793000000,-9016000000,3280000000,-4522000000,-7888000000,2552000000,555000000,-273000000,167000000,-1405000000,-2155000000,-4340000000,2087000000,932000000,-6409000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1578000000,-433000000,-694000000,1153000000,115000000,537000000,335000000,-373000000,-620000000,-646000000,- -,-76000000,- -
79,Inventory,-81000000,-11000000,136000000,27000000,169000000,-37000000,106000000,-1374000000,40000000,-584000000,-690000000,-7724000000,5356000000,-5540000000,-3057000000,2779000000,-609000000,-122000000,925000000,-2055000000,-2347000000,-4652000000,2469000000,1786000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-360000000,3442000000,-74000000,-1103000000,1258000000,-47000000,-1291000000,1405000000,1094000000,914000000,-1236000000,-214000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-133000000,-768000000,370000000,-946000000,-3294000000,-1991000000,-3179000000,-277000000,-209000000,-641000000,198000000,-382000000,-282000000,44000000,-110000000,-564000000,- -
82,Other Non-Cash Items,-39000000,-24000000,-81000000,-85000000,-66000000,-15000000,-202000000,444000000,145000000,226000000,801000000,8169000000,3498000000,2705000000,1851000000,3709000000,1376000000,675000000,5836000000,-1373000000,-1050000000,937000000,2858000000,-743000000,-454000000
83,Cash Provided by Operating Activities,259000000,253000000,599000000,381000000,40000000,168000000,189000000,4611000000,3974000000,7122000000,16532000000,14652000000,7278000000,4015000000,1777000000,5294000000,4296000000,3870000000,2151000000,2708000000,4563000000,4196000000,6017000000,4082000000,9905000000
84,CAPEX,-288000000,-1474000000,-214000000,-184000000,-97000000,-108000000,-164000000,-898000000,-1181000000,-2935000000,-5448000000,-5531000000,-2792000000,-3308000000,-4838000000,-4683000000,-3452000000,-3665000000,-2707000000,-2444000000,-2819000000,-3305000000,-3572000000,-2439000000,-3008000000
85,Acquisitions Net,- -,- -,9000000,- -,- -,- -,- -,-19000000,-6220000000,-5842000000,-7248000000,-6201000000,-120000000,-75000000,-860000000,501000000,-139000000,-26000000,- -,1209000000,22000000,246000000,-487000000,358000000,- -
86,Purchases of Investments,- -,- -,- -,-25000000,- -,- -,- -,- -,-300000000,- -,- -,- -,-33000000,-327000000,-95000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,23000000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,463000000,511000000,532000000,195000000,165000000,44000000,44000000,196000000,59000000,- -
88,Other Investing Activites,2000000,- -,21000000,-9000000,41000000,28000000,40000000,116000000,89000000,201000000,787000000,-696000000,161000000,272000000,2115000000,59000000,203000000,82000000,342000000,-73000000,-77000000,-744000000,39000000,11000000,2668000000
89,Cash Used for Investing Activites,-286000000,-1474000000,-184000000,-195000000,-48000000,-80000000,-124000000,-801000000,-7612000000,-8576000000,-11909000000,-12428000000,-2784000000,-3438000000,-3678000000,-3660000000,-2877000000,-3077000000,-2170000000,-1143000000,-2830000000,-3759000000,-3824000000,-2011000000,-340000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19879000000,-7854000000,-8194000000,-6097000000,-5542000000,-5827000000,-2991000000,-7633000000,-4793000000,-3669000000,-5436000000,-3412000000,-398000000
91,Common Stock Issued,400000000,- -,- -,- -,5000000,5000000,- -,9000000,3000000,8000000,55000000,68000000,3153000000,1363000000,- -,- -,1756000000,- -,- -,3115000000,- -,- -,- -,740000000,- -
92,Common Stock Repurchased,-32000000,-78000000,- -,-1000000,-1000000,-1000000,-8000000,-54000000,- -,- -,-2553000000,-4440000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226000000,-90000000,-500000000,-5170000000
93,Dividends Paid,- -,-19000000,-18000000,-18000000,- -,- -,- -,-763000000,-2092000000,-660000000,-2269000000,-2576000000,-1338000000,-1257000000,-1194000000,-1191000000,-415000000,-458000000,-416000000,-61000000,-141000000,-220000000,-332000000,-181000000,-312000000
94,Other Financing Activites,164000000,1084000000,-414000000,-120000000,-127000000,-105000000,-55000000,-1521000000,5438000000,6097000000,1350000000,4816000000,11717000000,7741000000,8848000000,6244000000,4442000000,3535000000,3802000000,1653000000,3203000000,3426000000,6372000000,1855000000,-5018000000
95,Cash Used/Provided by Financing Activities,532000000,987000000,-432000000,-139000000,-123000000,-101000000,-63000000,-2329000000,3349000000,5445000000,-3417000000,-2132000000,-6347000000,-7000000,-540000000,-1044000000,241000000,-2750000000,395000000,-2926000000,-1731000000,-689000000,514000000,-1498000000,-10898000000
96,Effect of Forex Changes on Cash,-25000000,3000000,-1000000,-3000000,2000000,5000000,1000000,254000000,-171000000,-6000000,634000000,-376000000,196000000,-159000000,55000000,-13000000,19000000,-230000000,-267000000,-127000000,58000000,-140000000,-22000000,163000000,-55000000
97,Net Change In Cash,480000000,-231000000,-18000000,44000000,-129000000,-8000000,3000000,1735000000,-460000000,3985000000,1840000000,-284000000,-1657000000,288000000,-2386000000,577000000,1670000000,-2179000000,109000000,-1501000000,73000000,-402000000,2695000000,733000000,-10898000000
98,Cash at the End of Period,790000000,188000000,170000000,214000000,85000000,77000000,80000000,2495000000,2035000000,6020000000,7860000000,7576000000,5919000000,6207000000,3821000000,4398000000,6072000000,3893000000,4002000000,2501000000,2574000000,2172000000,4867000000,5600000000,- -
99,Cash at the Beginning of Period,310000000,419000000,188000000,170000000,214000000,85000000,77000000,760000000,2495000000,2035000000,6020000000,7860000000,7576000000,5919000000,6207000000,3821000000,4402000000,6072000000,3893000000,4002000000,2501000000,2574000000,2172000000,4867000000,- -
100,Free Cash Flow,-29000000,-1221000000,385000000,197000000,-57000000,60000000,25000000,3713000000,2793000000,4187000000,11084000000,9121000000,4486000000,707000000,-3061000000,611000000,844000000,205000000,-556000000,264000000,1744000000,891000000,2445000000,1643000000,6897000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1243429/000119312508060572/0001193125-08-060572-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312509034129/0001193125-09-034129-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312510030759/0001193125-10-030759-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000119312511041201/0001193125-11-041201-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342912000008/0001243429-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342913000002/0001243429-13-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1243429/000124342915000002/0001243429-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342916000008/0001243429-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342917000002/0001243429-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342918000007/0001243429-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342919000005/0001243429-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1243429/000124342920000004/0001243429-20-000004-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
