,https://roic.ai/company/BSY,2018,2019,2020,2021
52,Other Current Liabilities,139493000,169753000,230159000,317817000
53,Total Current Liabilities,435742000,392413000,465555000,593874000
54,Long-Term Debt,258750000,233750000,246000000,1501540000
55,Deferred Revenue,49769000,8154000,7020000,7983000
56,Deferred Tax Liabilities,10470000,8260000,10849000,65014000
57,Other Non-Current Liabilities,21434000,17403000,55012000,81610000
58,Total Non-Current Liabilities,340423000,267567000,318881000,1656147000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,48377000,- -
61,Total Liabilities,776165000,659980000,784436000,2250021000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,2502000,2548000,2722000,2825000
64,Retained Earnings,-218553000,-52669000,-376003000,-439634000
65,Other Comprehensive Income/Loss,-29414000,-23927000,-26233000,-91774000
66,Other Total Stockholders Equity,392896000,408667000,741113000,937805000
67,Total Stockholders Equity,147431000,334619000,341599000,409222000
68,Total Liabilities And Stockholders Equity,923596000,994599000,1126035000,2659243000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,923596000,994599000,1126035000,2659243000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1031308/000162828021003727/0001628280-21-003727-index.htm,https://www.sec.gov/Archives/edgar/data/1031308/000162828022004474/0001628280-22-004474-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,142112000,103096000,126521000,93192000
74,Depreciation and Amortization,29200000,32160000,36117000,52793000
75,Deferred Income Tax,-60060000,732000,16246000,-19745000
76,Stock Based Compensation,7882000,8091000,32114000,49045000
77,Change in Working Capital,35949000,113664000,-86442000,147254000
78,Accounts Receivable,-41787000,-21152000,12388000,-35519000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,37249000,41880000,47656000,50077000
81,Other Working Capital,-152519000,-38855000,-125297000,21957000
82,Other Non-Cash Items,6382000,-86970000,133784000,-34515000
83,Cash Provided by Operating Activities,161465000,170773000,258340000,288024000
84,CAPEX,-19493000,-16639000,-16447000,-35078000
85,Acquisitions Net,-135264000,-37054000,-93032000,-1034983000
86,Purchases of Investments,- -,- -,-15496000,-17539000
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-877000,-835000,6691000,13458000
89,Cash Used for Investing Activites,-154757000,-53693000,-117333000,-1056603000
90,Debt Repayment,-159500000,-216250000,-663814000,-15932000
91,Common Stock Issued,16220000,4510000,354151000,- -
92,Common Stock Repurchased,-46451000,-24166000,-83975000,- -
93,Dividends Paid,-20059000,-24989000,-422646000,-33396000
94,Other Financing Activites,150991000,183847000,679773000,1031910000
95,Cash Used/Provided by Financing Activities,-58799000,-77048000,-136511000,982582000
96,Effect of Forex Changes on Cash,-1193000,-114000,-3591000,-6672000
97,Net Change In Cash,-53284000,39918000,905000,207331000
98,Cash at the End of Period,81183000,121101000,122006000,329337000
99,Cash at the Beginning of Period,134467000,81183000,121101000,- -
100,Free Cash Flow,141972000,154134000,241893000,252946000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1031308/000162828021003727/0001628280-21-003727-index.htm,https://www.sec.gov/Archives/edgar/data/1031308/000162828022004474/0001628280-22-004474-index.htm
102,false,,,,
