,https://roic.ai/company/AXON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,77918,1063300,674444,7770166,31869086,4432664,-2879703,25047477,9581077,3725785,2173095,-1532198,29130612,33165000,36628000,38652000,35155000,23802000,38719000,13431000,6184000,-122681000
16,EBITDA ratio,0.0228,0.1552,0.0685,0.3177,0.4712,0.0929,-0.0425,0.2487,0.1032,0.0357,0.0250,-0.0170,0.2539,0.2406,0.2226,0.1953,0.1311,0.0692,0.0922,0.0253,0.0091,-0.1421
17,Operating Income,-46885,772256,361011,7580699,30875534,1550654,-6856224,20374002,5225337,-79174,-5139639,-10915933,22528520,27948000,32505000,35335000,31851000,13023000,24841000,-6394000,-14150000,-168123000
18,Operating Income ratio,-0.0137,0.1127,0.0367,0.3100,0.4565,0.0325,-0.1012,0.2023,0.0563,-0.0008,-0.0591,-0.1213,0.1963,0.2028,0.1976,0.1786,0.1187,0.0379,0.0591,-0.0120,-0.0208,-0.1947
19,Total Other Income Expenses (Gains),- -,-152231,19735,-213408,440274,1165064,1872645,2149238,1717967,170547,25819,1287192,82842,86000,-194000,26000,-354000,2738000,3263000,8464000,7859000,26748000
20,Income Before Tax,- -,620025,380746,7367291,31315808,2715718,-4983579,22523240,6943304,91373,-5113820,-9628741,22611362,28034000,32311000,35361000,31497000,15761000,28104000,2070000,-6291000,-141375000
21,Income Before Tax Ratio,- -,0.0905,0.0387,0.3013,0.4630,0.0569,-0.0736,0.2236,0.0748,0.0009,-0.0588,-0.1070,0.1970,0.2034,0.1964,0.1787,0.1174,0.0458,0.0669,0.0039,-0.0092,-0.1637
22,Income Tax expense (Gain),- -,104996,171843,2913601,12191000,1652861,-895900,7499764,3306263,92479,-729385,-2588875,7873620,9790000,12393000,15428000,14200000,10554000,-1101000,1188000,-4567000,-81357000
23,Net Income,-473247,515029,208903,4453690,19124808,1062857,-4087679,15026476,3637041,-1106,-4384435,-7039866,14737742,18244000,19918000,19933000,17297000,5207000,29205000,882000,-1724000,-60018000
24,Net Income ratio,-0.1387,0.0752,0.0212,0.1821,0.2827,0.0223,-0.0604,0.1492,0.0392,-0.0000,-0.0504,-0.0782,0.1284,0.1324,0.1211,0.1007,0.0645,0.0151,0.0695,0.0017,-0.0025,-0.0695
25,EPS,-0.02,0.02,0.01,0.12,0.33,0.02,-0.07,0.24,0.06,-0.00,-0.07,-0.12,0.27,0.38,0.38,0.37,0.33,0.10,0.52,0.01,-0.03,-0.97
26,EPS Diluted,-0.02,0.01,0.01,0.10,0.31,0.02,-0.07,0.23,0.06,-0.00,-0.07,-0.12,0.27,0.37,0.37,0.36,0.32,0.10,0.50,0.01,-0.03,-0.97
27,Weighted Average Shares Outstanding,29825536,27640632,33561204,37889640,57232329,61303939,61984240,62621174,62371004,61920094,62524446,59435624,53827204,51880000,52948000,53548000,52667000,52726000,56392000,59190000,61782000,61782000
28,Weighted Average Shares Outstanding Diluted,29825536,36351960,34915404,46598312,62319590,63556246,61984240,65685667,64070869,63272168,62524446,59435624,54722785,54152000,54500000,54638000,53536000,53898000,57922000,60018000,61782000,61782000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069183/000119312512112320/0001193125-12-112320-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1069183/000119312514091839/0001193125-14-091839-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918315000028/0001069183-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918316000148/0001069183-16-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918317000042/0001069183-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000020/0001069183-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918319000023/0001069183-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918320000016/0001069183-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000155837021001873/0001558370-21-001873-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/0001558370-22-002006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,206408,5636100,3576937,15878326,14757159,16351909,18773685,48800287,46880435,45505049,42684241,21300733,36126791,42271000,48367000,59526000,40651000,75105000,349462000,172250000,155440000,356332000
32,Short-Term Investments,- -,- -,- -,- -,17201477,- -,3557289,2501152,2498998,- -,- -,5108189,1680958,9101000,32774000,50254000,48415000,6862000,- -,178534000,406525000,86690000
33,Cash and Short-Term Investments,206408,5636100,3576937,15878326,31958636,16351909,22330974,51301439,49379433,45505049,42684241,26408922,37807749,51372000,81141000,109780000,89066000,81967000,349462000,350784000,561965000,443022000
34,Net Receivables,312681,765328,888142,5404333,8460112,6041481,10068049,11691553,16793553,15384993,13542535,11780135,18101240,22488000,30735000,27701000,39466000,56064000,144539000,194596000,293146000,501240000
35,Inventory,221169,801926,2334809,3125974,6840051,10283390,9257746,13506804,13467117,15085750,17815405,11484761,10993209,11109000,18323000,15763000,34841000,45465000,33763000,38845000,89958000,108688000
36,Other Current Assets,24535,218486,341380,1966332,12776129,9751076,14459495,19926986,11958612,9909454,8284014,12058605,12150318,12498000,9629000,8165000,13858000,21696000,30391000,34866000,36883000,56540000
37,Total Current Assets,764793,7421840,7141268,26374965,60034928,42427856,56116264,96426782,91598715,85885246,82326195,61732423,79052516,97467000,139828000,161409000,177231000,205192000,558155000,619091000,981952000,1109490000
38,PP&E,274273,560423,661374,3946881,14756512,21061754,20842632,23599680,27128032,38673065,35905765,26845220,21952201,19043000,17523000,21848000,24004000,31172000,37893000,53423000,127802000,138457000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2235000,2206000,9596000,10442000,14927000,24981000,25013000,25205000,43592000
40,Intangible Assets,- -,- -,101571,1122844,1279116,1340783,1532500,1925139,2447011,2765701,3090876,3224006,3317169,3316000,3115000,7588000,15218000,18823000,15935000,12771000,9448000,15470000
41,Intangible Assets,- -,- -,101571,1122844,1279116,1340783,1532500,1925139,2447011,2765701,3090876,3224006,3317169,5551000,5321000,17184000,25660000,33750000,40916000,37784000,34653000,59062000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12023000,9296000,8525000,234000,- -,- -,45499000,100181000,114752000
43,Tax Assets,- -,- -,- -,- -,12126765,19959681,15868719,6724104,8826778,10997093,13919753,12716169,11605812,13679000,10877000,13719000,19515000,15755000,19347000,27688000,45770000,127193000
44,Other Non-Current Assets,- -,72416,- -,- -,18071815,27548120,25477574,9087696,14970,104812,944346,444933,308553,618000,2523000,7196000,31519000,52243000,63229000,62154000,90665000,139256000
45,Total Non-Current Assets,274273,632839,762945,5069725,46234208,69910338,63721425,41336619,38416791,52540671,53860740,43230328,37183735,50914000,45540000,68472000,100932000,132920000,161385000,226548000,399071000,578720000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1039066,8054679,7904213,31444690,106269136,112338194,119837689,137763401,130015506,138425917,136186935,104962751,116236251,148381000,185368000,229881000,278163000,338112000,719540000,845639000,1381023000,1688210000
48,Accounts Payable,589949,1154280,1366432,3522327,8432066,6285274,4554203,7304112,3856961,6357195,4550789,4513938,6222904,6221000,7682000,7333000,10736000,8592000,15164000,25874000,24142000,32220000
49,Short-Term Debt,246745,1268363,422418,265223,4642,43111,45214,19257,- -,- -,- -,- -,33947,36000,38000,87000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141488,295595,233000,539000,1215000,4581000,2558000,4167000,3362000,3848000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,561165,1037441,1694644,2510645,2819155,3265260,3730955,4787323,8032000,15008000,22077000,47285000,74074000,109718000,120838000,166915000,276054000
52,Other Current Liabilities,997443,33013,15455,185914,102165,666771,12665830,3455603,4588593,4608503,4131945,7643004,7065085,8840000,9245000,8643000,20018000,25284000,41129000,48854000,65274000,110247000
53,Total Current Liabilities,1834137,2455656,1804305,3973464,8538873,7556321,18302688,12473616,10956199,13784853,11947994,15887897,18109259,23129000,31973000,38140000,78039000,107950000,166011000,195566000,256331000,418521000
54,Long-Term Debt,2778219,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103283,67000,29000,81000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,4675089,4392860,4636901,7835767,13341000,21668000,30190000,40054000,54881000,74417000,87936000,111222000,185721000
56,Deferred Tax Liabilities,- -,19311,69821,40121,- -,- -,- -,- -,- -,2264779,- -,1982399,2902896,3122000,1471000,1315000,- -,- -,- -,354000,649000,811000
57,Other Non-Current Liabilities,43925,50979,15486,3655,607856,916171,2206462,4653035,6533045,- -,2281840,- -,- -,376000,1121000,3151000,9182000,7837000,11788000,18288000,36566000,35308000
58,Total Non-Current Liabilities,2822144,70290,85307,43776,607856,916171,2206462,4653035,6533045,6939868,6674700,6619300,10841946,16906000,24289000,34737000,49236000,62718000,86205000,106578000,148437000,221840000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,15486,3655,- -,76188,30974,11695,- -,- -,- -,- -,33947,36000,38000,87000,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4656281,2525946,1889612,4017240,9146729,8472492,20509150,17126651,17489244,20724721,18622694,22507197,28951205,40035000,56262000,72877000,127275000,170668000,252216000,302144000,404768000,640361000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,32,27,28,126,609,619,622,635,638,642,647,652,661,1000,1000,1000,1000,1000,1000,1000,1000,1000
64,Retained Earnings,-6793885,515029,723932,5177622,24302430,25122221,20907215,35933691,39570732,39569626,35185191,28145325,42883067,61127000,81045000,100978000,118275000,123185000,171383000,172265000,169901000,109883000
65,Other Comprehensive Income/Loss,-583622,-744179,-974787,-1338686,-1851353,-2349842,-4403867,-6848163,-9043200,-12589903,-35445,-80956,-57032,-2000,64000,83000,903000,-1467000,-1513000,-1096000,141000,-1317000
66,Other Total Stockholders Equity,3760260,5757856,6265428,23588388,74670721,81092704,82824569,91550587,81998092,90720831,82413848,54390533,44458350,47221000,47996000,55942000,31709000,45725000,297453000,372325000,806212000,939282000
67,Total Stockholders Equity,-3617215,5528733,6014601,27427450,97122407,103865702,99328539,120636750,112526262,117701196,117564241,82455554,87285046,108347000,129106000,157004000,150888000,167444000,467324000,543495000,976255000,1047849000
68,Total Liabilities And Stockholders Equity,1039066,8054679,7904213,31444690,106269136,112338194,119837689,137763401,130015506,138425917,136186935,104962751,116236251,148382000,185368000,229881000,278163000,338112000,719540000,845639000,1381023000,1688210000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1039066,8054679,7904213,31444690,106269136,112338194,119837689,137763401,130015506,138425917,136186935,104962751,116236251,148381000,185368000,229881000,278163000,338112000,719540000,845639000,1381023000,1688210000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069183/000119312512112320/0001193125-12-112320-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1069183/000119312514091839/0001193125-14-091839-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918315000028/0001069183-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918316000148/0001069183-16-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918317000042/0001069183-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000020/0001069183-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918319000023/0001069183-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918320000016/0001069183-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000155837021001873/0001558370-21-001873-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/0001558370-22-002006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-473247,515029,208903,4453690,19124808,1062857,-4087679,15026476,3637041,-1106,-4384435,-7039866,14737742,18244000,19918000,19933000,17297000,5207000,29205000,882000,-1724000,-60018000
74,Depreciation and Amortization,124803,196499,255502,393568,551793,1712738,2096595,2521237,2637773,3634412,7286915,8096543,6519250,5131000,4317000,3291000,3658000,8041000,10615000,11361000,12475000,18694000
75,Deferred Income Tax,- -,- -,-41329,-1014217,727892,-521552,-1167924,6931856,2060623,-1188157,-1088377,-2490684,2603796,-5957000,-4185000,-6098000,-6023000,2639000,-2448000,-7004000,-15857000,-82009000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4988837,3682675,3038300,3421506,4340000,5579000,7263000,9369000,15610000,21879000,78495000,133572000,303331000
77,Change in Working Capital,356910,370779,17064538,29094554,-16624520,2942041,46139590,-3310650,-8542123,-1722192,-24533675,15098731,13394743,33517000,15414000,-24077000,-1950000,294902000,31381000,302096000,18309000,-43283000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1326309,1768134,1463031,-6078875,-4411000,-8389000,4244000,-13297000,-35305000,-67643000,- -,-107762000,- -
79,Inventory,-63002,-580757,-1532883,-791165,-3714077,-3560339,762261,-4455393,-600968,-2440616,-4007939,1327801,-62149,-711000,-9371000,3140000,-18668000,-11746000,14804000,-4903000,-52156000,-18272000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2724450,5559000,9456000,5868000,17584000,39000,13506000,4967000,8886000,45301000
81,Other Working Capital,4966184,5336963,22401501,51496055,34871535,37813576,83953166,80642516,72100393,70378201,45844526,60943257,74338000,107855000,123269000,99192000,97242000,392144000,423525000,725621000,743930000,175615000
82,Other Non-Cash Items,- -,-1637193,-18322123,-28561049,26524207,-4128380,-35498760,-7246086,8324693,4405492,19768422,562741,-14159824,-22849000,-5611000,46133000,-4426000,-307909000,-26757000,-320157000,-108294000,-12221000
83,Cash Provided by Operating Activities,8466,-554886,-834509,4366546,30304180,1067704,7481822,13922833,8118007,10117286,731525,17265765,26517213,32426000,35432000,46445000,17925000,18490000,63875000,65673000,38481000,124494000
84,CAPEX,-99759,-368140,-377992,-3651110,-11322299,-7812220,-2069190,-4521982,-6890047,-14179875,-4502674,-2267549,-1762969,-2106000,-2688000,-6504000,-8452000,-11443000,-11697000,-16343000,-72870000,-50278000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1258000,- -,-11186000,-3500000,-10629000,-4990000,- -,-7068000,-22393000
86,Purchases of Investments,- -,- -,- -,- -,-35273292,-87829476,-82610518,-138203034,-43887640,- -,- -,-11479493,-6242031,-29112000,-32900000,-62464000,-56086000,-19950000,-4331000,-354477000,-656522000,-407979000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,95554648,81123775,155730252,58895113,2500000,- -,6000000,9640544,9380000,10997000,44105000,64951000,61080000,11158000,130083000,379839000,733163000
88,Other Investing Activites,- -,-85000,-8645,-565110,-195397,-104066,- -,- -,- -,-471698,-448011,-264066,-383472,-289000,-173000,-461000,-3453000,-1000000,-558000,-404000,-146000,-349000
89,Cash Used for Investing Activites,-99759,-453140,-386637,-4216220,-46790988,-191114,-3555933,13005236,8117426,-11679875,-4471702,-7597642,1681055,-23062000,-24581000,-36009000,-3045000,19082000,-9860000,-240737000,-356526000,252556000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9736,-34000,-36000,-80000,-107000,-34000,- -,- -,- -,- -
91,Common Stock Issued,187744,8397500,43421,1819570,15629877,749503,747955,3143769,342821,- -,- -,- -,- -,- -,- -,- -,- -,- -,233993000,- -,306779000,105514000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2208957,- -,-12499280,- -,- -,-32498856,-19995950,-25000000,-22442000,-7556000,-33746000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,55052,-1959782,-881438,10331493,-264236,-31343,-43111,-45236,- -,187203,929393,1437246,6642270,21845000,17638000,8239000,-808000,-3820000,-14645000,-3937000,-7514000,-279695000
95,Cash Used/Provided by Financing Activities,242796,6437718,-838017,12151063,15365641,718160,-1504113,3098533,-12156459,187203,929393,-31061610,-13363416,-3189000,-4840000,603000,-34661000,-3854000,219348000,-3937000,299265000,-174181000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10024,9979,-8794,-31000,85000,120000,906000,736000,-774000,329000,1976000,-1982000
97,Net Change In Cash,151503,5429692,-2059163,12301389,-1121167,1594750,2421776,30026602,4078974,-1375386,-2820808,-21383508,14826058,6144000,6096000,11159000,-18875000,34454000,272589000,-178672000,-16804000,200887000
98,Cash at the End of Period,206408,5636100,3576937,15878326,14757159,16351909,18773685,48800287,46880435,45505049,42684241,21300733,36126791,42271000,48367000,59526000,40651000,75105000,351027000,172355000,155551000,356438000
99,Cash at the Beginning of Period,54905,206408,5636100,3576937,15878326,14757159,16351909,18773685,42801461,46880435,45505049,42684241,21300733,36127000,42271000,48367000,59526000,40651000,78438000,351027000,172355000,155551000
100,Free Cash Flow,-91293,-923026,-1212501,715436,18981881,-6744516,5412632,9400851,1227960,-4062589,-3771149,14998216,24754244,30320000,32744000,39941000,9473000,7047000,52178000,49330000,-34389000,74216000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069183/000119312512112320/0001193125-12-112320-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1069183/000119312514091839/0001193125-14-091839-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918315000028/0001069183-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918316000148/0001069183-16-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918317000042/0001069183-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000020/0001069183-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918319000023/0001069183-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918320000016/0001069183-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000155837021001873/0001558370-21-001873-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/0001558370-22-002006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
