,https://roic.ai/company/STRM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1008586/000095015202003398/0000950152-02-003398-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015203004220/0000950152-03-004220-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015204002747/0000950152-04-002747-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015205003028/l13167ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000095015206003039/l19228ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000095015207003118/0000950152-07-003118-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015208002610/0000950152-08-002610-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015209003851/0000950152-09-003851-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095012310035637/0000950123-10-035637-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095012311035327/0000950123-11-035327-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000119312512180747/d284757d10k.htm,https://www.sec.gov/Archives/edgar/data/1008586/000144530513000932/0001445305-13-000932-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000100858614000003/strm-2014013110xk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000162828015002328/0001628280-15-002328-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828016014497/0001628280-16-014497-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828017003513/0001628280-17-003513-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828018004993/0001628280-18-004993-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000155837019003142/0001558370-19-003142-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000149315220006930/0001493152-20-006930-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000149315221009467/0001493152-21-009467-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,600000,2100000,5400000,5400000,8549732,7865053,7242230,6227236,4181073,4634219,3316614,2189010,3128801,1025173,1403949,2243054,7500256,17924886,6522600,9882136,5654093,4619834,2376000,1649000,2409000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,600000,2100000,5400000,5400000,8549732,7865053,7242230,6227236,4181073,4634219,3316614,2189010,3128801,1025173,1403949,2243054,7500256,17924886,6522600,9882136,5654093,4619834,2376000,1649000,2409000
34,Net Receivables,- -,3600000,4100000,6000000,5100000,2155154,3193812,4574363,5359079,3306210,4386408,3638746,4666694,1830881,3104587,3300852,4914975,10166836,9181177,7126735,4319012,4956212,3224961,4196000,3986000,3103000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,17000000,6300000,1100000,400000,1723702,315043,326180,357921,686116,967731,1170430,1171050,1731491,1736613,1233614,1250214,2210686,2582166,2856388,2002289,1334426,1801886,1346000,919000,1803000
37,Total Current Assets,- -,21200000,12500000,12500000,10900000,12428588,11373908,12142773,11944236,8173399,9988358,8125790,8026754,6691173,5866373,5938415,8408243,19877778,29688229,16505723,16203437,11944731,9646681,7918000,6554000,7315000
38,PP&E,- -,2300000,5200000,4100000,2600000,706592,506011,1263947,1052767,912612,1702814,1577270,1473723,1567528,1781128,1525825,1215669,1198805,919044,3136815,2454075,1903509,1162364,237000,152000,495000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4060504,12133304,11933683,16184667,16184667,15537281,15537281,15537000,15537000,10712000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3753361,4878694,6481360,8049292,7575064,10247841,21004486,22414357,18697118,14278638,11581245,10142351,7367000,8713000,6569000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3753361,4878694,6481360,8049292,7575064,14308345,33137790,34348040,34881785,30463305,27118526,25679632,22904000,24250000,17281000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1250000,- -,1628000,1681661,734376,841348,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,9800000,4500000,900000,1200000,1222936,1629186,1930356,2293451,2907224,4741979,594424,1720114,364391,146093,241742,367453,1052205,623561,1254792,1025201,671732,642377,681000,695000,886000
45,Total Non-Current Assets,- -,12100000,9700000,5000000,3800000,1929528,2135197,3194303,3346218,3819836,6444793,7175055,8072531,10041279,11658174,10077007,16732815,35388800,35890645,39273392,33942581,29693767,27484373,23822000,25097000,18662000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,33300000,22200000,17500000,14700000,14358116,13509105,15337076,15290454,11993235,16433151,15300845,16099285,16732452,17524547,16015422,25141058,55266578,65578874,55779115,50146018,41638498,37131054,31740000,31651000,25977000
48,Accounts Payable,- -,1200000,1600000,500000,700000,464615,230571,721402,637222,886090,1055539,619362,1518682,759577,887928,565252,879027,1495913,1796418,2298851,1136779,1116525,421425,1280000,1270000,272000
49,Short-Term Debt,- -,- -,- -,- -,- -,1000000,2000000,2206051,1220199,168121,1084951,91002,- -,- -,249309,183637,- -,1250000,1619853,1281961,1266449,747141,596984,597000,3825000,1732000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1371200,2220383,2357531,2231442,2617184,3693668,5183333,5941837,4956303,5766795,6496938,9810442,9658232,9289076,10447280,9916454,9481807,8338000,7990000,3862000
52,Other Current Liabilities,- -,2200000,3800000,4700000,4100000,3795749,1761054,1700815,5828361,995427,1883699,974046,1057809,771113,1035739,1644265,1366656,4769067,2337476,1429703,1263875,981097,951933,1908000,2506000,1503000
53,Total Current Liabilities,- -,3400000,5400000,5200000,4800000,5260364,5362825,6848651,10043313,4281080,6641373,5378078,7759824,7472527,7129279,8159949,8742621,17325422,15411979,14299591,14114383,12761217,11452149,12123000,15591000,7369000
54,Long-Term Debt,- -,- -,- -,6000000,7300000,5000000,3000000,1000000,- -,2000000,1000000,1000000,- -,800000,900000,1200000,7120000,12437501,7571767,9500000,7861084,4883286,3901353,3351000,- -,989000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,602239,- -,- -,- -,- -,964933,1212709,568515,332645,432000,55000,130000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529709,816079,229579,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,500000,- -,1442285,2239798,3521689,168121,- -,440460,278533,146525,1362819,161666,61034,1279913,3748928,6688334,5145246,2959664,2736621,2743321,946000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,6500000,7300000,6442285,5239798,4521689,168121,2000000,1440460,1278533,146525,2162819,1663905,1261034,8399913,16716138,15076180,15839758,12033457,8188422,6977319,4729000,55000,1119000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,388320,168121,- -,147051,56049,- -,- -,410975,183637,47193,99579,301096,1707001,1055305,431013,274128,- -,- -,420000
61,Total Liabilities,- -,3400000,5400000,11700000,12100000,11702649,10602623,11370340,10211434,6281080,8081833,6656611,7906349,9635346,8793184,9420983,17142534,34041560,30488159,30139349,26147840,20949639,18429468,16852000,15646000,8488000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7765716,5599668,6823512,7974050,8849985,8849985,8686000,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,88965,89139,89590,90300,90845,91595,92114,92603,93548,94368,98565,104338,126436,181758,- -,187836,196954,200060,208000,305000,316000
64,Retained Earnings,- -,-5400000,-18000000,-29000000,-32200000,-32180866,-31970506,-30958493,-29939327,-29381651,-26830579,-26734118,-27441889,-28816859,-27528751,-30479368,-30466794,-35845523,-47562713,-59574170,-63864285,-69025851,-72125065,-76550000,-79413000,-79117000
65,Other Comprehensive Income/Loss,- -,-700000,-1600000,-3300000,-4500000,-3857871,-3048793,-3137943,-3672442,-1996129,-2666784,-2704329,-3153675,-3625408,5620,- -,-5232321,-5958727,-111086,- -,-2407746,-3447198,-3834153,-1516000,-1589000,-452000
66,Other Total Stockholders Equity,- -,36000000,36400000,38100000,39200000,38605239,37836642,37973582,38600489,36999090,37757086,37990567,38695897,39445825,36160126,36975242,43593301,55137116,76983088,85213936,82108323,84114969,85610759,84060000,96702000,96742000
67,Total Stockholders Equity,- -,29900000,16800000,5800000,2600000,2655467,2906482,3966736,5079020,5712155,8351318,8644234,8192936,7097106,8731363,6594439,7998524,21225018,35090715,25639766,23998178,20688859,18701586,14888000,16005000,17489000
68,Total Liabilities And Stockholders Equity,- -,33300000,22200000,17500000,14700000,14358116,13509105,15337076,15290454,11993235,16433151,15300845,16099285,16732452,17524547,16015422,25141058,55266578,65578874,55779115,50146018,41638498,37131054,31740000,31651000,25977000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,33300000,22200000,17500000,14700000,14358116,13509105,15337076,15290454,11993235,16433151,15300845,16099285,16732452,17524547,16015422,25141058,55266578,65578874,55779115,50146018,41638498,37131054,31740000,31651000,25977000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1008586/000095015202003398/0000950152-02-003398-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015203004220/0000950152-03-004220-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015204002747/0000950152-04-002747-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015205003028/l13167ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000095015206003039/l19228ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000095015207003118/0000950152-07-003118-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015208002610/0000950152-08-002610-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015209003851/0000950152-09-003851-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095012310035637/0000950123-10-035637-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095012311035327/0000950123-11-035327-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000119312512180747/d284757d10k.htm,https://www.sec.gov/Archives/edgar/data/1008586/000144530513000932/0001445305-13-000932-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000100858614000003/strm-2014013110xk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000162828015002328/0001628280-15-002328-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828016014497/0001628280-16-014497-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828017003513/0001628280-17-003513-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828018004993/0001628280-18-004993-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000155837019003142/0001558370-19-003142-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000149315220006930/0001493152-20-006930-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000149315221009467/0001493152-21-009467-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-300000,-4700000,-12700000,-10900000,-3200000,20893,210360,1012013,1019166,557676,2551072,96461,-735562,-1374970,1288108,-2950617,12574,-5378729,-11717190,-12011457,-4290115,-5161566,-3099214,-5865000,-2863000,296000
74,Depreciation and Amortization,200000,500000,1000000,2000000,1700000,842530,685634,783806,1034499,1147149,1470659,1819233,2189981,2369670,2868997,3270902,741771,1309941,2059831,2401600,2590392,2444937,1935522,1387000,691000,2217000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-558000,-420000,-897000,- -,- -,- -,- -,997000,- -,-2935522,20885,-720582,-9575,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274629,678172,894800,956144,1660598,1934298,2386490,1787367,1109241,629000,934000,1403000
77,Change in Working Capital,-600000,17800000,-10700000,200000,-1200000,1068224,-1157141,-716961,-3393199,1991396,-545334,-599273,-2480782,-1048284,-481552,-958628,1887156,2886734,11723894,-12070118,-117078,-2905540,-988982,-2399532,-4832000,8983000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1098299,-291914,-1485634,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174020,-322676,202395,526149,275360,600263,-1117986,-51071,-695100,859000,-10000,-484000
81,Other Working Capital,- -,17800000,7100000,7300000,6100000,7168224,6011083,5294122,1900923,3892319,3346985,2747712,266930,-781354,-1262906,-2221534,-334378,2552356,14276250,2206132,2089054,-816486,-1805468,-4205000,-9037000,-54000
82,Other Non-Cash Items,- -,-18100000,11600000,-1700000,3300000,-1144914,1084147,1418981,4057226,-31888,190443,1183680,4226794,4658391,-1816400,2356955,-640226,3046300,-3535305,17454615,5320461,4843104,3074648,7645532,6062000,-18656000
83,Cash Provided by Operating Activities,-700000,-4500000,-10800000,-10400000,600000,786733,823000,2497839,2159692,3244333,2769840,2500101,3200431,4604807,2133782,3393784,2896075,-115132,212713,-3011644,5880575,1008302,2031215,1397000,-8000,-5757000
84,CAPEX,-100000,-2400000,-3800000,-700000,-200000,-135128,-237763,-573344,-323319,-374818,-867620,-2740353,-3367053,-4474950,-4366698,-3231434,-3008064,-2576412,-766311,-2744992,-518254,-2484986,-1885107,-3024000,-3410000,-1828000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-12000000,-3000000,-6000000,- -,1000000,- -,- -,- -,11288000
86,Purchases of Investments,- -,-42400000,-29400000,-9800000,- -,- -,- -,- -,- -,- -,-1450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,16500000,46400000,18700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-200000,-500000,-500000,-400000,2464849,-310571,-535800,-738434,-1135769,116191,-77720,72238,-110459,-3704612,-2698378,-2724479,-2161290,-614028,-677977,- -,-2378946,-1816532,-2982000,-3358000,-1784000
89,Cash Used for Investing Activites,-200000,-28500000,12700000,7700000,-600000,2329721,-548334,-1109144,-1061753,-1510587,-2201429,-2818073,-3294815,-4585409,-4403310,-3228812,-5132543,-14738026,-3766311,-8803217,-518254,-1884986,-1865148,-3003000,-3410000,9460000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227337,-183637,-312500,-10382605,-9566006,-2280935,-3365779,-1203026,-597000,-4030000,-4000000
91,Common Stock Issued,- -,34300000,- -,- -,- -,21358,40655,48241,93118,75459,88091,85318,113831,120393,- -,- -,403988,- -,20586619,- -,- -,- -,- -,- -,9663000,- -
92,Common Stock Repurchased,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6502000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,300000,-600000,- -,6000000,- -,- -,-1000000,-2059759,-2206051,-3855368,-203356,-1084951,-1147051,800000,165900,441141,2855222,20422860,3774214,9978581,278150,14420,2700,-41000,3560000,1057000
95,Cash Used/Provided by Financing Activities,300000,33700000,-400000,6000000,- -,21358,-959345,-2011518,-2112933,-3779909,-115265,-999633,-1033220,920393,165900,213804,3075573,20110360,13978228,412575,-2002785,-3351359,-1200326,-638000,2691000,-2943000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,300000,- -,- -,- -,- -,3137812,-684679,-622823,-1014994,-2046163,453146,-1317605,-1127604,939791,-2103628,378776,839105,5257202,10424630,-11402286,3359536,-4228043,-1034259,-2244000,-727000,760000
98,Cash at the End of Period,- -,- -,- -,- -,5400000,8549732,7865053,7242230,6227236,4181073,4634219,3316614,2189010,3128801,1025173,1403949,2243054,7500256,17924886,6522600,9882136,5654093,4619834,2376000,1649000,2409000
99,Cash at the Beginning of Period,600000,- -,700000,2100000,5400000,5411920,8549732,7865053,7242230,6227236,4181073,4634219,3316614,2189010,3128801,1025173,1403949,2243054,7500256,17924886,6522600,9882136,5654093,4620000,2376000,1649000
100,Free Cash Flow,-800000,-6900000,-14600000,-11100000,400000,651605,585237,1924495,1836373,2869515,1902220,-240252,-166622,129857,-2232916,162350,-111989,-2691544,-553598,-5756636,5362321,-1476684,146108,-1627000,-3418000,-7585000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1008586/000095015202003398/0000950152-02-003398-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015203004220/0000950152-03-004220-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015204002747/0000950152-04-002747-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015205003028/l13167ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000095015206003039/l19228ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000095015207003118/0000950152-07-003118-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015208002610/0000950152-08-002610-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095015209003851/0000950152-09-003851-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095012310035637/0000950123-10-035637-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000095012311035327/0000950123-11-035327-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000119312512180747/d284757d10k.htm,https://www.sec.gov/Archives/edgar/data/1008586/000144530513000932/0001445305-13-000932-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000100858614000003/strm-2014013110xk.htm,https://www.sec.gov/Archives/edgar/data/1008586/000162828015002328/0001628280-15-002328-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828016014497/0001628280-16-014497-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828017003513/0001628280-17-003513-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000162828018004993/0001628280-18-004993-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000155837019003142/0001558370-19-003142-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000149315220006930/0001493152-20-006930-index.html,https://www.sec.gov/Archives/edgar/data/1008586/000149315221009467/0001493152-21-009467-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
