,https://roic.ai/company/PKTX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,253,674,1017,1018,426,- -,- -,- -,- -,- -,- -,1500,3000,3000,3000,3000,3000,- -
15,EBITDA,-35,-16902,-14878,-1517344,-5364921,-5095622,-1954747,-2715251,-1550392,-1246109,-1364772,-1219933,-173118,-422177,-384177,-1256597,-1521626,-1508977,-1213037,-4194896,-7641490,-2329310
16,EBITDA ratio,-Infinity,-136.3065,-Infinity,-Infinity,-Infinity,-2547.8110,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-35,-16902,-14878,-1517344,-5365174,-4813347,-1955764,-2716269,-1550818,-1246109,-1373412,-904933,-173118,-422177,-384177,-1258097,-1524626,-1511977,-1216037,-4197896,-7644490,-2329310
18,Operating Income ratio,-Infinity,-136.3065,-Infinity,-Infinity,-Infinity,-2406.6735,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-269756,- -,- -,- -,- -,-8640,315000,-24000,-26400,215698,3304,-12,-1657,-306,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197118,-448577,-168479,-1254793,-1524638,-1513634,-1216343,-4197896,-7644490,-2329310
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-35,-16902,-14878,-1528995,-5388274,-5096296,-1967633,-2728269,-1550818,-1270109,-1388772,-1231933,-197118,-448577,-168479,-1254793,-1524638,-1513634,-1216343,-4197897,-7644490,-2329310
24,Net Income ratio,-Infinity,-136.3065,-Infinity,-Infinity,-Infinity,-2548.1480,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.00,-0.00,-0.05,-0.18,-0.13,-0.05,-0.06,-0.03,-0.02,-0.02,-0.01,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01,-0.00,-0.02,-0.03,-0.01
26,EPS Diluted,-0.00,-0.00,-0.00,-0.05,-0.18,-0.13,-0.05,-0.06,-0.03,-0.02,-0.02,-0.01,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01,-0.00,-0.02,-0.03,-0.01
27,Weighted Average Shares Outstanding,216988147,6037500,15093750,18551010,29941359,38598215,43233617,45749464,53004810,60822963,75471414,93592433,129224762,137107228,172401474,216602433,237952433,246598460,256217173,268984776,278598615,293201373
28,Weighted Average Shares Outstanding Diluted,216988147,6037500,15093750,18551010,29941359,38598215,43233617,45749464,53004810,60822963,75471414,93592433,129224762,137107228,172401474,216602433,237952433,246598460,256217173,268984776,278598615,293201373
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128189/000117347308000039/0001173473-08-000039-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128189/000114036110011318/0001140361-10-011318-index.html,- -,https://www.sec.gov/Archives/edgar/data/1128189/000106299312000931/0001062993-12-000931-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000106299314002480/0001062993-14-002480-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000106299314003397/0001062993-14-003397-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997315000278/0001079973-15-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997316000885/0001079973-16-000885-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997317000127/0001079973-17-000127-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997318000141/0001079973-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997319000124/0001079973-19-000124-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997320000119/0001079973-20-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997321000148/0001079973-21-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997322000230/0001079973-22-000230-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,579,104,283556,96571,166115,37350,15216,22788,14412,4512,2406,3065,317,371072,371029,302942,136029,377349,193445,57568
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,579,104,283556,96571,166115,37350,15216,22788,14412,4512,2406,3065,317,371072,371029,302942,136029,377349,193445,57568
34,Net Receivables,- -,- -,- -,- -,- -,6539,6391,- -,- -,- -,- -,6528,6020,119,5497,8023,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,6200,440000,110000,242006,240622,54763,18731,- -,21461,- -,397,70384,62127,1050,1050,1050,25995
37,Total Current Assets,- -,- -,579,104,283556,109310,612506,147350,257222,263410,69175,29771,8426,24645,5814,379492,441413,365069,137079,378399,194495,83563
38,PP&E,- -,- -,- -,- -,- -,2461,1444,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2400000,3379756,3110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100681,153028,187771,207508,274686,362671
41,Intangible Assets,- -,- -,- -,2400000,3379756,3110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,70260,100681,153028,187771,207508,274686,362671
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1430,- -,- -,426,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,2400000,3381186,3112461,1444,426,- -,- -,- -,- -,- -,- -,- -,70260,100681,153028,187771,207508,274686,362671
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,579,2400104,3664742,3221771,613950,147776,257222,263410,69175,29771,8426,24645,5814,449752,542094,518097,324850,585907,469181,446234
48,Accounts Payable,- -,- -,6989,41548,20888,31087,107809,108825,78349,115070,237597,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,300000,316500,397250,300000,336735,334500,443833,163250,- -,- -,117656,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,5155,122866,416950,343186,306892,- -,- -,- -,- -,153391,181399,198962,270893,45388,45295,26906,78885,25520,44959,- -
53,Total Current Liabilities,- -,- -,12144,164414,437838,374273,414701,408825,394849,512320,537597,490126,515899,642795,434143,45388,45295,144562,78885,25520,44959,- -
54,Long-Term Debt,- -,- -,- -,- -,315000,123323,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,315000,123323,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93268
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,12144,164414,752838,497596,414701,408825,394849,512320,537597,490126,515899,642795,434143,45388,45295,144562,78885,25520,44960,93268
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,80,159,154,220,240,268,311,372,452,643,722,898,959,1159,1273,1344,1389,1472,1531,1591
64,Retained Earnings,- -,- -,-31815,-1560810,-6682834,-11779130,-16856763,-19858032,-21135850,-22405959,-23794731,-25026664,-25223782,-25672359,-25840838,-27095631,-28620269,-30133903,-31350246,-35548143,-43192633,-45541170
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1944,-2963,-3388,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,20170,3796341,9594584,14503085,17057716,19599678,21001300,22156677,23325857,24565666,24715587,25053311,25411550,27498836,29115795,30506094,31594822,36107058,43615323,45892545
67,Total Stockholders Equity,- -,- -,-11565,2235690,2911904,2724175,199249,-261049,-137627,-248910,-468422,-460355,-507473,-618150,-428329,404364,496799,373535,245965,560387,424221,352966
68,Total Liabilities And Stockholders Equity,- -,- -,579,2400104,3664742,3221771,613950,147776,257222,263410,69175,29771,8426,24645,5814,449752,542094,518097,324850,585907,469181,446234
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,579,2400104,3664742,3221771,613950,147776,257222,263410,69175,29771,8426,24645,5814,449752,542094,518097,324850,585907,469181,446234
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1128189/000117347308000039/0001173473-08-000039-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128189/000114036110011318/0001140361-10-011318-index.html,- -,https://www.sec.gov/Archives/edgar/data/1128189/000106299312000931/0001062993-12-000931-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000106299314002480/0001062993-14-002480-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000106299314003397/0001062993-14-003397-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997315000278/0001079973-15-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997316000885/0001079973-16-000885-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997317000127/0001079973-17-000127-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997318000141/0001079973-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997319000124/0001079973-19-000124-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997320000119/0001079973-20-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997321000148/0001079973-21-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997322000230/0001079973-22-000230-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-35,-16902,-14878,-1528995,-5388274,-5096296,-1967633,-2728269,-1550818,-1270109,-1388772,-1231933,-197118,-448577,-168479,-1254793,-1524638,-1513634,-1216343,-4197897,-7644490,-2329310
74,Depreciation and Amortization,- -,- -,- -,- -,253,674,1017,1018,426,- -,- -,- -,- -,- -,- -,1500,3000,3000,3000,3000,3000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255500,- -,707486,767073,910370,648773,3395319,6740743,- -
77,Change in Working Capital,- -,- -,-11565,-152745,10028,-110681,462768,-459280,123848,-111283,-219512,8067,-47118,-110677,189821,762433,62014,-175611,-162313,294685,-203343,-65973
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6528,508,5901,-5378,-2526,8023,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-30476,36721,131167,-84206,28008,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-11565,-164310,-154282,-264963,197805,-261475,-137627,-248910,-468422,-460355,-507473,-618150,-428329,334104,396118,220507,58194,352879,149536,83563
82,Other Non-Cash Items,- -,- -,18554,1686420,4988884,4620523,1123392,2541266,987096,1161964,1493408,827231,94365,198413,-250590,-790861,-127702,170766,273390,-345765,222782,2395283
83,Cash Provided by Operating Activities,-35,-16902,-7889,4680,-389109,-585780,-380456,-645265,-439448,-219428,-114876,-396635,-149871,-105341,-229248,-574235,-820253,-605109,-453493,-850658,-881308,- -
84,CAPEX,- -,- -,- -,- -,-1683,-1705,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46760,-29790,-58978,-35458,-25022,-70178,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-45756,- -,- -,- -,- -,- -,- -,- -,- -,25000,30000,-46760,-29790,57022,-35458,-25022,-70178,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-47439,-1705,- -,- -,- -,- -,- -,- -,- -,25000,30000,-46760,-29790,57022,-35458,-25022,-70178,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72250,- -,- -,- -,-23500,-43250,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,5000,15250,- -,- -,405000,400500,450000,216500,337500,146250,128750,75000,125000,- -,100000,1035000,850000,590000,322038,1117000,767581,10554812
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200,- -,4955,-5155,315000,- -,- -,300000,79814,80750,50000,311735,22765,81000,120000,- -,- -,-110000,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,5200,15250,4955,-5155,720000,400500,450000,516500,417314,227000,106500,386735,147765,81000,196500,991750,850000,480000,322038,1117000,767581,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5200,-1652,-2934,-475,283452,-186985,69544,-128765,-22134,7572,-8376,-9900,-2106,659,-2748,370755,-43,-68087,-166913,241320,-183905,- -
98,Cash at the End of Period,5165,3513,579,104,283556,96571,166115,37350,15216,22788,14412,4512,2406,3065,317,371072,371029,302942,136029,377349,193445,- -
99,Cash at the Beginning of Period,- -,5165,3513,579,104,283556,96571,166115,37350,15216,22788,14412,4512,2406,3065,317,371072,371029,302942,136029,377350,193445
100,Free Cash Flow,-35,-16902,-7889,4680,-390792,-587485,-380456,-645265,-439448,-219428,-114876,-396635,-149871,-105341,-229248,-620995,-850043,-664087,-488951,-875680,-951486,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128189/000117347308000039/0001173473-08-000039-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128189/000114036110011318/0001140361-10-011318-index.html,- -,https://www.sec.gov/Archives/edgar/data/1128189/000106299312000931/0001062993-12-000931-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000106299314002480/0001062993-14-002480-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000106299314003397/0001062993-14-003397-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997315000278/0001079973-15-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997316000885/0001079973-16-000885-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997317000127/0001079973-17-000127-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997318000141/0001079973-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997319000124/0001079973-19-000124-index.html,https://www.sec.gov/Archives/edgar/data/1128189/000107997320000119/0001079973-20-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997321000148/0001079973-21-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1128189/000107997322000230/0001079973-22-000230-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
