,https://roic.ai/company/CZFS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36536000,-35370000,-73610000,-111365000,-87904000,- -,- -,- -
58,Total Non-Current Liabilities,3872000,16030000,8855000,15817000,6864000,7334000,25853000,11204000,13311000,17027000,19851000,17026000,23106000,75775000,80348000,61204000,54115000,55996000,53882000,46126000,66932000,5263000,6261000,6052000,3299000,3290000,85117000,88838000,73977000
59,Other Liabilities,201769000,229664000,234652000,275723000,275752000,292300000,339550000,393987000,401032000,411279000,437700000,455765000,479356000,604443000,622849000,677046000,722065000,799832000,850981000,839078000,889810000,829783000,1049485000,1105802000,1236174000,1294773000,1396682000,1786253000,2005348000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,197897000,213634000,225797000,259906000,268888000,284966000,313697000,382783000,387721000,394252000,425349000,458558000,487680000,528668000,542501000,615842000,667950000,743836000,797099000,792952000,822878000,824520000,1043224000,1099750000,1232875000,1291483000,1311565000,1697415000,1931371000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1322000,1335000,1347000,1360000,2746000,2773000,2800000,2827000,2855000,2882000,2910000,2938000,2965000,2993000,3020000,3048000,3076000,3104000,3133000,3161000,3306000,3335000,3672000,3704000,3870000,3904000,3939000,4350000,4389000
64,Retained Earnings,10432000,11708000,13089000,14544000,15653000,16934000,18432000,19657000,21253000,24447000,26455000,28894000,31251000,34007000,37590000,41034000,47353000,54932000,63337000,71813000,74325000,79512000,85790000,91278000,89982000,99727000,110800000,126627000,146010000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,2553000,956000,164000,-1540000,-1737000,-420000,26000,2041000,1054000,4949000,4631000,-1225000,767000,-236000,-1392000,-3398000,-3921000,-629000,2587000,-155000
66,Other Total Stockholders Equity,6586000,5860000,6861000,7000000,7524000,8891000,5850000,8065000,9281000,8524000,8208000,8793000,8885000,- -,8338000,8662000,9057000,9600000,10049000,9870000,15650000,16914000,30534000,29678000,38557000,39519000,40664000,60695000,62248000
67,Total Stockholders Equity,18340000,18903000,21297000,22904000,25923000,28598000,27082000,30549000,33389000,38406000,38529000,40789000,41561000,43500000,48528000,52770000,61527000,68690000,81468000,89475000,92056000,100528000,119760000,123268000,129011000,139229000,154774000,194259000,212492000
68,Total Liabilities And Stockholders Equity,216237000,232537000,247094000,282810000,294811000,313564000,340779000,413332000,421110000,432658000,463878000,499347000,529241000,572168000,591029000,668612000,729477000,812526000,878567000,882427000,914934000,925048000,1162984000,1223018000,1361886000,1430712000,1466339000,1891674000,2143863000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-412746000,-446044000,-480141000,- -,- -,-572035000,-638500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,216237000,232537000,247094000,282810000,294811000,313564000,340779000,413332000,421110000,19912000,17834000,19206000,529241000,572168000,18994000,30112000,729477000,812526000,878567000,882427000,914934000,925048000,1162984000,1223018000,1361886000,1430712000,1466339000,1891674000,2143863000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942103000020/0000739421-03-000020-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942104000013/0000739421-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942105000023/0000739421-05-000023-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942108000009/0000739421-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942109000009/0000739421-09-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942115000011/0000739421-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942116000097/0000739421-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942117000017/0000739421-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942118000016/0000739421-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942119000014/0000739421-19-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/739421/000114036121008169/0001140361-21-008169-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000114036122008745/0001140361-22-008745-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2424000,2625000,2834000,3003000,3832000,3489000,3553000,3208000,3757000,5595000,4879000,5267000,5274000,5800000,6736000,6905000,9864000,11502000,12832000,14215000,13375000,13385000,11626000,12638000,13025000,18034000,19490000,25103000,29118000
74,Depreciation and Amortization,438000,440000,412000,442000,588000,761000,1134000,1203000,2167000,2137000,2487000,2356000,2039000,1268000,865000,653000,654000,457000,469000,420000,428000,472000,464000,320000,200000,387000,498000,-2822000,- -
75,Deferred Income Tax,-189000,20000,25000,36000,59000,-4000,-27000,-254000,-279000,116000,-141000,-166000,256000,109000,54000,-782000,245000,-270000,98000,-58000,670000,478000,-192000,362000,1448000,-435000,317000,367000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,205000,209000,201000,218000,200000,179000,284000,278000,308000,369000,473000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,392618000,7949000,-388973000,-9143000,6888000,498308000,-507647000,10389000,9467000,687138000,-706994000,- -,- -,- -,21027000,15264000,-7493000,4198000,-11231000,-21765000,- -,590470000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,-195000,88000,84000,-285000,122000,-34000,-256000,-103000,-857000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196000,-258000,-267000,-369000,-248000,-139000,-36000,-14000,147000,179000,12000,-235000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,392618000,400567000,11594000,2451000,9339000,507647000,- -,10389000,19856000,706994000,- -,- -,- -,- -,21027000,36291000,28798000,32996000,21765000,- -,- -,590470000
82,Other Non-Cash Items,-63000,673000,394000,241000,1362000,391000,229000,-392867000,-10032000,389566000,10547000,-7178000,-498062000,507485000,-9975000,-5886000,-688090000,707916000,1956000,33000,3126000,-19384000,-14530000,10083000,-3410000,14423000,22858000,-11299000,-610955000
83,Cash Provided by Operating Activities,2610000,3758000,3665000,3722000,5841000,4637000,4889000,3908000,3562000,8441000,8629000,7167000,7815000,7015000,8069000,10357000,9926000,12816000,15564000,14811000,17817000,16178000,12811000,16194000,15739000,21486000,21767000,11822000,8633000
84,CAPEX,- -,- -,- -,-250000,- -,- -,-1036000,-5722000,-2086000,-473000,-490000,-2319000,-1306000,-930000,-462000,-920000,-1566000,-1292000,-140000,-438000,-328000,-1309000,-776000,-587000,-208000,-500000,-483000,-942000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77895000,- -,-4399000,- -,- -,1022000,- -
86,Purchases of Investments,-24666000,-24194000,-20422000,-44074000,-29728000,-59131000,-40460000,-19769000,-63216000,-32899000,-71320000,-30351000,-27447000,-37548000,-42155000,-70382000,-88013000,-118105000,-162247000,-132371000,-125485000,-59072000,-115183000,-59003000,-62906000,-77861000,-80554000,-152722000,- -
87,Sales/Maturities of Investments,10275000,6366000,6740000,10409000,19352000,39528000,37159000,15008000,49370000,48017000,61451000,38616000,17571000,29136000,32296000,15356000,64811000,63124000,100281000,139135000,105691000,75451000,83043000,91710000,125683000,91399000,83901000,103045000,- -
88,Other Investing Activites,-460000,-598000,-463000,-1557000,-1638000,-503000,-26988000,-46719000,-8863000,-27821000,-28154000,-44692000,-24296000,-33350000,-8824000,-14335000,-22118000,-17473000,-14031000,-14492000,-40815000,-23287000,-25916000,-102198000,-163595000,-85389000,-35187000,-61137000,- -
89,Cash Used for Investing Activites,-14851000,-18426000,-14145000,-35472000,-12014000,-20106000,-30289000,-51480000,-22709000,-12703000,-38023000,-38627000,-34172000,-41762000,-18683000,-69361000,-46886000,-73746000,-76137000,-8166000,-60937000,-8217000,19063000,-70078000,-105425000,-72351000,-32323000,-110734000,- -
90,Debt Repayment,- -,-390000,- -,-1050000,-2146000,-2850000,-400000,-4699000,-1720000,-949000,-2569000,-1519000,-3471000,-8787000,-4406000,-17493000,-18166000,-3858000,-7000000,-5590000,-20781000,-4200000,-700000,-534000,-2000000,-1000000,-3123000,-15000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,43000,- -,- -,126000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-286000,-386000,-1010000,-1490000,-1598000,-984000,-2462000,-3227000,-979000,-1482000,-1291000,-2122000,- -
93,Dividends Paid,-992000,-1056000,-1121000,-1187000,-1596000,-1449000,-1567000,-1660000,-1786000,-1918000,-2103000,-2209000,-2335000,-2442000,-2550000,-2815000,-2951000,-3162000,-3148000,-4601000,-3558000,-6121000,-5151000,-5081000,-5177000,-6116000,-6315000,-6539000,-7383000
94,Other Financing Activites,12131000,16013000,11663000,34873000,9799000,20730000,28584000,73027000,6515000,7243000,32423000,34576000,31433000,47382000,17944000,88779000,69956000,80882000,58168000,937000,52807000,4684000,-10600000,56037000,98562000,57743000,23008000,172634000,8495000
95,Cash Used/Provided by Financing Activities,11139000,14567000,10542000,32636000,6057000,16431000,26617000,66668000,3009000,4376000,27751000,30848000,25627000,36153000,10988000,68471000,48553000,73476000,47010000,-10744000,26870000,-6621000,-18913000,47254000,90449000,49145000,12279000,149099000,1112000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1102000,-101000,62000,886000,-116000,962000,1217000,19096000,-16138000,114000,-1643000,-612000,-730000,1406000,374000,9467000,11593000,12546000,-13563000,-4099000,-16250000,1340000,12961000,-6630000,763000,-1720000,1723000,50187000,-53661000
98,Cash at the End of Period,5612000,5511000,5573000,6459000,6343000,7305000,8522000,27618000,11480000,11594000,9951000,9339000,8609000,10015000,10389000,19856000,31449000,43995000,30432000,26333000,10083000,11423000,24384000,17754000,18517000,16797000,18520000,68707000,15046000
99,Cash at the Beginning of Period,6714000,5612000,5511000,5573000,6459000,6343000,7305000,8522000,27618000,11480000,11594000,9951000,9339000,8609000,10015000,10389000,19856000,31449000,43995000,30432000,26333000,10083000,11423000,24384000,17754000,18517000,16797000,18520000,68707000
100,Free Cash Flow,2610000,3758000,3665000,3472000,5841000,4637000,3853000,-1814000,1476000,7968000,8139000,4848000,6509000,6085000,7607000,9437000,8360000,11524000,15424000,14373000,17489000,14869000,12035000,15607000,15531000,20986000,21284000,10880000,8633000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942103000020/0000739421-03-000020-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942104000013/0000739421-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942105000023/0000739421-05-000023-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942108000009/0000739421-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942109000009/0000739421-09-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942115000011/0000739421-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942116000097/0000739421-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942117000017/0000739421-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942118000016/0000739421-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942119000014/0000739421-19-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/739421/000114036121008169/0001140361-21-008169-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000114036122008745/0001140361-22-008745-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
