,https://roic.ai/company/VEON,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10568884000,15725153000,14732541000,17710275000,53389000000,55283000000,49605000000,41037000000,18717000000,21193000000,18988000000,14085000000,16059000000,14551000000
48,Accounts Payable,- -,697816000,896112000,545690000,963450000,3059000000,- -,- -,- -,- -,- -,- -,- -,- -,1977000000
49,Short-Term Debt,- -,526512000,1909221000,1813141000,1162444000,3118000000,- -,- -,2789000000,1519000000,2856000000,1151000000,- -,2585000000,1224000000
50,Tax Payable,- -,81757000,152189000,212767000,233848000,948000000,866000000,720000000,652000000,287000000,422000000,475000000,384000000,513000000,547000000
51,Deferred Revenue,- -,423611000,454738000,433220000,117236000,1123000000,- -,- -,- -,- -,- -,- -,- -,- -,216000000
52,Other Current Liabilities,- -,351762000,554231000,622299000,978822000,2995000000,11884000000,11306000000,7776000000,4020000000,3701000000,3456000000,4409000000,3183000000,993000000
53,Total Current Liabilities,- -,1999701000,3814302000,3414350000,3221952000,10295000000,11884000000,11306000000,10565000000,5539000000,6557000000,4607000000,4409000000,5768000000,4410000000
54,Long-Term Debt,- -,2240097000,6533299000,5539906000,1162444000,1408000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,29470000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000
56,Deferred Tax Liabilities,- -,576276000,644475000,596472000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000000
57,Other Non-Current Liabilities,- -,52614000,93761000,164636000,184133000,26784000000,28067000000,29293000000,26501000000,8944000000,8593000000,10937000000,6910000000,8071000000,8984000000
58,Total Non-Current Liabilities,- -,2868987000,7301005000,6301014000,1346577000,28192000000,28067000000,29293000000,26501000000,8944000000,8593000000,10937000000,6910000000,8071000000,9128000000
59,Other Liabilities,- -,- -,- -,- -,6717777000,71936000000,71543000000,67734000000,56978000000,37259000000,23229000000,25851000000,16603000000,18362000000,- -
60,Capital Lease Obligations,- -,- -,1145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,4868688000,11115307000,9715364000,8593152000,54039000000,55360000000,49747000000,41042000000,33854000000,21193000000,19521000000,14102000000,16059000000,13538000000
62,Preferred Stock,- -,- -,- -,129000,129000,434000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,92000,92000,1026000,1303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000
64,Retained Earnings,- -,3327716000,3271878000,4074492000,5153819000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1919000000
65,Other Comprehensive Income/Loss,- -,801243000,-88941000,-488277000,-561154000,-133000000,-1224000000,-1715000000,-5752000000,-6284000000,-6356000000,-6939000000,-7673000000,-10199000000,-10673000000
66,Other Total Stockholders Equity,- -,1282735000,1205777000,919173000,6076506000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12753000000
67,Total Stockholders Equity,- -,5411786000,4388806000,4506543000,10670603000,14037000000,14869000000,9733000000,5006000000,3765000000,5960000000,4352000000,3670000000,1226000000,163000000
68,Total Liabilities And Stockholders Equity,- -,10280474000,15504113000,14221907000,19263755000,68076000000,70229000000,59480000000,46048000000,37619000000,27153000000,23873000000,17772000000,17285000000,13701000000
69,Minority Interest,- -,288410000,221040000,510634000,-1553480000,-14687000000,-14946000000,-9875000000,-5011000000,-18902000000,-5960000000,-4885000000,-3687000000,-1226000000,850000000
70,Total Liabilities & Equity,- -,10568884000,15725153000,14732541000,17710275000,53389000000,55283000000,49605000000,41037000000,18717000000,21193000000,18988000000,14085000000,16059000000,14551000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468091/000119312511178770/0001193125-11-178770-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312512194968/0001193125-12-194968-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312513122015/0001193125-13-122015-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312514201107/0001193125-14-201107-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312515103281/0001193125-15-103281-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312516525094/0001193125-16-525094-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312517107561/0001193125-17-107561-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000104746918001668/0001047469-18-001668-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000146809119000018/0001468091-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000146809120000011/0001468091-20-000011-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,811489000,1462706000,524334000,1121830000,1673341000,543000000,2145000000,-2625000000,-647000000,-655000000,2328000000,-483000000,582000000,621000000,-349000000
74,Depreciation and Amortization,1054464000,1390553000,1881164000,1694167000,2079764000,4787000000,5006000000,4841000000,4318000000,2067000000,1936000000,1991000000,2692000000,2154000000,2704000000
75,Deferred Income Tax,60143000,32858000,-92654000,-19541000,-190949000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,44317000,171242000,-121890000,2323000,2239000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-5438000,-63355000,-527738000,201481000,53401000,87000000,481000000,1403000000,149000000,-342000000,-894000000,78000000,322000000,-94000000,-2000000
78,Accounts Receivable,-148321000,-333000,-240629000,-57452000,75183000,-176000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,15432000,-3021000,-90221000,64927000,-48945000,-69000000,14000000,-44000000,19000000,-43000000,-13000000,54000000,-88000000,-28000000,40000000
80,Accounts Payable,211735000,-157901000,281725000,-69290000,32899000,332000000,421000000,-286000000,135000000,173000000,-107000000,311000000,274000000,52000000,94000000
81,Other Working Capital,- -,- -,- -,- -,-28021000,- -,36000000,1463000000,169000000,-185000000,-645000000,-119000000,40000000,106000000,-29000000
82,Other Non-Cash Items,6293000,43686000,1758642000,512509000,52346000,689000000,-375000000,2732000000,1459000000,963000000,-1495000000,889000000,-1081000000,268000000,90000000
83,Cash Provided by Operating Activities,1971268000,3037690000,3421858000,3512769000,3670142000,6106000000,7257000000,6351000000,5279000000,2033000000,1875000000,2475000000,2515000000,2949000000,2443000000
84,CAPEX,-1546686000,-1606075000,-2391116000,-891611000,-1757259000,-6260000000,-3886000000,-3955000000,-4489000000,-2207000000,-1651000000,-2037000000,-1948000000,-1683000000,-1778000000
85,Acquisitions Net,-679765000,-301355000,-4134609000,- -,-23856000,-813000000,-75000000,85000000,69000000,-17000000,-318000000,12000000,2832000000,- -,- -
86,Purchases of Investments,- -,- -,-1484090000,-12500000,- -,- -,- -,- -,- -,- -,-87000000,-99000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,110000000,175000000,- -,- -,- -,- -,- -
88,Other Investing Activites,-341677000,-694892000,-548890000,-729545000,110953000,128000000,-47000000,-343000000,333000000,-585000000,-615000000,-892000000,1113000000,-205000000,-132000000
89,Cash Used for Investing Activites,-2286991000,-2234552000,-8170041000,-1433490000,-1347451000,-6945000000,-4008000000,-4213000000,-3977000000,-2634000000,-2671000000,-3016000000,1997000000,-1888000000,-1910000000
90,Debt Repayment,-447663000,-472545000,-721222000,-2485933000,-2903360000,-6581000000,-3650000000,-5487000000,-15322000000,-4840000000,-1816000000,-5948000000,-4122000000,-2978000000,-4376000000
91,Common Stock Issued,12855000,39787000,25488000,- -,905000,- -,- -,1392000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-38535000,-81069000,-114476000,- -,-479936000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-331885000,-587302000,-315644000,-577998000,-1216000000,- -,-4055000000,-71000000,-61000000,-61000000,-518000000,-508000000,-520000000,-259000000
94,Other Financing Activites,766225000,651968000,6141233000,1256215000,1096820000,10381000000,3063000000,5575000000,16722000000,3462000000,1751000000,5733000000,714000000,1859000000,4532000000
95,Cash Used/Provided by Financing Activities,292882000,-193744000,4743721000,-1545362000,-2863569000,2583000000,-587000000,-2575000000,1329000000,-1439000000,-126000000,-733000000,-3916000000,-1639000000,-103000000
96,Effect of Forex Changes on Cash,3689000,49823000,-84566000,-1651000,-20946000,-304000000,-38000000,-58000000,-743000000,-374000000,-64000000,-353000000,-119000000,-9000000,-48000000
97,Net Change In Cash,-19152000,659217000,-89028000,532266000,-561824000,1440000000,2624000000,-495000000,1888000000,-2728000000,-672000000,-1638000000,477000000,-587000000,382000000
98,Cash at the End of Period,344494000,1003711000,914683000,1446949000,885125000,2325000000,4949000000,4454000000,6342000000,3614000000,2942000000,1304000000,1791000000,1204000000,1586000000
99,Cash at the Beginning of Period,363646000,344494000,1003711000,914683000,1446949000,885000000,2325000000,4949000000,4454000000,6342000000,3614000000,2942000000,1314000000,1791000000,1204000000
100,Free Cash Flow,424582000,1431615000,1030742000,2621158000,1912883000,-154000000,3371000000,2396000000,790000000,-174000000,224000000,438000000,567000000,1266000000,665000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468091/000119312511178770/0001193125-11-178770-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312512194968/0001193125-12-194968-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312513122015/0001193125-13-122015-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312514201107/0001193125-14-201107-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312515103281/0001193125-15-103281-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312516525094/0001193125-16-525094-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312517107561/0001193125-17-107561-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000104746918001668/0001047469-18-001668-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000146809119000018/0001468091-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000146809120000011/0001468091-20-000011-index.htm,- -
102,false,,,,,,,,,,,,,,,
