,https://roic.ai/company/CPHI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,49855,- -,5595,186452,145881,237398,131027,154182,168258,255198,308375,348696,785804,1165164,849557,539334,451258,321718,294159,542001000000
14,Depreciation and Amortization,- -,83307,67271,504190,250184,397001,422443,719475,1368888,1505195,1174822,1462771,1612830,1785835,3598527,3078074,3291330,3258739,2928799,2679470,3087820
15,EBITDA,- -,-970971,-159094,5493,4488287,9129968,13316502,20391770,24017638,27774238,24142017,7372726,-16985110,-23398694,-10581388,-4946818,-15324270,-7150159,-17451527,106852,-2857471912180
16,EBITDA ratio,- -,-25.8995,-1.4453,0.2360,0.5184,0.4180,0.4013,0.4001,0.3893,0.3734,0.2974,0.1353,-0.5177,-0.9387,-0.5199,-0.3177,-1.1598,-0.5799,-1.5975,0.0098,-296359.0686
17,Operating Income,- -,-714834,-155642,-117369,4243816,8623491,12251229,19730304,22614515,24664742,22025727,5905011,-18606397,-25254268,-14299840,-8155467,-18680014,-10447414,-20407853,-2578293,-2860510000000
18,Operating Income ratio,- -,-19.0673,-1.4139,-5.0427,0.4902,0.3948,0.3692,0.3871,0.3665,0.3316,0.2714,0.1083,-0.5672,-1.0131,-0.7026,-0.5238,-1.4138,-0.8473,-1.8682,-0.2373,-296674.1600
19,Total Other Income Expenses (Gains),- -,-389299,-24532,-381328,-192165,-36405,405432,-189036,-119947,1436043,686270,-303431,-340239,-716065,-1045239,-718982,-474920,-412742,-294191,-288484,-538966000000
20,Income Before Tax,- -,-1104133,- -,- -,4051651,8587086,12656661,19541268,22494568,26100785,22711997,5601580,-18946636,-25970333,-15345079,-8874449,-19154934,-10860156,-20702044,-2866777,-3399476000000
21,Income Before Tax Ratio,- -,-29.4514,- -,- -,0.4680,0.3931,0.3814,0.3834,0.3646,0.3509,0.2798,0.1028,-0.5775,-1.0418,-0.7540,-0.5700,-1.4498,-0.8807,-1.8951,-0.2638,-352572.3338
22,Income Tax expense (Gain),- -,- -,- -,- -,252101,- -,-162872,1707618,2261519,2686438,3442355,983921,1061413,77042,60439,308175,122631,-109989,- -,- -,- -
23,Net Income,- -,-1104133,-226365,-504292,3799550,8587086,12819533,17833650,20233049,23414347,19269642,4617659,-20008049,-26047375,-15405518,-9182624,-19277565,-10750167,-20702044,-2866777,-3399476000000
24,Net Income ratio,- -,-29.4514,-2.0564,-21.6667,0.4389,0.3931,0.3863,0.3499,0.3279,0.3148,0.2374,0.0847,-0.6099,-1.0449,-0.7570,-0.5897,-1.4591,-0.8718,-1.8951,-0.2638,-352572.3338
25,EPS,- -,-3.92,-0.69,-0.89,0.34,0.25,0.35,0.44,0.48,0.54,0.44,0.11,-0.46,-0.60,-0.35,-0.21,-0.44,-0.25,-0.48,-0.07,-77928.04
26,EPS Diluted,- -,-3.92,-0.69,-0.89,0.34,0.25,0.34,0.44,0.48,0.54,0.44,0.11,-0.46,-0.60,-0.35,-0.21,-0.44,-0.25,-0.48,-0.07,-77928.04
27,Weighted Average Shares Outstanding,- -,283183,326941,565450,11289480,34723056,37009655,40216096,42279663,43329554,43479899,43579557,43579557,43579557,43579557,43579557,43579557,43579557,43579557,43623273,43623273
28,Weighted Average Shares Outstanding Diluted,- -,283183,326941,565450,11289480,34723056,37259909,40216096,42279663,43532435,43479899,43579557,43579557,43579557,43579557,43579557,43579557,43579557,43579557,43623273,43623273
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1106644/000101054909000178/0001010549-09-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054910000119/0001010549-10-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054911000201/0001010549-11-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054912000255/0001010549-12-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054913000144/0001010549-13-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054914000114/0001010549-14-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054915000090/0001010549-15-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054916000541/0001010549-16-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054917000112/0001010549-17-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390018003895/0001213900-18-003895-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390019005094/0001213900-19-005094-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390020008020/0001213900-20-008020-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390021017981/0001213900-21-017981-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390022016151/0001213900-22-016151-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1253,1789,84,461220,656441,1830335,6927149,3634753,3692086,4050854,4029708,5993139,5295790,6248760,2665802,2030214,1186587,1074979,957653,4859059
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1253,1789,84,461220,656441,1830335,6927149,3634753,3692086,4050854,4029708,5993139,5295790,6248760,2665802,2030214,1186587,1074979,957653,4859059
34,Net Receivables,- -,2583,1765,- -,6095719,12457533,19069289,36172052,53115310,62012756,69750595,66357939,45659344,25581518,6173248,4224182,2495968,1107608,727770,583280,714475
35,Inventory,- -,- -,- -,- -,5785196,10277887,14448771,13139750,14233073,20388935,30378658,36359516,24677120,15321856,9662750,7310939,6407155,5054975,3588824,3705119,3339686
36,Other Current Assets,- -,- -,- -,- -,2123729,2315267,3481948,3493290,319820,5840580,6428579,5784025,7626716,8293379,2872494,3319028,1356750,1397746,187432,75906,180189
37,Total Current Assets,- -,3836,3554,84,14465864,25707128,38830343,59732241,71302956,91934357,110608686,112531188,83956319,54492543,24957252,17519951,12290087,8746916,5579005,5321958,9093409
38,PP&E,- -,421837,295074,- -,2808342,2725173,2625216,6738368,6705873,6372487,6334817,8584881,29780373,33423025,28959301,24561803,23108093,18884767,16046851,15182206,13408517
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,96406,65344,2063252,6162549,22932233,29048766,3082671,2859867,2172757,1776074,1275031,940327,831766,676055,609366,613827,147841
41,Intangible Assets,- -,- -,- -,- -,96406,65344,2063252,6162549,22932233,29048766,3082671,2859867,2172757,1776074,1275031,940327,831766,676055,609366,613827,147841
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4395331,36364817,39263977,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,16736,187509,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,130458,- -,- -,2838679,- -,- -,- -,- -,41701505,42390186,42030649,35498059,23722954,17069587,- -,- -,- -
45,Total Non-Current Assets,- -,421837,295074,- -,3035206,2807253,4875977,15739596,29638106,39816584,45782305,50708725,73654635,77589285,72264981,61000189,47662813,36630409,16656217,15796033,13556358
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,425673,298628,84,17501070,28514381,43706320,75471837,100941062,131750941,156390991,163239913,157610954,132081828,97222233,78520140,59952900,45377325,22235222,21117991,22649767
48,Accounts Payable,- -,200245,190190,68406,679104,499941,297299,1049268,3957923,4937781,3112385,2841862,1877437,2550816,2824521,3060374,1141138,1060934,1366330,1234594,926749
49,Short-Term Debt,- -,443605,638746,- -,- -,6533649,2693428,2480231,3802726,3781119,3931745,4761073,4909662,6516249,6162664,2529033,3015226,3455300,2351382,6523729,85282
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2386019,3082353,2426826,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1784474,1945984,2228238,2078866,595681,811232,581132,525647,505398,719786,- -
52,Other Current Liabilities,- -,29617,76879,- -,5091822,598602,920054,2037810,2747751,4088934,4950381,5078464,2990579,3025907,3208259,3997091,4489636,5009575,5822198,2925567,9501267
53,Total Current Liabilities,- -,673467,905815,68406,5770926,7632192,3910781,5567309,10508400,12807834,13778985,14627383,12005916,14171838,12791125,10397730,9227132,10051456,10045308,11403676,10513298
54,Long-Term Debt,- -,56014,126773,- -,30966,- -,- -,- -,- -,- -,- -,- -,12484183,11403438,10784661,8640927,6916291,4362720,2150168,904228,4373117
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,708408,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,71673,128909,95963,176414,252707,296890,572349,738175,764374,753444,805556,824407
57,Other Non-Current Liabilities,- -,262537,- -,- -,- -,31980,34181,36474,36565,934260,- -,- -,- -,- -,- -,- -,- -,- -,48701,- -,921064
58,Total Non-Current Liabilities,- -,318551,126773,- -,30966,31980,34181,36474,36565,1005933,128909,95963,12660597,11656145,11789959,9213276,7654466,5127094,2952313,1709784,6118588
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140007,52070,- -
61,Total Liabilities,- -,992018,1032588,68406,5801892,7664172,3944962,5603783,10544965,13813767,13907894,14723346,24666513,25827983,24581084,19611006,16881598,15178550,12997621,13113460,16631886
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7042,350,600,34723,34723,37279,42279,42308,43405,43530,43580,43580,43580,43580,43580,43580,43580,43580,45580,47340
64,Retained Earnings,- -,-2808548,-3034913,-3834281,3899476,12386636,25206169,43039819,63272868,85017024,104286666,108904325,88896276,62848901,33939998,24757374,5479809,-5270358,-25972402,-28839179,-3399505
65,Other Comprehensive Income/Loss,- -,-203879,6515,2000,- -,663871,2839304,5719618,5902807,9624269,14704367,15978458,20414381,19771160,15067367,10517976,13957709,11835349,11576219,12345446,12563829
66,Other Total Stockholders Equity,- -,2439040,2294088,3763359,- -,7764979,11678606,21066338,21178114,23252476,23448534,23590204,23590204,23590204,23590204,23590204,23590204,23590204,23590204,24452684,- -
67,Total Stockholders Equity,- -,-566345,-733960,-68322,11699178,20850209,39761358,69868054,90396097,117937174,142483097,148516567,132944441,106253845,72641149,58909134,43071302,30198775,9237601,8004531,6017881
68,Total Liabilities And Stockholders Equity,- -,425673,298628,84,17501070,28514381,43706320,75471837,100941062,131750941,156390991,163239913,157610954,132081828,97222233,78520140,59952900,45377325,22235222,21117991,22649767
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,425673,298628,84,17501070,28514381,43706320,75471837,100941062,131750941,156390991,163239913,157610954,132081828,97222233,78520140,59952900,45377325,22235222,21117991,22649767
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1106644/000101054909000178/0001010549-09-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054910000119/0001010549-10-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054911000201/0001010549-11-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054912000255/0001010549-12-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054913000144/0001010549-13-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054914000114/0001010549-14-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054915000090/0001010549-15-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054916000541/0001010549-16-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054917000112/0001010549-17-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390018003895/0001213900-18-003895-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390019005094/0001213900-19-005094-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390020008020/0001213900-20-008020-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390021017981/0001213900-21-017981-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390022016151/0001213900-22-016151-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1104133,-226365,-504292,3799550,8587086,12819533,17833650,20233049,23414347,19269642,4617659,-20008049,-26047375,-15405518,-9182624,-19277565,-10750167,-20702044,-2866777,-3399476
74,Depreciation and Amortization,- -,83307,67271,504190,250184,397001,422443,719475,1368888,1505195,1174822,1462771,1612830,1785835,3598527,3078074,3291330,3258739,2928799,2679470,3087820
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-162872,-257447,- -,-123177,37281,-430250,1061413,77042,60439,308175,122631,68419,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,41804,345416,196183,141721,- -,- -,- -,- -,- -,- -,- -,- -,15243
77,Change in Working Capital,- -,28037,-232630,833939,8699411,9379998,16844626,19245370,6629624,18331967,17703178,1074104,-25953402,-31629698,-28154578,-5043906,-4059266,-4367495,-3161763,-1615415,4661829
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-13366578,-9231358,-11392154,-1098322,- -,- -,- -,- -,- -,- -,- -,- -,-545534
79,Inventory,- -,- -,- -,- -,-916792,-4214702,-3325681,2243138,-1060083,-5530989,-2925143,-4702575,11155810,12780457,5157861,2734612,1718336,688852,1999978,807592,1011905
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,3386994,895001,-1928259,-306040,-1183733,634673,601470,815198,-2045948,-16441,324180,-214015,-332779
81,Other Working Capital,- -,-669631,-902261,-68322,8694938,18074936,34919562,54164932,60794556,79126523,96829701,97903805,71950403,40320705,12166127,7122221,3062955,-1304540,-4466303,-6081718,-1419889
82,Other Non-Cash Items,- -,693587,298598,-869649,-13198240,-20100418,-27121832,-30997788,-17604439,-35688261,-33143782,-3222185,51883023,60386568,43251190,13735989,20764086,13047496,21543320,1760462,-4615254
83,Cash Provided by Operating Activities,- -,-299202,-93126,-35812,-449095,-1736333,2801898,6543260,10668926,7785487,5237324,3643820,8595815,4572372,3350060,2895708,841216,1256992,608312,-42260,-249838
84,CAPEX,- -,- -,- -,- -,-484135,-192003,-2989272,-8494770,-15360709,-10518381,-5543747,-4987583,-19092892,-5843396,-2319399,-193404,-136479,-51145,-136003,-867307,-438055
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82149,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-250000,32576,2500,142613,- -,1509741,-1946479,-15217627,-9290656,- -,-3218035,-298631,-714697,-1210404,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-250000,32576,2500,-341522,-192003,-1479531,-10441249,-15360709,-10518381,-5625896,-4987583,-19092892,-5843396,-1895706,-193404,-136479,-51145,-136003,-867307,-438055
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-2485060,-3835515,- -,- -,- -,- -,- -,-6021385,-1479944,-2263877,-2420229,-2438797,- -
91,Common Stock Issued,- -,255519,38750,- -,7804175,- -,3916183,9268938,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-237599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,282263,22336,31607,-6317849,2105426,-4119204,-387806,3870682,6498899,595670,1286227,12322648,605002,- -,- -,- -,287423,691459,3062974,4597738
95,Cash Used/Provided by Financing Activities,- -,537782,61086,31607,1248727,2105426,-203021,8881132,1385622,2663384,595670,1286227,12322648,605002,- -,-6021385,-1479944,-1976454,-1728770,624177,4597738
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,3110,18131,54548,113671,13765,126843,151670,36390,137860,-31327,-501384,-263877,139619,-73020,-19179,58156,-8439
97,Net Change In Cash,- -,-11420,536,-1705,1248727,195221,1173894,5096814,-3292396,57333,358768,-21146,1963431,-697349,952970,-3582958,-635588,-843627,-1275640,-227234,3901406
98,Cash at the End of Period,- -,1253,1789,84,461220,656441,1830335,6927149,3634753,3692086,4050854,4029708,5993139,5295790,6248760,2665802,2030214,1186587,1184887,957653,4859059
99,Cash at the Beginning of Period,- -,12673,1253,1789,- -,461220,656441,1830335,6927149,3634753,3692086,4050854,4029708,5993139,5295790,6248760,2665802,2030214,2460527,1184887,957653
100,Free Cash Flow,- -,-299202,-93126,-35812,-933230,-1928336,-187374,-1951510,-4691783,-2732894,-306423,-1343763,-10497077,-1271024,1030661,2702304,704737,1205847,472309,-909567,-687893
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1106644/000101054909000178/0001010549-09-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054910000119/0001010549-10-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054911000201/0001010549-11-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054912000255/0001010549-12-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054913000144/0001010549-13-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054914000114/0001010549-14-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054915000090/0001010549-15-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054916000541/0001010549-16-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000101054917000112/0001010549-17-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390018003895/0001213900-18-003895-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390019005094/0001213900-19-005094-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390020008020/0001213900-20-008020-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390021017981/0001213900-21-017981-index.htm,https://www.sec.gov/Archives/edgar/data/1106644/000121390022016151/0001213900-22-016151-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
