,https://roic.ai/company/WPP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0729,0.1292,0.1353,0.1342,0.1127,0.0574,0.0828,0.1019,0.1122,0.1234,0.1156,0.1413,0.1342,0.1698,0.1475,0.1464,0.1479,0.1716,0.1590,0.1692,0.1741,0.1696,0.1551,0.1537,0.1609,0.1655,0.1727,0.1749,0.1635,0.1718,0.1799,0.1423,0.1469,-0.1579,0.1323
17,Operating Income,19267653,50834336,103575840,131523154,78773508,81427255,100121524,112191102,139721844,182481250,205309848,229955165,263190274,832186579,506612297,272636344,414761760,484382542,652649654,741369504,805493993,876000000,761700000,973000000,1192200000,1241100000,1410300000,1507300000,1632000000,2063100000,1908200000,1431400000,1295900000,-2278100000,1229000000
18,Operating Income ratio,0.0756,0.0940,0.1007,0.1040,0.0655,0.0640,0.0700,0.0785,0.0895,0.1079,0.1176,0.1199,0.1213,0.2789,0.1257,0.0697,0.1011,0.1127,0.1215,0.1255,0.1301,0.1172,0.0877,0.1043,0.1190,0.1196,0.1280,0.1307,0.1334,0.1434,0.1250,0.0917,0.0979,-0.1898,0.0960
19,Total Other Income Expenses (Gains),-6831744,-11265688,-29165760,-44532278,-24209226,-60724293,-47863632,-28911276,-27374868,-31883124,-32726172,-22712365,-14084157,-477409270,-108438207,-81140749,-84689920,-28087227,-60785849,-59581691,-85384148,-129200000,-99100000,-121700000,-183800000,-149200000,-114500000,-55400000,-139400000,-172600000,201100000,31900000,-313800000,-512500000,-278200000
20,Income Before Tax,12435909,39568648,74410080,86990876,54564282,20702962,52257892,83279826,112346976,150598126,172583676,207242800,249106117,354777309,398174090,191495595,330071840,456295315,591863805,681787814,720109844,746800000,662600000,851300000,1008400000,1091900000,1295800000,1451900000,1492600000,1890500000,2109300000,1463300000,982100000,-2790600000,950800000
21,Income Before Tax Ratio,0.0488,0.0732,0.0724,0.0688,0.0453,0.0163,0.0365,0.0583,0.0720,0.0890,0.0989,0.1081,0.1148,0.1189,0.0988,0.0490,0.0805,0.1062,0.1102,0.1154,0.1163,0.0999,0.0763,0.0912,0.1006,0.1053,0.1176,0.1259,0.1220,0.1314,0.1382,0.0938,0.0742,-0.2325,0.0743
22,Income Tax expense (Gain),6084522,18702152,35335440,36393084,23567922,17208513,29340136,35819280,43359720,50569204,56681004,66992440,76509663,109816679,126377610,103451615,121941680,140136876,193955176,199338073,204501613,232900000,155700000,190300000,91900000,197200000,283700000,300400000,247500000,388900000,197000000,323900000,275000000,129300000,230100000
23,Net Income,6351387,20866496,39074640,50597792,30996360,-11867940,22917756,47460546,68987256,100028922,115902672,140250360,172596454,244960630,271796480,88043980,208130160,292169101,363816040,435664539,466359647,439100000,437700000,586000000,840100000,822700000,936500000,1077200000,1160200000,1400100000,1816600000,1062900000,624100000,-2967300000,637700000
24,Net Income ratio,0.0249,0.0386,0.0380,0.0400,0.0258,-0.0093,0.0160,0.0332,0.0442,0.0591,0.0664,0.0731,0.0795,0.0821,0.0674,0.0225,0.0508,0.0680,0.0677,0.0738,0.0753,0.0587,0.0504,0.0628,0.0838,0.0793,0.0850,0.0934,0.0948,0.0973,0.1190,0.0681,0.0472,-0.2472,0.0498
25,EPS,0.72,2.72,3.73,3.90,1.39,0.67,1.22,1.98,0.48,0.69,0.79,0.96,1.14,1.47,1.59,0.40,0.94,1.20,1.51,1.81,1.98,1.92,1.79,2.38,3.38,3.31,3.62,4.12,4.50,5.48,7.20,4.26,2.50,-12.13,2.61
26,EPS Diluted,0.72,2.72,3.65,3.57,1.39,0.67,0.85,1.63,0.46,0.67,0.72,0.94,1.12,1.42,1.53,0.39,0.91,1.17,1.49,1.76,1.90,1.88,1.76,2.29,3.23,3.14,3.48,4.03,4.42,5.40,7.12,4.21,2.48,-12.13,2.58
27,Weighted Average Shares Outstanding,8814815,7673469,8177258,8432935,9615385,9528000,16795580,23462783,144054054,145169492,147384615,146415094,151300121,167186065,138189557,222111376,223063915,227226537,240020000,240200000,235380000,228680000,243740000,246620000,248540000,248680000,258760000,261480000,257700000,255560000,252220000,249560000,250000000,244600000,244600000
28,Weighted Average Shares Outstanding Diluted,8814815,7673469,8358974,9229651,9615385,9528000,24126984,28431373,150140845,150263158,161008403,149230769,153989973,172484101,143608847,227309692,229002915,243917617,244960000,248440000,245420000,233920000,247640000,267800000,268440000,270520000,272060000,267500000,262600000,259200000,255160000,252240000,252120000,247200000,247200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105076/000091648004000033/0000916480-04-000033-index.html,https://www.sec.gov/Archives/edgar/data/105076/000091648005000053/0000916480-05-000053-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312506137080/0001193125-06-137080-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312507141494/0001193125-07-141494-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312508131242/0001193125-08-131242-index.htm,https://www.sec.gov/Archives/edgar/data/105076/000091648009000070/0000916480-09-000070-index.html,https://www.sec.gov/Archives/edgar/data/105076/000091648010000027/0000916480-10-000027-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312511117310/0001193125-11-117310-index.htm,https://www.sec.gov/Archives/edgar/data/105076/000110465912014639/0001104659-12-014639-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312513185316/0001193125-13-185316-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312514170191/0001193125-14-170191-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312515159722/0001193125-15-159722-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312516566961/0001193125-16-566961-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312517146369/0001193125-17-146369-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312518141442/0001193125-18-141442-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312519121544/0001193125-19-121544-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312520128655/0001193125-20-128655-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,72800772,92955800,238934880,229556376,205270722,250479467,316995156,268772526,343512528,374597510,291752916,423823575,606285765,1068738708,586888821,689444612,1016780800,1371384301,1114943256,1663182724,2042213004,2572500000,1666700000,1965200000,1946600000,1945300000,2221600000,2512700000,2382400000,2436900000,2391400000,2643200000,2969000000,12899100000,3882900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76968890,190495406,401279200,243890644,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180700000,341800000,632400000,863600000,- -,- -
33,Cash and Short-Term Investments,72800772,92955800,238934880,229556376,205270722,250479467,316995156,268772526,343512528,374597510,291752916,423823575,606285765,1068738708,663857711,879940018,1418060000,1615274945,1114943256,1663182724,2042213004,2572500000,1666700000,1965200000,1946600000,1945300000,2221600000,2512700000,2382400000,2617600000,2733200000,3275600000,3832600000,12899100000,3882900000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,38001576,34463016,93043760,62003032,62740908,65669268,76933352,103875912,92867460,94072734,99630324,107296345,113366217,241357273,237421456,291745486,269250800,220500870,281434866,341393853,344239373,343900000,306700000,366000000,333900000,348200000,304500000,327300000,329000000,400400000,424300000,366500000,- -,- -,- -
36,Other Current Assets,364057233,281420216,670376240,615260856,632592954,752954860,681786340,764869554,891527616,891734774,1022738244,978137820,1170620719,2377731989,2646110145,2425911773,2618202160,2960971318,4794395071,4956857944,6184095779,8191200000,7621900000,8926300000,9008200000,9131200000,9224100000,9675600000,10664000000,12425000000,12005200000,12301300000,11609400000,11105400000,11452700000
37,Total Current Assets,474859581,408839032,1002354880,906820264,900604584,1069103595,1075714848,1137517992,1327907604,1360405018,1414121484,1509257740,1890272700,3687827970,3547389312,3597597277,4305512960,4796747133,6190773193,6961434522,8570548156,11107600000,9595300000,11257500000,11288700000,11424700000,11750200000,12515600000,13375400000,15443000000,15162700000,15943400000,15442000000,24004500000,15335600000
38,PP&E,79365651,86740248,160162400,136292618,132856812,147426188,132436236,129844890,139721844,138627356,143366040,166637670,196468556,390616045,433752140,377488596,344153600,333650067,423402956,415171067,450043629,690700000,680500000,708400000,728300000,768300000,773300000,772500000,797700000,968700000,979500000,1083000000,2610500000,2295400000,2291500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5673892395,5432810165,6077690961,9093200000,8697500000,9106300000,9430800000,9457200000,9472800000,9979400000,10670600000,13214300000,12952900000,13202800000,10170700000,7388800000,7612300000
40,Intangible Assets,- -,175700336,357966080,350192710,349671006,349510833,350053512,350389314,351343164,350013636,349704252,507865350,759405233,4452042201,5401760354,5359677605,5652964240,5793099982,1260309388,1115052915,1155738983,2295800000,2000700000,1904500000,1859900000,1827400000,1667800000,1668900000,1715400000,2217300000,2018400000,1842000000,1468800000,1389300000,1359500000
41,Intangible Assets,- -,175700336,357966080,350192710,349671006,349510833,350053512,350389314,351343164,350013636,349704252,507865350,759405233,4452042201,5401760354,5359677605,5652964240,5793099982,6934201782,6547863080,7233429944,11389000000,10698200000,11010800000,11290700000,11284600000,11140600000,11648300000,12386000000,15431600000,14971300000,15044800000,11639500000,8778100000,8971800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438204595,288020800,-235790644,- -,- -,- -,1025200000,1023900000,965800000,- -,176500000,1063400000,1429100000,1917300000,2379700000,2218700000,831100000,447700000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130269920,108866370,56055456,65600000,67500000,79100000,86000000,91200000,119400000,239700000,94100000,140400000,160300000,153000000,187900000,212900000,341500000
44,Other Non-Current Assets,3469245,4717160,20191680,12545764,15070644,19648034,22038904,23218569,35334936,45722502,70412688,268150495,356479272,591229679,554718198,190808962,400385520,624916022,707136310,657995052,958944831,185200000,286100000,323500000,1301200000,1132300000,158500000,148600000,178700000,204900000,176200000,812400000,1001200000,899000000,930400000
45,Total Non-Current Assets,82834896,267157744,538320160,499031092,497598462,516585055,504528652,503452773,526399944,534363494,563482980,942653515,1312353062,5433887924,6390230691,6366179758,6685524160,6515875426,8195010967,7729895568,8698473860,13355700000,12756200000,13087600000,13406200000,13452900000,13255200000,14238200000,15373800000,19125300000,18506000000,17924300000,15886800000,12185400000,12535200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,557694477,675996776,1540675040,1405851356,1398203046,1585688650,1580243500,1640970765,1854307548,1894768512,1977604464,2451911255,3202625762,9121715894,9937620003,9963777035,10991037120,11312622560,14385784160,14691330090,17269022016,24463300000,22351500000,24345100000,24694900000,24877600000,25005400000,26753800000,28749200000,34568300000,33668700000,33867700000,31328800000,36189900000,27870800000
48,Accounts Payable,- -,- -,- -,- -,- -,713856591,757300008,862349166,1012481820,952814898,291027012,1440759175,1313452150,2577645305,2511714655,2479038529,2729757520,2884005548,4658226377,4742124884,5849365553,10407700000,9774000000,11703600000,11165500000,7227500000,7150200000,7846300000,8538300000,10308300000,9893000000,10524300000,10112100000,10206500000,10596900000
49,Short-Term Debt,455912166,438806872,120090640,63506450,32973714,- -,- -,- -,- -,85722392,1193809620,95367835,148125354,297917653,320603687,227113759,565565840,604728592,471291121,1262007100,1590166998,1640800000,720700000,255400000,518400000,1085900000,941400000,653200000,932000000,1002500000,624100000,1025100000,763500000,8943000000,846900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,29500000,53100000,56500000,39600000,70000000,87800000,71600000,115800000,113400000,536500000,535400000,586000000,598500000,752300000,649300000,545900000,499900000,330900000,386200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267885664,322909257,335167735,391391840,405618080,604060610,510641216,601092725,- -,910900000,- -,- -,- -,917800000,990400000,1081000000,1312700000,1212100000,- -,- -,- -,- -
52,Other Current Liabilities,74935692,34740496,1055825440,922683916,936090072,416037230,467616868,420364836,480969312,469487760,215291028,240739020,683893898,1113485407,1176282799,1080839007,1231102880,1323306046,1607429863,1566712682,1873947301,87800000,-839300000,115800000,113400000,3783200000,2762800000,3105900000,3664200000,4141700000,3785300000,5060000000,4745000000,3984100000,5041600000
53,Total Current Liabilities,530847858,473547368,1175916080,986190366,969063786,1129893821,1224916876,1282714002,1493451132,1508025050,1700127660,1776866030,2145471402,4256934030,4331510398,4122159030,4917818080,5217658266,7341007971,8081485882,9914572577,12136300000,10566300000,12074800000,11797300000,12096600000,11772200000,12595800000,14215500000,16765200000,15514500000,16609400000,15620600000,23133600000,16485400000
54,Long-Term Debt,91588068,141292816,451570720,459320120,561515094,578891740,321659832,388127484,329922168,281692656,87894876,194169635,366367978,795447339,1415808862,1403201090,1227407440,1318008507,1461062973,1217321215,1741716815,3999300000,3586400000,3598200000,3893000000,3680600000,3520600000,4134900000,4661200000,5564900000,6250400000,5634800000,5994800000,6808000000,5978900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,42689200,34682298,34897626,35801619,20822032,7483671,6795180,9926980,8408388,8675280,4694307,- -,- -,- -,- -,312300000,532977187,467654486,464457616,1406100000,1295100000,1232500000,741400000,680300000,650700000,667600000,552300000,692400000,513700000,479500000,379800000,304100000,312500000
57,Other Non-Current Liabilities,960714,1220912,242549440,187097778,90584190,82679982,173742280,68440410,82383468,68204192,199442124,276464305,359776538,631572945,541388559,722160924,783483120,500334969,1065854414,1007687151,1049434511,961800000,828000000,791700000,1368900000,1359500000,1215400000,1528700000,1304400000,1778200000,1428100000,1337400000,890100000,777800000,1025000000
58,Total Non-Current Liabilities,92548782,142513728,736809360,681100196,686996910,697373341,516224144,464051565,419100816,359823828,295745388,479309220,730838823,1427020284,1957197421,2125362014,2010890560,2130643476,3059894574,2692662851,3255608941,6367200000,5709500000,5622400000,6003300000,5720400000,5386700000,6331200000,6517900000,8035500000,8192200000,7451700000,7264700000,7889900000,7316400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2249700000,2156300000,2041800000
61,Total Liabilities,623396640,616061096,1912725440,1667290562,1656060696,1827267162,1741141020,1746765567,1912551948,1867848878,1995873048,2256175250,2876310225,5683954314,6288707819,6247521043,6928708640,7348301742,10400902545,10774148733,13170181517,18503500000,16275800000,17697200000,17800600000,17817000000,17158900000,18927000000,20733400000,24800700000,23706700000,24061100000,22885300000,31023500000,23801800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77409086,111318412,115253060,115758103,118546400,118446736,125271363,124061275,119317652,125500000,125600000,126400000,126600000,126500000,134900000,132600000,132900000,133200000,133300000,133300000,132800000,129600000,122400000
64,Retained Earnings,-747222,332976,41879040,73874850,87591438,96196247,111749412,103811949,59215140,117780698,561123792,-480212895,-359876062,-171182204,- -,-87443618,-178668000,-125443908,5252389251,5447305299,5487509197,5809200000,5904300000,6407400000,10803500000,11186300000,6903700000,7106700000,7698500000,8405900000,9200800000,9541400000,9048900000,5070700000,4367300000
65,Other Comprehensive Income/Loss,-5924403,-18480168,-39884800,-59877510,-75353220,-93756726,-101406000,-121145922,-145546284,-148028790,-171857772,-199651930,-240116834,-487318836,-589193703,- -,- -,- -,- -,- -,- -,- -,- -,-1007200000,-1053000000,-998700000,-1042500000,-1092700000,-1120200000,-1353300000,-1338400000,-1357700000,33300000,196000000,- -
66,Other Total Stockholders Equity,- -,78082872,- -,- -,- -,- -,- -,- -,28086744,57167726,- -,875600830,848899347,3984944208,4122852827,3649122240,3944412160,3919740888,-1474060036,-1745656814,-1628505126,-172500000,-135900000,920000000,-3213800000,-3503100000,1590700000,1353500000,926200000,2138700000,1497500000,1065200000,-1142900000,-548000000,-873300000
67,Total Stockholders Equity,-65702163,59935680,-372050400,-261439206,-257857650,-241578512,-160897520,-105794802,-58244400,26919634,-18268584,195736005,326315537,3437761580,3648912184,3677436725,4014290560,3912743715,3903600578,3825709760,3978321724,5762200000,5894000000,6446600000,6663300000,6811000000,7586800000,7500100000,7637400000,9324500000,9493200000,9382200000,8072100000,4848300000,3616400000
68,Total Liabilities And Stockholders Equity,557694477,675996776,1540675040,1405851356,1398203046,1585688650,1580243500,1640970765,1854307548,1894768512,1977604464,2451911255,3202625762,9121715894,9937620003,9924957768,10942999200,11261045458,14304503122,14599858493,17148503241,24265700000,22169800000,24143800000,24463900000,24628000000,24745700000,26427100000,28370800000,34125200000,33199900000,33443300000,30957400000,35871800000,27418200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38819267,48037920,51577102,81281038,91471597,120518776,197600000,181700000,201300000,231000000,249600000,259700000,326700000,378400000,443100000,468800000,424400000,371400000,318100000,452600000
70,Total Liabilities & Equity,557694477,675996776,1540675040,1405851356,1398203046,1585688650,1580243500,1640970765,1854307548,1894768512,1977604464,2451911255,3202625762,9121715894,9937620003,9963777035,10991037120,11312622560,14385784160,14691330090,17269022016,24463300000,22351500000,24345100000,24694900000,24877600000,25005400000,26753800000,28749200000,34568300000,33668700000,33867700000,31328800000,36189900000,27870800000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105076/000091648004000033/0000916480-04-000033-index.html,https://www.sec.gov/Archives/edgar/data/105076/000091648005000053/0000916480-05-000053-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312506137080/0001193125-06-137080-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312507141494/0001193125-07-141494-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312508131242/0001193125-08-131242-index.htm,https://www.sec.gov/Archives/edgar/data/105076/000091648009000070/0000916480-09-000070-index.html,https://www.sec.gov/Archives/edgar/data/105076/000091648010000027/0000916480-10-000027-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312511117310/0001193125-11-117310-index.htm,https://www.sec.gov/Archives/edgar/data/105076/000110465912014639/0001104659-12-014639-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312513185316/0001193125-13-185316-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312514170191/0001193125-14-170191-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312515159722/0001193125-15-159722-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312516566961/0001193125-16-566961-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312517146369/0001193125-17-146369-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312518141442/0001193125-18-141442-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312519121544/0001193125-19-121544-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312520128655/0001193125-20-128655-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,20866496,39074640,50597792,30996360,-11867940,22917756,47460546,68987256,100028922,115902672,140250360,172596454,244960630,271796480,88043980,208130160,292169101,363816040,435664539,466359647,439100000,437700000,586000000,840100000,822700000,936500000,1077200000,1160200000,1400100000,1816600000,1062900000,624100000,-2967300000,637700000
74,Depreciation and Amortization,- -,11487672,20254000,25454422,25865928,22878751,25824728,26608608,26274696,28379484,29096652,33676955,42150476,78983944,124974309,294447425,204934240,178319718,147365904,185841812,184882254,251400000,398400000,380800000,383500000,396600000,414500000,376400000,368500000,427800000,462100000,543800000,686300000,631000000,541800000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58800000,68600000,70900000,62400000,62300000,54900000,70400000,78800000,92800000,105400000,102200000,99000000,106500000,105000000,84800000,71400000,74400000,99600000
77,Change in Working Capital,- -,- -,- -,- -,3420288,9889950,77000956,29934684,60121164,47649504,58858716,-7711360,41850668,164975754,-459008116,210605358,320184480,25088886,107575041,-171047068,25425294,-109300000,-102100000,225500000,-620900000,-388200000,-133400000,295000000,-164100000,-151300000,-531800000,165700000,350300000,838200000,702000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1656702,6263635,-16360168,-28847313,12749052,-8583918,-2480172,180735,-1498420,-14715380,18139678,-70735303,43443680,40082157,39490984,-82974291,29429039,65600000,12400000,-46300000,32700000,-17600000,36700000,-9700000,7800000,-16700000,-44600000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
