,https://roic.ai/company/INFY,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.3917,0.4273,0.4268,0.4239,0.3726,0.3540,0.3499,0.3364,0.3405,0.3551,0.3517,0.3888,0.3700,0.3725,0.3446,0.3206,0.3436,0.3234,0.3162,0.3137,0.2788,0.2754,0.2989
17,Operating Income,22900000,60499053,137514586,178547907,218644196,293116053,456000000,599000000,852000000,1151000000,1374000000,1460000000,1779000000,2013000000,1909000000,1979000000,2258000000,2375000000,2520000000,2659000000,2696000000,2724000000,3325000000
18,Operating Income ratio,0.1893,0.2974,0.3323,0.3276,0.2901,0.2759,0.2864,0.2783,0.2757,0.2756,0.2947,0.3039,0.2945,0.2878,0.2580,0.2399,0.2592,0.2500,0.2469,0.2431,0.2285,0.2131,0.2452
19,Total Other Income Expenses (Gains),-600000,9038792,9505343,13865294,18048110,27950174,35000000,31000000,84000000,175000000,101000000,209000000,267000000,397000000,433000000,440000000,560000000,476000000,454000000,484000000,307000000,371000000,271000000
20,Income Before Tax,22300000,69537845,147019929,192413201,236692306,321066227,491000000,630000000,936000000,1326000000,1475000000,1669000000,2046000000,2410000000,2342000000,2419000000,2818000000,2851000000,2974000000,3143000000,3003000000,3095000000,3596000000
21,Income Before Tax Ratio,0.1843,0.3418,0.3552,0.3530,0.3140,0.3022,0.3084,0.2928,0.3029,0.3175,0.3163,0.3474,0.3387,0.3446,0.3166,0.2932,0.3235,0.3001,0.2913,0.2873,0.2545,0.2422,0.2652
22,Income Tax expense (Gain),4900000,8193317,15071825,27946892,41822265,50775927,72000000,70000000,84000000,171000000,194000000,356000000,547000000,694000000,617000000,668000000,805000000,799000000,834000000,657000000,803000000,757000000,973000000
23,Net Income,17400000,61344528,131948104,164466309,194870041,270290300,419000000,555000000,850000000,1155000000,1281000000,1313000000,1499000000,1716000000,1725000000,1751000000,2013000000,2052000000,2140000000,2486000000,2199000000,2331000000,2613000000
24,Net Income ratio,0.1438,0.3015,0.3188,0.3017,0.2585,0.2544,0.2632,0.2579,0.2751,0.2766,0.2747,0.2733,0.2481,0.2454,0.2332,0.2123,0.2311,0.2160,0.2096,0.2273,0.1864,0.1824,0.1927
25,EPS,0.00,0.01,0.03,0.04,0.05,0.06,0.10,0.13,0.19,0.25,0.28,0.29,0.33,0.38,0.38,0.38,0.44,0.45,0.47,0.55,0.51,0.55,0.62
26,EPS Diluted,0.00,0.01,0.03,0.04,0.05,0.06,0.10,0.12,0.19,0.25,0.28,0.29,0.33,0.38,0.38,0.38,0.44,0.45,0.47,0.55,0.51,0.55,0.61
27,Weighted Average Shares Outstanding,3712000000,4202216000,4209360384,4195625472,4196544128,4204484928,4270416528,4345281776,4432149912,4548517920,4557252888,4563807384,4569440400,4570923952,4571193904,4571220528,4571220528,4571232320,4571278894,4510664644,4347130157,4257754522,4242416665
28,Weighted Average Shares Outstanding Diluted,3712000000,4215295360,4269743296,4229431936,4254656576,4274659776,4377446608,4463742288,4528884656,4562951800,4565036648,4568928248,4570946864,4571169136,4571200728,4571220528,4571285880,4571437788,4572793490,4515147740,4353420772,4265144228,4250732467
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,354362918,444553465,410000000,889000000,1403000000,2058000000,2167000000,2698000000,3737000000,4047000000,4021000000,4331000000,4859000000,4935000000,3489000000,3041000000,2829000000,2465000000,3380000000
32,Short-Term Investments,- -,- -,- -,- -,- -,217604513,278000000,170000000,6000000,18000000,- -,855000000,47000000,68000000,320000000,510000000,140000000,11000000,1538000000,982000000,958000000,34000000,320000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,354362918,662157978,688000000,1059000000,1409000000,2076000000,2167000000,3553000000,3784000000,4115000000,4341000000,4841000000,4999000000,4946000000,5027000000,4023000000,3787000000,2499000000,3700000000
34,Net Receivables,- -,- -,- -,- -,128822042,173827705,335000000,409000000,639000000,944000000,872000000,965000000,1322000000,1524000000,1945000000,2077000000,2325000000,2591000000,2884000000,2982000000,3363000000,3479000000,3669000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,- -
36,Other Current Assets,- -,- -,- -,- -,24672857,35871753,37000000,41000000,50000000,109000000,81000000,143000000,206000000,306000000,219000000,262000000,227000000,265000000,371000000,668000000,494000000,1215000000,938000000
37,Total Current Assets,- -,- -,- -,- -,507857817,871857436,1060000000,1509000000,2098000000,3129000000,3120000000,4661000000,5312000000,5945000000,6505000000,7180000000,7551000000,7802000000,8282000000,7673000000,7644000000,7212000000,8307000000
38,PP&E,- -,- -,- -,- -,157194190,228419168,352000000,491000000,738000000,1022000000,920000000,989000000,1086000000,1063000000,1191000000,1316000000,1460000000,1589000000,1807000000,1863000000,1931000000,2414000000,2519000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,128000000,150000000,135000000,183000000,185000000,195000000,364000000,360000000,495000000,568000000,563000000,339000000,512000000,699000000,- -
40,Intangible Assets,- -,- -,- -,- -,6471236,9712374,8000000,8000000,20000000,25000000,7000000,12000000,11000000,34000000,68000000,57000000,102000000,149000000,120000000,38000000,100000000,7696000000,- -
41,Intangible Assets,- -,- -,- -,- -,6471236,9712374,8000000,8000000,148000000,175000000,142000000,195000000,196000000,229000000,432000000,417000000,597000000,717000000,683000000,377000000,612000000,- -,1115000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,72000000,208000000,230000000,289000000,995000000,883000000,670000000,600000000,1681000000
43,Tax Assets,- -,- -,- -,- -,7264885,7381530,8000000,13000000,19000000,66000000,88000000,78000000,308000000,266000000,94000000,110000000,85000000,81000000,83000000,196000000,199000000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,25520839,14811763,26000000,45000000,70000000,100000000,106000000,225000000,103000000,34000000,245000000,291000000,692000000,900000000,1004000000,1263000000,1196000000,2034000000,1203000000
45,Total Non-Current Assets,- -,- -,- -,- -,196451150,260324835,394000000,557000000,975000000,1363000000,1256000000,1487000000,1698000000,1592000000,2034000000,2342000000,3064000000,3576000000,4572000000,4582000000,4608000000,5048000000,6518000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,704308967,1132182271,1454000000,2066000000,3073000000,4492000000,4376000000,6148000000,7010000000,7537000000,8539000000,9522000000,10615000000,11378000000,12854000000,12255000000,12252000000,12260000000,14825000000
48,Accounts Payable,- -,- -,- -,- -,426611,954890,1000000,3000000,6000000,12000000,5000000,2000000,10000000,5000000,35000000,29000000,22000000,58000000,57000000,127000000,255000000,377000000,362000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,101000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,161000000,183000000,307000000,374000000,517000000,596000000,711000000,788000000,504000000,442000000,429000000,591000000
51,Deferred Revenue,- -,- -,- -,- -,13202115,14711639,20000000,44000000,72000000,71000000,65000000,118000000,116000000,107000000,158000000,116000000,172000000,205000000,279000000,358000000,410000000,1138000000,554000000
52,Other Current Liabilities,- -,- -,- -,- -,49457564,136376200,154000000,162000000,277000000,488000000,467000000,590000000,690000000,825000000,965000000,1379000000,1626000000,1735000000,1825000000,1679000000,2028000000,1160000000,2247000000
53,Total Current Liabilities,- -,- -,- -,- -,63086290,152042729,175000000,209000000,355000000,571000000,537000000,710000000,816000000,937000000,1158000000,1524000000,1820000000,1998000000,2161000000,2164000000,2693000000,2757000000,3264000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,7000000,8000000,7000000,13000000,12000000,10000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,26000000,- -,2000000,23000000,11000000,25000000,39000000,32000000,82000000,98000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,15217758,26559076,26000000,5000000,1000000,11000000,48000000,51000000,72000000,17000000,22000000,47000000,- -,10000000,11000000,37000000,51000000,- -,1059000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,15217758,26559076,26000000,5000000,1000000,11000000,55000000,77000000,72000000,24000000,50000000,65000000,33000000,56000000,56000000,131000000,159000000,- -,1059000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,612000000,728000000
61,Total Liabilities,- -,- -,- -,- -,78304048,178601805,201000000,214000000,356000000,582000000,592000000,787000000,888000000,961000000,1208000000,1589000000,1853000000,2054000000,2217000000,2295000000,2852000000,3559000000,4323000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,8602909,8647061,31000000,31000000,64000000,64000000,64000000,64000000,64000000,64000000,64000000,64000000,109000000,199000000,199000000,190000000,339000000,332000000,- -
64,Retained Earnings,- -,- -,- -,- -,524621160,747644842,923000000,1387000000,1871000000,2817000000,3618000000,4611000000,5294000000,6509000000,7666000000,8892000000,10090000000,11083000000,12190000000,11587000000,11248000000,11608000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-34261901,40084033,33000000,9000000,90000000,311000000,-474000000,-641000000,-730000000,-712000000,-775000000,-922000000,-1027000000,-1125000000,6000000,244000000,387000000,592000000,910000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,127042751,157204530,266000000,410000000,692000000,718000000,576000000,1327000000,1494000000,715000000,376000000,-101000000,-410000000,-833000000,-1758000000,-2061000000,-2583000000,-3886000000,10502000000
67,Total Stockholders Equity,- -,- -,- -,- -,626004919,953580466,1253000000,1837000000,2717000000,3910000000,3784000000,5361000000,6122000000,6576000000,7331000000,7933000000,8762000000,9324000000,10637000000,9960000000,9391000000,8646000000,10442000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,704308967,1132182271,1454000000,2051000000,3073000000,4492000000,4376000000,6148000000,7010000000,7537000000,8539000000,9522000000,10615000000,11378000000,12854000000,12255000000,12243000000,12205000000,14765000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,55000000,60000000
70,Total Liabilities & Equity,- -,- -,- -,- -,704308967,1132182271,1454000000,2066000000,3073000000,4492000000,4376000000,6148000000,7010000000,7537000000,8539000000,9522000000,10615000000,11378000000,12854000000,12255000000,12252000000,12260000000,14825000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,17400000,61344528,131948104,164466309,194870041,270290300,419000000,555000000,850000000,1155000000,1281000000,1313000000,1499000000,1716000000,1725000000,1751000000,2013000000,2052000000,2140000000,2486000000,2199000000,2331000000,2613000000
74,Depreciation and Amortization,25100000,17385804,29609662,38618163,44188307,55086050,66000000,99000000,118000000,157000000,165000000,199000000,189000000,195000000,207000000,226000000,175000000,222000000,254000000,289000000,287000000,407000000,441000000
75,Deferred Income Tax,-600000,-850891,-769304,-1999471,-2418210,809305,-3000000,-5000000,-6000000,-50000000,- -,- -,- -,694000000,617000000,668000000,805000000,799000000,834000000,657000000,803000000,- -,973000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,13000000,29000000,- -,45000000
77,Change in Working Capital,-3200000,-6468561,-26735391,-9593166,-28665515,45073107,-127000000,-54000000,-104000000,-116000000,-35000000,-6000000,-289000000,-268000000,-178000000,6000000,-184000000,-344000000,-290000000,-17000000,-85000000,-272000000,86000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81000000,41000000,-254000000,-247000000,-181000000,-209000000,-240000000,-225000000,-260000000,-237000000,-411000000,-542000000,-248000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,23000000,5000000,-3000000,37000000,-3000000,51000000,131000000,-52000000,-33000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,89000000,-18000000,98000000,123000000,53000000,-26000000,43000000,43000000,67000000,105000000,46000000,19000000,138000000
82,Other Non-Cash Items,-1000000,-20153,3460247,-16754,3216960,2193799,-11000000,4000000,4000000,3000000,-3000000,-49000000,-101000000,-656000000,-633000000,-648000000,-1053000000,-867000000,-839000000,-1171000000,-971000000,-2466000000,-900000000
83,Cash Provided by Operating Activities,37700000,71390727,137513318,191475081,211191583,373452561,344000000,599000000,862000000,1149000000,1409000000,1457000000,1298000000,1681000000,1738000000,2003000000,1756000000,1862000000,2099000000,2257000000,2262000000,- -,3258000000
84,CAPEX,-16100000,-35926030,-96775745,-68347644,-43157754,-93226060,-186000000,-246000000,-339000000,-374000000,-285000000,-143000000,-285000000,-320000000,-384000000,-451000000,-367000000,-413000000,-411000000,-310000000,-349000000,-465000000,-285000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-10383445,- -,- -,-148000000,-32000000,-3000000,-37000000,- -,-41000000,-213000000,- -,-221000000,-117000000,-5000000,-9000000,-110000000,-253000000,-186000000
86,Purchases of Investments,- -,-3000000,-5879755,-2200000,-54378,-205324508,-100000000,-419000000,-1002000000,-511000000,-227000000,-2340000000,-610000000,-1322000000,-69000000,-3909000000,-3906000000,-3734000000,-8735000000,-9697000000,-11747000000,-1070000000,-5764000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,51000000,523000000,1164000000,500000000,243000000,1571000000,1414000000,1276000000,3783000000,3545000000,4258000000,3800000000,6625000000,10447000000,11940000000,- -,5063000000
88,Other Investing Activites,-900000,-6804970,-4035886,-5212124,-10730058,4272513,-13000000,-6000000,-9000000,-6000000,-18000000,19000000,-29000000,-41000000,-4428000000,-459000000,-336000000,-423000000,-432000000,-259000000,41000000,1546000000,-242000000
89,Cash Used for Investing Activites,-17000000,-45731000,-106691386,-75759768,-53942190,-304661500,-248000000,-148000000,-334000000,-423000000,-290000000,-930000000,490000000,-429000000,-927000000,-823000000,-205000000,-474000000,-2547000000,482000000,-225000000,-242000000,-1129000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000000,-94000000
91,Common Stock Issued,66300000,406862,511388,963351,12805688,37351663,99000000,128000000,277000000,17000000,14000000,20000000,5000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,- -,- -,- -,- -,-2042000000,-118000000,-1070000000,- -
93,Dividends Paid,-2400000,-2526872,-9321522,-22902618,-33913973,-47183238,-222000000,-91000000,-336000000,-209000000,-559000000,-330000000,-816000000,-501000000,-489000000,-519000000,-815000000,-1059000000,-1032000000,-1156000000,-1956000000,- -,-1226000000
94,Other Financing Activites,900000,-777923,- -,- -,- -,- -,- -,- -,4000000,6000000,- -,- -,- -,- -,-78000000,- -,- -,- -,- -,1000000,1000000,-1363000000,3000000
95,Cash Used/Provided by Financing Activities,64800000,-2897933,-8810134,-21939267,-21108285,-9831575,-123000000,37000000,-55000000,-186000000,-545000000,-310000000,-811000000,-500000000,-583000000,-519000000,-815000000,-1059000000,-1032000000,-3197000000,-2073000000,-2513000000,-1317000000
96,Effect of Forex Changes on Cash,-2100000,-5037271,-14527039,-7374351,7735870,31231061,-8000000,-9000000,41000000,115000000,-465000000,304000000,62000000,-442000000,-254000000,-351000000,-208000000,-253000000,34000000,18000000,-184000000,-220000000,103000000
97,Net Change In Cash,83500000,17724523,7484759,86401695,143876978,90190547,-35000000,479000000,514000000,655000000,109000000,521000000,1039000000,310000000,-26000000,310000000,528000000,76000000,-1446000000,-440000000,-220000000,-364000000,915000000
98,Cash at the End of Period,98900000,116599486,124084245,210485940,354362918,444553465,410000000,889000000,1403000000,2058000000,2167000000,2698000000,3737000000,4047000000,4021000000,4331000000,4859000000,4935000000,3489000000,3049000000,2829000000,- -,3380000000
99,Cash at the Beginning of Period,15400000,98874963,116599486,124084245,210485940,354362918,445000000,410000000,889000000,1403000000,2058000000,2177000000,2698000000,3737000000,4047000000,4021000000,4331000000,4859000000,4935000000,3489000000,3049000000,- -,2465000000
100,Free Cash Flow,21600000,35464697,40737573,123127437,168033829,280226501,158000000,353000000,523000000,775000000,1124000000,1314000000,1013000000,1361000000,1354000000,1552000000,1389000000,1449000000,1688000000,1947000000,1913000000,- -,2973000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
