,https://roic.ai/company/DPLS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),-10000,-10000,-10000,-10000,- -,133658,-213476,-398450,-512555,124348,-238085,-442162,-157635,189240,-18505,81810,692469,-48368,896242,92009,-14123,-1549,236615,-779434,-1279233,-17103
20,Income Before Tax,-1310000,-830000,-760000,-1500000,- -,-4066183,-2342305,-1025737,-1361653,-632193,-736813,-850340,-707394,96017,-555411,-392560,209541,-444243,522263,-276793,-498123,-267656,-223987,-3318059,-1825469,-275842
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-6.5217,- -,-150.5994,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,100,100,100,100,100,100,100,100,100,- -,441,900,6328,1196,1194,1270,1295,-38728,- -,- -,- -
23,Net Income,-1310000,-830000,-760000,-1500000,-1700000,-4066283,-2342405,-1025837,-1361753,-632293,-736913,-850440,1563900,95917,-555411,-393001,208641,-450571,521067,-277987,-499393,-268951,-185259,-3318059,-1825469,-275842
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-6.5217,-17.0000,-150.6031,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.16,-0.10,-0.08,-0.15,-0.15,-0.34,-0.19,-0.08,-0.07,-0.02,-0.02,-0.02,0.04,0.00,-0.01,-0.01,0.00,-0.01,0.01,-0.01,-0.01,-0.00,-0.00,-0.04,-0.00,-0.00
26,EPS Diluted,-0.16,-0.10,-0.08,-0.15,-0.15,-0.34,-0.19,-0.08,-0.07,-0.02,-0.02,-0.02,0.04,0.00,-0.01,-0.01,0.00,-0.01,0.01,-0.01,-0.01,-0.00,-0.00,-0.04,-0.00,-0.00
27,Weighted Average Shares Outstanding,8320000,8580000,9450000,10160000,11333333,11978017,12557378,12563951,19420052,34899606,37672182,38718472,41193978,46530769,42618936,44208928,45150293,46043507,49757302,52330759,55452431,58377906,60661840,89680567,487850346,2323180245
28,Weighted Average Shares Outstanding Diluted,8320000,8580000,9450000,10160000,11333333,11978017,12557378,12563951,19420052,34899606,37672182,38718472,41193978,56339704,42618936,44208928,63343152,46043507,72127734,52330759,55452431,58377906,60661840,89680567,487850346,2323180245
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866439/000093980208000178/0000939802-08-000178-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866439/000092881610001473/0000928816-10-001473-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866439/000101968712001158/0001019687-12-001158-index.html,https://www.sec.gov/Archives/edgar/data/866439/000101968713001346/0001019687-13-001346-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968714000873/0001019687-14-000873-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968715001169/0001019687-15-001169-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968716005572/0001019687-16-005572-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316817000655/0001683168-17-000655-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316818000853/0001683168-18-000853-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316819001076/0001683168-19-001076-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000168316820001905/0001683168-20-001905-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000168316821001436/0001683168-21-001436-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30000,30000,10000,50000,200000,2870,- -,3424,1916,23174,3892,3172,375,851,21041,1071,177873,3055,51654,23194,31782,4934,2498,72294,1210,337
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,30000,30000,10000,50000,200000,2870,- -,3424,1916,23174,3892,3172,375,851,21041,1071,177873,3055,51654,23194,31782,4934,2498,72294,1210,337
34,Net Receivables,- -,60000,30000,140000,- -,112485,7964,- -,- -,25865,25865,25865,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-10000,- -,97339,226272,- -,2512,750,750,3850,- -,- -,- -,35,- -,- -,- -,- -,- -,- -,- -,746,746,- -
37,Total Current Assets,30000,90000,40000,180000,200000,212694,234236,3424,4428,49789,30507,32887,25375,851,21041,1106,177873,3055,51654,23194,31782,4934,2498,73040,1956,337
38,PP&E,30000,20000,20000,20000,500000,76635,117421,85712,6814,3645,- -,- -,- -,- -,- -,72500,191120,293108,424765,452534,535119,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,910000,940000,800000,1140000,900000,769804,608781,423834,220663,27151,- -,- -,- -,- -,- -,550,28124,62670,86898,64699,79575,628878,- -,486932,445018,- -
41,Intangible Assets,910000,940000,800000,1140000,900000,769804,608781,423834,220663,27151,- -,- -,- -,- -,- -,550,28124,62670,86898,64699,79575,628878,316710,486932,445018,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-10000,- -,-10000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,70679,116495,485454
45,Total Non-Current Assets,930000,960000,810000,1160000,1500000,846439,726202,509546,227477,30796,- -,- -,- -,- -,20000,73050,219244,355778,511663,517233,614694,628878,316710,557611,561513,485454
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,960000,1050000,850000,1340000,1700000,1059133,960438,512970,231905,80585,30507,32887,25375,851,41041,74156,397117,358833,563317,540427,646476,633812,319208,630651,563469,485791
48,Accounts Payable,100000,110000,100000,610000,400000,192510,420945,435928,446855,343765,307591,379491,302037,307308,376365,502884,455860,525589,304669,315180,346303,382518,167020,59160,323948,519899
49,Short-Term Debt,50000,50000,20000,350000,300000,8478,4828,2553505,45458,45458,45000,45000,23023,65423,54000,59950,15000,15000,- -,- -,25500,31500,38000,645346,1077345,931158
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36129,- -,38314,39474,40769,1800,1996,1996,1996
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,42000,- -
52,Other Current Liabilities,40000,40000,30000,70000,600000,1394828,2681396,878142,3420404,3751859,4179575,4736655,852008,671898,685252,912492,1131756,1114025,65724,235377,442951,522533,546523,997350,1772578,1790847
53,Total Current Liabilities,190000,200000,150000,1030000,1300000,1595816,3107169,3867575,3912717,4141082,4532166,5161146,1177068,1044629,1115617,1475326,1602616,1654614,370393,550557,814754,936551,751543,1743856,3215871,3241904
54,Long-Term Debt,40000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1102243,1155150,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,210000,230000,230000,- -,100000,9057,6246,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1176092
58,Total Non-Current Liabilities,250000,260000,230000,- -,100000,9057,6246,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1102243,1155150,1176092
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,440000,460000,380000,1030000,1400000,1604873,3113415,3867575,3912717,4141082,4532166,5161146,1177068,1044629,1115617,1475326,1602616,1654614,370393,550557,814754,936551,751543,2846099,4371021,4417996
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,1684,1684,1684,1684,1684,1684,2876,2876,2876,3126,3469,3849,4098,4272,4687,5094,883,883,883
63,Common Stock,90000,90000,100000,100000,100000,121528,126748,123706,348061,366406,385231,396537,471881,427181,435901,459216,455129,466264,516931,536910,572404,597316,613226,896806,13920421,408876
64,Retained Earnings,-3330000,-4170000,-4920000,-6420000,-8200000,-12219025,-14561430,-15587267,-16949020,-17581313,-18318226,-19168666,-17604766,-17508851,-18064262,-3333785,-3333785,-3333785,-3333785,-18485214,-18984607,-19253558,-19438817,-4348859,-6174328,315832
65,Other Comprehensive Income/Loss,-20000,-30000,-40000,-50000,-100000,-78663,-105145,7689,-15000,-10302,-10302,-92964,-92964,-92964,-92964,-15123478,-14914837,-15394509,-14873442,-2522,-3254,- -,- -,389680,336775,315832
66,Other Total Stockholders Equity,3780000,4700000,5330000,6690000,8500000,11630420,12386850,12099583,12933463,13163028,13439954,13735150,16072472,16127980,16643873,16594001,16584868,16962780,17879371,17936598,18242907,18348816,18388162,858481,-11878864,-4961189
67,Total Stockholders Equity,520000,590000,470000,320000,300000,-545740,-2152977,-3354605,-3680812,-4060497,-4501659,-5128259,-1151693,-1043778,-1074576,-1401170,-1205499,-1295781,192924,-10130,-168278,-302739,-432335,-2203009,-3795113,-3919766
68,Total Liabilities And Stockholders Equity,960000,1050000,850000,1350000,1700000,1059133,960438,512970,231905,80585,30507,32887,25375,851,41041,74156,397117,358833,563317,540427,646476,633812,319208,643090,575908,498230
69,Minority Interest,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12439,-12439,-12439
70,Total Liabilities & Equity,960000,1050000,850000,1340000,1700000,1059133,960438,512970,231905,80585,30507,32887,25375,851,41041,74156,397117,358833,563317,540427,646476,633812,319208,630651,563469,485791
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866439/000093980208000178/0000939802-08-000178-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866439/000092881610001473/0000928816-10-001473-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866439/000101968712001158/0001019687-12-001158-index.html,https://www.sec.gov/Archives/edgar/data/866439/000101968713001346/0001019687-13-001346-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968714000873/0001019687-14-000873-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968715001169/0001019687-15-001169-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968716005572/0001019687-16-005572-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316817000655/0001683168-17-000655-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316818000853/0001683168-18-000853-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316819001076/0001683168-19-001076-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000168316820001905/0001683168-20-001905-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000168316821001436/0001683168-21-001436-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1310000,-830000,-760000,-1500000,-1700000,-4066283,-2342405,-1025837,-1361753,-632293,-736913,-850440,1563900,95917,-555411,-393001,208641,-450571,521067,-277987,-499393,-268951,-185259,-3318059,-1825469,-275842
74,Depreciation and Amortization,120000,160000,180000,220000,200000,233404,246558,239245,230448,144062,43537,7215,- -,- -,- -,- -,- -,3370,16446,23574,23306,29359,30808,51028,51028,86607
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43653,19891,- -,2121,- -,- -,21220,- -,- -,162911,- -,- -,1602570,141860,- -
77,Change in Working Capital,280000,50000,- -,-740000,-250000,-283122,-1489811,-991218,-44138,-183004,-410366,-626600,3976566,107915,-50798,-379644,49477,-226816,1332820,-208624,-255609,-148645,182572,-921771,-1543099,-27652
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-10000,10000,-510000,- -,- -,- -,- -,- -,- -,- -,- -,-77454,-2229,93277,126519,30110,69729,33375,21120,31123,36215,22430,49160,264788,195951
81,Other Working Capital,-160000,-110000,-110000,-850000,-1100000,-1383122,-2872933,-3864151,-3908289,-4091293,-4501659,-5128259,-1151693,-1043778,-1094576,-1474220,-1424743,-1651559,-318739,-527363,-782972,-931617,-749045,-1670816,-3213915,-3241567
82,Other Non-Cash Items,180000,- -,-10000,1450000,550000,718809,2203990,1567875,913913,322241,823469,1273911,-5858677,-223757,166836,698275,-433603,484433,-2018356,421089,468640,328932,-78457,1695391,3004076,225079
83,Cash Provided by Operating Activities,-730000,-620000,-590000,-570000,-1200000,-3397192,-1381668,-209935,-261530,-348994,-280273,-152261,-298320,-19925,-437252,-74370,-175485,-168364,-148023,-41948,-100145,-59305,-50336,-890841,-171604,8192
84,CAPEX,-20000,-10000,-10000,-10000,-500000,-78019,-66190,- -,- -,- -,-12741,-7215,- -,- -,- -,-65550,-132294,-139904,-108428,-81512,-120767,-43543,-8900,-63405,-54930,-4969
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-35626,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-30000,-40000,-20000,-20000,- -,-34303,-56227,13038,-19336,313758,- -,-7215,- -,- -,- -,-65550,359737,-137820,-106619,-81512,-120767,-43543,-8900,-101652,-54930,-4969
89,Cash Used for Investing Activites,-50000,-50000,-30000,-30000,-500000,-112322,-122417,-22588,-19336,313758,-12741,-7215,- -,- -,- -,-65550,359737,-139904,-108428,-81512,-120767,-43543,-8900,-101652,-54930,-4969
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4244,- -,-2600,-15586,- -,- -,- -,- -,- -,-8000,- -,-7000,-75584,-24650,-44096
91,Common Stock Issued,- -,- -,- -,- -,1700000,2521652,483892,25000,173500,65120,272626,146500,272500,12000,450028,75000,37500,122000,316500,91500,207500,70000,50300,- -,- -,- -
92,Common Stock Repurchased,820000,690000,570000,660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-40000,-20000,30000,-20000,100000,787500,1017323,210947,105858,-8626,1106,16500,23023,11000,23000,44950,-44950,11450,-11450,3500,30000,6000,13500,1132346,180100,40000
95,Cash Used/Provided by Financing Activities,780000,670000,600000,640000,1800000,3309152,1501215,235947,279358,56494,273732,158756,295523,20400,457442,119950,-7450,133450,305050,95000,229500,76000,56800,1056762,155450,-4096
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,10000,-20000,40000,1800000,-200362,1501215,235947,-1508,21258,-19282,-720,-2797,475,20190,-19970,176802,-174818,48599,-28460,8588,-26848,-2436,64269,-71084,-873
98,Cash at the End of Period,- -,40000,10000,50000,200000,2870,- -,3424,1916,23174,3892,3172,375,851,21041,1071,177873,3055,51654,23194,31782,4934,2498,72294,1210,337
99,Cash at the Beginning of Period,- -,30000,30000,10000,- -,203232,2870,- -,3424,1916,23174,3892,3172,376,851,21041,1071,177873,3055,51654,23194,31782,4934,8025,72294,1210
100,Free Cash Flow,-750000,-630000,-600000,-580000,-1700000,-3475211,-1447858,-209935,-261530,-348994,-293014,-159476,-298320,-19925,-437252,-139920,-307779,-308268,-256451,-123460,-220912,-102848,-59236,-954246,-226534,3223
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866439/000093980208000178/0000939802-08-000178-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866439/000092881610001473/0000928816-10-001473-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866439/000101968712001158/0001019687-12-001158-index.html,https://www.sec.gov/Archives/edgar/data/866439/000101968713001346/0001019687-13-001346-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968714000873/0001019687-14-000873-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968715001169/0001019687-15-001169-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000101968716005572/0001019687-16-005572-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316817000655/0001683168-17-000655-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316818000853/0001683168-18-000853-index.html,https://www.sec.gov/Archives/edgar/data/866439/000168316819001076/0001683168-19-001076-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000168316820001905/0001683168-20-001905-index.htm,https://www.sec.gov/Archives/edgar/data/866439/000168316821001436/0001683168-21-001436-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
