,https://roic.ai/company/SYF,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1601712/000160171215000007/synchrony1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171216000069/0001601712-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171217000031/0001601712-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171218000107/0001601712-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171219000053/0001601712-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171220000038/0001601712-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171221000057/0001601712-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171222000053/0001601712-22-000053-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1334000000,2319000000,11828000000,12325000000,9321000000,11602000000,9396000000,12147000000,11524000000,8337000000
32,Short-Term Investments,- -,188000000,221000000,- -,- -,- -,- -,- -,- -,7469000000,5283000000
33,Cash and Short-Term Investments,- -,1522000000,2540000000,11828000000,12325000000,9321000000,11602000000,9396000000,12147000000,18993000000,13620000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,81613000000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1598000000,3142000000,5110000000,4488000000,6062000000,- -,- -,- -
37,Total Current Assets,- -,- -,- -,13426000000,15467000000,14431000000,16090000000,15458000000,93760000000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,936000000,949000000,949000000,949000000,949000000,991000000,1024000000,1078000000,1078000000,1105000000
40,Intangible Assets,- -,255000000,300000000,519000000,701000000,712000000,749000000,1137000000,1265000000,1125000000,1168000000
41,Intangible Assets,- -,1191000000,1249000000,1468000000,1650000000,1661000000,1740000000,2161000000,2343000000,2203000000,2273000000
42,Investments,- -,193000000,236000000,1598000000,3142000000,5110000000,4488000000,6062000000,5911000000,7469000000,5283000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,59215000000,63876000000,69005000000,73490000000,83111000000,78514000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,62281000000,68668000000,75776000000,79718000000,91334000000,86768000000,- -,- -
46,Other Assets,- -,53462000000,59085000000,- -,- -,- -,- -,- -,- -,95948000000,95748000000
47,Total Assets,- -,53462000000,59085000000,75707000000,84135000000,90207000000,95808000000,106792000000,180528000000,95948000000,95748000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,37769000000,47107000000,55864000000,60775000000,68118000000,69872000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,37769000000,47107000000,55864000000,60775000000,68118000000,69872000000,- -,- -
54,Long-Term Debt,- -,27815000000,24321000000,27460000000,24344000000,20147000000,20799000000,23996000000,19866000000,15775000000,14507000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-65000000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,27815000000,24321000000,27460000000,24279000000,20147000000,20799000000,23996000000,19866000000,15775000000,14507000000
59,Other Liabilities,- -,76695000000,77446000000,- -,48703000000,- -,- -,- -,- -,99022000000,96600000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,48880000000,53125000000,65229000000,71531000000,76011000000,81574000000,92114000000,89738000000,83247000000,82093000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,734000000,734000000,734000000
63,Common Stock,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,1079000000,3293000000,5330000000,6809000000,8986000000,12117000000,10621000000,14245000000
65,Other Comprehensive Income/Loss,- -,2000000,-13000000,-10000000,-41000000,-53000000,-64000000,-62000000,-58000000,-51000000,-69000000
66,Other Total Stockholders Equity,- -,4580000000,5973000000,9408000000,9351000000,8918000000,7488000000,5753000000,2294000000,1396000000,-1256000000
67,Total Stockholders Equity,- -,4582000000,5960000000,10478000000,12604000000,14196000000,14234000000,14678000000,15088000000,12701000000,13655000000
68,Total Liabilities And Stockholders Equity,- -,53462000000,59085000000,75707000000,84135000000,90207000000,95808000000,106792000000,104826000000,95948000000,95748000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,75702000000,- -,- -
70,Total Liabilities & Equity,- -,53462000000,59085000000,75707000000,84135000000,90207000000,95808000000,106792000000,180528000000,95948000000,95748000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601712/000160171215000007/synchrony1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171216000069/0001601712-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171217000031/0001601712-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171218000107/0001601712-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171219000053/0001601712-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171220000038/0001601712-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171221000057/0001601712-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171222000053/0001601712-22-000053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,1890000000,2119000000,1979000000,2109000000,2214000000,2251000000,1935000000,2790000000,3747000000,1385000000,4221000000
74,Depreciation and Amortization,96000000,83000000,104000000,131000000,174000000,219000000,254000000,302000000,367000000,383000000,390000000
75,Deferred Income Tax,128000000,-18000000,-237000000,-203000000,-295000000,389000000,385000000,-53000000,23000000,-602000000,219000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1214000000,- -,- -,-24343000000,-7297000000,-9793000000,-3252000000,-7975000000,76548000000,-23888000000,1021000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-391000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-24343000000,-31640000000,-41433000000,-44685000000,-52660000000,23888000000,- -,- -
82,Other Non-Cash Items,2188000000,3453000000,3833000000,27646000000,11388000000,13757000000,9594000000,14278000000,-71695000000,30209000000,1248000000
83,Cash Provided by Operating Activities,5516000000,5637000000,5679000000,5340000000,6184000000,6823000000,8916000000,9342000000,8990000000,7487000000,7099000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,3153000000,- -,6393000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-94000000,-31000000,-100000000,-1376000000,-5102000000,-3380000000,-3159000000,-7271000000,-7856000000,-9913000000,-2990000000
87,Sales/Maturities of Investments,17000000,40000000,40000000,27000000,3538000000,1380000000,3762000000,5668000000,8085000000,8383000000,5080000000
88,Other Investing Activites,-4646000000,-6461000000,-7399000000,-8719000000,-9239000000,-11320000000,-10013000000,-17433000000,-490000000,1032000000,-6904000000
89,Cash Used for Investing Activites,-1570000000,-6452000000,-1066000000,-10068000000,-10803000000,-13320000000,-9410000000,-19036000000,-261000000,-498000000,-4814000000
90,Debt Repayment,-9004000000,-5874000000,-4357000000,-16089000000,-9993000000,-9150000000,-5410000000,-3157000000,-9477000000,-4783000000,-4386000000
91,Common Stock Issued,- -,- -,- -,2842000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-476000000,-1497000000,-1868000000,-3618000000,-985000000,-2876000000
93,Dividends Paid,- -,- -,- -,- -,- -,-214000000,-446000000,-534000000,-581000000,-562000000,-542000000
94,Other Financing Activites,6026000000,6836000000,729000000,27484000000,15109000000,13333000000,10128000000,13812000000,7218000000,-1701000000,2600000000
95,Cash Used/Provided by Financing Activities,-2978000000,962000000,-3628000000,14237000000,5116000000,3493000000,2775000000,8253000000,-6458000000,-8031000000,-5204000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,968000000,147000000,985000000,9509000000,497000000,-3004000000,2281000000,-1441000000,2271000000,-1042000000,-2919000000
98,Cash at the End of Period,1187000000,1334000000,2319000000,11828000000,12325000000,9321000000,11602000000,10376000000,12647000000,11605000000,8686000000
99,Cash at the Beginning of Period,219000000,1187000000,1334000000,2319000000,11828000000,12325000000,9321000000,11817000000,10376000000,12647000000,11605000000
100,Free Cash Flow,5516000000,5637000000,5679000000,5340000000,6184000000,6823000000,8916000000,9342000000,8990000000,7487000000,7099000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1601712/000160171215000007/synchrony1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171216000069/0001601712-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171217000031/0001601712-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171218000107/0001601712-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171219000053/0001601712-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/1601712/000160171220000038/0001601712-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171221000057/0001601712-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1601712/000160171222000053/0001601712-22-000053-index.htm
102,false,,,,,,,,,,,
