,https://roic.ai/company/UNIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-1290000,-2690000,-3004636,-9635211,-2238194,-990485,-1470212,-4079430,156863,-137387,-97611,-219305,-400000,-500000,6288346,8745479,- -,5407995,5136901,5265785,- -,1456487
16,EBITDA ratio,-Infinity,-13.4500,-10.0155,-48.1761,-11.1910,-4.9524,-14.7021,-40.7943,1.5686,-1.3739,-0.9761,-2.1930,-Infinity,-Infinity,0.0640,0.0877,- -,0.0551,0.0516,0.0578,- -,0.0242
17,Operating Income,-1300000,-2700000,-3393523,-11172241,-3442180,-1773595,-2285831,-4866293,-215260,-136057,-179096,-237605,-219963,-291809,4662075,7239541,- -,4544835,3037953,2635986,- -,-2961748
18,Operating Income ratio,-Infinity,-13.5000,-11.3117,-55.8612,-17.2109,-8.8680,-22.8583,-48.6629,-2.1526,-1.3606,-1.7910,-2.3761,-Infinity,-Infinity,0.0474,0.0726,- -,0.0463,0.0305,0.0289,- -,-0.0492
19,Total Other Income Expenses (Gains),- -,- -,-206477,-527759,342180,-26405,-14169,-133707,315260,-63943,79096,-62395,-80037,-108191,-1362305,-1678752,- -,-1735925,-1983543,-1777766,- -,462379
20,Income Before Tax,-1300000,-2700000,-3600000,-11700000,-3100000,-1800000,-2300000,-5000000,100000,-200000,-100000,-300000,-300000,-400000,3299770,5560789,- -,2808910,1054410,858220,- -,-2499369
21,Income Before Tax Ratio,-Infinity,-13.5000,-12.0000,-58.5000,-15.5000,-9.0000,-23.0000,-50.0000,1.0000,-2.0000,-1.0000,-3.0000,-Infinity,-Infinity,0.0336,0.0557,- -,0.0286,0.0106,0.0094,- -,-0.0415
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1340680,-2193054,- -,1974160,-192390,-103200,- -,- -
23,Net Income,-1300000,-2700000,-3600000,-11700000,-3100000,-1800000,-2300000,-5000000,100000,-200000,-100000,-300000,-300000,-400000,4640450,7753843,- -,-107210,1246800,961420,- -,-2499369
24,Net Income ratio,-Infinity,-13.5000,-12.0000,-58.5000,-15.5000,-9.0000,-23.0000,-50.0000,1.0000,-2.0000,-1.0000,-3.0000,-Infinity,-Infinity,0.0472,0.0777,- -,-0.0011,0.0125,0.0105,- -,-0.0415
25,EPS,-0.62,-1.23,-7.00,-18.25,-5.50,-3.00,-2.50,-5.00,0.08,-0.14,-0.10,-0.10,-0.10,-0.15,1.50,1.75,- -,-0.85,-0.50,-0.58,- -,-1.19
26,EPS Diluted,-0.62,-1.23,-7.00,-18.25,-5.50,-3.00,-2.50,-5.00,0.08,-0.14,-0.10,-0.10,-0.10,-0.15,1.10,1.30,- -,-0.85,-0.50,-0.58,- -,-1.19
27,Weighted Average Shares Outstanding,2100000,2200000,510193,646953,795962,909718,981182,1014226,1329231,1395024,1634026,2786455,2842879,2842879,2836192,2866897,- -,3740954,3738006,3736742,- -,3736006
28,Weighted Average Shares Outstanding Diluted,2100000,2200000,510193,646953,795962,909718,981182,1014226,1329231,1395024,1634026,2786455,2842879,2842879,3787559,3808006,- -,3740954,3738006,3736742,- -,3736006
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000114420406032021/0001144204-06-032021-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000121465910000928/0001214659-10-000928-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000107654213000020/0001076542-13-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1172706/000107654215000072/0001076542-15-000072-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1172706/000121465918002228/0001214659-18-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1172706/000121465919002174/0001214659-19-002174-index.htm,https://www.sec.gov/Archives/edgar/data/1172706/000121465920002789/0001214659-20-002789-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1172706/000121465921003817/0001214659-21-003817-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,520000,1610000,100000,260000,590000,590000,- -,- -,- -,- -,- -,- -,- -,- -,604230,1910112,- -,1267320,1028840,513590,- -,1656882
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,520000,1610000,100000,260000,590000,590000,- -,- -,- -,- -,- -,- -,- -,- -,604230,1910112,- -,1267320,1028840,513590,- -,1656882
34,Net Receivables,20000,40000,70000,30000,60000,30000,10000,20000,10000,10000,10000,10000,10000,- -,14682720,14232354,- -,15204580,12442450,11662330,- -,10114819
35,Inventory,140000,90000,300000,230000,50000,50000,70000,20000,40000,20000,20000,10000,20000,10000,17421080,17527728,- -,19769660,19460260,19116540,- -,17952850
36,Other Current Assets,- -,80000,70000,30000,20000,- -,30000,10000,- -,- -,- -,- -,- -,10000,2130290,2891007,- -,846370,965520,930010,- -,1842060
37,Total Current Assets,680000,1820000,540000,550000,720000,670000,110000,50000,50000,30000,30000,20000,30000,20000,34838320,36561201,- -,37087930,33897070,32222470,- -,31566611
38,PP&E,60000,70000,120000,90000,60000,50000,30000,- -,- -,- -,- -,- -,- -,- -,12001130,14003276,- -,17289060,18878950,25711280,- -,18491122
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1079180,1079175,- -,1079180,1079180,1079180,- -,1079175
40,Intangible Assets,- -,- -,3640000,6700000,5910000,5120000,4340000,- -,- -,- -,- -,- -,- -,- -,3668960,3534936,- -,3295900,3218000,3263780,- -,3388357
41,Intangible Assets,- -,- -,3640000,6700000,5910000,5120000,4340000,- -,- -,- -,- -,- -,- -,- -,4748140,4614111,- -,4375080,4297180,4342960,- -,4467532
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2509000,- -,- -,- -,709950,- -,- -
44,Other Non-Current Assets,10000,160000,170000,- -,70000,- -,-10000,- -,- -,- -,- -,- -,- -,- -,1295950,586414,- -,3902230,3693360,2779360,- -,- -
45,Total Non-Current Assets,70000,230000,3930000,6790000,6040000,5170000,4360000,- -,- -,- -,- -,- -,- -,- -,18045220,21712801,- -,25566370,26869490,33543550,- -,22958654
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,750000,2050000,4470000,7340000,6760000,5840000,4470000,50000,50000,30000,30000,20000,30000,20000,52883540,58274002,- -,62654300,60766560,65766020,- -,54525265
48,Accounts Payable,30000,70000,300000,330000,90000,40000,820000,660000,220000,200000,110000,120000,80000,40000,9429320,7592510,- -,10645720,9419390,9840640,- -,7344785
49,Short-Term Debt,140000,100000,239769,929937,- -,- -,- -,231300,494221,- -,- -,- -,- -,- -,17452617,18028582,- -,21877978,22023309,23074844,- -,19874845
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,340000,520000,830231,1250063,410000,540000,260000,398700,295779,410000,- -,- -,- -,- -,3523183,4354901,- -,3451012,3381231,3437646,- -,8150310
53,Total Current Liabilities,510000,690000,1370000,2510000,500000,580000,1080000,1290000,1010000,610000,110000,120000,80000,40000,30405120,29975993,- -,35974710,34823930,36353130,- -,35369940
54,Long-Term Debt,360000,330000,1900000,50000,- -,- -,- -,- -,- -,560000,540000,750000,990000,1220000,8497250,10217485,- -,7917630,9681570,9222480,- -,1432301
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238836,909376,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,300000,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3264114,2903043,- -,3369570,2755550,9413900,- -,807190
58,Total Non-Current Liabilities,360000,330000,2200000,350000,300000,- -,- -,- -,- -,560000,540000,750000,990000,1220000,12000200,14029904,- -,11287200,12437120,18636380,- -,2239491
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2497300,4123977,- -,3379925,3196179,9474705,- -,9039452
61,Total Liabilities,870000,1020000,3570000,2860000,800000,580000,1080000,1290000,1010000,1170000,650000,870000,1070000,1260000,42405320,44005897,- -,47261910,47261050,54989510,- -,23708891
62,Preferred Stock,- -,- -,- -,- -,1277000,2277000,2277000,- -,2353407,2353407,2669127,2669127,2669127,2669127,2669202,1080825,- -,1080825,1080825,1080825,- -,1080825
63,Common Stock,10000,10000,10000,20000,20000,20000,30000,30000,40000,40000,10000,10000,10000,10000,14350,18892,- -,18690,18690,18680,- -,3736
64,Retained Earnings,-2680000,-5380000,-8960000,-20700000,-25070000,-27860000,-30260000,-35340000,-35320000,-35550000,-35670000,-35990000,-36250000,-36600000,-26626630,-21674478,- -,-20276940,-22136130,-24301200,- -,- -
65,Other Comprehensive Income/Loss,-20000,-30000,-1162300,-291404,-253904,-268904,-283904,-40000,-40000,-40000,-40000,- -,- -,2000000,790962,18980,- -,-375152,-702645,-1297439,- -,-1271321
66,Other Total Stockholders Equity,2570000,6440000,11005839,25449776,29984814,31096146,31633560,34108181,32006655,32051270,32413958,32463826,32527460,30679605,33630333,34823886,- -,34944968,35244770,35275643,- -,6555920
67,Total Stockholders Equity,-120000,1040000,893539,4478372,5957910,5264242,3396656,-1241819,-959938,-1145323,-616915,-847047,-1043413,-1241268,10478217,14268105,- -,15392391,13505510,10776509,- -,6369160
68,Total Liabilities And Stockholders Equity,750000,2060000,4463539,7338372,6757910,5844242,4476656,48181,50062,24677,33085,22953,26587,18732,52883537,58274002,- -,62654301,60766560,65766019,- -,30078051
69,Minority Interest,- -,-10000,6461,1628,2090,-4242,-6656,1819,-62,5323,-3085,-2953,3413,1268,3,- -,- -,-1,- -,1,- -,24447214
70,Total Liabilities & Equity,750000,2050000,4470000,7340000,6760000,5840000,4470000,50000,50000,30000,30000,20000,30000,20000,52883540,58274002,- -,62654300,60766560,65766020,- -,54525265
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000114420406032021/0001144204-06-032021-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000121465910000928/0001214659-10-000928-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000107654213000020/0001076542-13-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1172706/000107654215000072/0001076542-15-000072-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1172706/000121465918002228/0001214659-18-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1172706/000121465919002174/0001214659-19-002174-index.htm,https://www.sec.gov/Archives/edgar/data/1172706/000121465920002789/0001214659-20-002789-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1172706/000121465921003817/0001214659-21-003817-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1300000,-2700000,-3600000,-11700000,-3100000,-1800000,-2300000,-5000000,100000,-200000,-100000,-300000,-300000,-400000,4640450,7753843,- -,-107210,1246800,961420,- -,-2499369
74,Depreciation and Amortization,10000,10000,407701,1498925,861806,809515,804670,791168,515,411,2389,- -,- -,- -,1436035,1571299,- -,1886326,2195605,2371317,- -,2373949
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1253000,-2511000,- -,2515208,165240,252690,- -,-1319778
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49750,61000,160000,36000,98566,- -,405280,299798,44166,- -,- -
77,Change in Working Capital,30000,960000,-1960000,-1130000,2180000,-130000,-1060000,-270000,280000,380000,500000,-20000,50000,30000,4453200,2152008,- -,-2813170,-2040080,-3203800,- -,327331
78,Accounts Receivable,- -,-20000,- -,- -,- -,- -,- -,- -,- -,311,-102,1251,-718,2808,-120768,-37619,- -,262835,2253452,990417,- -,1882167
79,Inventory,- -,50000,-207716,64071,184370,692,-24364,51161,-14663,19391,-2143,4298,-5171,6616,-575000,-472499,- -,-2005565,-218434,588802,- -,1414782
80,Accounts Payable,- -,-40000,- -,- -,- -,- -,- -,- -,- -,6341,-8634,12402,-5151,-2311,747459,-1565291,- -,2468604,-636595,-300897,- -,-2064395
81,Other Working Capital,170000,1130000,-830000,-1960000,220000,90000,-970000,-1240000,-960000,-580000,-80000,-100000,-50000,-20000,4433200,6585208,- -,1113220,-926860,-4130660,- -,-3803329
82,Other Non-Cash Items,290000,-400000,2417876,9112552,-2389494,95707,1745680,4213389,-645614,-249433,-558523,138434,19073,85219,-5117227,-133447,- -,3676077,3357296,4233734,- -,125709
83,Cash Provided by Operating Activities,-970000,-2130000,-2734423,-2218523,-2447688,-1024778,-809650,-265443,-265099,-69022,-156134,-131816,-169927,-124781,4195458,5301256,- -,5562511,5224659,4659527,- -,-992158
84,CAPEX,-30000,-20000,-82601,-7970,-46421,-5347,- -,- -,-103,- -,- -,- -,- -,- -,-3255643,-2782525,- -,-3160639,-3725660,-1966200,- -,-1368852
85,Acquisitions Net,- -,- -,-550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-121475,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3273143,-2927196,- -,-2894081,-3856835,-1894296,- -,-1417623
89,Cash Used for Investing Activites,-30000,-20000,-754076,-7970,-46421,-5347,- -,- -,-103,- -,- -,- -,- -,- -,-3273143,-2927196,- -,-2894081,-3856835,-1894296,- -,-1417623
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191,- -,- -,- -,- -,-472784,-593399,- -,-995092,-1238941,-2493588,- -,-2480347
91,Common Stock Issued,- -,- -,1747019,2012619,3407932,958000,68250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,660000,3280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138553,-488852,- -,-114240,- -,-13300,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1800604,-2479665,- -,-2969722,-3089294,-3114592,- -,- -
94,Other Financing Activites,20000,-30000,227366,376000,-583771,67000,158837,264824,262921,69370,159582,128800,170353,125019,1811373,2544743,- -,1257255,2784298,2322888,- -,5947329
95,Cash Used/Provided by Financing Activities,680000,3250000,1974385,2388619,2824161,1025000,227087,264824,262921,69179,159582,128800,170353,125019,-600568,-1017173,- -,-2821799,-1543937,-3298592,- -,3466982
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28542,-51009,- -,99102,-62365,18108,- -,86093
97,Net Change In Cash,-330000,1100000,-1514114,162126,330052,-5125,-582563,-619,262921,69179,3448,-3016,426,238,293205,1305878,- -,-54267,-238478,-515253,- -,1143294
98,Cash at the End of Period,-330000,1620000,98410,260536,590588,585463,2900,2281,- -,157,3605,589,1015,1253,604234,1910112,- -,1267319,1028841,513588,- -,1656882
99,Cash at the Beginning of Period,- -,520000,1612524,98410,260536,590588,585463,2900,2281,- -,157,3605,589,1015,311029,604234,- -,1321586,1267319,1028841,- -,513588
100,Free Cash Flow,-1000000,-2150000,-2817024,-2226493,-2494109,-1030125,-809650,-265443,-265202,-69022,-156134,-131816,-169927,-124781,939815,2518731,- -,2401872,1498999,2693327,- -,-2361010
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000114420406032021/0001144204-06-032021-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000121465910000928/0001214659-10-000928-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1172706/000107654213000020/0001076542-13-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1172706/000107654215000072/0001076542-15-000072-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1172706/000121465918002228/0001214659-18-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1172706/000121465919002174/0001214659-19-002174-index.htm,https://www.sec.gov/Archives/edgar/data/1172706/000121465920002789/0001214659-20-002789-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1172706/000121465921003817/0001214659-21-003817-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
