,https://roic.ai/company/NRILY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,816741886,786388480,737691758,737910759,708814861,706347180,706673880,709635960,714877680,720896220,725756790,746374200,743754000,724944000,706308000,633527000,598435969
28,Weighted Average Shares Outstanding Diluted,816747495,787009108,895882442,739044902,709247489,749808903,750133143,753037999,758226619,765709956,727534409,748449266,745146889,727027027,707964971,635151737,599928663
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18524000000,26004000000,20941000000,17709000000,20307000000,15055000000,16757000000,8462000000,10273000000,9885000000,26469000000,62138000000,152610000000,159541000000,124773000000,102540000000,153187000000
32,Short-Term Investments,52224000000,44438000000,112535000000,84987000000,13999000000,44719000000,79661000000,81078000000,90185000000,83803000000,119539000000,100572000000,6278000000,1218000000,2121000000,2301000000,9841000000
33,Cash and Short-Term Investments,70748000000,70442000000,133476000000,102696000000,34306000000,59774000000,96418000000,89540000000,100458000000,93688000000,146008000000,162710000000,158888000000,160759000000,126894000000,104841000000,163028000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,758000000,1236000000,294000000,159000000,255000000,430000000,254000000,176000000,223000000,1263000000,778000000,821000000,1071000000,1116000000,2130000000,2613000000,- -
36,Other Current Assets,64009000000,66101000000,78814000000,88055000000,88011000000,77540000000,80921000000,87088000000,88552000000,113170000000,151779000000,143412000000,135956000000,147906000000,156764000000,152401000000,160338000000
37,Total Current Assets,135515000000,137779000000,212584000000,190910000000,122572000000,137744000000,177593000000,176804000000,189233000000,208121000000,298565000000,306943000000,295915000000,309781000000,285788000000,259855000000,323366000000
38,PP&E,37295000000,39964000000,49478000000,58253000000,58274000000,58965000000,58451000000,67569000000,63456000000,62767000000,53915000000,65384000000,63790000000,68528000000,65376000000,63422000000,90295000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7864000000,35404000000,39028000000,27572000000,20409000000,- -
40,Intangible Assets,22417000000,20419000000,19650000000,30256000000,74885000000,68318000000,57640000000,57860000000,42854000000,42712000000,55582000000,57221000000,64081000000,63688000000,63933000000,64709000000,- -
41,Intangible Assets,22417000000,20419000000,19650000000,30256000000,74885000000,68318000000,57640000000,57860000000,42854000000,42712000000,55582000000,65085000000,99485000000,102716000000,91505000000,85118000000,89067000000
42,Investments,57605000000,57066000000,-43787000000,-36280000000,44415000000,11118000000,-34090000000,-18107000000,9070000000,23417000000,-397000000,22170000000,99733000000,93422000000,84033000000,33094000000,55277000000
43,Tax Assets,1490000000,1614000000,572000000,13115000000,19128000000,19236000000,19389000000,15778000000,14381000000,3135000000,1218000000,1684000000,2100000000,1733000000,3658000000,6987000000,5341000000
44,Other Non-Current Assets,63019000000,54944000000,132960000000,106193000000,35213000000,67987000000,101049000000,102880000000,113253000000,128853000000,184323000000,160423000000,67918000000,76487000000,81828000000,79657000000,93190000000
45,Total Non-Current Assets,181826000000,174007000000,158873000000,171537000000,231915000000,225624000000,202439000000,225980000000,243014000000,260884000000,294641000000,314746000000,333026000000,342886000000,326400000000,268278000000,333170000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,317341000000,311786000000,371457000000,362447000000,354487000000,363368000000,380032000000,402784000000,432247000000,469005000000,593206000000,621689000000,628941000000,652667000000,612188000000,528133000000,656536000000
48,Accounts Payable,19792000000,29453000000,33201000000,40321000000,33773000000,31754000000,30451000000,27160000000,20497000000,26103000000,24197000000,22177000000,20638000000,22882000000,27698000000,25612000000,37358000000
49,Short-Term Debt,240000000,240000000,- -,- -,655000000,293000000,2830000000,2732000000,52717000000,2530000000,13046000000,20743000000,7741000000,45392000000,11549000000,12683000000,36194000000
50,Tax Payable,13256000000,14355000000,14613000000,13321000000,13528000000,12822000000,10793000000,11244000000,14298000000,13345000000,2185000000,14325000000,8396000000,21233000000,6435000000,27985000000,8939000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,29969000000,35209000000,47538000000,34458000000,35598000000,35148000000,34879000000,39488000000,44976000000,51208000000,75965000000,91384000000,83173000000,93859000000,85017000000,102161000000,100796000000
53,Total Current Liabilities,50001000000,64902000000,80739000000,74779000000,70026000000,67195000000,68160000000,69380000000,118190000000,79841000000,113208000000,134304000000,111552000000,162133000000,124264000000,140456000000,174348000000
54,Long-Term Debt,840000000,- -,50000000000,49997000000,50411000000,50325000000,59511000000,57085000000,4591000000,52512000000,51623000000,43125000000,49745000000,35255000000,47674000000,93092000000,129399000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,11162000000,14267000000,1133000000,4000000,2000000,- -,- -,26000000,38000000,39000000,18192000000,10575000000,13839000000,14999000000,5928000000,1860000000,2426000000
57,Other Non-Current Liabilities,23572000000,23316000000,23354000000,30304000000,28582000000,25611000000,21287000000,18017000000,18568000000,5212000000,6724000000,8285000000,6512000000,7504000000,9295000000,10591000000,17157000000
58,Total Non-Current Liabilities,35574000000,37583000000,74487000000,80305000000,78995000000,75936000000,80798000000,75128000000,23197000000,57763000000,76539000000,61985000000,70096000000,57758000000,62897000000,105543000000,148982000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1069000000,621000000,561000000,612000000,609000000,708000000,544000000,399000000,675000000,1376000000,1055000000,2797000000,48098000000
61,Total Liabilities,85575000000,102485000000,155226000000,155084000000,149021000000,143131000000,148958000000,144508000000,141387000000,137604000000,189747000000,196289000000,181648000000,219891000000,187161000000,245999000000,323330000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,18600000000,19338000000,20067000000,21175000000
64,Retained Earnings,170018000000,186670000000,206990000000,225780000000,240061000000,251800000000,264866000000,286907000000,305058000000,325476000000,352220000000,378083000000,400345000000,393487000000,423047000000,302966000000,278675000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,43148000000,4031000000,-9358000000,-37017000000,-53195000000,-50173000000,-52392000000,-47231000000,-32874000000,-12755000000,19490000000,15898000000,16707000000,8505000000,-30429000000,-56036000000,30645000000
67,Total Stockholders Equity,231766000000,209301000000,216232000000,207363000000,205466000000,220227000000,231074000000,258276000000,290784000000,331321000000,390310000000,412581000000,435652000000,420592000000,411956000000,266997000000,330495000000
68,Total Liabilities And Stockholders Equity,317341000000,311786000000,371458000000,362447000000,354487000000,363358000000,380032000000,402784000000,432171000000,468925000000,580057000000,608870000000,617300000000,640483000000,599117000000,512996000000,653825000000
69,Minority Interest,- -,- -,-1000000,- -,- -,10000000,- -,- -,76000000,80000000,13149000000,12819000000,11641000000,12184000000,13071000000,15137000000,2711000000
70,Total Liabilities & Equity,317341000000,311786000000,371457000000,362447000000,354487000000,363368000000,380032000000,402784000000,432247000000,469005000000,593206000000,621689000000,628941000000,652667000000,612188000000,528133000000,656536000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,16303000000,22518000000,27019000000,28157000000,24513000000,21856000000,23188000000,32920000000,28610000000,31527000000,38880000000,42648000000,45064000000,55145000000,50931000000,69276000000,52867000000
74,Depreciation and Amortization,18402000000,16574000000,19795000000,16517000000,20763000000,30915000000,30665000000,30875000000,42474000000,34118000000,25800000000,32598000000,28476000000,31941000000,30427000000,30414000000,40911000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-5855000000,10424000000,-7774000000,-12527000000,-3896000000,5249000000,-5685000000,-4416000000,-1856000000,-33317000000,-1333000000,-5386000000,-3253000000,-16693000000,-14842000000,-3167000000,-14138000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-658000000,-478000000,936000000,134000000,-96000000,-179000000,176000000,78000000,-18000000,-1040000000,510000000,-44000000,105000000,-62000000,-1045000000,-475000000,399000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-1281000000,-641000000,543000000,-341000000,4800000000,40000000,609000000,-6312000000,-864000000,1511000000,-4637000000,11610000000,-9140000000,3100000000,-10167000000,6264000000,4954000000
83,Cash Provided by Operating Activities,27569000000,48875000000,39583000000,31806000000,46180000000,58060000000,48777000000,53067000000,68364000000,33839000000,58710000000,81470000000,61147000000,73493000000,56349000000,102787000000,84594000000
84,CAPEX,-17378000000,-18010000000,-24119000000,-38866000000,-71967000000,-27614000000,-19776000000,-42247000000,-31829000000,-34353000000,-32344000000,-47043000000,-38791000000,-38532000000,-25500000000,-27401000000,-29029000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2264000000,-903000000,5633000000,-8804000000,-31064000000,-14138000000,949000000,-499000000,- -
86,Purchases of Investments,-65871000000,-30299000000,-31293000000,-44339000000,-29363000000,-3733000000,-19977000000,-42519000000,-22525000000,-8395000000,-17441000000,-42346000000,-20313000000,-15504000000,-19854000000,-4977000000,-2479000000
87,Sales/Maturities of Investments,6130000000,65811000000,44159000000,35665000000,30251000000,9110000000,12857000000,36587000000,19464000000,11401000000,38853000000,22841000000,47910000000,49863000000,27613000000,50872000000,11009000000
88,Other Investing Activites,-14189000000,-7860000000,-19759000000,-17870000000,-57777000000,-9053000000,-11038000000,-20951000000,-15027000000,-22604000000,-18465000000,-27855000000,-13344000000,-21171000000,-20007000000,-22039000000,-21418000000
89,Cash Used for Investing Activites,-81981000000,17853000000,-18578000000,-47925000000,-70994000000,-16175000000,-27723000000,-47731000000,-36019000000,-32234000000,-1093000000,-75344000000,-30341000000,-17882000000,-16826000000,18382000000,-20522000000
90,Debt Repayment,-1230000000,-840000000,-240000000,- -,- -,-6500000000,-13500000000,-9495000000,-3058000000,-3748000000,-2853000000,-11058000000,-18459000000,-10433000000,-39513000000,-5402000000,-16995000000
91,Common Stock Issued,- -,380000000,780000000,824000000,73000000,- -,- -,2336000000,2343000000,4285000000,3271000000,36381000000,3650000000,5067000000,6640000000,6931000000,27382000000
92,Common Stock Repurchased,-2000000,-48527000000,-3000000,-15000000000,-11870000000,- -,- -,- -,- -,- -,- -,-9530000000,-10839000000,-50675000000,-36785000000,-171058000000,-10002000000
93,Dividends Paid,-2695000000,-5840000000,-6496000000,-9360000000,-10228000000,-10112000000,-10120000000,-10147000000,-10218000000,-10477000000,-12137000000,-16451000000,-18273000000,-20817000000,-21370000000,-19597000000,-20307000000
94,Other Financing Activites,-1000000,-1000000,49999000000,-1000000,-389000000,6264000000,25210000000,6868000000,446000000,1167000000,1183000000,9984000000,9594000000,30029000000,17922000000,49269000000,6739000000
95,Cash Used/Provided by Financing Activities,-3928000000,-54828000000,44040000000,-23537000000,-22414000000,-10348000000,1590000000,-10438000000,-10487000000,-8773000000,-10536000000,9326000000,-34327000000,-46829000000,-73106000000,-139857000000,-13183000000
96,Effect of Forex Changes on Cash,205000000,174000000,56000000,-672000000,-68000000,10000000,-335000000,62000000,721000000,337000000,694000000,-1071000000,624000000,-2529000000,-1519000000,-3734000000,1520000000
97,Net Change In Cash,-58135000000,12075000000,65102000000,-40330000000,-47296000000,31547000000,22310000000,-5042000000,22580000000,-6831000000,47775000000,14382000000,-2898000000,6252000000,-35103000000,-22422000000,52409000000
98,Cash at the End of Period,38677000000,50752000000,115854000000,75524000000,28228000000,59775000000,82085000000,77043000000,99623000000,92792000000,140567000000,154949000000,152051000000,158303000000,123200000000,100778000000,153187000000
99,Cash at the Beginning of Period,96812000000,38677000000,50752000000,115854000000,75524000000,28228000000,59775000000,82085000000,77043000000,99623000000,92792000000,140567000000,154949000000,152051000000,158303000000,123200000000,100778000000
100,Free Cash Flow,10191000000,30865000000,15464000000,-7060000000,-25787000000,30446000000,29001000000,10820000000,36535000000,-514000000,26366000000,34427000000,22356000000,34961000000,30849000000,75386000000,55565000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,1.07,1.2019,1.2071,1.061,0.9686,0.8323,0.8882,0.8976,0.9408,0.902,0.9297,0.9031
